# 2009/02/17 
# CHI , T.B 
# 5 , 3 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,36,24,16,7,51,38,91,9,24,21,32,31
2,1,0,20:00,4,0,36,91,1,0,0,0,0,36,24,16,7,51,38,91,9,24,21,32,31
3,1,0,19:41,9,0,16,0,2,0,0,0,0,36,88,16,7,51,38,91,9,24,21,32,31
4,1,0,19:37,1,0,36,0,3,59,2,0,0,36,88,16,8,51,38,91,9,24,21,32,31
5,1, ,19:36,3,1,0,0,0,0,0,0,0,36,88,16,8,51,38,91,9,24,21,32,31
6,1,0,19:36,6,0,16,32,3,0,0,0,0,36,88,16,8,51,38,91,9,24,21,32,31
7,1,-1,19:36,4,0,37,4,2,0,0,0,0,46,37,2,7,38,0,4,8,26,12,21,31
8,1,-1,19:00,13,1,21,46,2,0,0,0,0,46,37,2,7,38,0,4,8,26,12,21,31
9,1,1,18:34,7,1,44,0,3,14,5,0,0,46,37,2,25,38,0,4,8,26,12,44,31
10,1,1,18:20,9,1,44,0,3,0,0,0,0,36,32,7,8,38,0,4,8,26,12,44,31
11,1,-1,18:18,1,0,36,0,3,17,1,0,0,36,32,7,8,38,0,4,8,26,12,44,31
12,1,-1,17:40,1,0,22,0,3,38,3,0,0,22,28,7,8,38,0,11,20,91,10,44,31
13,1,0,17:11,13,0,8,24,2,0,0,0,0,19,24,88,8,51,38,11,18,24,2,32,31
14,1,0,17:10,5,1,32,8,2,0,0,0,0,19,24,88,8,51,38,11,18,24,2,32,31
15,1,0,17:00,9,1,2,0,2,0,0,0,0,19,24,88,25,51,38,34,18,24,2,32,31
16,1,0,16:43,1,0,25,0,3,63,2,0,0,19,24,88,25,51,38,34,18,24,2,32,31
17,1, ,16:43,3,1,0,0,0,0,0,0,0,19,24,88,25,51,38,34,18,24,2,32,31
18,1,0,16:43,4,0,32,11,3,0,0,0,0,32,33,55,25,43,38,11,20,8,6,44,31
19,1,0,16:36,9,1,8,0,2,0,0,0,0,32,33,55,25,43,38,11,20,8,6,44,31
20,1,0,16:29,1,0,32,0,3,34,1,0,0,32,33,55,25,43,38,11,20,8,6,44,31
21,1,0,16:14,5,0,43,20,1,0,0,0,0,32,33,55,25,43,38,11,20,8,6,44,31
22,1,0,15:42,9,0,16,0,3,0,0,0,0,36,24,16,2,43,38,4,26,12,2,3,31
23,1,0,15:35,5,1,4,2,3,0,0,0,0,36,24,16,2,7,38,4,26,12,2,3,31
24,1,0,15:24,8,1,2,0,2,0,0,0,0,36,24,16,2,7,38,4,26,12,2,3,31
25,1, ,15:15,3,1,0,0,0,0,0,0,0,36,24,16,2,7,38,4,26,12,2,3,31
26,1,0,15:15,4,1,19,34,2,0,0,0,0,19,22,88,2,7,38,34,18,10,32,44,31
27,1,0,14:48,13,0,88,44,2,0,0,0,0,19,22,88,8,51,38,34,18,10,32,44,31
28,1,0,14:39,1,0,88,0,3,34,1,0,0,19,22,88,8,51,38,34,18,10,32,44,31
29,1,0,14:39,6,1,44,88,2,0,0,0,0,19,22,88,8,51,38,34,18,10,32,44,31
30,1,1,14:39,4,0,32,11,3,0,0,0,0,24,32,33,25,51,38,11,12,2,6,31,0
31,1,1,14:27,1,0,25,0,3,63,2,0,0,24,32,33,25,51,38,11,12,2,6,31,0
32,1, ,14:05,3,3,0,0,0,0,0,0,0,24,32,33,25,51,38,4,26,21,32,31,0
33,1,-1,14:05,4,1,19,11,2,0,0,0,0,19,33,88,25,51,38,11,18,21,32,31,0
34,1,-1,13:47,13,0,88,32,2,0,0,0,0,19,33,88,25,51,38,4,26,21,32,31,0
35,1, ,13:47,3,4,0,0,0,0,0,0,0,19,33,88,25,51,38,4,26,21,32,31,0
36,1,-1,13:47,4,1,19,11,2,0,0,0,0,19,33,88,25,51,38,11,18,2,32,31,0
