# 2009/02/26 
# ATL , WSH 
# 3 , 4 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,19,47,13,28,39,32,39,14,16,52,55,30
2,1,0,20:00,4,0,19,39,1,0,0,0,0,19,47,13,28,39,32,39,14,16,52,55,30
3,1,0,19:41,9,1,55,0,2,0,0,0,0,19,47,13,2,4,32,39,14,16,52,55,30
4,1,0,19:34,9,0,13,0,3,0,0,0,0,19,47,13,2,4,32,39,14,16,52,55,30
5,1,0,19:24,5,1,39,13,3,0,0,0,0,19,47,13,2,4,32,39,14,16,52,55,30
6,1,0,19:07,8,1,19,0,2,0,0,0,0,10,12,17,2,4,32,19,25,8,3,26,30
7,1,0,18:59,1,1,8,0,3,54,1,0,0,10,12,17,28,39,32,19,25,8,3,26,30
8,1,0,18:44,9,0,32,0,2,0,0,0,0,10,12,17,28,39,32,19,25,8,3,26,30
9,1,0,18:34,1,0,10,0,3,49,1,0,0,10,12,17,28,39,32,19,25,8,3,26,30
10,1, ,18:34,3,1,0,0,0,0,0,0,0,10,12,17,28,39,32,19,25,8,3,26,30
11,1,0,18:34,4,0,9,91,3,0,0,0,0,9,20,49,6,48,32,21,91,28,4,23,30
12,1,0,17:39,5,0,11,23,3,0,0,0,0,11,27,36,2,4,32,15,28,87,4,23,30
13,1,0,17:31,5,0,4,87,2,0,0,0,0,11,27,36,2,4,32,15,10,87,52,55,30
14,1,0,17:17,13,1,15,11,2,0,0,0,0,11,27,36,2,4,32,15,10,87,52,55,30
15,1,0,17:09,5,0,4,52,2,0,0,0,0,11,27,36,2,4,32,15,10,87,52,55,30
16,1, ,17:02,3,6,0,0,0,0,0,0,0,11,27,36,2,4,32,15,10,87,52,55,30
17,1,0,17:02,4,1,11,19,3,0,0,0,0,11,27,36,2,4,32,19,25,8,52,55,30
18,1,0,16:41,7,1,25,0,3,41,1,0,0,11,27,36,2,4,32,19,25,8,52,55,30
19,1,0,16:31,1,0,13,0,3,42,1,0,0,19,47,13,28,39,32,19,25,8,52,55,30
20,1, ,16:27,3,11,0,0,0,0,0,0,0,19,47,13,28,39,32,19,25,8,52,55,30
21,1,0,16:27,4,1,12,39,1,0,0,0,0,10,12,17,28,39,32,39,14,16,3,26,30
22,1,0,16:08,1,1,39,0,1,79,5,0,0,10,12,17,28,39,32,39,14,16,8,3,26
23,1,0,16:07,6,0,12,39,1,0,0,0,0,10,12,17,28,39,32,19,91,8,28,52,30
24,1,1,16:07,4,1,19,91,3,0,0,0,0,11,19,28,39,32,0,19,91,8,28,52,30
25,1,1,16:01,8,1,52,0,3,0,0,0,0,11,19,28,39,32,0,19,91,8,28,52,30
26,1,1,15:45,9,1,52,0,1,0,0,0,0,11,19,28,39,32,0,19,91,8,28,52,30
27,1,-1,15:45,7,0,28,0,3,48,1,0,0,11,19,28,39,32,0,19,91,8,28,52,30
28,1,1,15:33,2,1,28,0,3,34,1,91,8,11,19,28,39,32,0,19,91,8,28,52,30
29,1,-1,15:33,6,0,11,28,2,0,0,0,0,11,19,28,39,32,0,19,91,8,28,52,30
30,1,1,15:33,4,1,47,21,1,0,0,0,0,47,49,6,48,32,0,21,25,14,8,52,30
31,1,-1,15:18,5,0,48,14,2,0,0,0,0,47,49,6,48,32,0,21,25,14,8,52,30
32,1,1,15:15,1,1,25,0,3,26,6,0,0,47,49,6,48,32,0,21,25,14,8,52,30
33,1,-1,15:03,13,1,8,49,2,0,0,0,0,47,49,6,48,32,0,21,25,14,8,52,30
34,1,-1,14:59,8,0,47,0,2,0,0,0,0,47,49,6,48,32,0,21,25,14,8,52,30
35,1,-1,14:43,13,1,28,39,2,0,0,0,0,19,13,28,39,32,0,21,16,8,28,52,30
36,1,1,14:41,1,1,52,0,3,48,1,0,0,19,13,28,39,32,0,21,16,8,28,52,30
37,1,1,14:40,2,1,21,0,3,24,1,52,28,19,13,28,39,32,0,21,16,8,28,52,30
38,1,0,14:40,4,0,12,10,1,0,0,0,0,10,12,17,2,4,32,15,10,87,3,26,30
39,1,0,14:02,8,1,87,0,3,0,0,0,0,10,12,17,2,4,32,15,10,87,3,26,30
40,1, ,13:29,3,6,0,0,0,0,0,0,0,9,20,49,4,6,32,39,14,16,4,23,30
41,1,0,13:29,4,0,9,39,2,0,0,0,0,9,20,49,4,6,32,39,14,16,4,23,30
42,1,0,13:22,9,1,16,0,3,0,0,0,0,9,20,49,4,6,32,39,14,16,4,23,30
43,1,0,13:21,1,1,16,0,3,23,1,0,0,9,20,49,4,6,32,39,14,16,4,23,30
44,1, ,13:21,3,0,0,0,0,0,0,0,0,9,20,49,4,6,32,39,14,16,4,23,30
45,1,0,13:21,4,1,9,39,3,0,0,0,0,9,20,49,6,48,32,39,14,16,4,23,30
46,1,0,13:16,13,1,4,48,2,0,0,0,0,9,20,49,6,48,32,39,14,16,4,23,30
47,1,0,12:36,6,1,23,49,2,0,0,0,0,9,20,49,6,48,32,39,14,16,4,23,30
48,1,1,12:36,4,0,12,15,3,0,0,0,0,10,12,13,17,39,32,15,21,3,26,30,0
49,1,1,12:16,7,0,13,0,3,46,2,0,0,10,12,13,17,39,32,15,21,3,26,30,0
50,1,1,12:00,1,0,17,0,3,29,1,0,0,10,12,13,17,39,32,21,28,26,52,30,0
51,1,1,11:58,1,0,12,0,3,18,1,0,0,10,12,13,17,39,32,21,28,26,52,30,0
52,1,-1,11:46,8,1,21,0,2,0,0,0,0,10,12,13,17,39,32,21,28,26,52,30,0
53,1,1,11:23,9,0,12,0,3,0,0,0,0,12,20,13,17,39,32,39,28,52,55,30,0
54,1,-1,11:03,9,1,4,0,2,0,0,0,0,9,47,20,17,6,32,15,14,3,4,30,0
55,1,-1,10:49,5,1,4,20,2,0,0,0,0,9,47,20,17,6,32,15,14,3,4,30,0
56,1,0,10:33,1,0,20,0,3,14,1,0,0,9,47,20,4,6,32,15,14,3,4,23,30
57,1,0,10:25,13,0,6,15,2,0,0,0,0,9,47,20,4,6,32,15,14,3,4,23,30
58,1,0,9:09,8,1,4,0,2,0,0,0,0,11,47,36,28,39,32,91,8,28,4,23,30
59,1, ,9:03,3,0,0,0,0,0,0,0,0,19,47,13,28,39,32,91,8,28,4,23,30
60,1,0,9:03,4,1,19,91,1,0,0,0,0,19,47,13,28,39,32,21,91,28,4,23,30
61,1,0,8:44,1,0,13,0,3,56,1,0,0,19,47,13,28,39,32,21,91,28,4,23,30
62,1, ,8:44,3,1,0,0,0,0,0,0,0,19,47,13,28,39,32,21,91,28,4,23,30
63,1,0,8:44,4,1,19,91,2,0,0,0,0,19,47,13,6,48,32,21,91,28,3,26,30
64,1,0,8:26,1,1,28,0,3,31,1,0,0,19,47,13,6,48,32,21,91,28,3,26,30
65,1,0,8:24,1,1,21,0,3,21,1,0,0,19,47,13,6,48,32,21,91,28,3,26,30
66,1, ,8:24,3,1,0,0,0,0,0,0,0,19,47,13,6,48,32,21,91,28,3,26,30
67,1,0,8:24,4,1,12,15,3,0,0,0,0,10,12,17,6,48,32,15,10,87,3,26,30
68,1,0,8:18,8,1,15,0,3,0,0,0,0,10,12,17,6,48,32,15,10,87,3,26,30
69,1,0,8:08,1,1,87,0,3,49,1,0,0,10,12,17,6,48,32,15,10,87,3,26,30
70,1,0,8:03,5,1,10,6,3,0,0,0,0,10,12,17,6,48,32,15,10,87,3,26,30
71,1,0,7:59,5,1,15,12,3,0,0,0,0,10,12,17,6,48,32,15,10,87,3,26,30
72,1,0,7:49,6,1,10,10,2,0,0,0,0,10,12,49,28,39,32,15,10,87,3,26,30
73,1,-1,7:49,4,1,12,15,2,0,0,0,0,10,12,13,17,39,32,15,39,3,26,30,0
74,1,-1,7:31,5,1,21,13,1,0,0,0,0,10,12,13,17,39,32,21,39,3,26,30,0
75,1,-1,7:08,9,1,26,0,2,0,0,0,0,10,12,13,17,39,32,21,39,3,26,30,0
76,1,1,7:00,1,0,39,0,3,56,1,0,0,10,12,13,17,39,32,21,39,3,26,30,0
77,1, ,7:00,3,1,0,0,0,0,0,0,0,10,12,13,17,39,32,21,39,3,26,30,0
78,1,-1,7:00,4,1,17,15,2,0,0,0,0,9,47,20,17,6,32,15,19,52,55,30,0
79,1,1,6:37,1,0,17,0,3,47,2,0,0,9,47,20,17,6,32,15,19,52,55,30,0
80,1, ,6:37,3,1,0,0,0,0,0,0,0,9,47,20,17,6,32,15,19,52,55,30,0
81,1,-1,6:37,4,1,9,15,2,0,0,0,0,9,47,20,17,6,32,15,21,3,4,30,0
82,1,1,6:14,1,0,6,0,3,52,2,0,0,9,47,20,17,6,32,15,21,3,4,30,0
83,1, ,6:13,3,1,0,0,0,0,0,0,0,9,47,20,17,6,32,15,21,3,4,30,0
84,1,-1,6:13,4,1,47,39,2,0,0,0,0,9,47,20,17,6,32,39,28,3,4,30,0
85,1,0,5:49,9,0,32,0,2,0,0,0,0,9,47,20,17,6,32,39,10,28,52,55,30
86,1,0,5:28,13,1,25,39,2,0,0,0,0,11,27,36,28,39,32,19,25,8,52,55,30
87,1, ,5:27,3,0,0,0,0,0,0,0,0,11,27,36,28,39,32,19,25,8,52,55,30
88,1,0,5:27,4,1,19,19,3,0,0,0,0,19,47,49,28,39,32,19,25,8,4,23,30
89,1,0,5:06,13,0,49,23,2,0,0,0,0,19,47,49,28,39,32,19,25,8,4,23,30
90,1,0,5:00,5,1,23,19,2,0,0,0,0,19,47,49,28,39,32,19,25,8,4,23,30
91,1,0,4:22,6,1,8,19,1,0,0,0,0,19,27,36,2,4,32,19,25,8,52,55,30
