# 2009/02/28 
# WSH , BOS 
# 4 , 3 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,39,14,16,52,55,60,46,26,73,34,45,30
2,1,0,20:00,4,0,39,46,1,0,0,0,0,39,14,16,52,55,60,46,26,73,34,45,30
3,1,0,18:49,5,1,37,26,3,0,0,0,0,19,25,8,3,26,60,37,12,11,33,44,30
4,1,0,18:36,13,1,44,8,2,0,0,0,0,19,25,8,3,26,60,37,12,11,33,44,30
5,1,0,18:27,5,1,33,8,2,0,0,0,0,19,25,8,4,23,60,37,81,11,33,44,30
6,1,0,18:20,8,1,44,0,2,0,0,0,0,25,91,8,4,23,60,37,81,11,33,44,30
7,1,0,18:16,13,0,4,11,2,0,0,0,0,25,91,8,4,23,60,37,81,11,33,44,30
8,1,0,18:13,7,0,8,0,3,45,3,0,0,25,91,8,4,23,60,37,81,11,33,44,30
9,1,0,17:53,5,1,6,21,2,0,0,0,0,21,91,28,4,23,60,81,91,6,21,48,30
10,1,0,17:45,1,1,81,0,3,49,3,0,0,21,91,28,4,23,60,81,91,6,21,48,30
11,1,0,17:32,5,1,48,28,1,0,0,0,0,21,91,28,4,23,60,81,91,21,34,48,30
12,1,0,17:20,6,1,91,55,2,0,0,0,0,19,14,8,28,52,60,81,91,21,34,48,30
13,1,-1,17:20,4,1,19,37,2,0,0,0,0,19,14,8,28,52,60,37,11,33,44,30,0
14,1,-1,17:11,1,1,37,0,3,49,3,0,0,19,14,8,28,52,60,37,11,33,44,30,0
15,1,-1,16:36,1,1,46,0,3,11,6,0,0,19,14,8,28,52,60,46,26,33,44,30,0
16,1,1,16:26,1,0,28,0,3,41,3,0,0,19,21,8,28,52,60,46,26,6,21,30,0
17,1,1,16:24,2,0,19,0,3,23,3,28,52,19,21,8,28,52,60,46,26,6,21,30,0
18,1,0,16:24,4,0,15,18,1,0,0,0,0,15,10,87,3,26,60,18,61,22,34,45,30
19,1,0,15:58,1,1,22,0,3,25,3,0,0,15,10,87,3,26,60,18,61,22,34,45,30
20,1, ,15:58,3,1,0,0,0,0,0,0,0,15,10,87,3,26,60,18,61,22,34,45,30
21,1,0,15:58,4,1,15,18,3,0,0,0,0,15,10,87,4,23,60,18,61,22,34,45,30
22,1,0,15:53,13,1,22,4,2,0,0,0,0,15,10,87,4,23,60,18,61,22,34,45,30
23,1,0,15:43,5,0,87,61,1,0,0,0,0,15,10,87,4,23,60,18,61,22,34,45,30
24,1,0,15:15,1,1,12,0,3,36,3,0,0,39,10,87,4,23,60,37,12,11,33,44,30
25,1, ,15:10,3,1,0,0,0,0,0,0,0,39,14,16,4,23,60,37,12,11,33,44,30
26,1,0,15:10,4,1,39,91,3,0,0,0,0,39,14,16,52,55,60,81,91,6,21,48,30
27,1,0,14:57,2,1,48,0,3,19,3,91,81,39,14,16,52,55,60,81,91,6,21,48,30
28,1,0,14:57,4,0,19,37,1,0,0,0,0,19,25,8,3,26,60,37,12,11,33,44,30
29,1,0,13:50,1,0,91,0,3,20,6,0,0,25,91,8,52,55,60,46,26,73,33,44,30
30,1,0,13:48,1,0,91,0,3,8,1,0,0,25,91,8,52,55,60,46,26,73,33,44,30
31,1,0,13:26,1,0,91,0,3,11,4,0,0,21,91,28,52,55,60,46,26,73,33,44,30
32,1,0,13:07,1,0,21,0,1,79,2,0,0,15,21,28,4,23,60,18,61,22,6,21,30
33,1,0,12:45,7,0,28,0,3,23,5,0,0,15,21,28,4,23,60,18,61,22,6,21,30
34,1,0,12:23,5,0,10,45,3,0,0,0,0,15,10,87,3,26,60,91,61,34,45,48,30
35,1,0,12:10,9,0,87,0,3,0,0,0,0,39,10,87,3,26,60,91,61,34,45,48,30
36,1,0,11:26,1,1,91,0,3,40,6,0,0,39,14,16,52,55,60,81,91,6,21,48,30
37,1,0,11:16,13,1,6,55,2,0,0,0,0,39,14,16,52,55,60,81,91,6,21,48,30
38,1,0,11:14,1,1,81,0,3,15,3,0,0,39,14,16,52,55,60,81,91,6,21,48,30
39,1,0,10:43,5,0,23,37,2,0,0,0,0,19,25,8,4,23,60,37,12,11,33,44,30
40,1,0,10:24,5,1,44,8,2,0,0,0,0,19,25,8,4,23,60,37,12,11,33,44,30
41,1,0,10:17,8,0,25,0,1,0,0,0,0,19,25,8,4,23,60,37,12,11,33,44,30
42,1,0,10:07,13,0,25,33,2,0,0,0,0,19,25,8,3,26,60,37,12,11,33,44,30
43,1,0,10:06,13,0,8,44,2,0,0,0,0,19,25,8,3,26,60,46,12,11,33,44,30
44,1, ,10:06,3,0,0,0,0,0,0,0,0,19,25,8,3,26,60,46,12,11,33,44,30
45,1,0,10:06,4,0,91,46,1,0,0,0,0,21,91,28,3,26,60,46,26,73,6,21,30
46,1, ,10:02,3,3,0,0,0,0,0,0,0,21,91,28,3,26,60,46,26,73,6,21,30
47,1,0,10:02,4,1,91,46,1,0,0,0,0,21,91,28,3,26,60,46,26,73,6,21,30
48,1,0,9:30,13,0,28,26,2,0,0,0,0,21,91,28,3,26,60,46,26,73,6,21,30
49,1,0,9:17,13,0,91,6,2,0,0,0,0,21,91,28,3,26,60,46,26,73,6,21,30
50,1,0,8:03,5,0,87,34,3,0,0,0,0,15,10,87,52,55,60,18,81,22,34,45,30
51,1,0,6:25,9,1,81,0,1,0,0,0,0,39,14,16,3,26,60,81,91,6,21,48,30
52,1,0,6:20,1,0,14,0,3,23,3,0,0,39,14,16,3,26,60,81,91,6,45,48,30
53,1, ,6:09,3,6,0,0,0,0,0,0,0,39,14,16,3,26,60,81,91,6,45,48,30
54,1,0,6:09,4,1,91,91,2,0,0,0,0,21,91,28,3,26,60,81,91,6,45,48,30
55,1,0,5:50,1,0,91,0,3,67,2,0,0,21,91,28,4,23,60,46,26,73,6,21,30
56,1,0,5:40,6,1,73,28,2,0,0,0,0,21,91,28,4,23,60,46,26,73,6,21,30
57,1,1,5:40,4,0,91,37,3,0,0,0,0,19,21,91,8,52,60,37,11,33,44,30,0
58,1,-1,5:35,13,0,8,37,2,0,0,0,0,19,21,91,8,52,60,37,11,33,44,30,0
59,1,1,5:26,1,0,19,0,3,26,3,0,0,19,21,91,8,52,60,37,11,33,44,30,0
60,1,-1,5:14,5,1,44,19,2,0,0,0,0,19,21,91,8,52,60,37,11,33,44,30,0
61,1,1,4:26,1,0,28,0,3,18,3,0,0,19,91,8,28,52,60,37,11,33,44,30,0
