# 2009/03/10 
# CGY , N.J 
# 2 , 3 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,24,25,20,28,33,34,12,23,18,5,27,30
2,1,0,20:00,4,1,24,12,1,0,0,0,0,24,25,20,28,33,34,12,23,18,5,27,30
3,1,0,19:44,1,0,24,0,3,43,3,0,0,24,25,20,28,33,34,12,23,18,5,27,30
4,1, ,19:29,3,1,0,0,0,0,0,0,0,24,25,20,28,33,34,12,23,18,5,27,30
5,1,0,19:29,4,1,12,8,2,0,0,0,0,21,12,13,3,40,34,8,14,26,7,29,30
6,1,0,18:56,8,1,26,0,3,0,0,0,0,21,12,13,3,40,34,8,14,26,7,29,30
7,1, ,18:50,3,2,0,0,0,0,0,0,0,21,12,13,3,40,34,19,15,9,24,28,30
8,1,0,18:50,4,1,22,19,1,0,0,0,0,16,22,45,4,6,34,19,15,9,24,28,30
9,1,0,17:58,6,0,16,28,0,0,0,0,0,16,63,23,28,33,34,8,12,14,18,28,30
10,1,1,17:58,4,1,24,8,3,0,0,0,0,24,20,28,33,34,0,8,12,14,18,28,30
11,1, ,17:28,3,1,0,0,0,0,0,0,0,24,20,28,33,34,0,8,12,14,18,28,30
12,1,1,17:28,1,1,28,0,3,58,3,0,0,24,20,28,33,34,0,8,12,14,18,28,30
13,1,1,17:28,4,1,24,19,3,0,0,0,0,24,20,28,33,34,0,19,12,15,9,26,30
14,1,1,17:25,1,1,26,0,3,55,3,0,0,24,20,28,33,34,0,19,12,15,9,26,30
15,1, ,17:23,3,1,0,0,0,0,0,0,0,24,20,28,33,34,0,19,12,15,9,26,30
16,1,1,17:23,1,1,15,0,3,13,3,0,0,24,20,28,33,34,0,19,12,15,9,26,30
17,1,-1,17:23,4,0,24,19,2,0,0,0,0,24,20,28,33,34,0,19,12,15,9,26,30
18,1,1,17:17,9,1,26,0,3,0,0,0,0,24,20,28,33,34,0,19,12,15,9,26,30
