# 2009/03/14 
# L.A , S.J 
# 1 , 2 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,26,17,24,2,6,31,11,14,24,3,22,20
2,1,0,20:00,4,0,26,11,1,0,0,0,0,26,17,24,2,6,31,11,14,24,3,22,20
3,1,0,19:46,5,1,24,6,1,0,0,0,0,26,17,24,2,6,31,11,14,24,3,22,20
4,1,0,19:35,5,1,24,2,3,0,0,0,0,26,17,24,2,6,31,11,14,24,3,22,20
5,1,0,19:18,8,0,17,0,3,0,0,0,0,28,17,24,8,27,31,11,14,24,3,22,20
6,1,0,19:12,1,0,17,0,3,25,1,0,0,28,17,24,8,27,31,11,14,24,3,22,20
7,1,0,19:12,5,1,14,24,2,0,0,0,0,28,17,24,8,27,31,11,14,24,3,22,20
8,1,0,19:01,5,1,3,24,2,0,0,0,0,28,17,24,8,27,31,11,14,24,3,22,20
9,1,0,18:59,5,0,28,24,1,0,0,0,0,28,17,24,8,27,31,11,14,24,3,22,20
10,1,0,18:46,1,1,37,0,3,50,2,0,0,28,19,5,8,27,31,8,14,9,21,37,20
11,1,0,18:38,5,1,37,5,1,0,0,0,0,28,19,2,5,6,31,8,9,29,21,37,20
12,1,0,18:28,9,1,37,0,2,0,0,0,0,28,19,2,5,6,31,8,9,29,21,37,20
13,1,0,18:27,5,0,19,37,3,0,0,0,0,28,19,2,5,6,31,8,9,29,21,37,20
14,1,0,18:20,1,0,6,0,3,35,1,0,0,11,19,2,5,6,31,8,9,29,21,37,20
15,1,0,17:46,1,1,4,0,3,49,1,0,0,11,54,23,2,6,31,12,19,16,4,44,20
16,1,0,17:38,5,1,16,11,3,0,0,0,0,11,54,23,2,6,31,12,19,16,4,44,20
17,1,0,17:11,5,0,21,64,2,0,0,0,0,7,33,41,3,21,31,59,45,64,3,22,20
18,1,0,16:54,1,1,22,0,3,39,2,0,0,7,33,41,3,21,31,59,45,64,3,22,20
19,1,0,15:44,1,0,17,0,3,17,1,0,0,11,17,24,2,27,31,11,9,29,21,37,20
20,1, ,15:43,3,1,0,0,0,0,0,0,0,11,17,24,2,27,31,11,9,29,21,37,20
21,1,0,15:43,4,1,11,19,2,0,0,0,0,11,54,23,2,27,31,12,19,16,4,44,20
22,1,0,15:34,1,1,12,0,3,46,1,0,0,11,54,23,2,27,31,12,19,16,4,44,20
23,1,0,14:55,9,1,4,0,1,0,0,0,0,28,54,23,6,8,31,8,9,29,4,44,20
24,1,0,14:51,9,0,6,0,1,0,0,0,0,28,54,23,6,8,31,8,9,29,3,22,20
25,1,0,14:50,7,1,8,0,3,40,1,0,0,28,54,23,6,8,31,8,9,29,3,22,20
26,1,0,14:32,2,1,9,0,3,24,5,8,22,28,54,23,6,8,31,8,9,29,3,22,20
27,1,0,14:32,4,1,7,64,1,0,0,0,0,7,33,41,3,21,31,59,45,64,21,37,20
28,1,0,14:14,5,1,59,3,3,0,0,0,0,7,33,41,3,21,31,59,45,64,21,37,20
29,1,0,14:12,1,1,45,0,3,32,1,0,0,7,33,41,3,21,31,59,45,64,21,37,20
30,1, ,14:09,3,1,0,0,0,0,0,0,0,7,33,41,3,21,31,59,45,64,21,37,20
31,1,0,14:09,6,1,59,41,3,0,0,0,0,7,33,41,3,21,31,59,45,64,21,37,20
32,1,1,14:09,6,0,41,59,2,0,0,0,0,7,33,41,3,21,31,45,64,21,37,20,0
33,1,0,14:09,4,1,7,11,3,0,0,0,0,7,33,24,3,21,31,11,14,24,21,37,20
34,1,0,13:56,5,0,3,24,2,0,0,0,0,7,33,24,3,21,31,11,14,24,21,37,20
35,1,0,13:55,7,1,24,0,3,24,5,0,0,7,33,24,3,21,31,11,14,24,21,37,20
36,1,0,13:34,5,0,33,11,3,0,0,0,0,7,33,24,3,21,31,11,14,24,21,37,20
37,1,0,13:29,8,0,21,0,2,0,0,0,0,7,33,24,3,21,31,8,14,24,4,44,20
38,1,0,13:16,9,1,20,0,2,0,0,0,0,28,19,5,6,8,31,8,9,29,4,44,20
39,1,0,13:02,9,1,9,0,1,0,0,0,0,28,19,5,6,8,31,8,9,29,4,44,20
40,1,0,12:56,13,0,5,29,2,0,0,0,0,28,19,5,6,8,31,8,9,29,4,44,20
41,1,0,12:44,9,1,44,0,2,0,0,0,0,28,19,5,6,8,31,8,9,29,4,44,20
42,1,0,12:36,13,0,8,29,2,0,0,0,0,28,19,5,6,8,31,8,9,29,4,44,20
43,1, ,12:32,3,0,0,0,0,0,0,0,0,28,19,5,6,8,31,8,9,29,4,44,20
44,1,0,12:32,4,1,26,11,1,0,0,0,0,26,17,24,2,27,31,11,14,24,3,22,20
45,1,0,12:12,13,0,27,22,2,0,0,0,0,26,17,24,2,27,31,11,14,24,3,22,20
46,1,0,11:54,9,1,24,0,3,0,0,0,0,26,17,24,2,27,31,11,14,24,22,44,20
47,1,0,11:44,6,0,24,44,1,0,0,0,0,11,54,24,2,27,31,12,19,16,22,44,20
48,1,-1,11:44,4,0,28,19,2,0,0,0,0,28,5,6,8,31,0,12,19,16,4,22,20
49,1,-1,11:11,13,1,4,28,2,0,0,0,0,28,5,6,8,31,0,12,19,16,4,22,20
50,1,1,11:08,7,1,4,0,3,34,2,0,0,28,5,6,8,31,0,12,19,16,4,22,20
51,1,1,10:40,9,1,9,0,3,0,0,0,0,26,17,2,21,31,0,8,14,9,29,22,20
52,1,-1,9:58,13,1,29,6,2,0,0,0,0,11,23,6,8,31,0,8,12,19,29,44,20
53,1,-1,9:52,13,1,8,8,2,0,0,0,0,11,23,6,8,31,0,8,12,19,29,44,20
54,1,0,9:43,13,1,44,11,2,0,0,0,0,11,23,24,6,8,31,8,12,19,29,44,20
55,1,0,9:07,5,0,5,24,3,0,0,0,0,28,19,3,5,27,31,11,24,45,21,37,20
56,1,0,9:03,7,1,45,0,3,45,6,0,0,28,19,3,5,27,31,11,24,45,22,37,20
57,1,0,9:02,5,0,27,45,2,0,0,0,0,28,19,3,5,27,31,11,24,45,22,37,20
58,1,0,8:50,5,1,45,5,3,0,0,0,0,28,19,3,5,27,31,11,24,45,3,22,20
59,1,0,8:45,1,1,22,0,3,21,1,0,0,28,19,3,5,27,31,11,24,45,3,22,20
60,1,0,8:20,9,1,29,0,1,0,0,0,0,7,33,23,2,21,31,8,9,29,3,22,20
61,1,0,8:13,5,0,33,9,3,0,0,0,0,7,33,23,2,21,31,8,9,29,3,22,20
62,1,0,8:05,5,0,2,3,2,0,0,0,0,7,33,23,2,21,31,8,9,29,3,22,20
63,1,0,7:56,5,0,7,44,3,0,0,0,0,7,33,23,2,21,31,12,19,16,22,44,20
64,1,0,7:41,5,0,17,44,3,0,0,0,0,26,17,24,6,8,31,12,19,16,22,44,20
65,1,0,7:34,1,1,16,0,3,26,1,0,0,26,17,24,6,8,31,12,19,16,4,44,20
66,1,0,7:22,9,1,19,0,3,0,0,0,0,26,17,24,6,8,31,12,19,16,4,44,20
67,1,0,7:13,1,0,17,0,3,41,1,0,0,26,17,24,3,27,31,12,19,16,4,44,20
68,1,0,6:47,9,0,26,0,2,0,0,0,0,26,17,24,3,27,31,11,14,24,21,37,20
69,1,0,5:48,5,0,2,29,2,0,0,0,0,11,54,23,2,21,31,9,29,64,3,22,20
70,1,0,5:42,5,1,64,21,3,0,0,0,0,11,54,23,2,21,31,9,29,64,3,22,20
71,1,0,5:24,5,1,64,11,2,0,0,0,0,11,54,23,2,6,31,24,45,64,3,22,20
72,1,0,4:59,5,0,6,64,1,0,0,0,0,7,33,19,6,8,31,24,45,64,4,44,20
73,1,0,4:53,5,1,45,33,3,0,0,0,0,7,33,19,6,8,31,24,45,64,4,44,20
74,1,0,4:26,5,0,3,16,2,0,0,0,0,7,23,3,5,27,31,12,19,16,21,37,20
75,1,0,4:03,5,1,16,28,1,0,0,0,0,28,23,3,5,27,31,12,19,16,21,37,20
76,1,0,3:46,9,1,19,0,3,0,0,0,0,28,23,3,5,21,31,12,19,14,21,37,20
77,1,0,3:42,5,1,19,5,1,0,0,0,0,28,23,3,5,21,31,12,19,14,21,37,20
78,1,0,3:27,8,0,24,0,1,0,0,0,0,26,17,24,2,21,31,11,14,24,3,22,20
79,1,0,3:09,1,0,2,0,3,65,2,0,0,26,17,24,2,21,31,11,14,24,3,22,20
80,1,0,2:13,1,1,8,0,3,32,3,0,0,11,54,23,2,21,31,8,9,29,4,44,20
81,1,0,2:06,5,0,8,9,2,0,0,0,0,28,23,5,6,8,31,8,9,29,4,44,20
82,1,0,1:23,13,1,12,3,2,0,0,0,0,7,33,3,5,27,31,12,45,64,22,37,20
83,1,0,1:09,5,1,64,27,3,0,0,0,0,7,33,3,5,27,31,12,45,64,22,37,20
84,1, ,1:00,3,0,0,0,0,0,0,0,0,7,33,24,3,27,31,11,14,24,22,37,20
85,1,0,1:00,4,0,26,11,1,0,0,0,0,26,17,24,2,21,31,11,14,24,3,22,20
86,1,0,0:20,1,1,22,0,3,58,1,0,0,28,17,24,2,21,31,11,14,24,22,44,20
87,1,0,0:18,1,1,11,0,3,7,4,0,0,28,17,24,2,21,31,11,14,24,22,44,20
88,1, ,0:00,11,0,0,0,0,0,0,0,0,28,24,2,5,21,31,8,9,29,22,44,20
89,2, ,20:00,10,0,0,0,0,0,0,0,0,26,17,24,3,27,31,11,14,24,3,22,20
90,2,0,20:00,4,0,26,11,1,0,0,0,0,26,17,24,3,27,31,11,14,24,3,22,20
91,2,0,19:43,13,0,24,22,2,0,0,0,0,26,17,24,3,27,31,11,14,24,3,22,20
92,2,0,19:21,1,0,24,0,3,9,2,0,0,26,17,24,3,27,31,11,14,24,3,22,20
93,2,0,19:19,2,0,17,0,3,10,2,24,26,26,17,24,3,27,31,11,14,24,3,22,20
94,2,0,19:19,4,0,28,8,1,0,0,0,0,28,19,5,6,8,31,8,9,29,4,44,20
95,2,0,18:57,7,0,19,0,3,29,2,0,0,28,19,5,6,8,31,8,9,29,4,44,20
96,2,0,18:48,1,1,4,0,3,45,2,0,0,28,19,5,6,8,31,8,9,29,4,44,20
97,2,0,18:42,7,1,29,0,3,27,2,0,0,28,19,5,6,8,31,8,9,29,4,44,20
98,2,0,18:14,8,1,4,0,3,0,0,0,0,28,19,5,6,8,31,19,9,29,4,44,20
99,2,0,18:08,1,1,4,0,3,45,2,0,0,28,19,5,6,8,31,19,16,9,4,44,20
100,2,0,18:06,1,1,44,0,3,24,1,0,0,28,19,5,6,8,31,19,16,9,4,44,20
