# 2009/03/17 
# S.J , PHX 
# 3 , 4 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,8,9,29,3,22,20,88,91,19,2,55,30
2,1,0,20:00,4,1,8,91,1,0,0,0,0,8,9,29,3,22,20,88,91,19,2,55,30
3,1,0,19:41,1,1,19,0,3,33,1,0,0,8,9,29,3,22,20,88,91,19,2,55,30
4,1,0,19:39,2,1,91,0,3,11,1,19,88,8,9,29,3,22,20,88,91,19,2,55,30
5,1,0,19:39,4,1,19,11,1,0,0,0,0,12,19,16,21,37,20,11,34,16,4,44,30
6,1, ,18:40,3,1,0,0,0,0,0,0,0,11,14,24,4,44,20,15,8,89,3,45,30
7,1,0,18:40,4,1,11,15,2,0,0,0,0,11,14,24,4,44,20,15,8,89,3,45,30
8,1,0,18:11,13,0,24,15,2,0,0,0,0,11,14,24,4,44,20,15,8,89,3,45,30
9,1,0,18:06,9,0,11,0,3,0,0,0,0,11,14,24,4,44,20,15,8,89,3,45,30
10,1,0,17:30,5,1,55,64,2,0,0,0,0,59,45,64,3,22,20,22,29,17,2,55,30
11,1,0,17:24,13,0,3,55,2,0,0,0,0,59,45,64,3,22,20,22,29,17,2,55,30
12,1,0,17:12,5,1,55,22,2,0,0,0,0,59,45,64,3,22,20,22,29,17,2,55,30
13,1,0,16:48,1,0,37,0,3,56,2,0,0,8,9,29,22,37,20,88,91,19,4,44,30
14,1,0,16:43,1,0,9,0,3,18,6,0,0,8,9,29,22,37,20,88,91,19,4,44,30
15,1,0,16:41,1,0,29,0,3,15,1,0,0,8,9,29,22,37,20,88,91,19,4,44,30
16,1, ,16:41,3,1,0,0,0,0,0,0,0,8,9,29,22,37,20,88,91,19,4,44,30
17,1,0,16:41,4,0,19,11,3,0,0,0,0,12,19,16,21,37,20,11,34,16,4,44,30
18,1,0,16:20,5,0,19,4,1,0,0,0,0,12,19,16,21,37,20,11,34,16,4,44,30
19,1,0,16:13,5,1,16,21,3,0,0,0,0,12,19,16,21,37,20,11,34,16,4,44,30
20,1,0,15:41,1,1,15,0,3,10,6,0,0,11,12,16,4,37,20,15,8,89,3,45,30
