# 2009/03/29 
# MIN , EDM 
# 3 , 2 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,9,10,15,3,41,32,10,21,83,24,44,35
2,1,0,20:00,4,1,9,10,1,0,0,0,0,9,10,15,3,41,32,10,21,83,24,44,35
3,1,0,19:14,9,0,41,0,2,0,0,0,0,51,11,20,5,41,32,19,89,27,37,77,35
4,1,0,19:06,9,0,5,0,2,0,0,0,0,51,11,20,5,41,32,19,89,27,37,77,35
5,1,0,19:00,13,0,11,77,2,0,0,0,0,51,11,20,5,55,32,19,89,27,37,77,35
6,1,0,18:13,5,0,41,13,2,0,0,0,0,25,22,19,36,41,32,13,34,18,5,43,35
7,1,0,18:11,5,1,18,41,3,0,0,0,0,25,22,19,36,41,32,13,34,18,5,43,35
8,1,0,17:42,8,0,47,0,2,0,0,0,0,39,49,12,41,47,32,51,46,22,37,77,35
9,1,0,17:36,5,0,12,22,2,0,0,0,0,39,49,12,3,47,32,51,46,22,37,77,35
10,1,0,16:45,9,0,3,0,2,0,0,0,0,9,10,15,3,55,32,10,21,83,24,44,35
11,1,0,16:37,13,1,44,15,2,0,0,0,0,9,10,15,3,55,32,10,21,83,24,44,35
12,1,0,16:20,7,0,51,0,3,44,1,0,0,51,11,20,5,47,32,19,89,27,37,77,35
13,1,0,16:09,1,1,27,0,3,26,3,0,0,51,11,20,5,47,32,19,89,27,37,77,35
14,1,0,15:47,1,0,22,0,3,39,1,0,0,51,11,22,36,41,32,19,89,27,37,77,35
15,1, ,15:46,3,8,0,0,0,0,0,0,0,51,11,22,36,41,32,19,89,27,37,77,35
16,1,0,15:46,4,0,25,10,3,0,0,0,0,25,22,19,36,41,32,10,13,34,5,43,35
17,1,0,15:40,1,0,41,0,3,64,1,0,0,25,22,19,36,41,32,10,13,34,5,43,35
18,1,0,15:10,1,1,34,0,3,12,5,0,0,25,22,19,36,41,32,13,34,18,5,43,35
19,1,0,15:02,6,1,18,25,3,0,0,0,0,25,22,19,36,41,32,13,34,18,5,43,35
20,1,-1,15:02,4,1,51,51,2,0,0,0,0,51,10,15,3,47,32,10,51,24,44,35,0
21,1,0,12:59,2,0,15,0,3,16,6,10,3,51,10,15,3,41,32,19,51,18,24,44,35
22,1,0,12:59,4,1,25,10,1,0,0,0,0,25,22,19,5,55,32,10,21,83,5,43,35
23,1,0,12:30,1,1,10,0,3,37,3,0,0,25,22,19,5,55,32,10,21,83,5,43,35
24,1,0,12:25,1,1,21,0,3,37,1,0,0,25,22,19,5,55,32,10,21,83,5,43,35
25,1,0,12:18,9,0,55,0,2,0,0,0,0,25,22,19,5,55,32,10,21,83,5,43,35
26,1,0,12:17,7,1,83,0,3,24,6,0,0,25,22,19,5,55,32,10,21,83,5,43,35
27,1,0,12:12,1,1,21,0,3,36,1,0,0,25,22,19,5,55,32,10,21,83,5,43,35
28,1,0,11:50,1,1,89,0,3,24,1,0,0,51,11,20,3,47,32,19,89,27,37,77,35
29,1,0,11:21,1,0,11,0,3,42,2,0,0,51,11,20,36,41,32,19,89,27,37,77,35
30,1,0,11:14,5,0,20,19,3,0,0,0,0,51,11,20,36,41,32,19,89,27,37,77,35
31,1,0,11:08,2,0,41,0,3,61,2,11,51,51,11,20,36,41,32,19,89,27,37,77,35
32,1,0,11:08,4,1,49,13,1,0,0,0,0,39,49,12,36,41,32,13,34,18,5,43,35
33,1,0,10:49,5,1,43,39,2,0,0,0,0,39,49,12,36,41,32,13,34,18,5,43,35
34,1,0,10:38,5,1,43,12,2,0,0,0,0,49,10,12,36,41,32,13,34,18,5,43,35
35,1,0,10:21,8,0,41,0,2,0,0,0,0,49,10,15,36,41,32,13,21,34,24,44,35
36,1,0,9:50,9,0,5,0,2,0,0,0,0,9,10,15,3,5,32,10,21,83,24,44,35
37,1,0,9:47,13,1,24,10,2,0,0,0,0,9,10,15,3,5,32,10,21,83,24,44,35
38,1, ,9:47,3,0,0,0,0,0,0,0,0,9,10,15,3,5,32,10,21,83,24,44,35
39,1,0,9:47,4,1,9,10,3,0,0,0,0,9,10,15,5,55,32,10,21,83,24,44,35
40,1,0,9:36,13,1,24,5,2,0,0,0,0,9,10,15,5,55,32,10,21,83,24,44,35
41,1,0,9:29,1,0,10,0,3,36,1,0,0,9,10,15,5,55,32,10,21,83,24,44,35
42,1,0,9:17,1,1,10,0,3,34,3,0,0,9,10,15,5,55,32,10,21,83,24,44,35
43,1,0,8:54,5,0,22,51,2,0,0,0,0,25,22,19,36,41,32,51,46,22,5,43,35
44,1,0,8:47,5,1,22,41,3,0,0,0,0,25,22,19,36,41,32,51,46,22,5,43,35
45,1,0,8:26,6,0,36,46,1,0,0,0,0,51,11,20,36,41,32,89,27,46,37,77,35
46,1,1,8:26,6,1,46,36,1,0,0,0,0,51,11,20,41,32,0,89,27,46,37,77,35
47,1, ,8:26,3,9,0,0,0,0,0,0,0,51,11,20,41,32,0,89,27,37,77,35,0
48,1,0,8:26,4,1,51,89,2,0,0,0,0,51,11,20,3,5,32,19,89,27,37,77,35
49,1, ,8:12,3,3,0,0,0,0,0,0,0,51,11,20,3,5,32,19,89,27,37,77,35
50,1,0,8:12,4,0,9,10,1,0,0,0,0,9,10,15,3,5,32,10,21,83,24,44,35
51,1,0,7:51,13,1,10,5,2,0,0,0,0,9,10,15,3,5,32,10,21,83,24,44,35
52,1,0,6:22,13,1,77,41,2,0,0,0,0,49,11,12,3,41,32,13,34,18,37,77,35
53,1,0,6:20,5,1,34,3,3,0,0,0,0,49,11,12,3,41,32,13,34,18,37,77,35
54,1,0,6:15,5,1,13,49,3,0,0,0,0,49,11,12,3,41,32,13,34,18,37,77,35
55,1, ,6:10,3,2,0,0,0,0,0,0,0,49,11,12,3,41,32,13,34,18,37,77,35
56,1,0,6:10,4,1,49,51,1,0,0,0,0,39,49,12,5,55,32,51,83,22,5,43,35
57,1,0,5:54,6,0,12,83,2,0,0,0,0,39,49,12,5,55,32,51,83,22,5,43,35
58,1, ,5:54,3,9,0,0,0,0,0,0,0,39,49,5,55,32,0,51,83,22,5,43,35
59,1,-1,5:54,4,0,25,27,2,0,0,0,0,25,19,5,55,32,0,89,27,83,37,44,35
60,1,1,5:49,8,1,89,0,3,0,0,0,0,25,19,5,55,32,0,89,27,83,37,44,35
61,1,1,5:29,9,1,83,0,3,0,0,0,0,25,19,5,55,32,0,89,27,83,37,44,35
62,1,1,5:03,7,1,44,0,3,64,2,0,0,20,22,3,41,32,0,89,27,83,37,44,35
63,1, ,5:02,3,4,0,0,0,0,0,0,0,20,22,3,41,32,0,89,27,83,37,44,35
64,1,-1,5:02,4,0,9,10,1,0,0,0,0,9,20,3,41,32,0,10,13,19,21,77,35
65,1, ,3:33,3,2,0,0,0,0,0,0,0,51,11,12,3,41,32,13,34,18,24,44,35
66,1,0,3:33,4,0,51,10,1,0,0,0,0,51,10,15,5,47,32,10,21,83,24,44,35
67,1,0,3:09,8,0,5,0,2,0,0,0,0,51,10,15,5,55,32,10,21,83,24,44,35
68,1,0,3:04,1,0,10,0,3,48,3,0,0,9,10,15,5,55,32,10,21,83,24,44,35
69,1, ,3:03,3,1,0,0,0,0,0,0,0,9,10,15,5,55,32,10,21,83,24,44,35
70,1,0,3:03,4,0,9,89,3,0,0,0,0,9,11,20,41,47,32,19,89,27,37,77,35
71,1,0,2:57,7,0,9,0,3,42,3,0,0,9,11,20,41,47,32,19,89,27,37,77,35
72,1,0,2:27,13,0,9,77,2,0,0,0,0,9,11,22,5,55,32,19,89,27,37,77,35
73,1,0,2:23,8,0,11,0,3,0,0,0,0,9,11,22,5,55,32,19,89,22,37,77,35
74,1,0,2:22,9,0,11,0,3,0,0,0,0,9,11,22,5,55,32,19,89,22,37,77,35
75,1,0,2:11,5,1,22,55,3,0,0,0,0,25,22,19,5,55,32,51,46,22,5,43,35
76,1, ,1:59,3,3,0,0,0,0,0,0,0,25,22,19,36,55,32,51,46,22,5,43,35
77,1,0,1:59,4,0,39,89,1,0,0,0,0,39,49,12,36,55,32,89,21,83,5,43,35
78,1,0,1:47,9,1,35,0,2,0,0,0,0,39,49,15,5,55,32,89,21,83,5,43,35
79,1,0,1:29,1,1,21,0,3,51,3,0,0,39,49,15,5,55,32,89,21,83,5,43,35
80,1,0,1:03,1,0,10,0,3,50,2,0,0,9,10,15,3,41,32,19,89,27,24,44,35
81,1,0,0:34,13,0,9,24,2,0,0,0,0,9,10,22,3,41,32,10,19,27,24,44,35
82,1,0,0:23,7,1,10,0,3,45,2,0,0,9,10,22,3,41,32,10,19,27,37,77,35
83,1,0,0:12,5,0,22,37,3,0,0,0,0,25,22,19,5,55,32,10,34,18,37,77,35
84,1,0,0:01,13,1,10,19,2,0,0,0,0,25,22,19,5,55,32,10,34,18,37,77,35
85,1, ,0:00,11,0,0,0,0,0,0,0,0,25,22,19,5,55,32,10,34,18,37,77,35
86,2, ,20:00,10,0,0,0,0,0,0,0,0,9,10,15,3,41,32,0,0,0,0,0,0
87,2,0,20:00,4,0,9,10,1,0,0,0,0,9,10,15,3,41,32,10,21,83,24,44,35
88,2,0,19:41,6,0,9,10,2,0,0,0,0,9,10,15,3,41,32,10,21,83,24,44,35
89,2,-1,19:41,4,0,25,27,2,0,0,0,0,25,19,5,55,32,0,89,27,83,37,44,35
90,2,-1,19:10,9,0,19,0,2,0,0,0,0,25,19,5,55,32,0,89,27,83,37,44,35
91,2,1,19:02,1,1,37,0,3,58,1,0,0,25,19,5,55,32,0,89,27,83,37,44,35
92,2, ,19:01,3,1,0,0,0,0,0,0,0,25,19,5,55,32,0,89,27,83,37,44,35
93,2,-1,19:01,4,0,51,89,2,0,0,0,0,51,20,3,41,32,0,89,27,83,37,44,35
94,2,-1,18:05,13,1,77,22,2,0,0,0,0,25,22,3,55,32,0,10,13,19,21,77,35
95,2,1,17:56,1,1,19,0,3,27,3,0,0,25,22,3,55,32,0,10,13,19,21,77,35
96,2, ,17:55,3,1,0,0,0,0,0,0,0,25,22,3,55,32,0,10,13,19,21,77,35
97,2,1,17:55,6,1,13,3,3,0,0,0,0,25,22,3,55,32,0,10,13,19,21,77,35
98,2,0,17:55,6,0,3,13,2,0,0,0,0,25,22,3,55,32,0,10,13,19,21,77,35
99,2,1,17:55,4,1,51,10,3,0,0,0,0,51,20,5,41,32,0,10,21,83,37,44,35
100,2,1,17:45,4,1,51,10,2,0,0,0,0,51,20,5,41,32,0,10,21,83,37,44,35
101,2,1,17:45,6,1,37,51,3,0,0,0,0,51,20,5,41,32,0,10,21,83,37,44,35
102,2,-1,17:16,13,0,10,44,2,0,0,0,0,51,10,15,5,47,32,10,18,24,44,35,0
103,2,-1,17:02,1,1,10,0,3,54,3,0,0,51,10,15,5,47,32,10,18,24,43,35,0
104,2,-1,16:43,1,1,19,0,3,28,6,0,0,9,10,11,41,47,32,19,34,43,77,35,0
105,2,1,15:54,7,0,25,0,3,40,3,0,0,9,25,11,20,41,32,10,18,43,77,35,0
106,2,1,15:50,7,0,11,0,3,19,1,0,0,9,25,11,20,41,32,10,18,43,77,35,0
107,2, ,15:35,3,0,0,0,0,0,0,0,0,49,22,19,5,36,32,89,21,83,24,44,35
108,2,0,15:35,4,1,49,89,2,0,0,0,0,49,22,19,5,55,32,89,21,83,24,44,35
109,2,0,15:14,1,0,49,0,3,29,3,0,0,49,22,19,5,55,32,89,21,83,24,44,35
110,2,0,14:54,1,0,49,0,3,29,3,0,0,49,22,19,36,41,32,89,83,22,44,77,35
111,2,0,14:24,7,0,51,0,3,22,3,0,0,39,51,12,36,41,32,51,46,22,5,43,35
112,2,0,14:13,9,0,41,0,2,0,0,0,0,39,51,12,36,41,32,51,46,22,37,77,35
113,2,0,13:49,13,1,46,41,2,0,0,0,0,39,51,12,36,41,32,51,27,46,37,77,35
114,2,0,13:34,1,1,51,0,3,44,2,0,0,49,11,12,41,47,32,19,51,27,24,37,35
115,2,0,13:29,1,1,19,0,3,45,1,0,0,49,11,20,41,47,32,10,19,27,24,37,35
116,2,0,13:17,7,0,11,0,3,40,2,0,0,49,11,20,41,47,32,10,19,27,24,44,35
117,2,0,13:09,9,1,27,0,2,0,0,0,0,49,11,20,3,47,32,10,19,27,24,44,35
118,2,0,13:02,8,0,20,0,3,0,0,0,0,9,11,20,3,47,32,10,19,27,24,44,35
119,2,0,12:57,1,0,3,0,3,43,2,0,0,9,11,20,3,47,32,10,19,27,24,44,35
120,2,0,12:32,7,1,18,0,3,57,2,0,0,9,10,15,3,36,32,13,34,18,37,44,35
121,2,0,12:18,5,1,13,9,2,0,0,0,0,9,10,15,36,55,32,13,34,18,37,77,35
122,2,0,11:52,5,0,36,37,2,0,0,0,0,9,10,15,36,55,32,13,21,34,37,43,35
123,2,0,11:44,7,1,34,0,3,54,2,0,0,9,10,15,36,55,32,13,21,34,37,43,35
124,2,0,11:05,9,1,44,0,2,0,0,0,0,25,22,19,3,5,32,10,21,83,24,44,35
125,2,0,11:03,13,0,22,24,2,0,0,0,0,25,22,19,3,5,32,10,21,83,24,44,35
126,2,0,10:45,7,1,44,0,3,60,2,0,0,25,22,19,3,5,32,10,21,83,24,44,35
