# 2009/03/30 
# N.J , NYR 
# 0 , 3 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,11,16,12,5,27,30,19,24,16,6,53,30
2,1,0,20:00,4,0,11,19,1,0,0,0,0,11,16,12,5,27,30,19,24,16,6,53,30
3,1, ,19:46,3,6,0,0,0,0,0,0,0,11,16,12,5,27,30,19,24,16,6,53,30
4,1,0,19:46,4,0,11,19,3,0,0,0,0,11,16,12,5,27,30,19,24,16,6,53,30
5,1,0,19:40,7,0,5,0,3,34,1,0,0,11,16,12,5,27,30,19,24,16,6,53,30
6,1,0,19:26,5,0,27,16,2,0,0,0,0,11,16,12,5,27,30,19,24,16,6,53,30
7,1,0,19:21,5,1,24,5,3,0,0,0,0,11,16,12,5,27,30,19,24,16,6,53,30
8,1,0,19:07,1,0,15,0,1,71,2,0,0,19,15,9,5,27,30,23,13,6,18,53,30
9,1,0,18:57,13,1,80,29,2,0,0,0,0,19,15,9,7,29,30,23,80,13,5,18,30
10,1,0,18:49,13,0,9,5,2,0,0,0,0,19,15,9,7,29,30,23,80,13,5,18,30
11,1,0,18:32,9,1,80,0,2,0,0,0,0,19,15,9,7,29,30,23,80,13,5,18,30
12,1,0,18:27,1,0,15,0,3,48,2,0,0,19,15,9,7,29,30,23,80,13,5,18,30
13,1,0,18:02,5,1,20,24,3,0,0,0,0,8,14,26,24,28,30,17,20,91,27,38,30
14,1,0,17:54,8,1,91,0,3,0,0,0,0,8,14,26,24,28,30,17,20,91,27,38,30
15,1,0,17:53,1,1,91,0,3,13,1,0,0,8,14,26,24,28,30,17,20,91,27,38,30
16,1,0,17:46,1,0,26,0,3,21,1,0,0,8,14,26,24,28,30,17,20,91,27,38,30
17,1,0,17:31,5,0,26,20,1,0,0,0,0,8,23,26,5,27,30,19,20,24,27,38,30
18,1, ,17:28,3,2,0,0,0,0,0,0,0,8,23,26,5,27,30,19,20,24,27,38,30
19,1,0,17:28,4,1,23,19,1,0,0,0,0,17,23,18,24,28,30,19,24,16,6,53,30
20,1,0,17:12,5,1,24,28,3,0,0,0,0,17,23,18,24,28,30,19,24,16,6,53,30
21,1,0,16:59,5,0,17,16,2,0,0,0,0,17,23,18,24,28,30,19,24,16,6,53,30
22,1,0,16:41,1,1,19,0,3,15,6,0,0,16,17,18,5,27,30,19,80,16,27,38,30
23,1,0,16:39,5,1,19,16,3,0,0,0,0,16,17,18,5,27,30,19,80,16,27,38,30
24,1,0,16:28,1,1,16,0,3,5,4,0,0,16,17,12,5,27,30,19,80,16,27,38,30
25,1,0,16:25,5,0,27,16,2,0,0,0,0,16,17,12,5,27,30,19,80,16,27,38,30
26,1,0,16:23,1,1,80,0,3,30,2,0,0,16,17,12,5,27,30,19,80,16,27,38,30
27,1,0,15:51,8,0,7,0,2,0,0,0,0,16,19,12,7,29,30,23,80,13,5,18,30
28,1,0,15:41,5,1,80,12,2,0,0,0,0,16,19,12,7,29,30,23,80,13,5,18,30
29,1,0,15:26,1,1,17,0,3,11,5,0,0,16,19,9,7,29,30,17,13,91,5,18,30
30,1, ,15:26,3,1,0,0,0,0,0,0,0,16,19,9,7,29,30,17,13,91,5,18,30
31,1,0,15:26,4,1,19,17,3,0,0,0,0,19,15,9,24,28,30,17,20,91,5,18,30
32,1,0,15:15,5,0,24,5,2,0,0,0,0,19,15,9,24,28,30,17,20,91,5,18,30
33,1,0,14:56,6,0,19,18,3,0,0,0,0,19,15,9,24,28,30,17,20,91,5,18,30
34,1,-1,14:56,4,0,11,23,2,0,0,0,0,11,26,5,7,30,0,23,80,13,6,53,30
35,1,-1,14:03,5,0,7,16,2,0,0,0,0,14,15,5,7,30,0,23,13,16,6,38,30
36,1,-1,13:45,5,0,29,19,2,0,0,0,0,11,18,24,29,30,0,19,24,16,6,38,30
37,1, ,13:35,3,4,0,0,0,0,0,0,0,11,18,24,29,30,0,19,24,16,27,38,30
38,1,-1,13:35,13,1,16,29,2,0,0,0,0,11,18,24,29,30,0,19,24,16,27,38,30
39,1,1,13:35,4,1,18,19,3,0,0,0,0,11,18,5,7,30,0,19,24,16,27,38,30
40,1,1,13:29,1,1,19,0,3,23,2,0,0,11,18,5,7,30,0,19,24,16,27,38,30
41,1,-1,13:09,1,0,7,0,3,29,3,0,0,11,18,5,7,30,0,19,24,16,27,38,30
42,1,1,12:59,1,1,24,0,3,16,1,0,0,15,9,5,7,30,0,19,24,16,5,18,30
43,1,0,12:34,5,0,15,20,1,0,0,0,0,19,15,9,5,28,30,17,20,91,5,18,30
44,1,0,12:22,5,0,19,18,3,0,0,0,0,19,15,9,24,28,30,17,20,91,5,18,30
