# 2009/04/01 
# N.J , PIT 
# 1 , 6 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,11,18,20,7,29,30,11,48,26,44,55,29
2,1,0,20:00,4,1,11,11,1,0,0,0,0,11,18,20,7,29,30,11,48,26,44,55,29
3,1,0,19:49,1,1,48,0,3,63,2,0,0,11,18,20,28,29,30,11,48,26,44,55,29
4,1,0,19:44,7,1,26,0,3,24,1,0,0,11,18,20,28,29,30,11,48,26,44,55,29
5,1,0,19:33,5,1,48,20,3,0,0,0,0,11,18,20,28,29,30,11,48,26,44,55,29
6,1,0,19:15,1,1,48,0,3,31,1,0,0,8,12,14,24,28,30,11,48,26,2,4,29
7,1,0,18:20,1,1,87,0,3,35,3,0,0,19,15,9,7,29,30,87,13,14,7,58,29
8,1,0,17:22,5,1,44,23,1,0,0,0,0,16,17,23,24,28,30,25,27,9,44,58,29
9,1,0,16:51,7,1,48,0,3,47,1,0,0,16,18,20,5,27,30,11,48,9,2,4,29
10,1,0,16:45,13,1,2,18,2,0,0,0,0,11,18,20,5,27,30,11,48,9,2,4,29
11,1,0,16:40,1,0,18,0,3,26,1,0,0,11,18,20,5,27,30,11,48,9,2,4,29
12,1,0,16:38,6,0,11,9,3,0,0,0,0,11,18,20,5,27,30,11,48,9,2,4,29
13,1,-1,16:38,4,0,19,87,2,0,0,0,0,19,15,5,7,30,0,71,87,14,55,58,29
14,1,-1,16:05,9,0,14,0,2,0,0,0,0,14,18,5,7,30,0,71,87,14,55,58,29
15,1,1,16:03,9,1,55,0,3,0,0,0,0,14,18,5,7,30,0,71,87,14,55,58,29
16,1,-1,16:02,1,0,14,0,1,82,2,0,0,14,18,5,7,30,0,71,87,14,55,58,29
17,1,1,15:30,9,1,71,0,3,0,0,0,0,19,20,24,29,30,0,71,87,13,55,58,29
18,1,1,15:00,1,1,17,0,3,44,2,0,0,14,15,24,29,30,0,11,13,17,7,55,29
19,1,1,14:53,7,1,55,0,3,55,2,0,0,14,15,24,29,30,0,11,13,17,7,55,29
20,1,-1,14:43,5,0,24,11,2,0,0,0,0,14,15,24,29,30,0,11,13,17,7,55,29
21,1, ,14:33,3,10,0,0,0,0,0,0,0,11,12,9,5,27,30,11,13,17,7,55,29
22,1,0,14:33,4,0,16,25,1,0,0,0,0,16,17,23,24,28,30,25,24,26,2,4,29
23,1,0,14:18,5,1,2,23,2,0,0,0,0,16,17,23,24,28,30,25,24,26,2,4,29
24,1,0,14:05,2,1,24,0,3,12,6,25,2,16,17,23,24,28,30,25,24,26,2,4,29
25,1,0,14:05,4,1,19,87,1,0,0,0,0,19,15,9,5,27,30,87,13,14,2,4,29
26,1,0,13:44,5,1,4,9,2,0,0,0,0,19,15,9,5,27,30,87,13,14,2,4,29
27,1,0,13:29,2,1,13,0,3,20,3,14,29,19,15,9,5,27,30,87,13,14,2,4,29
28,1,0,13:29,4,1,8,11,1,0,0,0,0,8,12,14,7,29,30,11,48,26,44,55,29
29,1, ,13:23,3,0,0,0,0,0,0,0,0,8,12,14,7,29,30,11,48,26,44,55,29
30,1,0,13:23,4,1,8,11,1,0,0,0,0,8,12,14,24,28,30,11,48,26,44,55,29
31,1,0,13:12,1,1,55,0,3,52,2,0,0,8,12,14,24,28,30,11,48,26,44,55,29
32,1,0,12:29,1,0,20,0,3,41,1,0,0,11,18,20,24,29,30,71,17,24,7,58,29
33,1,0,12:15,1,0,18,0,3,17,3,0,0,11,18,20,7,29,30,71,17,24,7,58,29
34,1, ,11:58,3,2,0,0,0,0,0,0,0,16,23,20,7,29,30,71,17,24,55,58,29
35,1,0,11:58,4,1,16,25,1,0,0,0,0,16,23,9,7,29,30,25,27,9,44,55,29
36,1,0,11:38,5,0,16,25,1,0,0,0,0,16,23,9,28,29,30,25,27,9,44,55,29
37,1, ,11:36,3,2,0,0,0,0,0,0,0,16,23,9,28,29,30,25,27,9,44,55,29
38,1,0,11:36,4,1,8,87,1,0,0,0,0,8,12,14,5,27,30,87,13,14,7,58,29
39,1,0,11:24,8,0,5,0,2,0,0,0,0,8,12,14,5,27,30,87,13,14,7,58,29
40,1,0,11:13,13,0,12,87,2,0,0,0,0,8,12,14,5,27,30,87,13,14,7,58,29
41,1,0,11:02,5,1,58,12,2,0,0,0,0,8,12,14,5,27,30,87,13,14,7,58,29
42,1,0,10:55,5,1,87,14,2,0,0,0,0,8,12,14,5,27,30,87,13,14,7,58,29
43,1,0,10:26,5,1,26,11,1,0,0,0,0,11,18,20,24,28,30,11,13,26,2,4,29
44,1, ,10:25,3,2,0,0,0,0,0,0,0,11,18,20,24,28,30,11,13,26,2,4,29
45,1,0,10:25,4,1,11,11,1,0,0,0,0,11,18,20,24,28,30,11,48,26,2,4,29
46,1,0,10:17,1,0,18,0,3,28,6,0,0,11,18,20,24,28,30,11,48,26,2,4,29
47,1,0,10:07,13,1,26,24,2,0,0,0,0,11,18,20,24,28,30,11,48,26,2,4,29
48,1,0,9:47,5,0,11,4,3,0,0,0,0,11,23,9,7,29,30,11,48,26,2,4,29
49,1,0,8:40,1,0,8,0,3,43,1,0,0,8,12,14,5,27,30,71,13,14,55,58,29
50,1,0,8:38,2,0,14,0,3,11,6,8,5,8,12,14,5,27,30,71,13,14,55,58,29
51,1,0,8:38,4,0,8,87,1,0,0,0,0,8,12,14,5,27,30,87,13,14,7,58,29
52,1,0,8:28,5,1,87,8,2,0,0,0,0,8,12,14,5,27,30,87,13,14,7,58,29
53,1,0,8:09,5,0,8,7,2,0,0,0,0,8,12,14,5,27,30,87,13,14,7,58,29
54,1,0,7:17,7,0,11,0,3,33,3,0,0,11,18,20,24,28,30,25,27,9,44,55,29
55,1,0,6:42,1,0,9,0,3,50,2,0,0,19,15,9,7,29,30,11,48,26,2,4,29
56,1,0,6:36,1,0,7,0,3,35,6,0,0,19,15,9,7,29,30,11,48,26,2,4,29
57,1,0,6:26,13,1,11,7,2,0,0,0,0,19,15,9,7,29,30,11,48,26,2,4,29
58,1,0,5:53,5,1,11,29,3,0,0,0,0,19,15,9,7,29,30,11,48,26,2,4,29
59,1,0,5:20,5,1,24,14,1,0,0,0,0,8,12,14,5,27,30,71,17,24,44,55,29
60,1, ,4:53,3,2,0,0,0,0,0,0,0,16,23,9,24,28,30,71,17,24,44,55,29
61,1,0,4:53,4,0,16,71,3,0,0,0,0,16,23,9,24,28,30,71,17,24,44,55,29
62,1,0,4:50,13,0,28,24,2,0,0,0,0,16,23,9,24,28,30,71,17,24,44,55,29
63,1, ,4:49,3,0,0,0,0,0,0,0,0,16,23,9,24,28,30,71,17,24,44,55,29
64,1,0,4:49,4,1,11,87,2,0,0,0,0,11,18,20,7,28,30,87,13,14,7,58,29
65,1,0,4:28,5,0,20,7,3,0,0,0,0,11,18,20,7,29,30,87,13,14,7,58,29
66,1,0,4:13,5,1,58,20,2,0,0,0,0,11,18,20,7,29,30,87,13,14,7,58,29
67,1,0,4:07,5,0,18,58,3,0,0,0,0,11,18,20,7,29,30,87,13,14,7,58,29
68,1, ,4:07,3,2,0,0,0,0,0,0,0,11,18,20,7,29,30,87,13,14,7,58,29
69,1,0,4:07,4,1,19,71,1,0,0,0,0,19,15,9,24,28,30,71,17,24,2,4,29
70,1,0,3:56,1,1,4,0,3,57,2,0,0,19,15,9,24,28,30,71,17,24,2,4,29
71,1,0,3:39,1,0,15,0,3,35,1,0,0,19,15,9,24,28,30,71,17,24,2,4,29
72,1,0,3:10,6,0,15,2,3,0,0,0,0,8,15,9,5,27,30,71,17,24,2,4,29
73,1, ,3:10,3,9,0,0,0,0,0,0,0,8,9,5,27,30,0,71,17,24,2,4,29
74,1,1,3:10,4,1,11,87,3,0,0,0,0,11,14,5,7,30,0,71,87,14,55,58,29
75,1,1,3:00,1,1,87,0,3,11,6,0,0,11,14,5,7,30,0,71,87,14,55,58,29
76,1,1,2:49,2,1,71,0,3,25,1,55,0,11,14,5,7,30,0,71,87,14,55,58,29
77,1,0,2:49,4,1,8,11,1,0,0,0,0,8,12,14,24,28,30,11,48,26,44,55,29
78,1,0,2:31,5,0,8,48,2,0,0,0,0,8,12,14,24,28,30,11,48,26,44,55,29
79,1,0,2:24,8,1,48,0,3,0,0,0,0,8,12,14,24,28,30,11,48,26,44,55,29
80,1,0,2:22,13,1,48,24,2,0,0,0,0,8,12,14,24,28,30,11,48,26,44,55,29
81,1,0,1:58,9,1,44,0,3,0,0,0,0,11,18,20,7,29,30,11,48,26,4,44,29
82,1,0,1:48,13,1,25,7,2,0,0,0,0,11,18,20,7,29,30,25,27,24,4,44,29
83,1,0,1:44,13,1,24,7,2,0,0,0,0,11,18,20,7,29,30,25,27,24,4,44,29
84,1,0,1:22,8,0,11,0,1,0,0,0,0,11,18,20,7,29,30,25,27,24,2,4,29
85,1,0,1:06,5,1,24,27,3,0,0,0,0,19,15,9,5,27,30,25,27,24,7,44,29
86,1,0,0:48,7,1,24,0,3,40,3,0,0,19,15,9,5,27,30,25,27,24,7,44,29
87,1,0,0:30,6,1,44,8,1,0,0,0,0,8,12,14,24,28,30,87,13,14,7,44,29
88,1,1,0:30,6,0,8,44,3,0,0,0,0,8,12,14,24,28,30,87,13,14,7,29,0
89,1,0,0:30,6,1,44,17,2,0,0,0,0,12,14,24,28,30,0,87,13,14,7,29,0
90,1,-1,0:30,4,1,19,11,1,0,0,0,0,19,12,15,9,7,30,11,24,2,4,29,0
91,1,-1,0:07,1,1,24,0,3,16,5,0,0,19,12,15,9,7,30,11,24,2,4,29,0
92,1, ,0:00,11,0,0,0,0,0,0,0,0,19,12,15,9,7,30,11,24,2,4,29,0
93,2, ,20:00,10,0,0,0,0,0,0,0,0,19,12,15,9,7,30,11,24,2,4,29,0
94,2,1,20:00,4,0,19,11,1,0,0,0,0,19,12,15,9,7,30,11,24,2,4,29,0
95,2,-1,19:27,8,1,4,0,3,0,0,0,0,19,12,15,9,7,30,11,24,2,4,29,0
96,2,-1,19:02,1,1,25,0,3,19,6,0,0,19,15,9,7,28,30,25,9,7,55,29,0
97,2,1,18:57,5,0,15,25,3,0,0,0,0,19,15,9,7,28,30,25,9,7,55,29,0
98,2,-1,18:34,8,1,71,0,3,0,0,0,0,14,23,18,27,28,30,71,24,7,55,29,0
99,2,-1,18:31,7,1,71,0,3,40,2,0,0,14,23,18,27,28,30,71,24,7,55,29,0
100,2,0,18:01,7,1,2,0,3,37,1,0,0,16,18,20,28,29,30,71,17,24,2,58,29
101,2,0,17:46,1,0,29,0,3,38,1,0,0,16,18,20,7,29,30,71,17,14,2,58,29
102,2,0,17:25,5,0,16,2,3,0,0,0,0,11,16,20,7,29,30,71,17,14,2,58,29
103,2,0,17:18,13,0,27,58,2,0,0,0,0,11,16,20,7,27,30,71,17,14,2,58,29
104,2,0,17:03,1,1,4,0,3,55,2,0,0,11,12,14,7,27,30,87,13,14,4,55,29
105,2,0,16:48,5,0,12,4,3,0,0,0,0,19,12,14,5,27,30,87,13,14,4,55,29
106,2,0,16:35,1,0,19,0,3,58,1,0,0,19,12,15,5,27,30,48,87,26,4,55,29
107,2, ,16:34,3,1,0,0,0,0,0,0,0,19,12,15,5,27,30,48,87,26,4,55,29
108,2,0,16:34,4,0,8,11,3,0,0,0,0,8,15,9,24,28,30,11,48,26,7,55,29
109,2,0,16:15,1,1,55,0,3,43,2,0,0,8,15,9,24,28,30,11,48,26,7,55,29
110,2, ,16:14,3,1,0,0,0,0,0,0,0,8,15,9,24,28,30,11,48,26,7,55,29
111,2,0,16:14,4,0,11,26,2,0,0,0,0,11,18,20,7,29,30,11,48,26,44,58,29
112,2,0,16:00,5,0,20,58,3,0,0,0,0,11,18,20,7,29,30,11,48,26,44,58,29
113,2,0,15:39,1,1,48,0,3,50,3,0,0,11,18,20,7,29,30,11,48,26,44,58,29
114,2,0,15:26,8,1,71,0,1,0,0,0,0,11,18,20,7,29,30,71,17,24,2,4,29
115,2,0,15:22,1,1,71,0,3,24,6,0,0,11,12,18,7,29,30,71,17,24,2,4,29
116,2,0,15:08,7,1,17,0,3,36,1,0,0,11,12,18,7,29,30,71,17,24,2,4,29
117,2,0,14:48,13,1,17,18,2,0,0,0,0,11,12,18,7,29,30,71,17,24,2,4,29
118,2,0,14:05,5,0,5,25,2,0,0,0,0,16,17,14,5,27,30,25,27,9,44,55,29
119,2,0,14:00,5,1,27,27,3,0,0,0,0,16,17,14,5,27,30,25,27,9,44,55,29
120,2,0,13:46,5,0,17,44,3,0,0,0,0,17,19,23,24,28,30,25,27,9,44,55,29
121,2,0,13:36,1,0,17,0,3,53,1,0,0,17,19,23,24,28,30,87,13,9,7,58,29
122,2, ,13:35,3,0,0,0,0,0,0,0,0,17,19,23,24,28,30,87,13,9,7,58,29
123,2,0,13:35,4,0,19,87,3,0,0,0,0,19,15,9,24,28,30,87,13,14,2,4,29
124,2, ,13:22,3,2,0,0,0,0,0,0,0,19,15,9,24,28,30,87,13,14,2,4,29
125,2,0,13:22,4,1,11,71,1,0,0,0,0,11,18,20,7,29,30,71,17,24,7,58,29
126,2,0,13:13,5,0,7,24,2,0,0,0,0,11,18,20,7,29,30,71,17,24,7,58,29
127,2,0,13:05,8,1,71,0,1,0,0,0,0,11,18,20,7,29,30,71,17,24,7,58,29
