# 2009/04/11 
# ANA , PHX 
# 4 , 5 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,17,22,44,19,25,1,15,8,19,2,55,30
2,1,0,20:00,4,1,17,15,1,0,0,0,0,17,22,44,19,25,1,15,8,19,2,55,30
3,1,0,19:17,5,0,44,4,3,0,0,0,0,15,44,9,27,34,1,88,18,41,4,44,30
4,1,0,18:19,7,0,23,0,3,55,2,0,0,48,9,10,21,23,1,11,19,89,3,21,30
5,1, ,18:19,3,1,0,0,0,0,0,0,0,48,9,10,21,23,1,11,19,89,3,21,30
6,1,0,18:19,4,1,48,15,2,0,0,0,0,48,8,18,19,25,1,15,8,16,2,55,30
7,1,0,17:48,1,1,55,0,3,55,2,0,0,48,8,18,19,25,1,15,8,16,2,55,30
8,1,0,17:00,6,0,26,44,3,0,0,0,0,26,13,16,21,23,1,28,34,17,4,44,30
9,1,-1,17:00,4,0,22,28,2,0,0,0,0,17,22,27,34,1,0,28,88,18,19,3,30
10,1,1,16:14,1,1,3,0,3,55,2,0,0,44,13,27,34,1,0,28,88,8,19,3,30
11,1,1,16:12,2,1,28,0,3,13,1,3,19,44,13,27,34,1,0,28,88,8,19,3,30
12,1,0,16:12,4,1,15,15,1,0,0,0,0,15,9,10,19,25,1,15,8,16,4,44,30
13,1,0,15:45,1,0,25,0,3,57,2,0,0,15,9,10,19,25,1,15,8,16,4,44,30
14,1,0,15:34,1,1,8,0,3,59,2,0,0,15,9,10,19,25,1,15,8,16,4,44,30
15,1,0,15:28,5,0,19,16,2,0,0,0,0,15,9,10,19,25,1,15,8,16,2,55,30
16,1,0,14:49,1,1,2,0,3,58,3,0,0,48,8,18,21,23,1,11,19,89,2,55,30
17,1,0,14:32,1,0,48,0,3,42,1,0,0,48,8,18,23,27,1,11,19,89,2,55,30
18,1,0,14:30,5,1,2,48,2,0,0,0,0,48,8,18,23,27,1,11,19,89,2,55,30
19,1,0,13:07,5,0,44,8,1,0,0,0,0,17,22,44,19,25,1,15,8,16,4,44,30
20,1,0,12:56,13,1,4,17,2,0,0,0,0,17,22,44,19,25,1,15,8,16,4,44,30
21,1,0,12:20,5,0,21,18,2,0,0,0,0,48,8,18,21,23,1,88,18,41,2,55,30
22,1,0,12:15,7,1,55,0,3,52,2,0,0,48,8,18,21,23,1,88,18,41,2,55,30
23,1,0,11:45,7,0,8,0,3,38,1,0,0,48,8,18,23,27,1,11,18,41,2,21,30
24,1,0,11:40,7,0,48,0,3,32,5,0,0,48,8,18,23,27,1,11,18,41,2,21,30
25,1, ,11:18,3,0,0,0,0,0,0,0,0,15,9,10,27,34,1,11,19,89,3,21,30
26,1,0,11:18,4,0,15,15,1,0,0,0,0,15,9,10,27,34,1,15,8,16,4,44,30
27,1,0,10:53,5,1,4,15,2,0,0,0,0,15,9,10,27,34,1,15,8,16,4,44,30
28,1,0,8:50,1,0,10,0,3,31,1,0,0,15,9,10,19,25,1,11,19,89,4,44,30
29,1,0,8:35,5,1,11,19,3,0,0,0,0,15,9,10,19,25,1,11,19,89,4,44,30
30,1, ,8:29,3,9,0,0,0,0,0,0,0,15,9,10,19,25,1,11,19,89,4,44,30
31,1,0,8:29,4,1,26,15,1,0,0,0,0,26,13,16,27,34,1,15,8,16,3,21,30
32,1,0,8:14,5,0,16,15,3,0,0,0,0,26,16,18,27,34,1,15,8,16,3,21,30
33,1,0,7:13,6,1,34,27,3,0,0,0,0,15,48,8,18,27,34,28,34,17,2,55,30
34,1,-1,7:13,4,1,15,11,2,0,0,0,0,15,9,10,19,25,1,11,41,4,44,30,0
35,1, ,7:02,3,3,0,0,0,0,0,0,0,15,9,10,19,25,1,11,41,4,44,30,0
36,1,-1,7:02,4,1,15,11,2,0,0,0,0,15,9,10,23,25,1,11,41,4,44,30,0
37,1,1,6:40,7,0,23,0,3,34,1,0,0,15,9,10,23,25,1,11,41,4,44,30,0
38,1,1,6:12,1,0,23,0,3,36,1,0,0,15,9,10,23,25,1,15,18,2,21,30,0
39,1, ,6:11,3,4,0,0,0,0,0,0,0,15,9,10,23,25,1,15,18,2,21,30,0
40,1,-1,6:11,4,1,26,15,2,0,0,0,0,26,48,8,19,34,1,15,18,2,21,30,0
41,1,-1,5:57,1,1,15,0,3,57,2,0,0,26,48,8,19,34,1,15,18,2,21,30,0
42,1,1,5:36,13,1,41,19,2,0,0,0,0,26,48,8,19,34,1,11,41,4,44,30,0
43,1, ,5:25,3,2,0,0,0,0,0,0,0,17,22,44,23,27,1,11,41,4,44,30,0
