# 2009/04/15 
# STL , VAN 
# 1 , 2 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,7,13,15,5,46,50,10,37,24,3,55,1
2,1,0,20:00,4,1,7,10,1,0,0,0,0,7,13,15,5,46,50,10,37,24,3,55,1
3,1,0,19:44,5,0,46,10,2,0,0,0,0,7,13,15,46,77,50,10,37,24,3,55,1
4,1,0,19:25,5,0,18,55,3,0,0,0,0,18,20,26,29,77,50,33,14,22,3,55,1
5,1,0,19:04,8,1,22,0,2,0,0,0,0,18,20,26,5,46,50,33,14,22,23,55,1
6,1,0,18:44,8,0,42,0,1,0,0,0,0,10,22,42,46,77,50,13,38,14,2,23,1
7,1,0,18:39,5,0,42,2,3,0,0,0,0,10,22,42,29,77,50,13,17,38,2,23,1
8,1,0,18:23,13,1,6,10,2,0,0,0,0,10,22,42,29,77,50,13,17,38,6,8,1
9,1,0,18:17,13,1,6,42,2,0,0,0,0,10,22,42,29,77,50,13,17,38,6,8,1
10,1,0,17:52,5,1,17,28,3,0,0,0,0,21,74,57,28,77,50,17,42,21,2,3,1
11,1,0,17:49,5,1,21,21,3,0,0,0,0,21,74,57,28,43,50,42,18,21,2,3,1
12,1,0,17:34,1,0,21,0,3,37,1,0,0,21,74,57,28,43,50,42,18,21,2,3,1
13,1, ,17:33,3,1,0,0,0,0,0,0,0,7,13,15,28,43,50,42,18,21,2,3,1
14,1,0,17:33,4,0,7,10,3,0,0,0,0,7,13,15,5,46,50,10,37,24,23,55,1
15,1,0,16:42,8,1,33,0,1,0,0,0,0,18,20,26,29,77,50,33,14,22,6,8,1
16,1,0,16:06,1,0,5,0,1,101,1,0,0,10,22,42,5,46,50,13,17,38,3,8,1
17,1, ,16:04,3,1,0,0,0,0,0,0,0,10,22,42,28,43,50,13,17,38,3,8,1
18,1,0,16:04,4,0,10,13,3,0,0,0,0,10,22,42,28,43,50,13,17,38,6,8,1
19,1, ,16:03,3,0,0,0,0,0,0,0,0,10,22,42,28,43,50,13,17,38,6,8,1
20,1,0,16:03,4,0,10,13,3,0,0,0,0,10,22,42,28,43,50,13,17,38,6,8,1
21,1,0,15:49,5,1,38,43,3,0,0,0,0,10,22,42,28,43,50,13,17,38,6,8,1
22,1,0,15:39,5,1,8,42,2,0,0,0,0,10,22,42,28,43,50,13,17,38,6,8,1
23,1,0,15:31,13,0,43,38,2,0,0,0,0,10,22,42,28,43,50,13,17,38,6,8,1
24,1,0,15:21,5,1,17,28,3,0,0,0,0,22,42,57,28,43,50,17,33,22,3,8,1
25,1, ,14:39,3,1,0,0,0,0,0,0,0,18,20,21,5,46,50,42,14,22,2,3,1
26,1,0,14:38,4,1,21,42,2,0,0,0,0,21,74,57,29,77,50,42,18,21,23,55,1
27,1,0,14:27,1,1,21,0,3,20,1,0,0,21,74,57,29,77,50,42,18,21,23,55,1
28,1, ,14:27,3,1,0,0,0,0,0,0,0,21,74,57,29,77,50,42,18,21,23,55,1
29,1,0,14:27,4,0,7,13,2,0,0,0,0,7,13,15,29,77,50,13,17,38,23,55,1
30,1,0,13:56,5,0,29,23,2,0,0,0,0,21,74,57,29,77,50,13,17,38,23,55,1
31,1,0,13:54,13,1,38,29,2,0,0,0,0,21,74,57,29,77,50,17,42,38,2,3,1
32,1,0,13:42,1,1,2,0,3,55,2,0,0,21,74,57,29,77,50,42,18,21,2,3,1
33,1,0,13:37,5,0,77,21,2,0,0,0,0,21,74,57,29,77,50,42,18,21,2,3,1
34,1,0,13:30,1,0,57,0,1,79,1,0,0,21,74,57,28,43,50,42,18,21,2,3,1
35,1, ,13:29,3,0,0,0,0,0,0,0,0,21,74,57,28,43,50,42,18,21,2,3,1
36,1,0,13:29,4,0,42,14,3,0,0,0,0,10,22,42,28,43,50,33,14,22,6,8,1
37,1,0,12:56,13,0,20,8,2,0,0,0,0,18,20,26,5,46,50,33,14,22,6,8,1
38,1,0,12:48,5,1,14,46,2,0,0,0,0,18,20,26,5,46,50,33,14,22,6,8,1
39,1,0,12:26,7,0,18,0,3,10,1,0,0,10,18,20,26,28,43,10,37,24,23,55,1
40,1,0,12:24,13,0,28,24,2,0,0,0,0,10,18,20,26,28,43,10,37,24,23,55,1
41,1,0,12:23,6,1,23,18,2,0,0,0,0,10,18,20,26,28,43,10,37,24,23,55,1
42,1,-1,12:23,4,1,7,10,2,0,0,0,0,7,10,74,22,28,50,10,21,6,8,1,0
43,1, ,12:15,3,10,0,0,0,0,0,0,0,7,10,74,22,28,50,10,21,6,8,1,0
44,1,-1,12:15,4,1,7,17,2,0,0,0,0,7,10,74,22,28,50,17,14,6,8,1,0
45,1,-1,11:43,13,0,10,17,2,0,0,0,0,7,10,74,22,28,50,17,14,6,8,1,0
46,1,1,11:12,1,0,15,0,3,29,1,0,0,21,74,15,57,29,50,10,21,2,3,1,0
47,1, ,11:11,3,1,0,0,0,0,0,0,0,21,74,15,57,29,50,10,21,2,3,1,0
48,1,1,11:11,4,0,21,17,3,0,0,0,0,21,74,42,15,29,50,17,14,2,3,1,0
49,1,1,10:37,5,0,42,14,2,0,0,0,0,21,42,15,57,29,50,10,14,8,55,1,0
50,1, ,10:24,3,11,0,0,0,0,0,0,0,21,26,15,57,29,50,10,21,8,55,1,0
51,1,-1,10:24,4,1,18,33,1,0,0,0,0,18,20,26,5,46,50,33,18,22,55,1,0
52,1,0,9:57,2,1,22,0,3,17,3,38,23,18,20,26,5,46,50,33,18,38,22,23,55
53,1,0,9:57,4,1,42,13,1,0,0,0,0,10,22,42,29,77,50,13,17,38,6,8,1
54,1,0,9:35,7,0,42,0,3,34,6,0,0,10,22,42,29,77,50,13,17,38,6,8,1
55,1,0,8:57,13,0,29,8,2,0,0,0,0,10,22,42,29,77,50,13,17,38,6,8,1
56,1,0,8:53,5,1,17,22,2,0,0,0,0,10,22,42,29,77,50,13,17,38,6,8,1
57,1,0,8:41,5,0,7,2,3,0,0,0,0,7,13,15,28,43,50,42,18,21,2,3,1
58,1,0,8:36,5,0,15,21,3,0,0,0,0,7,13,15,28,43,50,42,18,21,2,3,1
59,1,0,8:20,13,1,3,43,2,0,0,0,0,7,13,15,28,43,50,42,18,21,2,3,1
60,1,0,8:19,7,1,42,0,3,22,0,0,0,7,13,15,28,43,50,42,18,21,2,3,1
61,1, ,8:16,3,9,0,0,0,0,0,0,0,7,13,15,28,43,50,42,18,21,2,3,1
62,1,0,8:16,6,1,2,7,2,0,0,0,0,7,13,15,28,43,50,42,18,21,2,3,1
63,1,1,8:16,4,0,7,10,3,0,0,0,0,7,10,74,22,28,50,10,21,6,8,1,0
64,1,-1,7:57,6,1,6,22,2,0,0,0,0,7,10,74,22,28,50,10,21,6,8,1,0
65,1,-1,7:57,4,1,7,17,2,0,0,0,0,7,10,74,22,42,50,17,14,8,1,0,0
66,1,1,7:37,1,0,10,0,3,11,3,0,0,7,10,74,22,42,50,17,14,8,1,0,0
67,1,-1,7:15,13,0,22,17,2,0,0,0,0,7,10,74,22,42,50,17,14,8,1,0,0
68,1,1,7:09,7,0,22,0,3,33,1,0,0,7,10,74,22,42,50,17,14,8,1,0,0
69,1,-1,6:55,13,0,22,17,2,0,0,0,0,7,10,74,22,42,50,17,14,8,1,0,0
70,1,1,6:28,7,0,22,0,3,36,1,0,0,7,10,74,22,42,50,17,14,8,1,0,0
71,1,1,6:19,1,0,42,0,3,19,1,0,0,7,10,74,22,42,50,17,14,8,1,0,0
72,1, ,6:18,3,1,0,0,0,0,0,0,0,7,10,74,22,42,50,17,14,8,1,0,0
73,1,1,6:18,6,0,7,8,3,0,0,0,0,7,10,74,22,42,50,17,14,8,1,0,0
74,1,1,6:18,4,0,18,33,2,0,0,0,0,18,20,5,43,50,0,33,22,3,1,0,0
75,1,0,6:04,1,1,2,0,3,31,1,0,0,18,20,5,43,50,0,33,22,2,3,1,0
76,1,1,5:55,5,1,2,18,2,0,0,0,0,18,20,5,43,50,0,33,22,2,3,6,1
77,1,-1,5:41,5,0,43,22,2,0,0,0,0,18,20,5,43,50,0,33,38,22,3,23,1
78,1,1,5:29,1,1,22,0,3,10,5,0,0,18,20,5,43,50,0,33,38,22,3,23,1
79,1,1,5:26,8,1,3,0,3,0,0,0,0,18,20,5,43,50,0,33,38,22,3,23,1
80,1,-1,5:13,13,1,23,5,2,0,0,0,0,18,20,5,43,50,0,33,38,22,3,23,1
81,1, ,4:49,3,2,0,0,0,0,0,0,0,13,26,46,77,50,0,13,42,38,3,23,1
82,1,-1,4:49,4,0,42,13,1,0,0,0,0,74,42,5,77,50,0,13,18,38,2,6,1
83,1,-1,4:42,1,0,5,0,1,102,6,0,0,74,42,5,77,50,0,13,18,38,2,6,1
84,1,-1,4:31,5,0,77,2,2,0,0,0,0,74,42,5,77,50,0,13,18,38,2,6,1
85,1,0,3:38,1,0,57,0,3,32,1,0,0,7,10,57,28,43,50,37,42,21,8,55,1
86,1,0,3:36,6,0,57,21,3,0,0,0,0,7,22,57,28,43,50,37,42,21,8,55,1
87,1, ,3:36,3,9,0,0,0,0,0,0,0,7,22,28,43,50,0,37,42,21,8,55,1
88,1,1,3:36,4,1,18,33,3,0,0,0,0,18,13,5,43,50,0,33,18,22,3,6,1
89,1, ,2:37,3,2,0,0,0,0,0,0,0,18,13,46,77,50,0,13,17,42,38,3,1
90,1,-1,2:37,4,0,42,13,1,0,0,0,0,74,42,46,77,50,0,13,17,42,38,23,1
91,1,-1,2:10,13,1,38,77,2,0,0,0,0,74,42,46,77,50,0,13,17,42,38,23,1
92,1, ,2:10,3,4,0,0,0,0,0,0,0,18,13,5,43,50,0,13,17,42,38,23,1
93,1,1,2:10,4,1,18,22,3,0,0,0,0,18,13,5,43,50,0,33,14,22,3,6,1
94,1,1,2:00,1,1,22,0,3,12,1,0,0,18,13,5,43,50,0,33,14,22,3,6,1
