# 2009/04/16 
# CGY , CHI 
# 2 , 3 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,21,12,17,3,40,34,26,33,16,2,7,39
2,1,0,20:00,4,0,12,26,1,0,0,0,0,21,12,17,3,40,34,26,33,16,2,7,39
3,1,0,19:39,8,1,2,0,2,0,0,0,0,21,12,17,3,40,34,26,33,16,2,7,39
4,1,0,19:28,5,1,33,3,1,0,0,0,0,22,12,13,3,40,34,26,33,16,2,7,39
5,1,0,19:27,8,1,26,0,1,0,0,0,0,22,12,13,3,40,34,26,33,16,2,7,39
6,1,0,19:16,5,0,3,16,2,0,0,0,0,22,7,13,3,40,34,19,24,16,2,51,39
7,1,0,18:42,5,1,19,33,3,0,0,0,0,24,25,13,8,33,34,19,22,88,4,51,39
8,1,0,18:21,5,1,8,20,2,0,0,0,0,24,25,20,4,55,34,36,22,32,8,25,39
9,1, ,17:58,3,6,0,0,0,0,0,0,0,45,23,27,4,55,34,10,37,55,4,51,39
10,1,0,17:58,4,0,45,19,2,0,0,0,0,45,23,27,4,55,34,19,24,88,4,51,39
11,1,0,17:49,7,1,51,0,3,60,1,0,0,45,23,27,4,55,34,19,24,88,4,51,39
12,1,0,17:37,5,0,27,51,3,0,0,0,0,45,23,27,3,40,34,19,24,88,4,51,39
13,1,0,17:35,1,0,40,0,3,41,2,0,0,45,23,27,3,40,34,19,24,88,4,51,39
14,1,0,16:52,13,0,17,2,2,0,0,0,0,21,12,17,3,40,34,26,33,16,2,7,39
15,1, ,16:48,3,6,0,0,0,0,0,0,0,21,12,17,3,40,34,26,33,16,2,7,39
16,1,0,16:48,4,1,22,26,2,0,0,0,0,22,7,13,8,33,34,26,33,16,2,7,39
17,1,0,16:35,1,0,7,0,3,10,6,0,0,22,7,13,8,33,34,10,37,55,2,7,39
18,1, ,16:35,3,0,0,0,0,0,0,0,0,22,7,13,8,33,34,10,37,55,2,7,39
19,1,0,16:35,4,0,22,36,3,0,0,0,0,22,7,13,8,33,34,36,22,32,8,25,39
20,1,0,16:06,5,0,7,22,2,0,0,0,0,22,7,13,8,33,34,36,22,32,8,25,39
21,1, ,16:05,3,2,0,0,0,0,0,0,0,22,7,13,8,33,34,10,37,55,2,7,39
22,1,0,16:05,4,1,24,37,1,0,0,0,0,24,25,20,4,55,34,10,37,55,2,7,39
23,1,0,16:00,7,1,2,0,3,70,2,0,0,24,25,20,4,55,34,10,37,55,2,7,39
24,1,0,15:49,5,1,55,4,3,0,0,0,0,24,25,20,4,55,34,10,37,55,2,7,39
25,1,0,15:33,5,0,25,10,3,0,0,0,0,24,25,20,4,55,34,10,37,55,2,7,39
26,1,0,15:25,1,1,55,0,3,46,1,0,0,24,12,17,4,55,34,10,37,55,2,4,39
27,1, ,15:25,3,1,0,0,0,0,0,0,0,24,12,17,4,55,34,10,37,55,2,4,39
28,1,0,15:25,4,1,12,26,3,0,0,0,0,21,12,17,3,40,34,26,33,16,2,7,39
29,1,0,15:06,5,0,21,2,3,0,0,0,0,21,12,17,3,40,34,26,33,16,2,7,39
30,1,0,14:51,13,1,26,40,2,0,0,0,0,21,12,13,3,40,34,26,33,16,2,7,39
31,1,0,14:48,5,1,33,21,2,0,0,0,0,21,12,13,3,8,34,26,33,16,2,7,39
32,1,0,14:44,1,0,12,0,3,3,1,0,0,21,12,13,3,8,34,26,33,16,2,7,39
33,1, ,14:44,3,1,0,0,0,0,0,0,0,21,12,13,3,8,34,26,33,16,2,7,39
34,1,0,14:44,4,1,22,36,2,0,0,0,0,22,7,13,8,33,34,19,36,88,8,25,39
35,1,0,14:31,5,1,19,13,2,0,0,0,0,22,7,13,8,33,34,19,24,88,8,25,39
36,1,0,14:19,1,1,19,0,3,44,1,0,0,22,7,13,8,33,34,19,24,88,4,51,39
