# 2009/05/10 
# CAR , BOS 
# 0 , 4 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,12,13,26,4,25,30,37,12,28,33,44,30
2,1,0,20:00,4,0,12,37,1,0,0,0,0,12,13,26,4,25,30,37,12,28,33,44,30
3,1,0,19:44,5,1,44,26,2,0,0,0,0,12,13,26,4,25,30,37,12,28,33,44,30
4,1,0,19:26,8,0,36,0,1,0,0,0,0,15,14,36,6,77,30,37,12,28,33,44,30
5,1, ,18:54,3,6,0,0,0,0,0,0,0,8,24,59,6,77,30,81,91,17,6,23,30
6,1,0,18:54,4,1,8,91,3,0,0,0,0,8,24,59,6,77,30,81,91,17,6,23,30
7,1, ,18:41,3,6,0,0,0,0,0,0,0,8,24,59,6,77,30,81,91,17,6,23,30
8,1,0,18:41,4,1,8,91,3,0,0,0,0,8,24,59,6,77,30,81,91,17,6,23,30
9,1,0,18:27,6,0,6,17,2,0,0,0,0,8,24,59,6,77,30,81,91,17,6,23,30
10,1,1,18:27,4,1,17,91,3,0,0,0,0,12,17,4,25,30,0,91,28,73,6,33,30
11,1, ,18:16,3,3,0,0,0,0,0,0,0,12,17,4,25,30,0,91,28,73,6,33,30
12,1,-1,18:16,4,0,17,91,2,0,0,0,0,12,17,4,25,30,0,91,28,73,6,33,30
13,1,1,17:42,1,1,28,0,3,34,3,0,0,8,59,4,25,30,0,91,28,73,6,33,30
14,1, ,17:41,3,1,0,0,0,0,0,0,0,8,59,4,25,30,0,91,28,73,6,33,30
15,1,1,17:41,4,1,36,46,3,0,0,0,0,26,36,7,77,30,0,37,46,81,12,23,30
16,1,1,17:22,9,1,23,0,1,0,0,0,0,26,36,7,77,30,0,37,46,81,12,23,30
17,1,1,17:10,1,1,81,0,3,32,1,0,0,8,59,7,77,30,0,37,46,81,12,23,30
18,1,1,16:56,1,1,81,0,3,10,3,0,0,8,59,7,77,30,0,37,46,81,12,23,30
19,1,0,16:13,5,1,22,25,3,0,0,0,0,12,13,26,4,25,30,18,11,22,33,44,30
20,1,0,15:54,8,1,17,0,1,0,0,0,0,15,14,36,7,33,30,91,17,22,34,45,30
21,1,0,15:49,9,1,91,0,1,0,0,0,0,15,14,36,7,33,30,81,91,17,34,45,30
22,1,0,15:42,5,0,15,45,3,0,0,0,0,15,14,36,7,33,30,81,91,17,34,45,30
23,1,0,15:33,5,0,15,45,3,0,0,0,0,8,15,14,6,33,30,81,91,17,34,45,30
24,1,0,15:23,5,0,15,45,3,0,0,0,0,8,15,14,6,33,30,81,91,17,34,45,30
25,1,0,15:19,1,1,17,0,3,37,1,0,0,8,15,59,6,33,30,81,91,17,23,34,30
26,1, ,15:14,3,3,0,0,0,0,0,0,0,8,15,59,6,33,30,81,91,17,23,34,30
27,1,0,15:14,4,1,17,46,1,0,0,0,0,17,44,6,38,77,30,46,61,73,6,23,30
28,1, ,14:51,3,6,0,0,0,0,0,0,0,17,44,6,38,77,30,46,61,73,6,23,30
29,1,0,14:51,4,1,12,46,2,0,0,0,0,12,13,26,6,77,30,46,61,73,6,23,30
30,1,0,14:37,13,0,6,61,2,0,0,0,0,12,13,26,6,77,30,46,61,73,6,23,30
31,1,0,14:27,13,0,6,61,2,0,0,0,0,12,13,26,6,77,30,46,61,73,6,23,30
32,1,0,14:08,1,1,12,0,3,38,1,0,0,12,24,13,4,25,30,37,12,28,33,44,30
33,1, ,14:08,3,1,0,0,0,0,0,0,0,8,24,59,4,25,30,37,12,28,33,44,30
34,1,0,14:08,4,0,8,37,2,0,0,0,0,8,24,59,4,25,30,37,12,28,33,44,30
35,1,0,13:57,5,1,33,24,3,0,0,0,0,8,24,59,4,25,30,37,12,28,33,44,30
36,1,0,13:54,6,1,33,8,1,0,0,0,0,8,24,59,4,25,30,37,12,28,33,44,30
37,1,-1,13:54,4,1,12,37,2,0,0,0,0,8,12,13,26,77,30,37,11,6,23,30,0
38,1,1,12:33,6,0,14,6,3,0,0,0,0,17,14,36,25,33,30,37,11,6,23,30,0
39,1,0,12:33,4,1,12,46,3,0,0,0,0,12,26,6,77,30,0,46,81,6,23,30,0
40,1,0,12:18,7,1,81,0,3,38,3,0,0,12,26,6,77,30,0,46,81,6,23,30,0
41,1,0,12:13,5,1,6,12,3,0,0,0,0,12,26,6,77,30,0,46,81,6,23,30,0
42,1,0,12:10,1,1,23,0,3,44,2,0,0,12,26,6,77,30,0,46,81,6,23,30,0
43,1,1,11:36,1,1,6,0,3,48,2,0,0,12,26,6,77,30,0,46,81,28,6,23,30
44,1,1,11:07,7,1,33,0,3,62,3,0,0,8,59,4,7,30,0,37,81,28,73,33,30
45,1,0,10:28,1,1,17,0,3,15,3,0,0,17,14,26,6,25,30,91,73,17,33,34,30
46,1, ,9:37,3,6,0,0,0,0,0,0,0,15,14,36,7,33,30,18,12,11,33,44,30
47,1,0,9:37,4,0,36,18,3,0,0,0,0,15,14,36,7,33,30,18,12,11,33,44,30
48,1,0,9:33,7,0,33,0,3,52,1,0,0,15,14,36,7,33,30,18,12,11,33,44,30
49,1, ,9:19,3,0,0,0,0,0,0,0,0,15,14,36,7,33,30,18,12,11,33,44,30
50,1,0,9:19,4,1,12,37,2,0,0,0,0,12,13,26,7,77,30,37,12,28,33,34,30
51,1,0,8:57,1,0,12,0,3,49,2,0,0,12,13,26,7,33,30,37,12,28,33,34,30
52,1, ,8:56,3,1,0,0,0,0,0,0,0,12,13,26,7,33,30,37,12,28,33,34,30
53,1,0,8:56,4,1,8,91,2,0,0,0,0,8,24,59,4,25,30,81,91,17,33,34,30
54,1,0,8:13,1,1,34,0,3,64,1,0,0,8,24,59,4,25,30,81,91,17,33,34,30
55,1, ,8:13,3,1,0,0,0,0,0,0,0,8,24,59,4,25,30,81,91,17,33,34,30
56,1,0,8:13,4,0,36,18,2,0,0,0,0,15,14,36,6,77,30,18,11,22,6,23,30
57,1,0,7:27,13,1,22,77,2,0,0,0,0,15,14,36,6,77,30,46,61,22,6,23,30
58,1,0,7:18,5,1,46,14,3,0,0,0,0,15,14,36,6,77,30,46,61,73,6,23,30
59,1,0,7:08,5,0,6,61,2,0,0,0,0,15,14,36,6,77,30,46,61,73,6,23,30
60,1,0,6:50,1,1,6,0,3,28,3,0,0,12,14,26,33,77,30,46,61,73,6,23,30
61,1,0,6:42,1,0,26,0,3,16,1,0,0,12,14,26,33,77,30,46,28,73,6,33,30
62,1,0,6:19,5,1,28,33,3,0,0,0,0,12,24,59,7,33,30,37,12,28,33,44,30
63,1,0,6:05,8,0,59,0,2,0,0,0,0,12,24,59,7,33,30,37,12,28,33,44,30
64,1,0,5:50,9,1,37,0,2,0,0,0,0,8,24,59,4,25,30,37,12,28,44,45,30
65,1,0,5:39,5,1,17,4,3,0,0,0,0,8,24,59,4,25,30,81,91,17,34,45,30
66,1,0,5:31,1,1,81,0,3,37,1,0,0,8,24,59,4,25,30,81,91,17,34,45,30
67,1,0,5:25,5,0,24,91,2,0,0,0,0,8,24,59,4,25,30,81,91,17,34,45,30
68,1,0,5:19,6,0,4,91,2,0,0,0,0,8,24,59,4,25,30,37,81,91,17,34,45
69,1,1,5:19,4,1,17,91,3,0,0,0,0,12,17,6,77,30,0,91,28,73,6,33,30
70,1,1,5:12,2,1,28,0,3,16,5,33,6,12,17,6,77,30,0,91,28,73,6,33,30
71,1,0,5:12,4,0,36,46,1,0,0,0,0,15,14,36,4,25,30,46,61,73,6,23,30
72,1,0,5:06,8,1,46,0,2,0,0,0,0,15,14,36,4,25,30,46,61,73,6,23,30
73,1,0,4:53,1,1,46,0,3,25,1,0,0,15,14,36,4,25,30,46,61,73,6,23,30
74,1,0,4:49,1,1,46,0,3,10,1,0,0,15,14,36,4,25,30,46,61,73,6,23,30
75,1, ,4:49,3,1,0,0,0,0,0,0,0,15,14,36,4,25,30,46,61,73,6,23,30
76,1,0,4:49,4,1,12,22,3,0,0,0,0,12,13,26,6,77,30,18,11,22,33,44,30
77,1,0,4:44,1,1,22,0,3,36,1,0,0,12,13,26,6,77,30,18,11,22,33,44,30
78,1, ,4:44,3,1,0,0,0,0,0,0,0,12,13,26,6,77,30,18,11,22,33,44,30
79,1,0,4:44,4,1,36,18,3,0,0,0,0,15,14,36,7,33,30,18,11,22,6,23,30
80,1,0,4:39,7,1,23,0,3,60,2,0,0,15,14,36,7,33,30,18,11,22,6,23,30
81,1,0,4:33,5,1,22,7,3,0,0,0,0,15,14,36,7,33,30,18,11,22,6,23,30
82,1,0,4:27,6,1,23,15,2,0,0,0,0,15,14,36,7,33,30,18,11,22,6,23,30
83,1,1,4:27,4,0,12,37,3,0,0,0,0,12,13,26,25,77,30,37,11,33,44,30,0
84,1, ,4:13,3,1,0,0,0,0,0,0,0,12,13,26,25,77,30,37,11,33,44,30,0
85,1,-1,4:13,4,1,12,18,2,0,0,0,0,12,13,26,25,77,30,18,91,33,44,30,0
86,1,-1,3:19,5,1,45,17,2,0,0,0,0,17,14,36,25,77,30,18,46,6,45,30,0
87,1,1,2:49,1,0,14,0,3,20,3,0,0,17,14,36,25,77,30,18,46,6,45,30,0
88,1,1,2:47,1,0,25,0,3,23,3,0,0,17,14,36,25,77,30,18,46,6,45,30,0
89,1,0,2:10,1,0,8,0,1,84,3,0,0,8,24,59,4,33,30,81,91,17,33,34,30
90,1, ,2:10,3,1,0,0,0,0,0,0,0,8,24,59,4,33,30,81,91,17,33,34,30
91,1,0,2:10,4,1,8,91,2,0,0,0,0,8,24,59,4,33,30,81,91,17,23,34,30
92,1,0,1:53,5,1,23,8,2,0,0,0,0,8,24,59,4,33,30,81,91,17,23,34,30
93,1,0,1:24,2,1,81,0,3,17,1,91,17,12,24,59,4,33,30,81,91,17,33,44,30
94,1,0,1:24,4,0,12,37,1,0,0,0,0,12,15,14,6,77,30,37,12,28,6,23,30
95,1,0,1:13,1,0,12,0,3,9,1,0,0,12,15,14,6,77,30,37,12,28,6,23,30
96,1,0,0:51,5,1,12,77,3,0,0,0,0,15,14,36,6,77,30,37,12,28,33,44,30
97,1,0,0:11,5,0,26,73,2,0,0,0,0,13,26,36,7,25,30,46,61,73,33,44,30
98,1,0,0:02,5,1,44,25,2,0,0,0,0,13,26,36,7,25,30,46,61,73,33,44,30
99,1,0,0:01,1,0,25,0,3,48,2,0,0,13,26,36,7,25,30,46,61,73,33,44,30
100,1, ,0:00,11,0,0,0,0,0,0,0,0,13,26,36,7,25,30,46,61,73,33,44,30
101,2, ,20:00,10,0,0,0,0,0,0,0,0,12,15,14,4,25,30,37,12,28,33,44,30
102,2,0,20:00,4,1,12,37,1,0,0,0,0,12,15,14,4,25,30,37,12,28,33,44,30
103,2,0,19:38,7,1,44,0,3,64,1,0,0,12,15,14,4,25,30,37,12,28,33,44,30
104,2,0,19:23,5,0,4,28,2,0,0,0,0,12,15,14,4,25,30,37,12,28,33,44,30
105,2,0,19:14,5,1,28,4,3,0,0,0,0,14,26,36,4,25,30,81,91,28,6,23,30
