# 2009/05/24 
# DET , CHI 
# 6 , 1 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,26,93,40,23,55,30,36,24,16,2,7,38
2,1,0,20:00,4,0,40,36,1,0,0,0,0,26,93,40,23,55,30,36,24,16,2,7,38
3,1,0,19:48,5,1,16,23,3,0,0,0,0,26,93,40,23,55,30,36,24,16,2,7,38
4,1,0,19:16,1,0,40,0,3,49,2,0,0,26,93,40,28,52,30,26,24,32,2,7,38
5,1,0,19:15,5,1,2,28,2,0,0,0,0,26,93,40,28,52,30,26,24,32,2,7,38
6,1,0,19:07,5,1,26,40,1,0,0,0,0,81,40,96,28,52,30,26,24,32,2,7,38
7,1,0,19:06,13,1,32,28,2,0,0,0,0,81,40,96,28,52,30,26,10,32,4,51,38
8,1,0,18:56,13,0,51,51,2,0,0,0,0,51,81,96,28,52,30,26,10,32,4,51,38
9,1,0,18:40,5,1,26,81,2,0,0,0,0,51,81,96,28,52,30,26,10,32,4,51,38
10,1,0,18:30,5,0,96,4,3,0,0,0,0,51,81,96,28,52,30,26,10,32,4,51,38
11,1,0,18:06,5,0,43,88,3,0,0,0,0,43,11,37,23,55,30,19,33,88,8,25,38
12,1, ,17:52,3,2,0,0,0,0,0,0,0,43,11,37,23,55,30,19,33,88,8,25,38
13,1,0,17:52,4,1,8,37,1,0,0,0,0,8,18,21,22,24,30,22,37,55,4,51,38
14,1, ,17:33,3,2,0,0,0,0,0,0,0,8,18,21,22,24,30,22,37,55,4,51,38
15,1,0,17:33,4,1,40,36,1,0,0,0,0,26,93,40,23,55,30,36,24,16,2,7,38
16,1,0,17:05,8,1,16,0,1,0,0,0,0,26,93,40,23,55,30,36,24,16,2,7,38
17,1,0,16:50,13,0,23,7,2,0,0,0,0,26,93,81,23,55,30,36,24,16,2,7,38
18,1, ,16:49,3,4,0,0,0,0,0,0,0,26,93,81,23,55,30,36,24,16,2,7,38
19,1,0,16:49,4,1,51,26,2,0,0,0,0,51,81,96,28,52,30,26,10,32,2,7,38
20,1,0,16:42,5,0,51,7,3,0,0,0,0,51,81,96,28,52,30,26,10,32,2,7,38
21,1,0,16:36,5,0,28,32,2,0,0,0,0,51,81,96,28,52,30,26,10,32,8,25,38
22,1,0,16:30,1,1,25,0,3,61,2,0,0,51,81,96,28,52,30,26,10,32,8,25,38
23,1,0,16:20,5,0,81,8,3,0,0,0,0,51,11,81,28,52,30,26,10,32,8,25,38
24,1,0,16:05,1,0,28,0,3,48,2,0,0,51,11,81,28,55,30,19,32,88,8,25,38
25,1,0,16:05,5,1,25,28,2,0,0,0,0,51,11,81,28,55,30,19,32,88,8,25,38
26,1, ,16:05,3,1,0,0,0,0,0,0,0,51,11,81,28,55,30,19,32,88,8,25,38
27,1,0,16:05,4,1,43,19,2,0,0,0,0,43,11,37,23,55,30,19,33,88,4,51,38
28,1,0,15:57,5,0,43,51,3,0,0,0,0,43,11,37,23,55,30,19,33,88,4,51,38
