# 2009/10/03 
# PHX , L.A 
# 6 , 3 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,11,16,17,4,55,30,28,54,23,3,7,32
2,1,0,20:00,4,0,11,28,1,0,0,0,0,11,16,17,4,55,30,28,54,23,3,7,32
3,1,0,19:40,7,0,17,0,3,43,1,0,0,11,16,17,4,55,30,28,54,23,3,7,32
4,1,0,19:37,5,0,16,23,3,0,0,0,0,11,16,17,4,55,30,28,54,23,3,7,32
5,1,0,18:51,1,1,94,0,3,8,6,0,0,34,29,38,2,33,30,11,14,94,8,44,32
6,1,0,18:47,5,1,11,34,3,0,0,0,0,34,29,38,2,33,30,11,14,94,8,44,32
7,1,0,18:39,9,0,34,0,2,0,0,0,0,34,29,38,2,33,30,11,14,94,8,44,32
8,1,0,18:34,5,1,11,2,3,0,0,0,0,34,29,38,2,33,30,11,14,94,8,44,32
9,1,0,18:23,1,1,94,0,3,6,1,0,0,34,29,38,2,33,30,11,14,94,8,44,32
10,1,0,18:16,5,1,44,34,1,0,0,0,0,34,29,38,2,33,30,11,14,94,8,44,32
11,1,0,17:56,8,0,3,0,2,0,0,0,0,20,19,89,3,44,30,26,17,24,3,7,32
12,1, ,17:50,3,6,0,0,0,0,0,0,0,20,19,89,3,44,30,26,17,24,3,7,32
13,1,0,17:50,4,0,20,17,2,0,0,0,0,20,19,89,3,44,30,26,17,24,3,7,32
14,1, ,17:40,3,6,0,0,0,0,0,0,0,20,19,89,3,44,30,26,17,24,3,7,32
15,1,0,17:40,4,0,20,26,2,0,0,0,0,20,19,89,3,44,30,26,17,24,2,53,32
16,1, ,17:22,3,3,0,0,0,0,0,0,0,20,19,89,3,44,30,26,17,24,2,53,32
17,1,0,17:22,4,0,15,15,3,0,0,0,0,15,88,8,4,55,30,61,15,41,2,53,32
18,1,0,17:09,5,0,15,15,3,0,0,0,0,15,88,8,4,55,30,61,15,41,2,53,32
19,1,0,16:57,5,1,2,8,1,0,0,0,0,15,88,8,4,55,30,61,15,41,2,53,32
20,1,0,16:48,7,1,41,0,3,51,1,0,0,15,88,8,4,55,30,61,15,41,2,53,32
21,1,0,16:44,9,0,8,0,2,0,0,0,0,15,88,8,4,55,30,61,15,41,8,44,32
22,1,0,16:27,5,1,28,4,3,0,0,0,0,11,16,17,2,4,30,28,54,23,8,44,32
23,1,0,16:22,5,1,54,11,3,0,0,0,0,11,16,17,2,4,30,28,54,23,8,44,32
24,1,0,15:59,1,0,17,0,3,41,2,0,0,11,16,17,2,33,30,28,54,23,8,44,32
25,1,0,15:41,13,0,17,44,2,0,0,0,0,11,16,17,2,33,30,28,54,23,8,44,32
26,1,0,15:41,6,1,8,11,2,0,0,0,0,11,16,17,2,33,30,28,54,23,8,44,32
27,1,1,15:41,4,0,15,28,3,0,0,0,0,15,8,19,33,55,30,26,28,3,7,32,0
28,1,1,15:26,5,0,19,7,3,0,0,0,0,15,8,19,33,55,30,26,28,3,7,32,0
29,1,1,14:43,1,0,33,0,3,14,1,0,0,15,17,19,33,55,30,26,17,2,44,32,0
30,1,1,14:29,2,0,17,0,3,34,2,55,0,11,20,88,17,55,30,23,24,2,3,32,0
31,1,0,14:29,4,0,38,11,1,0,0,0,0,34,29,38,4,44,30,11,14,94,2,53,32
32,1,0,14:11,7,1,53,0,3,60,3,0,0,34,29,38,4,44,30,11,14,94,2,53,32
33,1,0,14:01,1,1,94,0,3,13,5,0,0,34,29,38,4,44,30,11,14,94,2,53,32
34,1,0,13:51,5,1,53,34,2,0,0,0,0,34,29,38,2,33,30,11,14,94,2,53,32
35,1,0,13:27,1,0,2,0,3,45,1,0,0,20,34,89,2,33,30,11,14,94,2,53,32
36,1,0,13:19,13,0,89,2,2,0,0,0,0,20,19,89,2,33,30,11,14,94,2,53,32
37,1,0,13:03,9,0,20,0,3,0,0,0,0,20,19,89,2,33,30,11,14,94,2,53,32
38,1,0,12:23,7,1,26,0,3,18,5,0,0,15,88,8,4,55,30,26,17,24,3,7,32
39,1,0,11:25,9,1,8,0,1,0,0,0,0,15,88,8,3,44,30,15,54,23,8,44,32
40,1,0,11:22,1,0,15,0,3,28,3,0,0,15,88,8,3,44,30,15,54,23,8,44,32
41,1,0,11:20,7,0,15,0,3,17,1,0,0,15,88,8,3,44,30,15,54,23,8,44,32
42,1,0,11:09,9,1,54,0,2,0,0,0,0,15,88,8,3,44,30,15,54,23,8,44,32
43,1,0,11:01,7,0,88,0,3,31,5,0,0,15,88,8,3,44,30,15,54,23,8,44,32
44,1,0,10:59,6,0,88,44,3,0,0,0,0,15,88,8,3,44,30,15,54,23,8,44,32
45,1, ,10:59,3,9,0,0,0,0,0,0,0,15,8,3,44,30,0,15,54,23,8,44,32
46,1,-1,10:59,4,0,38,11,2,0,0,0,0,29,38,4,44,30,0,11,14,23,94,8,32
47,1,1,10:50,5,1,23,38,3,0,0,0,0,29,38,4,44,30,0,11,14,23,94,8,32
48,1,-1,10:20,5,0,4,11,2,0,0,0,0,29,38,4,44,30,0,11,14,23,94,8,32
49,1,-1,10:18,5,0,38,14,2,0,0,0,0,29,38,4,44,30,0,11,14,23,94,8,32
50,1,-1,9:58,5,0,2,26,2,0,0,0,0,11,17,2,33,30,0,26,28,54,24,3,32
51,1,1,9:49,9,1,28,0,3,0,0,0,0,11,17,2,33,30,0,26,28,54,24,3,32
52,1,1,9:45,5,1,3,11,1,0,0,0,0,11,17,2,33,30,0,26,28,54,24,3,32
53,1,-1,9:26,13,1,54,2,2,0,0,0,0,29,38,2,33,30,0,26,28,54,24,3,32
54,1,1,9:23,1,1,3,0,3,55,2,0,0,29,38,2,33,30,0,26,28,54,24,3,32
55,1,-1,9:06,1,0,8,0,3,17,5,0,0,15,8,4,55,30,0,11,24,94,3,7,32
56,1, ,9:05,3,1,0,0,0,0,0,0,0,15,8,4,55,30,0,11,24,94,3,7,32
57,1,1,9:05,4,1,15,15,2,0,0,0,0,15,8,4,55,30,0,61,15,41,2,7,32
58,1,0,8:33,8,0,88,0,3,0,0,0,0,15,88,8,3,44,30,61,15,41,2,7,32
59,1,0,7:55,5,0,20,28,2,0,0,0,0,20,19,89,3,44,30,28,54,23,8,44,32
60,1,0,7:49,8,0,19,0,2,0,0,0,0,20,19,89,3,44,30,28,54,23,8,44,32
61,1,0,7:13,5,1,24,2,3,0,0,0,0,11,16,17,2,33,30,26,17,24,3,7,32
62,1,0,6:24,13,1,2,8,2,0,0,0,0,15,88,8,4,55,30,11,14,94,2,53,32
63,1, ,6:21,3,0,0,0,0,0,0,0,0,15,88,8,4,55,30,11,14,94,2,53,32
64,1,0,6:21,4,1,20,26,2,0,0,0,0,20,19,89,4,55,30,26,17,24,3,7,32
65,1,0,5:47,1,1,3,0,3,34,1,0,0,20,19,89,4,55,30,26,17,24,3,7,32
66,1,0,5:31,5,1,14,20,1,0,0,0,0,20,19,89,2,33,30,26,14,24,3,7,32
67,1,0,5:23,13,1,14,8,2,0,0,0,0,15,88,8,2,33,30,11,14,94,8,44,32
68,1, ,5:22,3,3,0,0,0,0,0,0,0,15,88,8,2,33,30,11,14,94,8,44,32
69,1,0,5:22,4,0,11,28,2,0,0,0,0,11,17,38,2,33,30,28,54,23,8,44,32
70,1,0,5:02,9,1,32,0,2,0,0,0,0,11,16,17,3,44,30,28,54,23,8,44,32
71,1,0,4:26,9,0,11,0,2,0,0,0,0,11,16,17,3,44,30,28,23,41,7,53,32
72,1,0,4:25,1,1,53,0,3,60,2,0,0,11,16,17,3,44,30,28,23,41,7,53,32
73,1,0,4:19,1,1,41,0,3,44,1,0,0,11,16,17,3,44,30,61,23,41,7,53,32
74,1,0,3:59,5,0,2,61,2,0,0,0,0,34,29,38,2,33,30,61,15,41,3,8,32
75,1,0,3:49,7,0,38,0,3,32,1,0,0,34,29,38,2,33,30,61,15,41,3,8,32
76,1,0,3:38,5,1,41,29,2,0,0,0,0,34,29,38,2,33,30,61,15,41,3,8,32
77,1,0,3:07,7,0,55,0,1,106,2,0,0,20,19,89,4,55,30,11,14,94,7,44,32
78,1, ,3:07,3,0,0,0,0,0,0,0,0,20,19,89,4,55,30,11,14,94,7,44,32
79,1,0,3:07,4,1,20,11,2,0,0,0,0,20,19,89,4,55,30,11,14,94,3,7,32
80,1,0,2:42,9,0,55,0,2,0,0,0,0,20,19,89,4,55,30,11,14,94,3,7,32
81,1,0,2:33,5,0,55,94,2,0,0,0,0,20,19,89,4,55,30,11,14,94,3,7,32
82,1, ,2:28,3,8,0,0,0,0,0,0,0,20,19,89,4,55,30,11,14,94,3,7,32
83,1,0,2:28,4,1,15,23,3,0,0,0,0,15,88,8,2,33,30,28,54,23,2,53,32
84,1,0,2:19,7,1,28,0,3,9,5,0,0,15,88,8,2,33,30,28,54,23,2,53,32
85,1,0,2:12,2,0,15,0,3,13,6,88,2,15,88,8,2,33,30,28,54,23,2,53,32
86,1,0,2:12,4,0,15,26,1,0,0,0,0,15,88,8,2,33,30,26,17,24,3,8,32
87,1, ,1:52,3,10,0,0,0,0,0,0,0,15,88,8,2,33,30,26,17,24,3,8,32
88,1,0,1:52,4,0,11,26,1,0,0,0,0,11,16,17,3,44,30,26,17,24,3,8,32
89,1,0,1:33,1,1,24,0,3,20,3,0,0,11,16,17,3,44,30,26,17,24,3,8,32
90,1,0,1:02,1,0,16,0,3,50,1,0,0,11,16,17,4,55,30,26,17,24,3,8,32
91,1,0,1:00,5,1,8,16,2,0,0,0,0,11,16,17,4,55,30,26,17,94,3,8,32
92,1,0,0:48,8,0,55,0,2,0,0,0,0,20,19,29,4,55,30,11,14,94,3,7,32
93,1,0,0:42,7,0,19,0,3,38,2,0,0,20,19,29,4,55,30,11,14,94,3,7,32
94,1,0,0:12,5,1,11,2,3,0,0,0,0,15,88,8,2,4,30,11,14,94,7,44,32
95,1, ,0:07,3,6,0,0,0,0,0,0,0,15,88,8,2,4,30,11,14,94,7,44,32
96,1,0,0:07,4,0,15,28,2,0,0,0,0,15,88,8,2,4,30,28,54,23,8,53,32
97,1, ,0:00,11,0,0,0,0,0,0,0,0,15,88,8,2,4,30,28,54,23,8,53,32
98,2, ,20:00,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,2,0,20:00,4,1,11,28,1,0,0,0,0,11,16,17,4,55,30,28,54,23,3,7,32
100,2,0,19:39,9,0,17,0,2,0,0,0,0,11,16,17,4,55,30,28,54,23,3,7,32
101,2,0,19:38,1,1,23,0,3,33,3,0,0,11,16,17,4,55,30,28,54,23,3,7,32
102,2,0,19:33,5,1,23,55,3,0,0,0,0,11,16,17,4,55,30,28,54,23,3,7,32
103,2,0,19:30,1,1,28,0,3,15,3,0,0,11,16,17,4,55,30,28,54,23,3,7,32
104,2,0,19:16,1,1,23,0,3,40,1,0,0,11,16,17,4,55,30,28,54,23,3,7,32
105,2,0,18:46,9,0,30,0,2,0,0,0,0,15,88,8,2,33,30,26,17,24,7,44,32
106,2,0,18:44,1,1,17,0,3,35,1,0,0,15,88,8,2,33,30,26,17,24,7,44,32
107,2,0,18:43,1,1,26,0,3,7,1,0,0,15,88,8,2,33,30,26,17,24,7,44,32
108,2, ,18:42,3,1,0,0,0,0,0,0,0,15,88,8,2,33,30,26,17,24,7,44,32
109,2,0,18:42,4,0,38,26,2,0,0,0,0,20,19,38,4,55,30,26,17,24,8,44,32
110,2,0,18:27,13,0,20,8,2,0,0,0,0,20,19,89,4,55,30,26,17,24,8,44,32
111,2,0,17:40,7,1,14,0,3,22,1,0,0,20,19,89,2,33,30,11,14,94,2,53,32
112,2,0,17:24,5,1,2,89,1,0,0,0,0,20,19,89,2,33,30,11,14,94,2,53,32
113,2,0,17:00,5,1,3,8,1,0,0,0,0,15,88,8,2,33,30,61,15,41,3,7,32
114,2, ,16:58,3,1,0,0,0,0,0,0,0,15,88,8,2,33,30,61,15,41,3,7,32
115,2,0,16:58,4,0,38,15,2,0,0,0,0,34,29,38,3,44,30,61,15,41,3,7,32
116,2,0,16:42,7,1,3,0,3,56,2,0,0,34,29,38,3,44,30,61,15,41,3,7,32
117,2,0,16:34,5,1,61,44,3,0,0,0,0,34,29,38,3,44,30,61,15,41,3,7,32
118,2, ,16:27,3,6,0,0,0,0,0,0,0,34,29,38,3,44,30,61,15,41,3,7,32
119,2,0,16:27,4,0,38,28,2,0,0,0,0,34,29,38,3,44,30,28,54,23,2,53,32
120,2,0,16:17,5,1,2,38,3,0,0,0,0,34,29,38,3,44,30,28,54,23,2,53,32
121,2,0,15:51,5,1,2,16,1,0,0,0,0,11,16,17,3,44,30,28,54,23,2,53,32
122,2,0,15:45,5,0,17,53,3,0,0,0,0,11,16,17,4,55,30,28,54,23,2,53,32
123,2,0,15:29,1,1,28,0,3,39,1,0,0,11,16,17,4,55,30,28,54,23,2,53,32
124,2,0,15:19,8,1,94,0,2,0,0,0,0,20,16,19,4,55,30,11,14,94,8,44,32
125,2,0,15:11,1,1,11,0,3,26,3,0,0,20,16,19,4,55,30,11,14,94,8,44,32
126,2,0,14:39,9,1,94,0,2,0,0,0,0,20,19,89,2,33,30,11,14,94,8,44,32
127,2,0,14:33,6,1,8,89,2,0,0,0,0,20,19,89,2,33,30,11,14,94,8,44,32
128,2,1,14:33,4,0,20,26,3,0,0,0,0,11,20,88,17,3,30,26,28,3,7,32,0
129,2,-1,14:25,13,0,20,7,2,0,0,0,0,11,20,88,17,3,30,26,28,3,7,32,0
130,2,-1,14:08,1,1,7,0,2,162,2,0,0,11,20,88,17,3,30,26,28,3,7,32,0
131,2,1,14:06,7,0,11,0,3,25,6,0,0,11,20,88,17,3,30,26,28,3,7,32,0
132,2,1,13:57,8,0,88,0,3,0,0,0,0,11,20,88,17,3,30,26,28,3,7,32,0
133,2,-1,13:12,5,1,2,15,2,0,0,0,0,15,8,19,33,55,30,17,24,2,44,32,0
134,2,1,12:57,1,0,34,0,3,12,6,0,0,15,34,8,33,55,30,61,15,3,7,32,0
135,2, ,12:56,3,1,0,0,0,0,0,0,0,15,34,8,33,55,30,61,15,3,7,32,0
136,2,1,12:56,4,0,11,15,3,0,0,0,0,11,16,17,33,55,30,61,15,3,7,32,0
137,2, ,12:53,3,3,0,0,0,0,0,0,0,11,16,17,33,55,30,61,15,3,7,32,0
138,2,-1,12:53,4,1,11,15,2,0,0,0,0,11,16,17,33,55,30,61,15,3,7,32,0
139,2,1,12:35,1,0,16,0,3,29,1,0,0,11,16,17,33,55,30,61,15,3,7,32,0
140,2,0,12:30,1,0,17,0,3,38,2,0,0,11,16,17,33,55,30,61,15,3,7,8,32
141,2,0,12:26,7,0,55,0,3,44,1,0,0,11,16,17,33,55,30,61,15,3,7,8,32
