# 2009/10/08 
# PIT , PHI 
# 5 , 4 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,11,71,26,44,55,29,17,48,19,5,44,29
2,1,0,20:00,4,1,11,17,1,0,0,0,0,11,71,26,44,55,29,17,48,19,5,44,29
3,1,0,19:51,13,1,17,44,2,0,0,0,0,11,71,26,44,55,29,17,48,19,5,44,29
4,1,0,19:46,6,1,48,11,3,0,0,0,0,11,71,26,44,55,29,17,48,19,5,44,29
5,1,-1,19:46,4,1,13,18,2,0,0,0,0,71,87,13,55,58,29,18,14,20,77,29,0
6,1,1,19:12,2,0,71,0,3,46,2,55,58,71,87,13,55,58,29,18,14,20,77,29,0
7,1,0,19:12,4,1,11,28,1,0,0,0,0,11,48,24,7,74,29,36,28,45,55,77,29
8,1,0,18:54,5,1,45,24,3,0,0,0,0,11,48,24,7,74,29,36,28,45,55,77,29
9,1,0,18:47,1,1,45,0,3,17,3,0,0,11,48,24,7,74,29,36,28,45,55,77,29
10,1, ,18:45,3,1,0,0,0,0,0,0,0,11,48,24,7,74,29,36,28,45,55,77,29
11,1,0,18:45,4,1,74,14,3,0,0,0,0,27,9,26,3,74,29,14,13,32,55,77,29
12,1,0,18:41,6,1,14,27,3,0,0,0,0,27,9,26,3,74,29,14,13,32,55,77,29
13,1,0,18:41,6,0,27,14,2,0,0,0,0,27,9,26,3,74,29,13,32,55,77,29,0
14,1,0,18:41,4,1,71,17,3,0,0,0,0,71,9,26,3,74,29,17,48,19,5,44,29
15,1, ,18:14,3,2,0,0,0,0,0,0,0,71,9,26,3,74,29,17,48,19,5,44,29
16,1,0,18:14,4,0,87,18,1,0,0,0,0,87,13,14,44,55,29,18,27,12,20,25,29
17,1,0,17:40,5,1,18,44,3,0,0,0,0,87,13,14,44,55,29,18,27,12,20,25,29
18,1, ,17:20,3,10,0,0,0,0,0,0,0,17,71,28,7,58,29,17,13,32,20,25,29
19,1,0,17:20,4,0,71,17,1,0,0,0,0,17,71,28,7,58,29,17,13,32,20,25,29
20,1,0,17:08,13,0,17,20,2,0,0,0,0,17,71,28,7,58,29,17,13,32,20,25,29
21,1, ,17:07,3,2,0,0,0,0,0,0,0,17,71,28,7,58,29,17,13,32,20,25,29
22,1,0,17:07,4,1,11,28,1,0,0,0,0,11,48,24,3,74,29,36,28,45,55,77,29
23,1,0,16:42,5,1,45,11,3,0,0,0,0,11,48,24,3,74,29,36,28,45,55,77,29
24,1,0,16:30,9,1,55,0,2,0,0,0,0,11,48,24,3,74,29,36,28,45,55,77,29
25,1,0,16:25,13,0,3,36,2,0,0,0,0,11,48,24,3,74,29,36,28,45,55,77,29
26,1,0,16:17,8,1,28,0,2,0,0,0,0,11,48,24,3,74,29,36,28,45,55,77,29
27,1, ,15:59,3,6,0,0,0,0,0,0,0,87,13,14,7,58,29,17,48,19,5,20,29
28,1,0,15:59,4,0,87,17,3,0,0,0,0,87,13,14,7,58,29,17,48,19,5,20,29
29,1,0,15:17,13,1,20,13,2,0,0,0,0,87,13,14,7,58,29,17,48,19,20,25,29
30,1,0,14:59,7,1,20,0,3,31,2,0,0,71,9,26,44,55,29,18,27,12,20,25,29
31,1,0,14:54,8,0,71,0,2,0,0,0,0,71,9,26,44,55,29,18,27,12,5,44,29
32,1,0,14:47,6,0,71,5,3,0,0,0,0,71,9,26,44,55,29,18,27,12,5,44,29
33,1,1,14:47,4,1,24,18,3,0,0,0,0,11,24,44,55,29,0,18,28,12,5,44,29
34,1,-1,14:33,1,0,44,0,2,146,2,0,0,11,24,44,55,29,0,18,28,12,5,44,29
35,1,-1,13:59,1,0,14,0,3,28,6,0,0,87,14,7,74,29,0,18,28,12,20,25,29
36,1,1,13:51,1,1,12,0,3,22,1,0,0,87,14,7,74,29,0,18,28,12,20,25,29
37,1, ,13:50,3,4,0,0,0,0,0,0,0,87,14,7,74,29,0,18,28,12,20,25,29
38,1,1,13:50,4,1,9,17,3,0,0,0,0,11,9,44,55,29,0,17,48,19,5,44,29
39,1,1,13:25,1,1,5,0,3,46,2,0,0,11,9,44,55,29,0,17,48,19,5,44,29
40,1, ,13:25,3,1,0,0,0,0,0,0,0,11,9,44,55,29,0,17,48,19,5,44,29
41,1,1,13:25,4,1,27,17,3,0,0,0,0,27,24,7,58,29,0,17,48,19,5,44,29
42,1,1,13:10,1,1,17,0,3,10,1,0,0,27,24,7,58,29,0,17,48,19,5,44,29
43,1, ,13:09,3,1,0,0,0,0,0,0,0,27,24,7,58,29,0,17,48,19,5,44,29
44,1,-1,13:09,4,0,27,17,2,0,0,0,0,27,24,7,58,29,0,17,48,19,5,44,29
45,1,-1,13:00,1,0,27,0,2,122,3,0,0,27,24,7,58,29,0,17,48,19,5,44,29
46,1,0,12:44,8,1,17,0,3,0,0,0,0,71,27,24,7,58,29,17,48,19,5,44,29
47,1,0,12:42,13,1,17,58,2,0,0,0,0,71,27,24,7,58,29,17,48,19,5,44,29
48,1,0,12:09,5,1,20,71,2,0,0,0,0,48,71,26,3,74,29,27,36,28,20,25,29
49,1,0,11:53,13,1,25,74,2,0,0,0,0,48,87,26,3,74,29,27,36,28,20,25,29
50,1,0,11:21,13,0,55,44,2,0,0,0,0,87,13,14,44,55,29,18,28,12,5,44,29
51,1,0,11:05,13,1,5,14,2,0,0,0,0,87,13,14,44,55,29,18,28,12,5,77,29
52,1,0,10:57,13,1,12,87,2,0,0,0,0,87,13,14,44,55,29,18,28,12,5,77,29
53,1,0,10:55,1,1,12,0,3,12,6,0,0,87,13,14,44,55,29,18,28,12,5,77,29
54,1, ,10:55,3,0,0,0,0,0,0,0,0,87,13,14,44,55,29,18,28,12,5,77,29
55,1,0,10:55,4,0,11,14,2,0,0,0,0,11,48,24,3,74,29,14,13,32,55,77,29
56,1, ,10:44,3,6,0,0,0,0,0,0,0,11,48,24,3,74,29,14,13,32,55,77,29
57,1,0,10:44,4,1,48,28,3,0,0,0,0,11,48,24,3,74,29,36,28,45,55,77,29
58,1, ,10:02,3,2,0,0,0,0,0,0,0,11,48,24,7,58,29,36,28,45,55,77,29
59,1,0,10:02,4,1,17,14,1,0,0,0,0,17,27,28,7,58,29,14,13,32,5,44,29
60,1,0,8:55,8,1,17,0,2,0,0,0,0,71,9,26,44,55,29,17,48,19,20,25,29
61,1,0,8:50,1,1,17,0,3,41,3,0,0,71,9,26,44,55,29,17,48,19,20,25,29
62,1, ,8:50,3,0,0,0,0,0,0,0,0,71,9,26,44,55,29,17,48,19,20,25,29
63,1,0,8:50,4,0,87,18,2,0,0,0,0,87,13,14,44,55,29,18,27,12,20,25,29
64,1,0,8:30,9,0,29,0,2,0,0,0,0,87,13,14,44,55,29,18,27,12,20,25,29
65,1,0,8:26,5,0,14,20,2,0,0,0,0,87,13,14,44,55,29,18,27,12,20,25,29
66,1,0,8:20,7,1,25,0,3,53,3,0,0,87,13,14,44,55,29,18,27,12,20,25,29
67,1,0,8:12,1,1,12,0,3,10,4,0,0,87,13,14,44,55,29,18,27,12,20,25,29
68,1, ,8:12,3,1,0,0,0,0,0,0,0,87,13,14,44,55,29,18,27,12,20,25,29
69,1,0,8:12,4,1,11,17,3,0,0,0,0,11,71,26,3,74,29,17,48,19,5,44,29
70,1,0,8:07,2,1,48,0,3,8,6,5,17,11,71,26,3,74,29,17,48,19,5,44,29
71,1,0,8:07,4,0,11,17,1,0,0,0,0,11,71,26,7,58,29,17,48,19,5,44,29
