# 2009/10/12 
# L.A , NYI 
# 2 , 1 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,26,17,24,6,8,32,10,28,57,25,44,43
2,1,0,20:00,4,1,26,10,1,0,0,0,0,26,17,24,6,8,32,10,28,57,25,44,43
3,1,0,19:28,9,1,25,0,2,0,0,0,0,26,17,24,2,44,32,10,28,26,25,44,43
4,1,0,19:15,1,0,24,0,3,22,1,0,0,26,17,24,2,44,32,10,28,26,25,44,43
5,1,0,19:02,9,0,24,0,3,0,0,0,0,26,17,24,2,44,32,91,21,26,25,44,43
6,1,0,18:46,13,0,14,24,2,0,0,0,0,11,14,94,2,44,32,91,21,26,2,24,43
7,1, ,18:41,3,4,0,0,0,0,0,0,0,11,14,94,3,7,32,91,21,26,2,24,43
8,1,0,18:41,4,0,28,12,3,0,0,0,0,28,54,23,3,7,32,12,40,20,8,32,43
9,1,0,18:34,13,0,23,32,2,0,0,0,0,28,54,23,3,7,32,12,40,20,8,32,43
10,1,0,18:32,1,0,54,0,3,20,1,0,0,28,54,23,3,7,32,12,40,20,8,32,43
11,1, ,18:32,3,1,0,0,0,0,0,0,0,11,14,94,3,7,32,12,40,20,2,24,43
12,1,0,18:32,4,0,11,12,3,0,0,0,0,11,14,94,3,7,32,12,40,20,2,24,43
13,1,0,18:02,1,1,12,0,3,18,1,0,0,11,14,94,3,7,32,12,40,20,2,24,43
14,1,0,16:27,13,1,26,44,2,0,0,0,0,15,41,2,5,44,32,91,21,26,25,44,43
15,1,0,16:22,5,1,21,5,3,0,0,0,0,15,41,2,5,44,32,91,21,26,25,44,43
16,1,0,15:59,5,1,21,44,3,0,0,0,0,15,24,2,5,44,32,91,21,26,25,44,43
17,1,0,15:43,5,1,26,26,3,0,0,0,0,26,17,24,3,7,32,91,40,26,25,44,43
18,1,0,15:27,8,0,7,0,2,0,0,0,0,26,17,24,3,7,32,93,40,20,2,24,43
19,1,0,15:19,5,1,40,26,3,0,0,0,0,26,17,24,3,7,32,10,40,20,2,24,43
20,1,0,15:13,7,0,17,0,3,41,3,0,0,26,17,24,3,7,32,10,16,20,2,24,43
21,1,0,15:03,1,1,10,0,3,30,1,0,0,26,17,24,3,7,32,10,28,16,2,24,43
22,1,0,14:55,7,1,24,0,3,62,2,0,0,26,17,24,3,7,32,10,28,16,24,32,43
23,1,0,14:42,5,1,32,17,1,0,0,0,0,26,17,24,6,8,32,12,21,20,24,32,43
24,1,0,14:33,9,1,20,0,3,0,0,0,0,26,17,24,6,8,32,12,21,20,24,32,43
25,1,0,14:23,1,1,12,0,3,57,1,0,0,26,17,24,6,8,32,12,16,20,24,32,43
26,1,0,12:45,1,0,24,0,3,7,6,0,0,26,17,24,3,7,32,91,21,26,2,24,43
27,1,0,12:25,1,1,26,0,2,124,1,0,0,26,17,24,3,7,32,91,21,26,2,24,43
28,1, ,12:06,3,6,0,0,0,0,0,0,0,15,41,5,6,8,32,91,21,26,2,24,43
29,1,0,12:06,4,0,15,91,3,0,0,0,0,15,41,5,6,8,32,91,21,26,2,24,43
30,1,0,11:51,7,0,5,0,3,46,1,0,0,15,41,5,6,8,32,12,40,26,2,24,43
31,1, ,11:51,3,1,0,0,0,0,0,0,0,15,41,5,6,8,32,10,40,26,2,24,43
32,1,0,11:51,6,1,40,41,2,0,0,0,0,15,41,5,6,8,32,10,40,26,2,24,43
33,1, ,11:51,3,9,0,0,0,0,0,0,0,15,41,5,6,8,32,10,26,2,24,43,0
34,1,0,11:51,6,0,41,40,3,0,0,0,0,15,41,5,6,8,32,10,26,2,24,43,0
35,1,0,11:51,4,0,11,10,3,0,0,0,0,11,14,94,6,8,32,10,28,57,8,32,43
36,1,0,11:45,8,1,57,0,2,0,0,0,0,11,14,94,6,8,32,10,28,57,8,32,43
37,1,0,11:41,13,1,28,6,2,0,0,0,0,11,14,94,6,8,32,10,28,57,8,32,43
