# 2009/10/16 
# VAN , CGY 
# 3 , 5 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,17,26,21,3,8,1,22,15,17,3,28,34
2,1,0,20:00,4,0,17,22,1,0,0,0,0,17,26,21,3,8,1,22,15,17,3,28,34
3,1,0,19:43,1,0,26,0,3,48,1,0,0,17,26,21,5,55,1,22,15,17,3,28,34
4,1, ,19:43,3,1,0,0,0,0,0,0,0,17,26,21,5,55,1,22,15,17,3,28,34
5,1,0,19:43,4,1,33,21,2,0,0,0,0,33,40,14,5,8,1,21,11,23,4,6,34
6,1,0,19:11,13,0,5,23,2,0,0,0,0,33,40,14,5,55,1,21,11,23,4,6,34
7,1,0,18:59,8,1,21,0,2,0,0,0,0,33,40,14,5,55,1,21,11,23,4,6,34
8,1,0,18:29,5,1,20,3,2,0,0,0,0,17,26,21,3,8,1,24,12,20,5,7,34
9,1,0,18:19,9,0,26,0,2,0,0,0,0,17,26,21,3,8,1,24,12,20,5,7,34
10,1,0,18:17,1,1,20,0,3,38,2,0,0,17,26,21,3,8,1,24,12,20,5,7,34
11,1, ,18:16,3,1,0,0,0,0,0,0,0,10,42,18,23,29,1,21,11,23,3,28,34
12,1,0,18:16,4,0,10,23,2,0,0,0,0,10,42,18,23,29,1,21,11,23,3,28,34
13,1,0,18:09,13,1,11,23,2,0,0,0,0,10,42,18,23,29,1,21,11,23,3,28,34
14,1,0,18:06,8,1,23,0,1,0,0,0,0,10,42,18,23,29,1,21,11,23,3,28,34
15,1,0,17:28,6,1,10,24,1,0,0,0,0,37,15,24,5,23,1,16,10,33,4,5,34
16,1,0,17:28,6,0,24,10,1,0,0,0,0,37,15,24,5,23,1,16,33,4,5,34,0
17,1,0,17:28,6,1,33,15,2,0,0,0,0,37,15,5,23,1,0,16,33,4,5,34,0
18,1,0,17:28,6,0,15,33,3,0,0,0,0,37,15,5,23,1,0,16,4,5,34,0,0
19,1,0,17:28,4,1,33,24,1,0,0,0,0,33,40,14,5,55,1,24,12,20,4,6,34
20,1,0,17:13,8,1,20,0,3,0,0,0,0,33,40,14,5,8,1,24,12,20,4,6,34
21,1,0,17:09,6,0,33,20,2,0,0,0,0,33,40,14,5,8,1,24,12,20,4,6,34
22,1,-1,17:09,4,0,10,20,2,0,0,0,0,10,21,3,8,1,0,21,12,20,3,4,34
23,1,1,16:27,1,1,21,0,3,38,2,0,0,10,21,3,8,1,0,21,12,20,3,4,34
24,1,1,16:15,1,1,12,0,3,23,1,0,0,10,21,3,8,1,0,21,12,20,3,4,34
25,1,1,16:12,1,1,12,0,3,13,1,0,0,10,21,3,8,1,0,21,12,20,3,4,34
26,1,-1,16:05,13,1,3,8,2,0,0,0,0,10,21,3,8,1,0,21,12,20,3,4,34
27,1,1,15:58,7,1,12,0,3,43,1,0,0,10,21,3,8,1,0,21,12,20,3,4,34
28,1,1,15:33,5,1,15,17,2,0,0,0,0,17,14,5,23,1,0,22,15,17,5,6,34
29,1,1,15:11,5,1,17,17,3,0,0,0,0,17,14,5,23,1,0,22,15,17,7,28,34
30,1,0,15:02,13,1,17,5,2,0,0,0,0,17,33,14,5,23,1,22,15,17,7,28,34
31,1,0,15:00,5,1,17,14,3,0,0,0,0,17,33,14,5,23,1,22,15,17,7,28,34
32,1,0,14:53,5,1,17,5,3,0,0,0,0,17,33,14,5,23,1,22,11,17,7,28,34
33,1,0,14:43,8,1,7,0,2,0,0,0,0,33,40,14,29,55,1,16,11,23,7,28,34
34,1,0,14:37,7,1,16,0,3,13,3,0,0,33,40,14,29,55,1,16,11,23,4,28,34
35,1,0,14:26,1,1,4,0,3,65,2,0,0,33,40,14,29,55,1,16,11,23,4,28,34
36,1, ,14:25,3,1,0,0,0,0,0,0,0,33,40,14,29,55,1,16,11,23,4,28,34
37,1,0,14:25,4,1,42,24,3,0,0,0,0,10,42,18,3,8,1,24,12,20,3,28,34
38,1,0,14:14,13,1,20,8,2,0,0,0,0,10,42,18,3,8,1,24,12,20,3,28,34
39,1,0,13:51,13,0,10,24,2,0,0,0,0,10,42,18,3,8,1,24,12,20,3,28,34
40,1,0,13:49,9,1,24,0,2,0,0,0,0,10,42,18,3,8,1,24,12,20,3,28,34
