# 2009/10/17 
# S.J , NYI 
# 4 , 1 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,12,16,29,4,44,20,10,28,20,25,38,43
2,1,0,20:00,4,1,12,10,1,0,0,0,0,12,16,29,4,44,20,10,28,20,25,38,43
3,1, ,19:45,3,6,0,0,0,0,0,0,0,12,16,29,4,44,20,10,28,20,25,38,43
4,1,0,19:45,4,0,12,10,3,0,0,0,0,12,16,29,4,44,20,10,28,20,25,38,43
5,1,0,19:32,13,0,16,25,2,0,0,0,0,12,16,29,4,44,20,10,28,20,25,38,43
6,1, ,19:23,3,5,0,0,0,0,0,0,0,12,16,29,4,44,20,10,28,20,25,38,43
7,1,0,19:23,4,1,19,91,1,0,0,0,0,19,21,15,3,22,20,91,21,26,2,24,43
8,1,0,19:01,1,0,19,0,3,15,4,0,0,19,21,15,3,22,20,91,21,26,2,24,43
9,1,0,18:37,1,1,26,0,3,47,2,0,0,27,78,41,40,60,20,91,16,26,2,24,43
10,1,0,18:15,7,0,78,0,3,58,2,0,0,27,78,41,40,60,20,13,93,16,32,44,43
11,1,0,18:12,5,1,93,60,2,0,0,0,0,27,78,41,40,60,20,13,93,16,32,44,43
12,1,0,17:15,7,0,53,0,3,25,6,0,0,19,53,45,4,44,20,12,20,57,25,38,43
13,1,0,17:06,5,1,57,44,2,0,0,0,0,19,53,29,4,44,20,12,20,57,25,38,43
14,1,0,16:40,7,1,91,0,3,40,3,0,0,12,16,29,4,44,20,91,21,26,2,24,43
15,1,0,16:39,5,0,29,21,2,0,0,0,0,12,16,29,4,44,20,91,21,26,2,24,43
16,1,0,16:10,1,1,26,0,3,14,5,0,0,12,16,29,22,65,20,91,21,26,2,24,43
17,1,0,15:34,1,1,10,0,3,47,1,0,0,19,21,15,3,40,20,10,28,16,32,44,43
18,1,0,15:20,5,0,3,28,2,0,0,0,0,19,21,15,3,40,20,10,28,16,32,44,43
19,1,0,15:02,1,1,13,0,3,56,1,0,0,27,78,41,4,44,20,13,93,28,25,38,43
20,1, ,15:01,3,1,0,0,0,0,0,0,0,27,78,41,4,44,20,13,93,28,25,38,43
21,1,0,15:01,4,1,27,13,3,0,0,0,0,27,78,41,4,44,20,13,93,21,25,38,43
22,1,0,14:54,1,1,38,0,3,23,6,0,0,27,78,41,4,44,20,13,93,21,25,38,43
23,1,0,14:44,1,0,78,0,3,24,1,0,0,27,78,41,4,44,20,13,93,21,25,38,43
24,1,0,14:35,13,0,4,21,2,0,0,0,0,27,78,41,4,44,20,13,93,21,25,38,43
25,1,0,14:28,1,0,44,0,3,59,1,0,0,27,78,41,4,44,20,13,93,21,25,38,43
26,1, ,14:26,3,1,0,0,0,0,0,0,0,27,78,41,4,44,20,13,93,21,25,38,43
27,1,0,14:26,4,1,15,12,2,0,0,0,0,53,15,45,3,22,20,12,20,57,2,24,43
