# 2009/10/17 
# T.B , PIT 
# 1 , 4 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,4,26,13,5,77,30,11,48,24,7,58,29
2,1,0,20:00,4,0,4,11,1,0,0,0,0,4,26,13,5,77,30,11,48,24,7,58,29
3,1, ,19:36,3,6,0,0,0,0,0,0,0,4,26,13,5,77,30,11,48,24,7,58,29
4,1,0,19:36,4,1,4,87,3,0,0,0,0,4,26,13,5,77,30,71,87,14,44,55,29
5,1, ,18:51,3,3,0,0,0,0,0,0,0,11,43,16,8,54,30,71,87,14,44,55,29
6,1,0,18:51,4,0,28,27,1,0,0,0,0,28,9,19,8,54,30,13,27,26,3,74,29
7,1,0,17:56,5,0,12,58,3,0,0,0,0,91,26,12,6,14,30,17,71,9,7,58,29
8,1,0,17:49,7,1,17,0,3,53,2,0,0,91,26,12,6,14,30,17,71,9,7,58,29
9,1, ,17:41,3,0,0,0,0,0,0,0,0,91,26,12,5,77,30,17,71,9,7,58,29
10,1,0,17:41,4,0,4,11,3,0,0,0,0,4,9,13,5,77,30,11,48,24,44,55,29
11,1, ,17:27,3,6,0,0,0,0,0,0,0,4,9,13,5,77,30,11,48,24,44,55,29
12,1,0,17:27,4,1,4,11,3,0,0,0,0,4,9,13,5,77,30,11,48,24,44,55,29
13,1,0,17:11,5,1,24,5,3,0,0,0,0,4,9,13,5,77,30,11,48,24,44,55,29
14,1,0,17:06,5,1,44,9,1,0,0,0,0,4,9,13,5,77,30,11,48,24,44,55,29
15,1,0,16:56,13,1,24,13,2,0,0,0,0,4,9,13,5,14,30,11,48,24,3,55,29
16,1,0,16:51,5,1,11,9,3,0,0,0,0,4,9,13,5,14,30,11,48,24,3,55,29
17,1,0,16:41,1,1,11,0,3,12,5,0,0,4,13,16,5,14,30,11,48,24,3,74,29
18,1,0,16:20,6,0,16,48,3,0,0,0,0,11,43,16,14,21,30,11,48,87,14,3,74
19,1,-1,16:20,4,0,11,87,2,0,0,0,0,11,12,8,54,30,0,71,87,13,3,55,29
20,1,1,16:03,1,1,13,0,3,13,3,0,0,11,12,8,54,30,0,71,87,13,3,55,29
21,1, ,16:02,3,4,0,0,0,0,0,0,0,11,12,8,54,30,0,71,87,13,3,55,29
22,1,1,16:02,4,1,11,87,3,0,0,0,0,11,43,8,54,30,0,71,87,13,3,55,29
23,1,1,15:54,1,1,3,0,3,46,1,0,0,11,43,8,54,30,0,71,87,13,3,55,29
24,1,1,15:48,1,1,71,0,3,39,1,0,0,11,43,8,54,30,0,71,87,13,3,55,29
25,1,1,15:28,1,1,71,0,3,34,1,0,0,11,43,8,54,30,0,71,87,13,3,55,29
26,1,-1,15:13,13,1,71,8,2,0,0,0,0,11,43,8,54,30,0,71,87,13,3,55,29
27,1,1,15:04,1,1,71,0,3,32,1,0,0,11,43,8,54,30,0,71,87,13,3,55,29
28,1,1,15:03,2,1,13,0,3,12,1,71,3,11,43,8,54,30,0,71,87,13,3,55,29
29,1,0,15:03,4,0,91,11,1,0,0,0,0,91,26,12,5,77,30,11,48,24,7,58,29
30,1, ,14:39,3,3,0,0,0,0,0,0,0,91,26,12,5,77,30,11,48,24,7,58,29
31,1,0,14:39,4,0,4,27,3,0,0,0,0,4,9,13,14,21,30,17,27,28,44,55,29
32,1,0,14:27,1,0,4,0,3,43,1,0,0,4,9,13,14,21,30,17,27,28,44,55,29
33,1, ,14:26,3,1,0,0,0,0,0,0,0,4,9,13,14,21,30,17,27,28,44,55,29
34,1,0,14:26,4,0,28,27,3,0,0,0,0,28,43,19,6,14,30,17,27,28,3,74,29
35,1,0,14:21,13,0,6,28,2,0,0,0,0,28,43,19,6,14,30,17,27,28,3,74,29
36,1,0,14:20,6,1,3,19,2,0,0,0,0,28,43,19,6,14,30,17,27,28,3,74,29
37,1,1,14:20,4,0,4,11,3,0,0,0,0,4,91,26,12,77,30,11,24,7,74,29,0
38,1,-1,13:51,13,0,4,74,2,0,0,0,0,4,91,26,12,77,30,11,24,7,74,29,0
39,1,-1,13:40,13,0,91,55,2,0,0,0,0,4,91,26,12,77,30,11,24,7,55,29,0
40,1, ,13:39,3,4,0,0,0,0,0,0,0,4,91,26,12,77,30,11,24,7,55,29,0
41,1,-1,13:39,4,1,4,27,2,0,0,0,0,4,26,13,6,14,30,27,9,44,55,29,0
42,1,-1,13:10,9,1,44,0,2,0,0,0,0,4,26,13,6,14,30,27,9,44,55,29,0
43,1,-1,12:45,9,1,44,0,2,0,0,0,0,4,26,13,6,14,30,27,9,44,55,29,0
44,1,1,12:43,9,0,26,0,LOUIS Off. Zone,0,0,0,0,4,26,13,6,14,30,27,9,44,55,29,0
45,1,-1,12:26,5,1,7,9,2,0,0,0,0,91,9,12,5,77,30,14,24,7,58,29,0
46,1,1,12:21,7,0,77,0,3,56,2,0,0,91,9,12,5,77,30,14,24,7,58,29,0
47,1,0,12:17,13,0,5,24,2,0,0,0,0,91,9,12,5,77,30,14,24,3,7,58,29
48,1,0,11:41,5,0,77,71,2,0,0,0,0,91,9,12,5,77,30,71,14,24,7,58,29
49,1,0,11:33,5,1,71,12,2,0,0,0,0,11,12,16,8,54,30,71,87,14,7,58,29
50,1,0,11:31,5,0,11,71,3,0,0,0,0,11,12,16,8,54,30,71,87,14,7,58,29
51,1,0,10:52,5,1,28,43,3,0,0,0,0,11,43,16,8,54,30,87,28,26,3,74,29
52,1,0,10:38,5,0,28,74,3,0,0,0,0,28,43,16,14,21,30,27,28,26,3,74,29
53,1,0,10:09,5,0,28,44,3,0,0,0,0,28,13,19,14,21,30,27,28,26,44,55,29
54,1,0,10:05,5,0,19,26,1,0,0,0,0,28,13,19,14,21,30,27,28,26,44,55,29
55,1, ,9:46,3,0,0,0,0,0,0,0,0,91,26,12,5,77,30,13,27,28,44,55,29
56,1,0,9:46,4,0,28,11,1,0,0,0,0,28,43,19,5,77,30,11,48,24,3,74,29
57,1,0,9:37,5,1,74,28,2,0,0,0,0,28,43,19,5,77,30,11,48,24,3,74,29
58,1, ,9:23,3,2,0,0,0,0,0,0,0,28,43,19,5,77,30,11,48,24,3,74,29
59,1,0,9:23,4,0,4,87,1,0,0,0,0,4,9,13,6,54,30,87,13,14,7,58,29
60,1,0,9:06,7,0,6,0,3,62,2,0,0,4,9,13,6,54,30,87,13,14,7,58,29
61,1,0,8:49,7,1,58,0,3,41,1,0,0,4,9,13,6,54,30,87,13,14,7,58,29
62,1, ,8:48,3,4,0,0,0,0,0,0,0,4,9,13,6,54,30,87,13,14,7,58,29
63,1,0,8:48,4,1,11,71,1,0,0,0,0,11,16,19,14,21,30,71,9,26,44,55,29
64,1,0,8:01,5,1,9,21,1,0,0,0,0,91,26,12,14,21,30,71,9,26,44,55,29
65,1,0,7:56,1,0,12,0,3,8,4,0,0,91,26,12,5,77,30,71,9,26,44,55,29
66,1, ,7:55,3,0,0,0,0,0,0,0,0,91,26,12,5,77,30,71,9,26,44,55,29
67,1,0,7:55,4,1,91,11,2,0,0,0,0,91,26,12,5,77,30,11,48,24,44,55,29
68,1,0,7:40,7,1,24,0,3,38,2,0,0,91,26,12,5,77,30,11,48,24,44,55,29
69,1,0,7:25,1,0,26,0,3,52,0,0,0,91,26,12,5,77,30,11,48,24,44,55,29
70,1, ,7:23,3,1,0,0,0,0,0,0,0,91,26,12,5,77,30,11,48,24,44,55,29
71,1,0,7:23,4,0,4,87,3,0,0,0,0,4,9,13,8,54,30,87,13,14,7,58,29
72,1,0,7:19,1,0,9,0,3,18,5,0,0,4,9,13,8,54,30,87,13,14,7,58,29
73,1,0,7:10,1,0,54,0,3,16,1,0,0,4,9,13,8,54,30,87,13,14,7,58,29
74,1,0,6:02,5,1,28,14,3,0,0,0,0,11,43,16,6,14,30,17,27,28,3,74,29
75,1,0,5:48,8,0,43,0,3,0,0,0,0,43,91,26,5,77,30,17,27,28,3,74,29
76,1,0,5:33,1,0,12,0,3,42,1,0,0,91,26,12,5,77,30,17,27,28,3,74,29
77,1,0,5:26,13,0,91,3,2,0,0,0,0,91,26,12,5,77,30,17,27,28,3,74,29
78,1,0,4:13,13,0,4,74,2,0,0,0,0,4,9,13,6,54,30,71,9,26,3,74,29
79,1,0,3:55,7,1,26,0,3,44,1,0,0,4,9,13,6,54,30,48,71,26,3,74,29
80,1,0,3:28,5,0,9,58,2,0,0,0,0,4,9,13,6,54,30,48,71,26,7,58,29
81,1,0,3:22,9,1,26,0,3,0,0,0,0,4,9,13,6,54,30,48,71,26,7,58,29
82,1,0,3:02,5,0,14,11,2,0,0,0,0,91,26,12,14,21,30,11,48,24,44,55,29
83,1, ,2:55,3,6,0,0,0,0,0,0,0,91,26,12,14,21,30,11,48,24,44,55,29
84,1,0,2:55,4,1,91,87,3,0,0,0,0,91,26,12,14,21,30,87,13,14,44,55,29
85,1,0,2:50,2,1,55,0,3,58,2,44,87,91,26,12,14,21,30,87,13,14,44,55,29
86,1,0,2:50,4,1,28,87,1,0,0,0,0,28,16,19,5,77,30,87,13,14,44,55,29
87,1,0,2:13,5,1,44,16,2,0,0,0,0,11,16,19,5,8,30,87,27,14,44,55,29
88,1,0,2:09,7,0,5,0,3,57,2,0,0,11,16,19,5,8,30,87,27,14,44,55,29
89,1,0,2:05,5,0,16,44,3,0,0,0,0,11,16,19,5,8,30,87,27,14,44,55,29
90,1,0,1:54,5,1,87,8,3,0,0,0,0,11,43,26,5,8,30,17,87,27,55,58,29
91,1,0,1:50,13,1,17,5,2,0,0,0,0,11,43,26,5,8,30,17,87,27,7,58,29
92,1,0,1:46,5,1,58,43,2,0,0,0,0,11,43,26,8,54,30,17,87,27,7,58,29
93,1,0,1:29,9,0,43,0,1,0,0,0,0,4,43,9,8,54,30,11,17,27,7,58,29
94,1,0,1:25,1,1,17,0,3,41,1,0,0,4,43,9,8,54,30,11,17,27,7,58,29
95,1,0,1:15,5,1,17,9,3,0,0,0,0,4,43,9,8,54,30,11,17,27,7,58,29
96,1,0,0:58,9,0,9,0,2,0,0,0,0,4,9,13,6,14,30,11,48,24,3,74,29
97,1,0,0:34,8,1,24,0,3,0,0,0,0,91,26,13,6,14,30,48,71,24,3,74,29
98,1,0,0:30,1,1,48,0,3,21,1,0,0,91,26,13,6,14,30,48,71,24,3,74,29
99,1,0,0:18,9,1,71,0,3,0,0,0,0,91,26,13,6,14,30,48,71,24,3,74,29
100,1,0,0:09,1,1,71,0,3,43,1,0,0,91,26,12,5,77,30,48,71,24,3,74,29
101,1, ,0:00,11,0,0,0,0,0,0,0,0,91,26,12,5,77,30,48,71,24,3,74,29
102,2, ,20:00,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,2,0,20:00,4,1,91,87,1,0,0,0,0,91,26,12,5,77,30,87,13,14,7,58,29
104,2,0,19:41,1,1,58,0,3,59,2,0,0,91,26,12,5,77,30,87,13,14,7,58,29
105,2,0,19:35,1,1,58,0,3,59,2,0,0,91,26,12,5,77,30,87,13,14,7,58,29
106,2,0,19:19,13,1,14,5,2,0,0,0,0,91,26,12,5,77,30,87,13,14,7,58,29
107,2,0,19:10,6,1,87,77,3,0,0,0,0,4,9,13,6,14,30,87,13,14,7,58,29
108,2,-1,19:10,4,1,4,11,2,0,0,0,0,4,9,13,6,14,30,11,24,44,55,29,0
109,2,-1,18:26,13,0,14,11,2,0,0,0,0,4,9,13,6,14,30,11,24,7,74,29,0
110,2,1,18:19,9,0,4,0,1,0,0,0,0,4,9,13,6,14,30,11,24,7,74,29,0
111,2,-1,17:17,13,0,5,74,2,0,0,0,0,91,26,12,5,77,30,27,9,44,74,29,0
112,2,0,17:09,1,0,5,0,3,39,3,0,0,91,26,12,5,77,30,87,27,9,44,74,29
113,2, ,17:08,3,1,0,0,0,0,0,0,0,91,26,12,5,77,30,87,27,9,44,74,29
