# 2009/10/19 
# VAN , EDM 
# 1 , 2 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,17,40,21,8,23,1,19,89,27,37,77,35
2,1,0,20:00,4,0,17,89,1,0,0,0,0,17,40,21,8,23,1,19,89,27,37,77,35
3,1,0,19:45,5,0,21,77,3,0,0,0,0,17,40,21,3,55,1,19,89,27,37,77,35
4,1,0,19:36,1,0,21,0,3,18,5,0,0,17,40,21,3,55,1,19,89,27,37,77,35
5,1,0,19:32,8,0,17,0,3,0,0,0,0,17,40,21,3,55,1,19,89,27,37,77,35
6,1,0,18:50,1,0,14,0,3,14,1,0,0,33,26,14,8,23,1,10,83,22,5,71,35
7,1,0,18:28,1,1,12,0,3,15,3,0,0,33,49,26,8,23,1,10,12,32,41,43,35
8,1, ,18:11,3,6,0,0,0,0,0,0,0,42,49,18,5,23,1,12,32,91,41,43,35
9,1,0,18:11,4,0,42,91,2,0,0,0,0,42,49,18,5,23,1,12,32,91,41,43,35
10,1,0,17:38,13,1,91,18,2,0,0,0,0,42,49,18,5,29,1,12,32,91,37,77,35
11,1,0,17:20,5,0,42,37,3,0,0,0,0,37,42,15,3,55,1,13,46,18,37,77,35
12,1,0,17:13,1,1,18,0,3,54,1,0,0,10,37,15,3,55,1,13,46,18,37,77,35
13,1, ,17:13,3,1,0,0,0,0,0,0,0,10,37,15,3,55,1,13,46,18,37,77,35
14,1,0,17:13,4,0,10,13,2,0,0,0,0,10,37,15,3,55,1,13,46,18,37,77,35
15,1,0,17:10,6,0,37,46,2,0,0,0,0,10,37,15,3,55,1,13,46,18,37,77,35
16,1,0,17:10,6,1,46,37,3,0,0,0,0,10,15,3,55,1,0,13,46,18,37,77,35
17,1,0,17:10,4,0,10,13,2,0,0,0,0,10,18,15,3,55,1,13,32,18,37,77,35
18,1,0,17:03,5,1,18,15,3,0,0,0,0,10,18,15,3,55,1,13,32,18,37,77,35
19,1,0,16:49,7,0,55,0,3,56,2,0,0,10,18,15,3,55,1,13,32,18,37,77,35
20,1,0,16:15,8,0,17,0,3,0,0,0,0,17,40,21,8,23,1,19,89,27,5,71,35
21,1, ,15:59,3,6,0,0,0,0,0,0,0,17,40,21,8,23,1,19,89,27,5,71,35
22,1,0,15:59,4,1,33,89,2,0,0,0,0,33,26,14,5,29,1,19,89,27,5,71,35
23,1,0,15:31,8,1,71,0,1,0,0,0,0,33,26,14,5,29,1,19,89,27,5,71,35
24,1,0,15:28,13,1,27,29,2,0,0,0,0,33,26,14,5,29,1,19,89,27,5,71,35
25,1,0,15:19,9,0,14,0,2,0,0,0,0,33,26,14,5,29,1,19,89,22,41,43,35
26,1,0,15:16,1,1,89,0,3,20,3,0,0,33,26,14,5,29,1,19,89,22,41,43,35
27,1,0,15:01,7,1,43,0,3,59,2,0,0,33,26,14,5,29,1,19,89,22,41,43,35
28,1, ,14:41,3,10,0,0,0,0,0,0,0,17,40,21,3,8,1,10,83,22,37,77,35
29,1,0,14:41,4,0,17,10,1,0,0,0,0,17,40,21,3,8,1,10,83,22,37,77,35
30,1,0,14:30,1,0,17,0,3,41,3,0,0,17,40,21,3,8,1,10,83,22,37,77,35
31,1,0,14:25,5,0,21,83,3,0,0,0,0,17,40,21,3,8,1,10,83,22,37,77,35
32,1,0,14:16,1,0,17,0,3,20,1,0,0,17,40,21,3,8,1,10,83,22,37,77,35
33,1,0,13:59,9,1,10,0,2,0,0,0,0,17,40,21,3,8,1,10,83,22,37,77,35
34,1,0,13:30,1,0,42,0,3,53,1,0,0,42,49,18,23,55,1,10,12,32,37,77,35
35,1,0,13:28,2,0,18,0,3,13,3,42,0,42,49,18,23,55,1,10,12,32,37,77,35
36,1,0,13:28,4,0,10,91,1,0,0,0,0,10,15,21,23,55,1,13,91,18,5,71,35
37,1,0,12:58,1,1,91,0,3,14,1,0,0,10,15,21,23,55,1,13,91,18,5,71,35
38,1,0,12:52,1,0,15,0,3,22,1,0,0,33,15,21,5,29,1,13,91,18,5,71,35
39,1, ,12:50,3,0,0,0,0,0,0,0,0,33,15,21,5,29,1,13,91,18,5,71,35
