# 2009/10/20 
# STL , PIT 
# 1 , 5 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,10,18,26,43,46,50,71,87,26,3,74,29
2,1,0,20:00,4,1,18,87,1,0,0,0,0,10,18,26,43,46,50,71,87,26,3,74,29
3,1,0,19:49,5,1,26,18,2,0,0,0,0,18,74,26,43,46,50,71,87,26,3,74,29
4,1,0,19:19,1,1,74,0,3,58,2,0,0,74,22,42,43,46,50,71,87,26,3,74,29
5,1, ,19:18,3,4,0,0,0,0,0,0,0,74,22,42,43,46,50,71,87,26,3,74,29
6,1,0,19:18,4,1,42,11,3,0,0,0,0,10,22,42,6,44,50,11,48,24,44,55,29
7,1,0,19:04,9,0,10,0,2,0,0,0,0,10,22,42,6,44,50,11,48,24,44,55,29
8,1,0,19:01,1,1,48,0,3,26,1,0,0,10,22,42,6,44,50,11,48,24,44,55,29
9,1,0,18:37,5,1,24,42,1,0,0,0,0,10,22,42,6,44,50,11,48,24,44,55,29
10,1, ,18:29,3,2,0,0,0,0,0,0,0,21,9,57,43,46,50,11,48,14,44,55,29
11,1,0,18:29,4,0,21,87,1,0,0,0,0,21,9,57,43,46,50,87,13,14,7,58,29
12,1,0,17:48,1,1,87,0,3,15,5,0,0,21,9,57,43,46,50,87,13,14,3,7,29
13,1,0,17:34,5,0,43,3,2,0,0,0,0,21,55,15,43,46,50,71,9,14,3,74,29
14,1,0,17:31,1,1,71,0,3,15,6,0,0,21,55,15,43,46,50,71,9,14,3,74,29
15,1,0,17:15,1,1,26,0,3,22,6,0,0,7,55,15,43,46,50,71,9,26,3,74,29
16,1,0,17:11,7,0,15,0,3,44,3,0,0,7,55,15,28,33,50,71,9,26,3,74,29
17,1, ,17:10,3,4,0,0,0,0,0,0,0,7,55,15,28,33,50,71,9,26,3,74,29
18,1,0,17:10,4,1,10,27,2,0,0,0,0,10,22,42,28,33,50,71,27,26,44,55,29
19,1,0,16:13,5,1,27,33,3,0,0,0,0,7,55,15,28,33,50,48,27,28,3,74,29
20,1,0,16:05,5,1,28,28,1,0,0,0,0,7,55,15,28,33,50,11,48,28,3,74,29
21,1,0,16:00,5,0,55,28,2,0,0,0,0,7,55,15,28,33,50,11,48,28,3,74,29
22,1,0,15:50,1,1,11,0,3,31,1,0,0,7,55,15,28,33,50,11,48,28,3,74,29
23,1, ,15:49,3,8,0,0,0,0,0,0,0,7,55,15,28,33,50,11,48,28,3,74,29
24,1,0,15:49,4,1,18,87,3,0,0,0,0,18,74,26,6,44,50,87,13,14,7,58,29
25,1,0,15:34,1,1,87,0,3,16,6,0,0,18,74,26,43,44,50,87,13,14,7,58,29
26,1,0,15:00,5,1,71,46,3,0,0,0,0,21,9,57,43,46,50,17,71,26,44,55,29
27,1,0,14:56,13,0,9,44,2,0,0,0,0,21,9,57,6,44,50,17,71,26,44,55,29
28,1, ,14:32,3,6,0,0,0,0,0,0,0,21,9,57,6,44,50,17,71,26,44,55,29
29,1,0,14:32,4,0,57,27,2,0,0,0,0,21,9,57,6,44,50,17,27,9,44,55,29
30,1,0,13:52,5,1,44,42,2,0,0,0,0,10,22,42,28,33,50,17,27,9,44,55,29
31,1,0,13:17,1,1,11,0,3,12,1,0,0,7,10,55,28,33,50,11,48,24,7,58,29
32,1, ,13:14,3,0,0,0,0,0,0,0,0,7,10,55,28,33,50,11,48,24,7,58,29
33,1,0,13:14,4,0,7,11,2,0,0,0,0,7,55,15,43,46,50,11,28,24,3,74,29
34,1,0,12:44,7,1,28,0,3,35,1,0,0,7,55,15,28,33,50,11,28,24,3,74,29
35,1,0,11:58,5,1,13,57,3,0,0,0,0,21,9,57,6,44,50,87,13,14,7,58,29
36,1,0,11:44,1,1,7,0,3,14,1,0,0,21,9,57,6,46,50,87,13,14,7,58,29
37,1,0,11:40,6,0,57,0,2,0,0,0,0,21,9,57,6,46,50,87,13,14,7,58,29
38,1,1,11:40,4,1,18,87,3,0,0,0,0,18,74,43,44,50,0,87,13,26,3,55,29
39,1,-1,11:27,13,1,55,74,2,0,0,0,0,18,74,43,44,50,0,87,13,26,3,55,29
40,1,-1,11:22,5,0,74,87,2,0,0,0,0,18,74,43,44,50,0,87,13,26,3,55,29
41,1,1,11:13,5,1,55,74,3,0,0,0,0,18,74,43,44,50,0,87,13,26,3,55,29
42,1,-1,11:06,13,1,13,28,2,0,0,0,0,10,18,28,43,50,0,87,13,26,3,55,29
43,1, ,10:41,3,2,0,0,0,0,0,0,0,10,42,28,46,50,0,11,71,13,3,55,29
44,1,-1,10:41,4,0,18,11,1,0,0,0,0,18,42,44,46,50,0,11,71,14,55,58,29
45,1,-1,10:27,13,1,71,46,2,0,0,0,0,18,42,44,46,50,0,11,71,14,55,58,29
46,1, ,10:08,3,3,0,0,0,0,0,0,0,21,26,43,46,50,0,11,71,14,55,58,29
47,1,1,10:08,4,1,21,87,1,0,0,0,0,21,26,28,46,50,0,71,87,14,3,58,29
48,1,1,9:46,7,1,58,0,3,36,1,0,0,21,26,28,46,50,0,71,87,14,3,58,29
49,1,0,9:26,8,0,21,0,2,0,0,0,0,21,22,9,6,44,50,71,27,14,3,58,29
50,1,0,9:22,1,0,22,0,3,44,1,0,0,21,22,9,6,44,50,71,27,14,3,58,29
51,1, ,9:21,3,0,0,0,0,0,0,0,0,7,22,9,6,44,50,71,27,14,3,58,29
52,1,0,9:21,4,1,7,11,2,0,0,0,0,7,22,9,6,44,50,11,48,24,7,74,29
53,1,0,9:03,13,1,48,6,2,0,0,0,0,7,22,9,6,44,50,11,48,24,7,74,29
54,1,0,8:57,5,0,44,48,2,0,0,0,0,7,22,9,6,44,50,11,48,24,7,74,29
55,1,0,8:41,2,1,48,0,3,34,2,74,24,7,22,9,6,44,50,11,48,24,7,74,29
56,1,0,8:41,4,1,42,27,1,0,0,0,0,10,42,57,28,33,50,17,27,9,44,55,29
57,1,0,7:53,9,1,44,0,1,0,0,0,0,10,42,57,28,33,50,17,27,9,44,55,29
58,1,0,7:51,6,0,10,44,1,0,0,0,0,10,42,57,28,33,50,17,27,9,44,55,29
59,1,1,7:51,4,1,18,87,3,0,0,0,0,18,74,43,44,50,0,71,87,13,3,55,29
60,1,1,7:39,1,1,71,0,3,44,2,0,0,18,74,43,44,50,0,71,87,13,3,55,29
61,1,1,7:36,1,1,71,0,3,30,1,0,0,18,74,43,44,50,0,71,87,13,3,55,29
62,1,1,7:34,1,1,13,0,3,10,5,0,0,18,74,43,44,50,0,71,87,13,3,55,29
63,1,1,7:32,2,1,71,0,3,25,1,13,55,18,74,43,44,50,0,71,87,13,3,55,29
64,1, ,7:32,3,0,0,0,0,0,0,0,0,7,55,15,6,44,50,11,48,24,7,58,29
65,1,0,7:32,4,0,7,11,1,0,0,0,0,7,55,15,6,44,50,11,48,24,7,58,29
66,1,0,7:21,5,0,7,7,3,0,0,0,0,7,55,15,6,44,50,11,48,24,7,58,29
67,1,0,6:35,1,1,26,0,3,19,1,0,0,10,22,42,28,33,50,71,9,26,44,55,29
68,1,0,6:28,7,1,71,0,3,19,1,0,0,10,22,42,28,33,50,71,9,26,44,55,29
69,1,0,6:22,13,1,44,22,2,0,0,0,0,10,22,42,28,33,50,71,9,26,44,55,29
70,1,0,6:18,5,0,33,71,2,0,0,0,0,10,22,42,28,33,50,71,9,26,44,55,29
71,1,0,5:49,7,0,46,0,3,59,1,0,0,21,9,57,43,46,50,87,13,14,3,74,29
72,1,0,5:36,7,0,21,0,3,36,1,0,0,21,9,57,43,46,50,87,13,14,3,74,29
73,1, ,5:08,3,0,0,0,0,0,0,0,0,18,74,26,43,46,50,17,27,28,7,58,29
74,1,0,5:08,4,1,74,27,2,0,0,0,0,18,74,26,6,44,50,17,27,28,7,58,29
75,1,0,4:30,1,1,28,0,3,11,1,0,0,18,74,26,6,28,50,17,27,28,55,58,29
76,1,0,4:24,13,1,58,18,2,0,0,0,0,18,74,26,6,28,50,17,27,28,55,58,29
77,1,0,4:15,1,0,26,0,3,32,1,0,0,7,26,15,28,33,50,17,48,27,55,58,29
78,1,0,3:51,5,1,48,33,1,0,0,0,0,7,55,15,28,33,50,11,48,24,44,55,29
79,1,0,3:45,1,1,24,0,3,36,6,0,0,7,55,15,28,33,50,11,48,24,44,55,29
80,1, ,3:44,3,8,0,0,0,0,0,0,0,7,55,15,28,33,50,11,48,24,44,55,29
81,1,0,3:44,4,0,10,71,2,0,0,0,0,10,22,42,43,46,50,71,9,26,44,55,29
82,1, ,3:25,3,8,0,0,0,0,0,0,0,10,22,42,43,46,50,71,9,26,44,55,29
83,1,0,3:25,4,1,10,27,2,0,0,0,0,10,22,42,43,46,50,71,27,26,7,58,29
84,1,0,3:24,5,0,42,7,3,0,0,0,0,10,22,42,43,46,50,71,27,26,7,58,29
85,1,0,2:52,5,1,26,46,2,0,0,0,0,10,22,42,44,46,50,71,27,26,7,58,29
86,1,0,2:18,1,1,74,0,3,19,1,0,0,18,74,26,44,46,50,71,87,14,3,74,29
87,1,0,2:17,7,1,14,0,3,7,1,0,0,18,74,26,44,46,50,71,87,14,3,74,29
88,1,0,1:56,1,1,14,0,3,32,1,0,0,18,26,9,6,28,50,87,13,14,3,55,29
89,1,0,1:49,5,1,55,9,2,0,0,0,0,21,9,57,6,28,50,87,13,14,3,55,29
90,1,0,1:45,9,1,13,0,2,0,0,0,0,21,9,57,6,28,50,11,13,14,3,55,29
91,1,0,1:26,13,1,11,6,2,0,0,0,0,21,9,57,6,28,50,11,13,24,44,55,29
92,1,0,1:26,5,1,24,21,3,0,0,0,0,21,9,57,6,28,50,11,13,24,44,55,29
93,1,0,1:24,1,1,11,0,3,30,1,0,0,21,9,57,6,28,50,11,13,24,44,55,29
94,1,0,0:53,5,1,11,43,1,0,0,0,0,7,55,15,43,46,50,11,48,24,7,58,29
95,1,0,0:46,5,0,15,58,3,0,0,0,0,7,55,15,43,46,50,48,9,24,7,58,29
96,1,0,0:41,1,0,46,0,3,60,2,0,0,7,55,15,43,46,50,48,9,24,7,58,29
97,1, ,0:40,3,1,0,0,0,0,0,0,0,7,55,15,43,46,50,48,9,24,7,58,29
98,1,0,0:40,4,0,42,87,3,0,0,0,0,10,22,42,6,28,50,17,87,9,44,55,29
99,1,0,0:21,5,0,42,87,3,0,0,0,0,10,22,42,6,28,50,17,87,9,44,55,29
100,1,0,0:16,6,1,87,42,2,0,0,0,0,10,22,42,6,28,50,17,87,9,44,55,29
101,1,0,0:16,6,0,42,87,3,0,0,0,0,10,22,42,6,28,50,17,9,44,55,29,0
102,1,0,0:16,4,1,18,71,1,0,0,0,0,18,74,6,28,50,0,71,26,44,55,29,0
103,1, ,0:08,3,2,0,0,0,0,0,0,0,18,74,6,28,50,0,71,26,44,55,29,0
104,1,0,0:08,4,0,74,71,1,0,0,0,0,18,74,6,28,50,0,71,26,44,55,29,0
105,1, ,0:00,11,0,0,0,0,0,0,0,0,18,74,6,28,50,0,71,26,44,55,29,0
106,2, ,20:00,10,0,0,0,0,0,0,0,0,18,74,43,46,50,0,0,0,0,0,0,0
107,2,0,20:00,4,0,18,71,1,0,0,0,0,18,74,43,46,50,0,71,26,44,55,29,0
108,2, ,19:53,3,4,0,0,0,0,0,0,0,18,74,43,46,50,0,71,26,44,55,29,0
109,2,0,19:53,4,0,18,71,1,0,0,0,0,18,74,43,46,50,0,71,26,44,55,29,0
110,2,0,19:37,13,0,74,26,2,0,0,0,0,18,74,43,46,50,0,71,26,44,55,29,0
