# 2009/10/22 
# DET , PHX 
# 2 , 3 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,13,40,96,5,55,30,11,16,17,4,55,30
2,1,0,20:00,4,0,40,11,1,0,0,0,0,13,40,96,5,55,30,11,16,17,4,55,30
3,1,0,19:12,1,0,21,0,3,55,2,0,0,29,51,21,23,28,30,20,19,14,2,33,30
4,1,0,18:08,7,0,44,0,3,50,2,0,0,33,11,44,5,55,30,15,88,8,3,18,30
5,1,0,17:43,5,0,43,2,3,0,0,0,0,43,11,18,5,55,30,88,29,38,2,33,30
6,1,0,17:34,1,1,2,0,3,51,2,0,0,43,8,18,5,55,30,34,29,38,2,33,30
7,1, ,17:27,3,8,0,0,0,0,0,0,0,43,8,18,5,55,30,34,29,38,2,33,30
8,1,0,17:27,4,1,40,11,1,0,0,0,0,13,40,96,22,52,30,11,16,17,4,55,30
9,1,0,17:11,7,0,40,0,3,50,1,0,0,13,40,96,22,52,30,11,16,17,4,55,30
10,1, ,17:10,3,1,0,0,0,0,0,0,0,13,40,96,22,52,30,11,16,17,4,55,30
11,1,0,17:10,4,1,8,38,2,0,0,0,0,43,8,18,22,52,30,34,29,38,3,18,30
12,1,0,17:04,9,1,18,0,2,0,0,0,0,43,8,18,22,52,30,34,29,38,3,18,30
13,1,0,16:46,5,0,43,34,3,0,0,0,0,43,8,18,22,52,30,34,29,38,3,18,30
14,1,0,16:42,1,1,29,0,3,18,5,0,0,43,8,18,22,52,30,34,29,38,3,18,30
15,1, ,16:41,3,1,0,0,0,0,0,0,0,43,8,18,22,52,30,34,29,38,3,18,30
16,1,0,16:41,4,1,51,20,3,0,0,0,0,29,51,21,23,28,30,20,19,14,2,33,30
17,1,0,16:40,1,1,20,0,3,29,1,0,0,29,51,21,23,28,30,20,19,14,2,33,30
18,1,0,16:17,5,0,51,33,3,0,0,0,0,29,51,21,23,28,30,20,19,14,2,33,30
19,1,0,15:47,5,0,33,4,3,0,0,0,0,33,44,21,5,55,30,15,88,8,4,55,30
20,1,0,15:31,1,1,3,0,3,47,2,0,0,33,11,44,5,55,30,15,88,8,3,18,30
21,1,0,14:57,1,1,16,0,3,34,6,0,0,13,40,96,22,52,30,11,16,17,18,55,30
22,1,0,13:52,13,1,2,8,2,0,0,0,0,43,8,18,22,52,30,34,29,38,2,33,30
23,1,0,13:48,1,0,8,0,3,42,3,0,0,43,8,18,23,28,30,34,29,38,2,33,30
24,1, ,13:47,3,0,0,0,0,0,0,0,0,43,8,18,23,28,30,34,29,38,2,33,30
25,1,0,13:47,4,1,51,38,2,0,0,0,0,29,51,21,23,28,30,19,14,38,2,33,30
26,1,0,13:36,5,0,23,19,2,0,0,0,0,29,51,21,23,28,30,20,19,14,2,33,30
27,1,0,13:28,7,0,29,0,3,49,3,0,0,29,51,21,23,28,30,20,19,14,2,33,30
28,1,0,12:50,1,0,44,0,3,41,3,0,0,33,11,44,23,28,30,15,88,8,3,18,30
29,1,0,12:45,5,1,15,33,2,0,0,0,0,33,11,44,5,55,30,15,88,8,3,18,30
30,1,0,12:10,7,0,13,0,3,25,1,0,0,13,40,96,5,55,30,15,88,8,4,55,30
31,1,0,12:04,7,0,55,0,3,39,2,0,0,13,40,96,5,55,30,15,88,8,4,55,30
32,1, ,12:01,3,5,0,0,0,0,0,0,0,13,40,96,5,55,30,15,88,8,4,55,30
33,1,0,12:01,4,0,43,11,3,0,0,0,0,43,8,18,22,52,30,11,16,17,2,33,30
34,1,0,11:30,5,0,52,17,3,0,0,0,0,43,8,18,22,52,30,11,16,17,2,33,30
35,1,0,11:23,1,1,17,0,3,13,5,0,0,43,8,18,22,52,30,11,16,17,3,18,30
36,1,0,11:21,1,1,17,0,3,9,1,0,0,43,8,18,22,52,30,11,16,17,3,18,30
37,1, ,11:20,3,1,0,0,0,0,0,0,0,43,8,18,22,52,30,11,16,17,3,18,30
38,1,0,11:20,4,0,51,20,2,0,0,0,0,29,51,21,23,28,30,20,19,14,3,18,30
39,1,0,11:18,5,1,14,23,3,0,0,0,0,29,51,21,23,28,30,20,19,14,3,18,30
40,1,0,11:09,7,0,28,0,3,53,1,0,0,29,51,21,23,28,30,20,19,14,3,18,30
41,1,0,11:05,1,0,28,0,3,45,1,0,0,29,51,21,23,28,30,20,19,14,3,18,30
42,1,0,10:51,13,0,28,19,2,0,0,0,0,29,51,21,23,28,30,20,19,14,3,18,30
43,1, ,10:46,3,4,0,0,0,0,0,0,0,29,51,21,23,28,30,20,19,14,3,18,30
44,1,0,10:46,4,0,33,15,2,0,0,0,0,33,11,44,22,52,30,15,88,8,2,33,30
45,1,0,10:30,5,0,11,15,3,0,0,0,0,33,11,44,22,52,30,15,88,8,2,33,30
46,1,0,10:23,5,1,8,55,3,0,0,0,0,33,11,44,5,55,30,15,88,8,2,33,30
47,1, ,10:23,3,2,0,0,0,0,0,0,0,33,11,44,5,55,30,15,88,8,2,33,30
48,1,0,10:23,4,0,40,11,2,0,0,0,0,13,40,96,22,52,30,11,16,17,4,55,30
49,1,0,9:43,13,0,13,55,2,0,0,0,0,13,18,40,23,28,30,11,16,17,4,55,30
50,1,0,9:31,5,1,29,23,2,0,0,0,0,43,8,18,23,28,30,34,29,38,4,55,30
51,1,0,9:29,13,0,23,4,2,0,0,0,0,43,8,18,23,28,30,34,29,38,4,55,30
52,1,0,9:21,5,0,43,38,3,0,0,0,0,43,8,18,23,28,30,34,29,38,4,55,30
53,1,0,9:06,1,0,8,0,3,22,6,0,0,29,43,8,23,28,30,34,29,38,3,18,30
54,1, ,9:04,3,0,0,0,0,0,0,0,0,29,43,8,23,28,30,34,29,38,3,18,30
55,1,0,9:03,4,0,51,15,3,0,0,0,0,29,51,21,23,28,30,15,88,8,3,18,30
56,1,0,8:56,7,0,29,0,3,46,2,0,0,29,51,21,23,28,30,15,88,8,3,18,30
57,1,0,8:47,5,1,15,23,3,0,0,0,0,29,51,21,23,28,30,15,88,8,3,18,30
58,1,0,8:36,13,0,28,88,2,0,0,0,0,29,51,21,23,28,30,15,88,8,3,18,30
59,1, ,8:12,3,10,0,0,0,0,0,0,0,29,51,21,23,28,30,15,88,8,3,18,30
60,1,0,8:12,4,1,33,20,1,0,0,0,0,33,11,44,5,55,30,20,19,14,2,33,30
61,1,0,7:35,1,1,33,0,3,46,2,0,0,33,11,44,5,55,30,20,19,14,2,33,30
62,1,0,7:25,1,1,33,0,3,57,2,0,0,33,11,44,5,55,30,20,19,14,2,33,30
63,1,0,7:11,1,1,33,0,3,52,2,0,0,33,11,44,5,55,30,20,19,14,2,33,30
64,1,0,6:55,8,0,5,0,2,0,0,0,0,33,11,44,5,55,30,20,19,14,2,33,30
65,1,0,6:35,1,1,16,0,3,13,5,0,0,13,40,96,5,22,30,11,16,17,4,55,30
66,1,0,6:33,1,1,16,0,3,8,1,0,0,13,40,96,5,22,30,11,16,17,4,55,30
67,1, ,6:26,3,0,0,0,0,0,0,0,0,13,40,96,5,22,30,11,16,17,4,55,30
68,1,0,6:26,4,0,40,16,2,0,0,0,0,13,40,96,22,52,30,11,16,17,4,55,30
69,1, ,6:11,3,10,0,0,0,0,0,0,0,13,40,96,22,52,30,11,16,17,4,55,30
70,1,0,6:11,4,1,43,38,1,0,0,0,0,43,8,18,22,52,30,34,29,38,3,18,30
71,1,0,5:28,5,1,18,8,3,0,0,0,0,43,8,18,22,52,30,34,29,38,3,18,30
72,1,0,4:42,5,1,33,51,2,0,0,0,0,29,51,21,23,28,30,15,88,8,2,33,30
73,1,0,4:34,5,1,15,21,1,0,0,0,0,29,51,21,23,28,30,15,88,14,2,33,30
74,1,0,4:22,7,1,4,0,3,55,2,0,0,51,44,21,23,28,30,20,88,14,4,55,30
75,1, ,4:21,3,0,0,0,0,0,0,0,0,51,44,21,23,28,30,20,88,14,4,55,30
76,1,0,4:21,4,1,40,16,3,0,0,0,0,13,40,96,5,55,30,11,16,17,4,55,30
77,1,0,4:02,8,1,4,0,2,0,0,0,0,13,40,96,5,55,30,11,16,17,4,55,30
78,1,0,3:58,5,1,55,96,2,0,0,0,0,13,40,96,5,55,30,11,16,17,4,55,30
79,1,0,3:45,7,1,17,0,3,23,1,0,0,13,40,96,5,55,30,11,16,17,4,55,30
80,1,0,3:42,6,0,96,11,2,0,0,0,0,13,40,96,5,55,30,11,16,17,4,55,30
81,1,1,3:42,4,1,51,20,3,0,0,0,0,51,11,23,52,30,0,15,20,19,33,55,30
82,1,1,3:30,2,1,15,0,3,44,2,33,19,51,11,23,52,30,0,15,20,19,33,55,30
83,1, ,3:30,3,0,0,0,0,0,0,0,0,43,8,18,22,52,30,34,29,38,3,18,30
84,1,0,3:30,4,1,43,38,1,0,0,0,0,43,8,18,22,52,30,34,29,38,3,18,30
85,1,0,3:11,1,0,43,0,3,52,2,0,0,43,8,18,22,52,30,34,29,38,3,18,30
86,1,0,2:33,7,1,19,0,3,16,1,0,0,33,11,44,22,52,30,20,19,14,2,33,30
87,1,0,2:24,13,1,2,44,2,0,0,0,0,33,11,44,22,52,30,20,19,14,2,33,30
88,1,0,2:17,1,1,19,0,3,22,3,0,0,33,11,44,22,52,30,20,19,14,2,33,30
89,1, ,2:16,3,1,0,0,0,0,0,0,0,33,11,44,22,52,30,20,19,14,2,33,30
90,1,0,2:16,4,0,51,88,2,0,0,0,0,29,51,21,5,55,30,15,88,8,3,18,30
