# 2009/11/04 
# WSH , N.J 
# 2 , 3 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,39,10,53,3,4,40,8,18,23,24,28,30
2,1,0,20:00,4,1,39,8,1,0,0,0,0,39,10,53,3,4,40,8,18,23,24,28,30
3,1, ,19:48,3,10,0,0,0,0,0,0,0,39,10,53,3,4,40,8,18,23,24,28,30
4,1,0,19:48,4,0,39,8,1,0,0,0,0,39,10,53,3,4,40,8,18,23,24,28,30
5,1,0,19:05,8,1,19,0,3,0,0,0,0,10,21,53,4,23,40,19,15,9,5,27,30
6,1,0,18:38,13,0,28,27,2,0,0,0,0,19,28,21,23,55,40,19,15,9,5,27,30
7,1,0,17:58,13,0,22,24,2,0,0,0,0,9,22,14,26,52,40,21,12,17,6,24,30
8,1,0,17:54,1,1,17,0,3,32,3,0,0,9,22,14,26,52,40,21,12,17,6,24,30
9,1, ,17:54,3,1,0,0,0,0,0,0,0,19,28,21,3,4,40,21,12,17,2,28,30
10,1,0,17:54,4,0,85,10,2,0,0,0,0,85,17,3,4,89,40,10,16,22,2,28,30
11,1,0,17:39,8,0,85,0,2,0,0,0,0,85,17,3,4,89,40,10,16,22,2,28,30
12,1,0,17:01,13,0,19,2,2,0,0,0,0,19,17,21,26,52,40,10,16,18,2,28,30
13,1,0,16:21,7,0,19,0,3,20,5,0,0,19,28,21,23,55,40,19,15,9,5,27,30
14,1,0,16:14,1,1,9,0,3,38,3,0,0,19,28,21,23,55,40,19,15,9,5,27,30
15,1,0,15:43,1,1,12,0,3,21,3,0,0,39,10,53,23,55,40,21,12,17,6,24,30
16,1,0,14:43,1,1,18,0,3,17,1,0,0,9,22,14,3,4,40,8,18,23,5,27,30
17,1,0,14:11,5,1,22,89,3,0,0,0,0,85,17,26,52,89,40,10,16,22,2,28,30
18,1,0,13:50,1,0,85,0,3,41,3,0,0,85,17,26,52,89,40,10,16,22,2,28,30
19,1,0,13:26,7,0,21,0,3,24,6,0,0,19,28,21,23,55,40,19,15,9,2,28,30
20,1,0,13:00,8,1,19,0,2,0,0,0,0,19,28,21,23,55,40,19,15,9,6,24,30
21,1,0,12:47,1,0,21,0,1,73,2,0,0,19,28,21,23,55,40,19,15,9,6,24,30
22,1,0,12:10,5,0,4,17,1,0,0,0,0,39,10,53,3,4,40,21,12,17,5,27,30
23,1,0,11:58,5,1,12,4,3,0,0,0,0,39,10,53,3,4,40,21,12,17,6,27,30
24,1,0,11:42,5,1,27,53,1,0,0,0,0,39,10,53,3,4,40,21,12,17,6,27,30
25,1, ,11:28,3,6,0,0,0,0,0,0,0,9,22,14,26,52,40,8,18,23,6,24,30
26,1,0,11:28,4,0,9,8,3,0,0,0,0,9,22,14,26,52,40,8,18,23,6,24,30
27,1,0,11:23,1,0,52,0,3,58,1,0,0,9,22,14,26,52,40,8,18,23,6,24,30
28,1, ,11:19,3,9,0,0,0,0,0,0,0,9,22,14,26,52,40,8,18,23,6,24,30
29,1,0,11:19,6,1,24,22,1,0,0,0,0,9,22,14,26,52,40,8,18,23,6,24,30
30,1,-1,11:19,4,1,21,19,2,0,0,0,0,19,28,21,3,52,40,19,15,5,27,30,0
31,1,1,10:27,7,0,52,0,3,43,2,0,0,19,28,21,3,52,40,19,15,5,27,30,0
32,1,1,10:20,9,0,52,0,3,0,0,0,0,19,28,21,3,52,40,19,15,5,27,30,0
33,1,1,10:04,1,0,9,0,3,36,1,0,0,9,22,14,3,52,40,21,12,2,6,30,0
34,1,-1,9:49,5,1,2,22,2,0,0,0,0,9,22,14,3,52,40,21,12,2,6,30,0
35,1, ,9:39,3,3,0,0,0,0,0,0,0,9,22,14,3,52,40,21,12,2,6,30,0
36,1,-1,9:39,4,1,9,19,2,0,0,0,0,9,22,14,23,55,40,8,19,5,27,30,0
37,1,0,9:17,1,0,55,0,1,71,1,0,0,9,22,14,23,55,40,8,21,5,24,27,30
38,1,0,9:16,9,1,5,0,2,0,0,0,0,9,22,14,23,55,40,8,21,5,24,27,30
39,1, ,9:02,3,0,0,0,0,0,0,0,0,39,10,53,26,52,40,8,18,23,5,6,30
40,1,0,9:02,4,1,39,8,1,0,0,0,0,39,10,53,26,52,40,8,18,23,6,24,30
41,1,0,8:38,7,0,53,0,3,19,5,0,0,39,10,53,26,52,40,8,18,23,6,24,30
42,1,0,8:27,1,1,8,0,3,41,2,0,0,39,10,53,26,52,40,8,18,23,6,24,30
43,1,0,8:00,13,1,10,3,2,0,0,0,0,85,17,3,55,89,40,10,16,22,2,28,30
44,1,0,7:42,5,0,89,2,3,0,0,0,0,85,17,3,4,89,40,10,16,22,2,28,30
45,1, ,6:56,3,0,0,0,0,0,0,0,0,19,28,21,23,55,40,19,15,9,5,27,30
46,1,0,6:56,4,1,19,19,1,0,0,0,0,19,28,21,23,55,40,19,15,9,5,27,30
47,1, ,6:47,3,4,0,0,0,0,0,0,0,19,28,21,23,55,40,19,15,9,5,27,30
48,1,0,6:47,4,1,19,21,1,0,0,0,0,19,28,21,23,55,40,21,12,17,5,27,30
49,1,0,6:26,5,1,12,52,3,0,0,0,0,19,28,21,52,55,40,21,12,17,5,27,30
50,1,0,6:01,8,1,21,0,2,0,0,0,0,9,22,14,26,52,40,21,12,17,6,24,30
51,1,0,5:53,13,0,14,6,2,0,0,0,0,9,22,14,26,52,40,21,17,18,6,24,30
52,1, ,5:10,3,6,0,0,0,0,0,0,0,39,17,53,3,23,40,8,18,23,5,27,30
53,1,0,5:10,4,0,39,19,2,0,0,0,0,39,17,53,3,23,40,19,15,9,2,28,30
54,1, ,4:58,3,6,0,0,0,0,0,0,0,39,17,53,3,23,40,19,15,9,2,28,30
55,1,0,4:58,4,1,39,19,3,0,0,0,0,39,17,53,3,23,40,19,15,9,2,28,30
56,1,0,4:43,1,0,23,0,1,100,2,0,0,39,10,53,23,55,40,19,15,9,2,28,30
57,1, ,4:32,3,0,0,0,0,0,0,0,0,39,10,21,23,55,40,19,15,9,6,24,30
58,1,0,4:32,4,0,19,21,2,0,0,0,0,19,28,21,3,4,40,21,12,17,6,24,30
59,1,0,3:22,1,0,85,0,3,14,5,0,0,85,17,52,55,89,40,19,15,9,5,28,30
60,1,0,3:02,1,0,89,0,3,62,1,0,0,85,17,23,55,89,40,19,15,9,5,28,30
61,1,0,2:50,2,0,89,0,3,23,1,85,17,85,17,23,55,89,40,19,15,9,5,28,30
62,1,0,2:50,4,1,9,8,1,0,0,0,0,9,22,14,26,52,40,8,18,23,6,24,30
63,1,0,2:43,9,1,24,0,1,0,0,0,0,9,22,14,26,52,40,8,18,23,6,24,30
64,1,0,2:15,1,0,14,0,3,12,3,0,0,9,22,14,4,52,40,8,18,23,6,24,30
65,1,0,2:12,1,0,22,0,3,12,1,0,0,9,22,14,4,52,40,8,18,23,6,24,30
66,1, ,2:10,3,1,0,0,0,0,0,0,0,19,28,21,3,4,40,8,18,23,6,24,30
67,1,0,2:10,4,0,19,21,3,0,0,0,0,19,28,21,3,4,40,21,12,17,5,27,30
68,1,0,1:38,1,1,21,0,3,36,3,0,0,19,28,21,3,4,40,21,12,17,5,27,30
69,1, ,0:13,3,4,0,0,0,0,0,0,0,39,17,23,55,89,40,8,16,23,5,27,30
70,1,0,0:13,4,0,39,8,2,0,0,0,0,39,17,21,23,55,40,8,16,23,6,28,30
71,1, ,0:00,11,0,0,0,0,0,0,0,0,39,17,21,26,52,40,8,16,23,6,28,30
72,2, ,20:00,10,0,0,0,0,0,0,0,0,39,10,53,3,4,40,8,18,23,6,24,30
73,2,0,20:00,4,0,39,8,1,0,0,0,0,39,10,53,3,4,40,8,18,23,6,24,30
74,2, ,19:30,3,1,0,0,0,0,0,0,0,39,10,53,3,4,40,8,18,23,6,24,30
75,2,0,19:30,1,0,4,0,3,56,2,0,0,39,10,53,3,4,40,8,18,23,6,24,30
76,2,0,19:30,4,0,19,21,3,0,0,0,0,19,28,21,26,52,40,21,12,17,5,27,30
77,2,0,17:40,13,0,14,24,2,0,0,0,0,9,22,14,4,23,40,19,22,23,2,24,30
78,2,0,17:40,5,1,2,22,2,0,0,0,0,9,22,14,4,23,40,19,22,23,2,24,30
79,2,0,17:26,1,1,22,0,3,47,1,0,0,85,17,4,23,89,40,10,22,23,6,24,30
80,2, ,17:26,3,1,0,0,0,0,0,0,0,85,17,4,23,89,40,10,22,23,6,24,30
81,2,0,17:26,4,1,17,10,3,0,0,0,0,85,17,4,23,89,40,10,17,22,6,24,30
82,2, ,17:17,3,2,0,0,0,0,0,0,0,85,17,4,23,89,40,10,17,22,6,24,30
83,2,0,17:17,4,0,85,17,1,0,0,0,0,85,17,4,23,89,40,10,17,22,6,24,30
84,2,0,17:01,5,0,4,17,2,0,0,0,0,85,17,4,23,89,40,10,17,22,6,24,30
85,2, ,16:58,3,1,0,0,0,0,0,0,0,85,17,4,23,89,40,10,17,22,6,24,30
86,2,0,16:58,4,1,19,21,3,0,0,0,0,19,28,21,26,52,40,21,12,15,5,27,30
87,2,0,16:35,5,1,15,26,3,0,0,0,0,19,28,21,26,52,40,21,12,15,5,27,30
88,2,0,16:27,2,1,12,0,3,17,4,21,15,19,28,21,26,52,40,21,12,15,5,27,30
89,2,0,16:27,4,1,39,8,1,0,0,0,0,39,10,53,3,4,40,8,16,18,6,24,30
90,2,0,15:04,5,0,14,9,3,0,0,0,0,9,22,14,23,55,40,19,23,9,5,27,30
91,2,0,14:47,7,0,52,0,3,10,3,0,0,9,22,14,26,52,40,19,23,9,5,27,30
92,2, ,14:47,3,1,0,0,0,0,0,0,0,9,22,14,26,52,40,19,23,9,5,27,30
93,2,0,14:47,4,0,19,21,3,0,0,0,0,19,28,21,26,52,40,21,12,15,6,24,30
94,2,0,14:04,1,1,12,0,3,62,2,0,0,19,28,21,26,52,40,21,12,15,6,24,30
95,2, ,14:04,3,4,0,0,0,0,0,0,0,85,17,3,4,89,40,10,17,22,2,28,30
96,2,0,14:04,4,1,17,10,3,0,0,0,0,85,17,3,4,89,40,10,17,22,2,28,30
97,2,0,13:56,5,1,17,89,3,0,0,0,0,85,17,3,4,89,40,10,17,22,2,28,30
98,2,0,13:42,1,1,17,0,3,49,3,0,0,85,17,3,4,89,40,10,17,22,2,28,30
99,2,0,13:28,8,0,85,0,3,0,0,0,0,85,17,3,55,89,40,10,22,23,2,28,30
100,2,0,13:23,1,0,89,0,3,43,3,0,0,85,17,3,55,89,40,10,22,23,2,28,30
101,2, ,11:35,3,0,0,0,0,0,0,0,0,19,28,21,52,55,40,19,16,9,6,24,30
102,2,0,11:35,4,1,19,21,1,0,0,0,0,19,28,21,23,55,40,21,12,15,5,27,30
103,2,0,11:07,6,0,28,5,3,0,0,0,0,19,28,21,4,23,40,21,12,15,5,27,30
104,2,-1,11:07,4,0,39,8,2,0,0,0,0,39,53,3,55,40,0,8,12,18,23,6,30
105,2,-1,10:41,13,1,23,3,2,0,0,0,0,39,53,3,55,40,0,8,12,18,23,6,30
106,2,1,9:36,1,1,28,0,3,60,3,0,0,10,21,26,52,40,0,19,12,15,9,28,30
107,2,1,9:36,4,1,39,19,3,0,0,0,0,39,14,3,4,40,0,19,12,15,9,28,30
