# 2009/11/06 
# WSH , FLA 
# 4 , 1 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,85,17,3,23,89,60,9,67,85,4,24,29
2,1,0,20:00,4,1,85,9,1,0,0,0,0,85,17,3,23,89,60,9,67,85,4,24,29
3,1,0,19:53,8,0,85,0,1,0,0,0,0,85,17,3,23,89,60,9,67,85,4,24,29
4,1,0,19:41,1,1,85,0,2,175,6,0,0,85,17,3,23,89,60,9,67,85,4,24,29
5,1,0,19:38,5,0,17,4,3,0,0,0,0,85,17,3,23,89,60,9,67,85,4,24,29
6,1,0,19:36,7,0,23,0,3,41,1,0,0,85,17,3,23,89,60,9,67,85,4,24,29
7,1,0,19:07,13,1,27,26,2,0,0,0,0,19,28,14,26,52,60,27,16,61,2,44,29
8,1,0,19:05,5,0,26,44,2,0,0,0,0,19,28,14,26,52,60,27,16,61,2,44,29
9,1,0,18:55,1,1,27,0,3,30,1,0,0,19,28,14,26,52,60,27,16,61,2,44,29
10,1,0,18:31,1,0,28,0,3,15,1,0,0,19,28,14,26,52,60,11,16,61,2,44,29
11,1,0,18:20,5,1,11,55,2,0,0,0,0,19,28,14,2,55,60,11,16,61,2,44,29
12,1,0,18:11,9,1,16,0,2,0,0,0,0,9,28,21,2,55,60,11,16,61,2,44,29
13,1,0,18:01,13,1,11,2,2,0,0,0,0,9,22,21,2,55,60,11,65,71,5,43,29
14,1,0,17:45,1,1,11,0,3,16,1,0,0,9,22,21,2,55,60,11,65,71,5,43,29
15,1,0,17:42,1,1,11,0,3,11,5,0,0,9,22,21,2,55,60,11,65,71,5,43,29
16,1,0,17:38,1,1,71,0,3,15,1,0,0,9,22,21,2,55,60,11,65,71,5,43,29
17,1,0,17:35,1,1,71,0,3,18,5,0,0,9,22,21,2,55,60,11,65,71,5,43,29
18,1,0,17:34,5,0,55,43,2,0,0,0,0,9,22,21,2,55,60,11,65,71,5,43,29
19,1,0,17:32,7,1,71,0,3,24,1,0,0,9,22,21,2,55,60,11,65,71,5,43,29
20,1,0,17:26,7,0,21,0,3,33,1,0,0,9,22,21,3,23,60,11,65,71,5,43,29
21,1,0,16:58,5,1,4,53,2,0,0,0,0,39,10,53,3,23,60,9,67,85,4,24,29
22,1,0,16:48,7,0,10,0,3,23,1,0,0,39,10,53,3,23,60,9,67,85,4,24,29
23,1,0,15:50,1,0,14,0,3,40,1,0,0,19,28,14,26,52,60,32,22,2,6,44,29
24,1,0,15:43,1,0,19,0,3,19,1,0,0,19,28,14,26,52,60,27,16,61,5,43,29
25,1,0,15:15,9,1,61,0,3,0,0,0,0,85,28,14,2,55,60,27,16,61,5,43,29
26,1,0,15:07,2,0,89,0,3,32,1,17,2,85,17,2,55,89,60,27,65,61,5,43,29
27,1,0,15:07,4,0,85,11,1,0,0,0,0,85,17,2,55,89,60,11,65,71,4,24,29
28,1,0,14:52,5,1,4,17,2,0,0,0,0,85,17,2,55,89,60,11,65,71,4,24,29
29,1,0,14:47,1,0,17,0,3,24,1,0,0,85,17,2,55,89,60,11,65,71,4,24,29
30,1,0,14:23,13,0,2,24,2,0,0,0,0,85,17,2,55,89,60,11,65,71,4,24,29
31,1,0,13:46,1,0,22,0,3,19,1,0,0,9,22,21,26,52,60,9,67,85,2,44,29
32,1,0,13:35,5,0,52,85,1,0,0,0,0,9,22,21,26,52,60,9,67,85,2,44,29
33,1,0,13:23,13,0,22,9,2,0,0,0,0,9,22,21,3,52,60,9,16,61,4,24,29
34,1, ,13:19,3,0,0,0,0,0,0,0,0,9,22,21,3,52,60,9,16,61,4,24,29
35,1,0,13:19,4,1,19,27,1,0,0,0,0,19,28,14,3,23,60,27,16,61,2,44,29
36,1,0,13:11,8,0,28,0,1,0,0,0,0,19,28,14,3,23,60,27,16,61,2,44,29
37,1,0,13:06,13,0,28,44,2,0,0,0,0,19,28,14,3,23,60,27,16,61,2,44,29
38,1,0,12:51,7,0,14,0,3,13,5,0,0,19,28,14,3,23,60,27,16,61,2,44,29
39,1,0,12:50,5,1,27,3,2,0,0,0,0,19,28,14,3,23,60,27,16,61,2,44,29
40,1,0,12:42,1,1,27,0,3,45,3,0,0,19,28,14,3,23,60,27,16,61,2,24,29
41,1,0,12:40,5,0,14,16,2,0,0,0,0,19,28,14,3,23,60,27,16,61,2,24,29
