# 2009/11/13 
# L.A , ATL 
# 0 , 7 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,11,14,94,3,12,32,47,20,9,39,77,31
2,1,0,20:00,4,1,11,47,1,0,0,0,0,11,14,94,3,12,32,47,20,9,39,77,31
3,1,0,19:42,1,1,20,0,3,26,1,0,0,11,14,94,3,12,32,47,20,9,39,77,31
4,1,0,19:32,8,1,77,0,2,0,0,0,0,11,14,94,3,12,32,47,20,9,39,77,31
5,1,0,18:51,8,0,7,0,2,0,0,0,0,26,17,24,7,8,32,80,61,17,4,6,31
6,1,0,18:37,9,1,17,0,1,0,0,0,0,26,17,24,7,8,32,80,61,17,4,16,31
7,1,0,18:26,9,0,7,0,2,0,0,0,0,26,17,24,7,8,32,80,61,17,3,16,31
8,1,0,18:11,9,1,80,0,1,0,0,0,0,28,63,23,2,44,32,80,61,17,3,16,31
9,1, ,18:03,3,4,0,0,0,0,0,0,0,28,63,23,2,44,32,12,19,13,3,16,31
10,1,0,18:03,13,0,44,16,2,0,0,0,0,28,63,23,2,44,32,12,19,13,3,16,31
11,1,0,18:03,4,1,28,47,2,0,0,0,0,28,63,23,2,44,32,19,47,13,39,77,31
12,1,0,17:31,8,0,63,0,1,0,0,0,0,28,63,23,2,44,32,12,47,13,39,77,31
13,1, ,16:53,3,2,0,0,0,0,0,0,0,11,14,94,3,12,32,23,27,36,4,6,31
14,1,0,16:53,4,0,26,19,1,0,0,0,0,26,17,24,3,12,32,19,20,9,4,6,31
15,1,0,16:36,5,1,9,3,3,0,0,0,0,26,17,24,3,12,32,19,20,9,4,6,31
