# 2009/11/17 
# COL , CGY 
# 3 , 2 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,37,25,55,10,52,41,16,25,23,5,7,34
2,1,0,20:00,4,0,37,16,1,0,0,0,0,37,25,55,10,52,41,16,25,23,5,7,34
3,1,0,19:38,13,1,25,10,2,0,0,0,0,37,25,55,10,52,41,16,25,23,5,7,34
4,1, ,19:23,3,2,0,0,0,0,0,0,0,26,54,8,22,27,41,16,12,20,3,28,34
5,1,0,19:23,4,1,26,21,1,0,0,0,0,26,54,8,22,27,41,21,12,20,3,28,34
6,1,0,18:39,1,1,12,0,3,32,1,0,0,26,54,8,22,27,41,21,12,20,3,4,34
7,1, ,18:39,3,1,0,0,0,0,0,0,0,26,54,8,22,27,41,21,12,20,3,4,34
8,1,0,18:39,6,0,27,3,2,0,0,0,0,26,54,8,22,27,41,21,12,20,3,4,34
9,1,1,18:39,4,1,37,12,3,0,0,0,0,37,23,5,52,41,0,12,17,15,4,5,34
10,1, ,18:12,3,10,0,0,0,0,0,0,0,23,55,5,52,41,0,12,17,15,4,5,34
11,1,-1,18:12,4,0,26,21,1,0,0,0,0,26,54,10,22,41,0,21,22,25,3,4,34
12,1,1,18:00,1,1,3,0,3,53,3,0,0,26,54,10,22,41,0,21,22,25,3,4,34
13,1,1,17:37,1,1,25,0,3,10,5,0,0,37,54,10,22,41,0,21,22,25,3,4,34
14,1,1,17:32,7,1,3,0,3,60,1,0,0,37,54,10,22,41,0,21,22,25,3,4,34
15,1,1,17:04,1,1,17,0,3,38,3,0,0,23,55,5,52,41,0,22,17,15,5,28,34
16,1, ,17:03,3,1,0,0,0,0,0,0,0,23,55,5,52,41,0,22,17,15,5,28,34
