# 2009/11/19 
# N.J , NSH 
# 2 , 3 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,19,9,26,6,24,30,11,25,29,6,20,35
2,1,0,20:00,4,0,19,11,1,0,0,0,0,19,9,26,6,24,30,11,25,29,6,20,35
3,1,0,19:43,7,1,6,0,3,61,1,0,0,19,9,26,6,24,30,11,25,29,6,20,35
4,1,0,19:43,8,1,29,0,3,0,0,0,0,19,9,26,6,24,30,11,25,29,6,20,35
5,1,0,19:36,5,0,24,29,2,0,0,0,0,19,9,26,6,24,30,11,25,29,6,20,35
6,1,0,19:27,5,0,9,6,2,0,0,0,0,19,9,26,6,24,30,11,25,29,6,20,35
7,1,0,19:09,8,0,24,0,2,0,0,0,0,19,9,26,6,24,30,11,25,29,6,20,35
8,1,0,18:21,13,0,12,8,2,0,0,0,0,8,12,15,5,27,30,18,71,26,8,51,35
9,1,0,18:04,5,0,23,27,1,0,0,0,0,14,18,23,2,5,30,18,10,27,2,32,35
10,1,0,17:34,7,1,2,0,3,57,2,0,0,14,18,23,2,6,30,18,10,27,2,32,35
11,1,0,17:27,13,1,2,14,2,0,0,0,0,14,18,23,2,6,30,18,10,27,2,32,35
12,1,0,17:22,5,1,2,18,2,0,0,0,0,14,18,23,27,28,30,18,10,27,2,32,35
13,1,0,17:08,9,0,11,0,1,0,0,0,0,10,11,25,27,28,30,9,22,27,2,32,35
14,1,0,17:06,13,1,22,28,2,0,0,0,0,10,11,25,27,28,30,9,12,22,6,20,35
15,1, ,17:04,3,8,0,0,0,0,0,0,0,10,11,25,27,28,30,9,12,22,6,20,35
16,1,0,17:04,4,0,11,9,2,0,0,0,0,10,11,25,2,27,30,9,12,22,8,51,35
17,1, ,16:57,3,10,0,0,0,0,0,0,0,10,11,25,2,27,30,9,12,22,8,51,35
