# 2009/11/19 
# PHX , STL 
# 2 , 3 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,11,16,17,18,33,30,10,22,57,6,28,50
2,1,0,20:00,4,0,11,10,1,0,0,0,0,11,16,17,18,33,30,10,22,57,6,28,50
3,1,0,19:50,1,0,11,0,3,43,1,0,0,11,16,17,18,33,30,10,22,57,6,28,50
4,1, ,19:49,3,1,0,0,0,0,0,0,0,11,16,17,18,33,30,10,22,57,6,28,50
5,1,0,19:49,4,1,11,22,2,0,0,0,0,11,16,17,18,33,30,10,22,57,6,28,50
6,1,0,19:33,5,1,22,17,3,0,0,0,0,11,16,17,18,33,30,10,22,57,6,28,50
7,1,0,19:25,5,1,22,17,3,0,0,0,0,11,16,17,18,33,30,10,22,57,6,28,50
8,1,0,19:12,1,1,42,0,3,40,1,0,0,34,12,38,3,6,30,42,9,57,5,46,50
9,1, ,19:11,3,1,0,0,0,0,0,0,0,34,12,38,3,6,30,42,9,57,5,46,50
10,1,0,19:11,4,0,38,42,2,0,0,0,0,34,12,38,3,6,30,74,42,9,4,27,50
11,1,0,18:48,5,0,6,74,2,0,0,0,0,34,12,38,3,6,30,74,42,9,4,27,50
12,1,0,17:05,1,0,14,0,3,29,1,0,0,11,88,14,3,18,30,18,21,26,5,46,50
13,1,0,16:44,1,0,16,0,3,25,1,0,0,11,16,17,18,21,30,7,55,15,6,46,50
14,1,0,16:41,5,1,6,18,2,0,0,0,0,11,16,17,18,21,30,7,55,15,6,46,50
15,1,0,16:38,2,0,17,0,3,23,1,21,16,11,16,17,18,21,30,7,55,15,6,46,50
16,1,0,16:38,4,1,11,10,1,0,0,0,0,11,16,17,2,33,30,10,22,57,6,28,50
17,1, ,16:08,3,2,0,0,0,0,0,0,0,11,16,17,2,33,30,10,22,57,6,28,50
18,1,0,16:08,4,1,20,18,1,0,0,0,0,20,8,19,3,6,30,18,21,26,5,46,50
19,1,0,16:01,13,1,21,3,2,0,0,0,0,20,8,19,3,6,30,18,21,26,5,46,50
20,1,0,15:14,5,1,9,6,3,0,0,0,0,34,8,38,3,6,30,74,42,9,4,27,50
21,1,0,15:12,13,1,42,6,2,0,0,0,0,34,8,38,3,6,30,74,42,9,4,27,50
22,1,0,15:07,1,1,4,0,3,59,2,0,0,34,8,38,3,6,30,74,42,9,4,27,50
23,1,0,14:57,13,1,9,6,2,0,0,0,0,34,8,38,3,6,30,74,42,9,4,27,50
24,1,0,14:53,7,1,42,0,3,12,6,0,0,34,8,38,3,6,30,74,42,9,4,27,50
25,1,0,14:41,5,0,34,42,2,0,0,0,0,34,12,38,6,21,30,74,42,57,4,27,50
26,1,0,14:26,1,0,88,0,3,36,1,0,0,88,12,29,18,21,30,10,22,57,4,27,50
27,1, ,13:56,3,6,0,0,0,0,0,0,0,88,12,29,18,21,30,10,22,57,6,28,50
28,1,0,13:56,4,1,29,7,3,0,0,0,0,88,12,29,18,21,30,7,74,15,6,28,50
29,1,0,13:39,2,1,7,0,3,9,6,74,0,11,88,16,18,33,30,7,74,15,6,28,50
30,1,0,13:39,4,0,11,7,1,0,0,0,0,11,16,17,3,6,30,7,9,15,6,28,50
31,1,0,13:09,5,0,16,6,3,0,0,0,0,11,16,17,3,6,30,18,21,9,6,28,50
32,1,0,12:51,1,1,18,0,3,35,1,0,0,20,16,19,3,6,30,18,21,26,4,5,50
33,1, ,12:43,3,0,0,0,0,0,0,0,0,20,16,19,3,6,30,18,21,26,4,5,50
34,1,0,12:43,4,1,20,18,1,0,0,0,0,20,8,19,2,21,30,18,21,26,5,46,50
35,1,0,12:30,5,1,21,21,3,0,0,0,0,20,8,19,2,21,30,18,21,26,5,46,50
36,1,0,12:17,7,1,26,0,3,35,1,0,0,20,8,19,2,21,30,18,21,26,5,46,50
37,1,0,12:09,7,1,26,0,3,13,0,0,0,20,8,19,2,21,30,18,21,26,5,46,50
38,1, ,11:56,3,2,0,0,0,0,0,0,0,20,8,19,3,6,30,10,26,57,5,46,50
39,1,0,11:56,4,1,38,22,1,0,0,0,0,34,14,38,18,33,30,10,22,57,6,28,50
40,1,0,11:44,1,0,14,0,3,39,1,0,0,34,14,38,18,33,30,10,22,57,6,28,50
41,1,0,11:08,5,0,14,28,3,0,0,0,0,11,34,14,3,33,30,22,42,57,6,28,50
42,1,0,11:01,1,1,42,0,3,9,0,0,0,11,16,17,3,6,30,74,42,57,4,6,50
43,1,0,10:45,7,1,74,0,3,26,3,0,0,11,16,17,3,6,30,74,42,9,4,27,50
44,1,0,10:35,1,1,42,0,3,17,3,0,0,11,16,17,3,6,30,74,42,9,4,27,50
45,1,0,9:59,13,1,28,88,3,0,0,0,0,88,14,29,3,6,30,7,55,15,27,28,50
46,1,0,9:46,5,1,15,21,3,0,0,0,0,88,14,29,2,21,30,7,55,15,6,28,50
47,1,0,9:38,1,0,88,0,3,37,1,0,0,88,14,29,2,21,30,7,55,15,6,28,50
48,1, ,9:37,3,0,0,0,0,0,0,0,0,88,14,29,2,21,30,7,55,15,6,28,50
49,1,0,9:37,4,1,29,10,2,0,0,0,0,88,14,29,2,21,30,10,22,57,4,27,50
50,1,0,9:13,7,0,14,0,3,35,1,0,0,88,14,29,18,21,30,10,22,57,4,27,50
51,1, ,9:12,3,8,0,0,0,0,0,0,0,88,14,29,18,21,30,10,22,57,4,27,50
52,1,0,9:12,4,0,20,18,3,0,0,0,0,20,8,19,3,6,30,18,21,26,5,46,50
53,1,0,8:50,1,1,26,0,3,13,0,0,0,20,8,19,3,6,30,18,21,26,5,46,50
54,1,0,8:36,1,0,19,0,3,12,1,0,0,20,8,19,3,6,30,18,21,26,5,46,50
55,1,0,7:29,7,1,9,0,3,13,6,0,0,11,16,17,18,33,30,74,42,9,6,28,50
56,1,0,7:19,1,0,17,0,3,41,2,0,0,11,16,17,18,33,30,74,42,9,6,28,50
57,1,0,7:04,6,1,7,16,1,0,0,0,0,34,16,38,2,21,30,7,55,15,4,27,50
58,1,1,7:04,4,0,20,18,3,0,0,0,0,20,8,19,3,33,30,18,26,4,46,50,0
59,1,1,6:37,9,0,3,0,3,0,0,0,0,20,8,19,3,33,30,18,26,4,46,50,0
60,1,-1,5:19,13,0,6,4,2,0,0,0,0,11,88,16,17,6,30,18,26,4,46,50,0
61,1,0,4:57,13,0,33,10,2,0,0,0,0,34,14,38,18,33,30,7,10,57,27,28,50
62,1,0,4:28,1,0,34,0,3,22,1,0,0,34,14,38,18,33,30,7,10,57,27,28,50
63,1,0,3:58,1,1,9,0,3,12,0,0,0,20,8,19,18,21,30,10,74,9,5,46,50
64,1,0,3:33,9,0,2,0,2,0,0,0,0,11,16,19,2,3,30,22,42,9,5,46,50
65,1,0,3:26,5,1,42,19,1,0,0,0,0,11,16,19,2,3,30,22,42,9,5,46,50
66,1,0,3:08,9,1,15,0,2,0,0,0,0,11,16,17,2,3,30,7,22,15,5,6,50
67,1, ,2:41,3,6,0,0,0,0,0,0,0,88,14,29,2,3,30,18,21,26,6,28,50
68,1,0,2:41,4,1,29,22,3,0,0,0,0,88,14,29,2,3,30,10,22,57,6,28,50
69,1, ,2:30,3,0,0,0,0,0,0,0,0,88,14,29,2,3,30,10,22,57,6,28,50
70,1,0,2:30,4,0,20,18,1,0,0,0,0,20,8,19,2,33,30,18,21,26,5,46,50
71,1,0,2:13,8,0,20,0,2,0,0,0,0,20,8,19,2,33,30,18,21,26,5,46,50
72,1,0,1:59,1,0,20,0,3,19,6,0,0,20,8,19,18,21,30,18,21,26,5,46,50
73,1,0,1:56,1,0,19,0,3,10,1,0,0,20,8,19,18,21,30,18,21,26,5,46,50
74,1,0,1:41,7,0,8,0,3,43,1,0,0,11,8,19,18,21,30,10,26,57,5,46,50
75,1,0,0:50,5,0,33,57,2,0,0,0,0,11,16,17,2,33,30,74,42,57,6,28,50
76,1,0,0:24,5,1,6,38,2,0,0,0,0,34,14,38,3,6,30,74,42,9,6,28,50
77,1,0,0:13,1,1,74,0,3,10,4,0,0,34,14,38,3,6,30,74,42,9,5,6,50
78,1,0,0:05,7,1,9,0,3,23,0,0,0,34,14,38,3,6,30,74,42,9,5,6,50
79,1, ,0:00,11,0,0,0,0,0,0,0,0,34,14,38,3,6,30,74,42,9,5,6,50
80,2, ,20:00,10,0,0,0,0,0,0,0,0,11,16,17,2,33,30,74,42,9,6,28,50
81,2,0,20:00,4,0,11,42,1,0,0,0,0,11,16,17,2,33,30,74,42,9,6,28,50
82,2,0,19:07,1,0,8,0,3,44,2,0,0,20,8,19,3,6,30,18,21,26,5,46,50
83,2,0,18:59,7,0,3,0,3,34,2,0,0,20,8,19,3,6,30,18,21,26,5,46,50
84,2,0,18:53,7,1,21,0,3,23,2,0,0,20,8,19,3,6,30,18,21,26,5,46,50
85,2,0,18:12,7,0,34,0,3,14,0,0,0,34,14,38,2,33,30,10,22,57,4,27,50
86,2,0,18:02,2,0,38,0,3,11,1,14,34,34,14,38,2,33,30,10,22,57,4,27,50
87,2,0,18:02,4,1,38,10,1,0,0,0,0,34,14,38,2,33,30,10,22,57,4,27,50
88,2,0,17:41,1,1,22,0,3,37,2,0,0,34,14,38,2,33,30,10,22,57,4,27,50
89,2,0,17:07,7,1,55,0,3,29,2,0,0,88,12,29,2,33,30,7,55,15,6,28,50
90,2,0,16:38,8,1,6,0,1,0,0,0,0,88,12,29,2,33,30,7,55,15,6,28,50
91,2,0,16:34,9,1,6,0,2,0,0,0,0,88,12,29,18,21,30,42,55,15,6,28,50
92,2,0,16:30,7,0,29,0,3,14,0,0,0,88,12,29,18,21,30,42,55,15,6,28,50
93,2, ,16:28,3,11,0,0,0,0,0,0,0,88,12,29,18,21,30,42,55,15,6,28,50
94,2,0,16:28,4,0,11,42,1,0,0,0,0,11,16,17,18,21,30,74,42,9,4,27,50
95,2,0,15:59,1,0,17,0,3,24,1,0,0,11,16,17,18,21,30,74,42,9,4,27,50
96,2,0,15:54,1,0,11,0,3,21,1,0,0,11,16,17,18,21,30,74,42,9,4,27,50
97,2,0,15:48,8,0,21,0,1,0,0,0,0,11,16,17,18,21,30,74,42,9,4,27,50
98,2,0,15:37,5,1,42,17,2,0,0,0,0,11,16,17,3,6,30,74,42,9,5,27,50
99,2,0,15:33,7,1,9,0,3,43,2,0,0,11,16,17,3,6,30,74,42,9,5,27,50
100,2,0,15:28,1,1,42,0,3,28,2,0,0,11,16,17,3,6,30,74,42,9,5,46,50
101,2,0,15:24,1,1,74,0,3,13,1,0,0,11,16,17,3,6,30,18,21,74,5,46,50
102,2,0,15:23,6,0,17,74,2,0,0,0,0,11,16,17,3,6,30,18,21,74,5,46,50
103,2,-1,15:23,4,0,38,10,2,0,0,0,0,34,38,2,33,30,0,10,22,57,6,28,50
104,2,1,15:11,7,1,22,0,3,23,1,0,0,34,38,2,33,30,0,10,22,57,6,28,50
105,2,1,15:01,7,1,28,0,3,35,2,0,0,34,38,2,33,30,0,10,22,57,6,28,50
106,2,1,14:48,1,1,6,0,3,56,1,0,0,34,38,2,33,30,0,10,22,57,6,28,50
107,2,1,14:47,7,1,57,0,3,10,1,0,0,34,38,2,33,30,0,10,22,57,6,28,50
