# 2009/11/21 
# FLA , NYR 
# 3 , 2 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,9,16,67,2,44,29,10,12,20,5,18,30
2,1,0,20:00,4,1,9,20,1,0,0,0,0,9,16,67,2,44,29,10,12,20,5,18,30
3,1,0,19:54,5,0,67,5,1,0,0,0,0,9,16,67,2,44,29,10,12,20,5,18,30
4,1,0,19:41,13,0,9,5,2,0,0,0,0,9,16,67,2,44,29,10,12,20,5,18,30
5,1,0,19:36,5,1,5,9,2,0,0,0,0,9,16,67,2,44,29,10,12,20,5,18,30
6,1,0,18:58,1,0,85,0,3,17,3,0,0,27,14,85,5,24,29,24,21,87,18,97,30
7,1,0,18:38,1,0,24,0,3,12,1,0,0,19,14,85,5,24,29,24,21,87,6,97,30
8,1,0,18:14,8,0,19,0,2,0,0,0,0,19,28,71,5,24,29,24,21,87,6,97,30
9,1, ,17:12,3,6,0,0,0,0,0,0,0,27,14,85,5,24,29,22,81,34,5,18,30
10,1,0,17:12,4,0,27,20,2,0,0,0,0,27,14,85,5,24,29,10,12,20,5,18,30
11,1,0,16:48,7,1,12,0,3,24,3,0,0,41,14,85,2,44,29,10,12,20,6,97,30
12,1,0,16:39,13,1,97,85,2,0,0,0,0,41,14,85,2,44,29,10,12,20,6,97,30
13,1,0,16:26,5,0,67,20,3,0,0,0,0,41,65,67,2,44,29,10,12,20,6,97,30
14,1,0,16:15,13,0,65,6,2,0,0,0,0,41,65,67,4,43,29,22,81,34,6,97,30
15,1,0,16:08,5,0,65,6,3,0,0,0,0,41,65,67,4,43,29,22,81,34,6,97,30
16,1,0,15:42,5,0,71,34,2,0,0,0,0,19,65,71,4,43,29,22,81,34,4,33,30
17,1,0,15:37,5,1,22,65,3,0,0,0,0,19,65,71,4,43,29,22,81,34,4,33,30
18,1,0,15:30,7,1,4,0,3,27,0,0,0,19,65,71,4,43,29,22,81,34,4,33,30
19,1,0,15:22,13,1,22,71,2,0,0,0,0,19,65,71,4,43,29,22,81,34,4,33,30
20,1,0,15:17,5,1,22,71,3,0,0,0,0,19,65,71,4,43,29,22,81,34,4,33,30
21,1,0,15:11,1,1,4,0,3,43,0,0,0,19,65,71,4,43,29,22,81,87,4,33,30
22,1, ,15:11,3,1,0,0,0,0,0,0,0,19,65,71,4,43,29,22,24,87,4,33,30
23,1,0,15:11,4,1,9,21,3,0,0,0,0,9,16,67,5,24,29,24,21,87,5,18,30
24,1,0,14:34,1,0,5,0,3,47,1,0,0,27,16,67,5,24,29,24,21,87,5,18,30
25,1, ,14:26,3,6,0,0,0,0,0,0,0,27,14,85,5,24,29,38,21,87,6,97,30
26,1,0,14:26,4,1,27,42,1,0,0,0,0,27,14,85,4,43,29,42,38,16,6,97,30
27,1, ,14:03,3,2,0,0,0,0,0,0,0,27,14,85,4,43,29,42,38,16,6,97,30
28,1,0,14:03,4,1,28,20,1,0,0,0,0,19,28,71,2,44,29,10,12,20,6,97,30
29,1,0,13:44,1,0,28,0,3,24,2,0,0,19,28,71,2,44,29,10,12,20,6,97,30
30,1, ,13:43,3,0,0,0,0,0,0,0,0,19,28,71,2,44,29,10,12,20,6,97,30
31,1,0,13:43,4,1,9,20,2,0,0,0,0,9,16,67,2,44,29,10,12,20,5,18,30
32,1,0,13:37,7,0,16,0,3,21,5,0,0,9,16,67,2,44,29,10,12,20,5,18,30
33,1,0,13:37,9,1,5,0,2,0,0,0,0,9,16,67,2,44,29,10,12,20,5,18,30
34,1,0,13:03,6,1,12,16,2,0,0,0,0,9,16,67,2,44,29,10,12,20,5,18,30
35,1,1,13:03,4,0,19,21,3,0,0,0,0,19,27,85,2,24,29,24,21,6,33,30,0
36,1,-1,12:47,13,0,2,33,2,0,0,0,0,19,27,85,2,24,29,24,21,6,33,30,0
37,1,1,12:32,1,0,24,0,3,32,2,0,0,19,27,85,2,24,29,24,21,6,33,30,0
38,1,-1,12:28,1,1,24,0,3,38,2,0,0,19,27,85,2,24,29,24,21,6,33,30,0
39,1,1,12:23,7,0,27,0,3,20,1,0,0,19,27,85,6,24,29,24,21,6,33,30,0
40,1,1,11:18,1,0,14,0,3,25,2,0,0,9,14,67,24,44,29,10,20,6,97,30,0
41,1,-1,11:06,8,1,6,0,2,0,0,0,0,9,14,67,24,44,29,10,20,6,97,30,0
42,1,0,10:48,1,0,28,0,3,18,1,0,0,9,28,71,5,44,29,10,16,21,6,97,30
43,1,0,10:42,8,0,28,0,2,0,0,0,0,9,28,71,5,44,29,81,16,21,4,33,30
44,1,0,10:31,5,0,71,33,3,0,0,0,0,41,65,71,5,24,29,81,16,21,4,33,30
45,1,0,10:21,5,1,16,71,1,0,0,0,0,41,65,71,5,24,29,81,16,21,4,5,30
46,1,0,10:03,5,1,38,5,3,0,0,0,0,41,65,85,5,24,29,22,38,87,5,18,30
47,1,0,9:45,8,1,87,0,3,0,0,0,0,41,65,85,5,43,29,22,38,87,5,18,30
48,1,0,9:41,1,1,5,0,3,38,1,0,0,41,65,85,5,43,29,22,38,87,5,18,30
49,1,0,9:17,13,1,18,65,2,0,0,0,0,41,65,85,5,43,29,22,38,87,5,18,30
50,1,0,9:15,5,1,22,43,3,0,0,0,0,41,65,85,5,43,29,22,38,87,5,18,30
51,1,0,8:43,1,1,12,0,3,19,1,0,0,27,28,14,2,44,29,10,12,20,6,97,30
52,1,0,8:41,1,1,12,0,3,10,1,0,0,27,28,14,2,44,29,10,12,20,6,97,30
53,1,0,8:31,5,0,44,12,2,0,0,0,0,27,28,14,2,44,29,10,12,20,6,97,30
54,1,0,8:08,13,0,9,97,2,0,0,0,0,9,14,67,4,24,29,24,20,87,6,97,30
55,1,0,8:07,8,1,97,0,2,0,0,0,0,9,14,67,4,24,29,24,20,87,6,97,30
56,1,0,7:44,1,0,16,0,3,9,6,0,0,9,16,67,4,24,29,24,38,21,5,6,30
57,1,0,7:33,5,0,4,38,2,0,0,0,0,9,16,67,4,24,29,24,38,21,5,18,30
58,1,0,7:21,5,1,38,4,3,0,0,0,0,9,16,67,4,24,29,24,38,21,5,18,30
59,1,0,6:57,5,1,16,19,3,0,0,0,0,19,28,71,5,43,29,42,16,34,4,33,30
60,1,0,6:52,5,1,4,28,3,0,0,0,0,19,28,71,5,43,29,42,16,34,4,33,30
61,1,0,6:00,5,0,14,6,3,0,0,0,0,27,14,85,2,44,29,10,12,20,6,97,30
62,1,0,5:52,8,1,20,0,1,0,0,0,0,9,14,67,2,44,29,10,12,20,5,18,30
63,1,0,5:49,2,1,20,0,3,14,1,0,0,9,14,67,2,44,29,10,12,20,5,18,30
64,1,0,5:49,4,0,9,21,1,0,0,0,0,9,16,67,5,24,29,24,21,87,5,18,30
65,1,0,5:22,13,0,9,18,2,0,0,0,0,9,16,67,5,24,29,24,21,87,5,18,30
66,1,0,5:17,1,0,5,0,3,46,2,0,0,9,16,67,5,24,29,24,21,87,5,18,30
67,1, ,5:17,3,0,0,0,0,0,0,0,0,9,16,67,5,24,29,24,21,87,5,18,30
68,1,0,5:17,4,1,41,20,2,0,0,0,0,41,65,71,4,44,29,10,12,20,4,33,30
69,1,0,4:36,5,0,65,33,3,0,0,0,0,27,65,71,2,44,29,10,12,20,4,33,30
70,1,0,4:25,7,0,85,0,3,43,2,0,0,27,14,85,5,44,29,81,16,20,4,97,30
71,1, ,4:23,3,8,0,0,0,0,0,0,0,27,14,85,5,44,29,81,16,20,4,97,30
72,1,0,4:23,4,0,27,22,3,0,0,0,0,27,14,85,5,24,29,22,81,34,6,97,30
73,1,0,4:13,5,1,81,5,3,0,0,0,0,27,14,85,5,24,29,22,81,34,6,97,30
74,1,0,4:00,13,1,34,14,2,0,0,0,0,27,14,85,5,24,29,22,81,34,6,97,30
75,1,0,3:38,1,0,19,0,3,14,1,0,0,19,28,4,6,43,29,22,81,34,4,33,30
76,1,0,3:20,5,1,81,4,2,0,0,0,0,19,28,4,6,43,29,22,81,34,4,33,30
77,1,0,3:15,1,0,28,0,3,5,4,0,0,19,28,4,6,43,29,22,81,34,4,33,30
78,1,0,3:10,1,0,4,0,3,51,2,0,0,19,28,4,6,43,29,22,81,34,4,33,30
79,1, ,3:04,3,0,0,0,0,0,0,0,0,19,28,67,4,43,29,22,24,38,4,33,30
80,1,0,3:04,4,1,9,21,1,0,0,0,0,9,16,67,4,44,29,24,38,21,5,18,30
81,1,0,2:31,5,0,4,21,2,0,0,0,0,9,16,67,4,43,29,24,38,21,5,18,30
82,1,0,2:25,5,1,21,4,3,0,0,0,0,9,16,67,4,43,29,24,38,21,5,18,30
83,1,0,2:21,6,1,24,43,3,0,0,0,0,9,16,67,2,24,29,24,38,21,5,18,30
84,1,1,2:21,4,0,9,22,3,0,0,0,0,9,16,67,2,24,29,22,42,5,18,30,0
85,1,-1,2:08,13,0,24,22,2,0,0,0,0,9,16,67,2,24,29,22,42,5,18,30,0
86,1,-1,1:36,8,1,18,0,2,0,0,0,0,9,16,67,2,24,29,22,42,5,18,30,0
87,1,-1,1:13,8,1,6,0,2,0,0,0,0,27,14,85,2,24,29,10,20,6,33,30,0
88,1,-1,1:05,5,1,10,85,3,0,0,0,0,27,14,85,2,24,29,10,20,6,33,30,0
89,1,-1,0:42,1,1,22,0,3,10,6,0,0,27,14,85,4,6,29,22,21,5,18,30,0
90,1,1,0:38,6,0,6,22,0,0,0,0,0,27,14,85,4,6,29,22,21,5,18,30,0
91,1,0,0:38,4,1,28,20,3,0,0,0,0,19,28,2,44,29,0,10,20,4,5,30,0
92,1,0,0:24,7,1,4,0,3,41,0,0,0,19,28,2,44,29,0,10,20,4,5,30,0
93,1,-1,0:04,5,0,19,4,2,0,0,0,0,19,28,2,44,29,0,10,24,20,4,5,30
94,1, ,0:00,11,0,0,0,0,0,0,0,0,19,28,2,44,29,0,10,24,20,4,5,30
