# 2009/11/25 
# PHX , CGY 
# 1 , 2 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,20,19,14,2,33,30,24,20,23,3,28,34
2,1,0,20:00,4,0,20,24,1,0,0,0,0,20,19,14,2,33,30,24,20,23,3,28,34
3,1,0,19:49,7,0,20,0,3,35,1,0,0,20,19,14,2,33,30,24,20,23,3,28,34
4,1,0,19:41,1,1,20,0,1,81,2,0,0,20,19,14,2,33,30,24,20,23,3,28,34
5,1, ,19:40,3,1,0,0,0,0,0,0,0,20,19,14,2,33,30,24,20,23,3,28,34
6,1,0,19:40,4,1,11,45,3,0,0,0,0,11,16,17,2,33,30,21,45,12,4,5,34
7,1,0,19:33,5,0,2,21,2,0,0,0,0,11,16,17,2,33,30,21,45,12,4,5,34
8,1,0,19:17,5,1,4,16,2,0,0,0,0,11,16,17,2,33,30,21,45,12,4,5,34
9,1,0,18:35,13,1,25,55,2,0,0,0,0,15,88,8,4,55,30,22,25,15,7,44,34
10,1, ,18:17,3,6,0,0,0,0,0,0,0,15,88,8,4,55,30,22,25,15,7,44,34
11,1,0,18:17,4,1,15,16,3,0,0,0,0,15,88,8,4,55,30,16,11,33,4,5,34
12,1,0,17:59,5,0,6,11,1,0,0,0,0,34,12,38,3,6,30,16,11,33,4,5,34
13,1,0,17:46,1,0,38,0,3,21,1,0,0,34,12,38,3,6,30,16,11,33,4,5,34
14,1,0,17:39,1,0,34,0,3,13,6,0,0,34,12,38,3,6,30,16,11,33,4,5,34
15,1,0,17:33,13,0,6,4,2,0,0,0,0,34,12,38,3,6,30,16,11,33,4,5,34
16,1,0,17:11,8,0,19,0,3,0,0,0,0,20,19,14,2,33,30,24,20,23,3,28,34
17,1,0,17:04,1,0,14,0,3,5,4,0,0,20,19,14,2,33,30,24,20,23,3,28,34
18,1,0,16:41,7,0,14,0,3,45,1,0,0,11,19,14,4,55,30,24,20,23,3,28,34
19,1,0,16:40,5,1,3,14,2,0,0,0,0,11,19,14,4,55,30,24,45,23,3,28,34
20,1, ,16:40,3,1,0,0,0,0,0,0,0,11,19,14,4,55,30,24,45,23,3,28,34
21,1,0,16:40,4,0,11,45,3,0,0,0,0,11,16,17,4,55,30,21,45,12,4,7,34
22,1,0,16:34,7,0,55,0,3,36,1,0,0,11,16,17,4,55,30,21,45,12,4,7,34
23,1,0,16:20,13,0,11,7,2,0,0,0,0,11,16,17,4,55,30,21,45,12,4,7,34
24,1,0,16:15,5,1,7,16,2,0,0,0,0,11,16,17,4,55,30,21,45,12,4,7,34
25,1,0,16:11,9,1,7,0,2,0,0,0,0,11,16,17,4,55,30,21,45,12,4,7,34
26,1,0,16:04,1,1,21,0,3,41,1,0,0,11,16,17,4,6,30,21,45,12,3,28,34
27,1,0,15:58,1,0,17,0,1,81,2,0,0,15,16,17,3,6,30,21,45,12,3,28,34
28,1,0,15:45,13,0,8,12,2,0,0,0,0,15,88,8,3,6,30,22,45,12,3,28,34
29,1,0,15:26,9,1,3,0,2,0,0,0,0,15,88,12,2,33,30,22,25,15,3,28,34
30,1,0,15:24,1,0,15,0,3,35,1,0,0,15,88,12,2,33,30,22,25,15,3,28,34
31,1, ,15:22,3,1,0,0,0,0,0,0,0,15,88,12,2,33,30,22,25,15,3,28,34
32,1,0,15:22,4,0,38,22,3,0,0,0,0,34,12,38,2,33,30,22,25,15,4,5,34
33,1,0,15:05,5,1,5,2,3,0,0,0,0,34,12,38,2,33,30,22,25,15,4,5,34
34,1,0,14:56,9,1,4,0,2,0,0,0,0,34,12,38,2,33,30,22,25,15,4,5,34
35,1,0,14:54,1,0,2,0,3,66,2,0,0,34,12,38,2,33,30,22,25,15,4,5,34
36,1,0,14:45,1,0,38,0,3,48,1,0,0,34,12,38,2,33,30,22,25,15,4,5,34
37,1,0,14:27,9,1,22,0,3,0,0,0,0,20,34,14,33,55,30,22,15,23,7,44,34
38,1,0,13:49,1,1,44,0,3,54,1,0,0,20,19,14,4,55,30,24,20,23,7,44,34
39,1,0,13:42,1,1,23,0,3,42,1,0,0,20,19,14,4,55,30,24,20,23,7,44,34
40,1,0,13:13,5,1,3,16,2,0,0,0,0,11,16,17,2,33,30,21,45,12,3,28,34
41,1,0,13:07,9,1,21,0,2,0,0,0,0,11,16,17,2,33,30,21,45,12,3,28,34
42,1,0,13:00,13,0,33,45,2,0,0,0,0,11,16,17,2,33,30,21,45,12,3,28,34
43,1,0,11:49,5,1,11,55,3,0,0,0,0,34,12,38,4,55,30,16,11,33,3,44,34
44,1,0,11:42,13,1,3,38,2,0,0,0,0,34,12,38,4,55,30,16,11,33,3,44,34
45,1,0,11:35,13,1,3,4,2,0,0,0,0,34,12,38,4,55,30,16,11,33,3,44,34
46,1,0,11:09,8,1,5,0,2,0,0,0,0,20,34,14,3,6,30,24,20,23,4,5,34
47,1, ,10:59,3,6,0,0,0,0,0,0,0,20,19,14,3,6,30,24,20,23,4,5,34
48,1,0,10:59,4,1,20,24,3,0,0,0,0,20,19,14,3,6,30,24,20,23,4,5,34
49,1,0,10:46,9,0,20,0,2,0,0,0,0,20,19,14,3,6,30,24,20,23,4,5,34
50,1,0,10:17,13,0,14,3,2,0,0,0,0,20,19,14,2,33,30,21,45,12,3,28,34
51,1, ,10:16,3,0,0,0,0,0,0,0,0,20,19,14,2,33,30,21,45,12,3,28,34
52,1,0,10:16,4,0,11,21,3,0,0,0,0,11,16,17,2,33,30,16,21,12,4,5,34
53,1,0,10:10,7,0,16,0,3,25,0,0,0,11,16,17,2,33,30,16,21,12,4,5,34
54,1,0,9:40,1,1,12,0,3,14,1,0,0,11,16,17,2,33,30,16,21,12,4,5,34
55,1,0,9:31,7,1,21,0,3,22,1,0,0,11,16,17,2,33,30,16,21,12,4,5,34
56,1,0,9:01,5,1,15,8,3,0,0,0,0,15,88,8,3,6,30,22,25,15,3,28,34
57,1,0,8:54,7,1,15,0,3,30,1,0,0,15,88,8,3,6,30,22,25,15,3,28,34
58,1,0,8:20,6,1,33,12,1,0,0,0,0,34,12,38,2,33,30,45,11,33,7,44,34
59,1,0,8:20,6,0,12,33,2,0,0,0,0,34,12,38,2,33,30,45,11,7,44,34,0
60,1, ,8:20,3,9,0,0,0,0,0,0,0,34,38,2,33,30,0,45,11,7,44,34,0
61,1,0,8:20,4,0,38,21,1,0,0,0,0,34,8,38,2,33,30,21,45,11,7,44,34
62,1,0,8:03,1,1,11,0,3,59,3,0,0,34,8,38,2,33,30,21,45,11,7,44,34
63,1,0,8:00,5,0,2,45,2,0,0,0,0,34,8,38,2,33,30,21,45,11,7,44,34
64,1,0,7:35,5,0,2,45,2,0,0,0,0,34,8,38,2,33,30,21,45,11,7,44,34
65,1,0,7:20,5,1,5,19,2,0,0,0,0,20,19,14,4,55,30,24,20,23,4,5,34
66,1,0,7:14,6,1,5,19,2,0,0,0,0,20,19,14,4,55,30,24,20,23,4,5,34
67,1,-1,7:14,4,1,20,24,2,0,0,0,0,15,20,19,33,55,30,24,20,4,28,34,0
68,1,-1,6:37,8,1,23,0,2,0,0,0,0,15,20,19,33,55,30,22,23,3,7,34,0
69,1,-1,6:18,8,1,11,0,3,0,0,0,0,11,16,17,3,6,30,16,11,3,7,34,0
70,1,-1,6:16,1,1,11,0,3,58,1,0,0,11,16,17,3,6,30,16,11,3,7,34,0
71,1,-1,5:35,5,1,20,6,2,0,0,0,0,11,8,17,3,6,30,24,20,4,28,34,0
72,1,0,5:12,13,0,19,21,2,0,0,0,0,88,8,19,2,33,30,21,20,4,5,28,34
73,1,0,5:11,6,1,28,19,2,0,0,0,0,88,8,19,2,33,30,21,20,4,5,28,34
74,1, ,5:11,3,9,0,0,0,0,0,0,0,88,8,19,2,33,30,21,20,4,5,34,0
75,1,1,5:11,4,0,20,22,3,0,0,0,0,15,20,19,33,55,30,22,23,4,5,34,0
76,1,-1,4:56,8,1,23,0,3,0,0,0,0,15,20,19,33,55,30,22,23,4,5,34,0
77,1,1,4:48,9,0,15,0,2,0,0,0,0,15,20,19,33,55,30,22,23,4,5,34,0
78,1,1,4:32,1,0,55,0,3,56,1,0,0,15,20,19,33,55,30,24,20,4,5,34,0
79,1,1,4:24,7,0,15,0,3,23,1,0,0,15,20,19,33,55,30,24,20,4,5,34,0
80,1,-1,3:41,13,0,6,11,2,0,0,0,0,11,16,17,3,6,30,16,11,3,7,34,0
81,1,-1,3:22,5,1,5,16,2,0,0,0,0,11,16,17,3,6,30,22,23,4,5,34,0
82,1,0,2:58,1,0,3,0,3,47,1,0,0,11,8,17,2,3,30,22,23,4,5,28,34
83,1, ,2:51,3,4,0,0,0,0,0,0,0,11,8,19,2,4,30,22,23,4,5,28,34
84,1,0,2:51,4,0,38,21,3,0,0,0,0,34,8,38,2,4,30,21,12,15,7,44,34
85,1,0,2:45,1,0,8,0,3,47,1,0,0,34,8,38,2,4,30,21,12,15,7,44,34
86,1,0,2:31,5,1,44,38,2,0,0,0,0,34,8,38,2,4,30,21,12,15,7,44,34
87,1,0,2:30,1,0,8,0,3,44,3,0,0,34,8,38,2,4,30,21,12,15,7,44,34
88,1, ,2:30,3,1,0,0,0,0,0,0,0,34,8,38,2,4,30,21,12,15,7,44,34
89,1,0,2:30,4,1,38,21,2,0,0,0,0,34,8,38,2,4,30,21,12,15,3,28,34
90,1,0,2:11,5,1,12,4,3,0,0,0,0,34,8,38,2,4,30,21,12,15,3,28,34
91,1,0,0:59,7,1,12,0,3,59,0,0,0,15,88,8,4,55,30,22,12,20,3,28,34
92,1,0,0:47,7,0,4,0,3,56,1,0,0,15,88,8,4,55,30,22,12,25,3,28,34
93,1,0,0:13,8,0,16,0,1,0,0,0,0,15,16,17,2,33,30,22,12,25,4,7,34
94,1,0,0:06,8,0,17,0,3,0,0,0,0,11,16,17,2,33,30,22,12,25,4,7,34
95,1, ,0:00,11,0,0,0,0,0,0,0,0,11,16,17,2,33,30,22,12,25,4,7,34
96,2, ,20:00,10,0,0,0,0,0,0,0,0,20,19,14,2,33,30,24,20,23,4,5,34
97,2,0,20:00,4,1,20,23,1,0,0,0,0,20,19,14,2,33,30,24,20,23,4,5,34
98,2, ,19:27,3,6,0,0,0,0,0,0,0,20,19,14,2,33,30,24,20,23,4,5,34
99,2,0,19:27,4,1,20,21,3,0,0,0,0,20,19,14,2,33,30,21,45,12,7,44,34
100,2,0,19:15,1,1,21,0,3,44,2,0,0,20,19,14,2,33,30,21,45,12,7,44,34
101,2,0,18:49,9,0,16,0,2,0,0,0,0,11,16,17,2,33,30,21,45,12,7,44,34
102,2,0,18:29,1,1,21,0,3,26,0,0,0,11,16,17,2,33,30,21,45,12,3,28,34
103,2,0,18:28,7,1,21,0,3,26,6,0,0,11,16,17,2,33,30,21,45,12,3,28,34
104,2,0,18:06,13,1,22,55,2,0,0,0,0,15,88,16,4,55,30,22,25,15,3,28,34
105,2,0,17:51,13,1,5,55,2,0,0,0,0,15,88,16,4,55,30,22,25,15,4,5,34
106,2,0,17:46,13,1,4,88,2,0,0,0,0,15,88,16,4,55,30,22,25,15,4,5,34
107,2,0,16:21,1,0,14,0,3,50,1,0,0,34,14,38,2,33,30,24,20,23,3,28,34
108,2,0,16:05,13,1,3,20,2,0,0,0,0,20,19,14,2,33,30,24,20,23,3,28,34
109,2,0,15:39,5,1,4,20,2,0,0,0,0,20,19,14,4,55,30,21,12,20,4,5,34
110,2,0,15:25,5,0,55,4,2,0,0,0,0,11,16,17,4,55,30,21,45,12,4,5,34
111,2, ,15:19,3,6,0,0,0,0,0,0,0,11,16,17,4,55,30,21,45,12,4,5,34
112,2,0,15:18,4,0,11,45,2,0,0,0,0,11,16,17,4,55,30,21,45,12,7,44,34
113,2,0,15:01,13,1,21,4,2,0,0,0,0,11,16,17,4,55,30,21,45,12,7,44,34
114,2,0,14:55,5,1,44,16,2,0,0,0,0,11,16,17,3,6,30,21,45,12,7,44,34
115,2,0,14:46,1,0,17,0,3,48,2,0,0,11,16,17,3,6,30,21,45,12,7,44,34
116,2,0,14:42,7,0,3,0,3,35,3,0,0,11,16,17,3,6,30,21,45,12,7,44,34
117,2,0,14:19,1,0,17,0,3,48,1,0,0,11,16,17,3,6,30,21,45,12,7,44,34
118,2,0,13:49,13,0,33,22,2,0,0,0,0,15,88,8,2,33,30,22,25,15,3,28,34
119,2,0,13:43,5,0,33,15,2,0,0,0,0,15,88,8,2,33,30,22,25,15,3,28,34
120,2,0,13:33,8,1,28,0,1,0,0,0,0,15,88,8,2,33,30,22,25,15,3,28,34
121,2,0,13:25,13,1,3,33,2,0,0,0,0,15,88,8,2,33,30,22,25,15,3,5,34
122,2,0,12:38,5,0,12,16,3,0,0,0,0,34,12,38,3,55,30,16,11,33,4,5,34
123,2,0,12:23,8,0,55,0,3,0,0,0,0,19,12,38,4,55,30,16,11,20,4,5,34
124,2,0,11:56,9,1,4,0,2,0,0,0,0,20,19,14,2,4,30,24,20,23,4,5,34
125,2,0,11:43,5,1,23,4,3,0,0,0,0,20,19,14,2,4,30,24,20,23,7,44,34
126,2,0,11:29,1,1,24,0,3,43,1,0,0,20,19,14,2,4,30,24,20,23,7,44,34
127,2,0,11:20,7,1,20,0,3,39,2,0,0,20,19,14,2,4,30,24,20,23,7,44,34
128,2,0,11:08,13,1,12,14,2,0,0,0,0,20,19,14,2,4,30,24,45,12,7,44,34
129,2,0,10:49,1,1,45,0,3,22,2,0,0,11,16,17,2,4,30,21,45,12,3,28,34
130,2,0,10:48,1,1,45,0,3,20,6,0,0,11,16,17,2,4,30,21,45,12,3,28,34
131,2,0,10:38,13,1,21,11,2,0,0,0,0,11,16,17,2,4,30,21,45,12,3,28,34
132,2, ,10:27,3,0,0,0,0,0,0,0,0,11,16,17,2,4,30,21,45,12,3,28,34
133,2,0,10:27,4,0,15,22,1,0,0,0,0,15,88,8,3,6,30,22,25,15,3,28,34
134,2,0,9:46,6,0,6,15,2,0,0,0,0,15,34,8,3,6,30,22,25,15,3,5,34
135,2,1,9:46,4,1,38,21,3,0,0,0,0,34,38,4,55,30,0,21,45,12,3,4,34
136,2,-1,9:35,13,1,12,34,2,0,0,0,0,34,38,4,55,30,0,21,45,12,3,4,34
137,2,-1,8:46,13,1,21,2,2,0,0,0,0,11,17,2,33,30,0,21,45,12,3,4,34
138,2,1,8:25,9,1,5,0,3,0,0,0,0,34,38,4,55,30,0,22,25,15,3,5,34
139,2,1,8:10,7,1,22,0,3,41,1,0,0,34,38,4,55,30,0,22,25,15,3,5,34
140,2,1,8:01,13,0,34,5,2,0,0,0,0,15,34,3,33,30,0,22,25,15,3,5,34
141,2, ,8:00,3,4,0,0,0,0,0,0,0,15,34,3,33,30,0,22,25,15,3,5,34
142,2,1,8:00,4,1,15,23,2,0,0,0,0,15,19,3,33,30,0,24,20,23,4,7,34
143,2,0,7:21,8,0,19,0,2,0,0,0,0,15,19,3,6,33,30,24,20,23,4,7,34
144,2,0,7:09,9,1,33,0,3,0,0,0,0,20,8,19,2,4,30,24,20,33,4,7,34
145,2,0,5:59,13,1,44,16,2,0,0,0,0,11,16,17,33,55,30,21,45,12,7,44,34
146,2,0,5:50,8,0,17,0,2,0,0,0,0,11,16,17,33,55,30,21,45,12,7,44,34
