# 2009/11/27 
# TOR , FLA 
# 6 , 4 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,14,81,23,22,36,50,9,16,67,2,44,29
2,1,0,20:00,4,0,14,9,1,0,0,0,0,14,81,23,22,36,50,9,16,67,2,44,29
3,1,0,19:35,8,1,67,0,3,0,0,0,0,14,81,23,22,36,50,9,16,67,2,44,29
4,1,0,19:32,7,1,9,0,3,16,6,0,0,14,81,23,22,36,50,9,16,67,2,44,29
5,1,0,19:26,13,1,44,22,2,0,0,0,0,14,81,23,22,36,50,9,16,67,2,44,29
6,1,0,19:01,13,0,9,24,2,0,0,0,0,20,84,9,7,15,50,27,14,85,5,24,29
7,1,0,18:49,2,1,14,0,3,34,2,85,27,20,84,9,7,15,50,27,14,85,5,24,29
8,1,0,18:49,4,0,18,19,1,0,0,0,0,18,12,41,2,3,50,19,28,71,4,43,29
9,1,0,18:23,1,1,19,0,3,21,1,0,0,18,12,41,2,3,50,19,28,71,4,43,29
10,1,0,18:22,6,0,3,19,2,0,0,0,0,18,12,41,2,3,50,19,28,71,4,43,29
11,1,-1,18:22,4,0,21,9,2,0,0,0,0,21,55,22,36,50,0,9,16,67,2,24,29
12,1,1,18:05,1,1,24,0,3,57,2,0,0,21,55,22,36,50,0,9,16,67,2,24,29
13,1,1,17:56,2,1,67,0,3,24,3,9,24,21,55,22,36,50,0,9,16,67,2,24,29
14,1,0,17:56,4,0,18,27,1,0,0,0,0,18,12,28,7,15,50,27,14,85,5,44,29
15,1,0,17:44,5,0,28,44,3,0,0,0,0,18,12,28,7,15,50,27,14,85,5,44,29
16,1,0,17:34,1,1,14,0,3,58,2,0,0,18,12,28,7,15,50,27,14,85,5,44,29
17,1,0,17:27,1,0,28,0,3,51,2,0,0,18,12,28,7,15,50,27,14,85,5,44,29
18,1,0,17:16,1,0,18,0,3,34,1,0,0,18,12,28,7,15,50,27,14,85,5,44,29
19,1,0,17:14,13,1,5,28,3,0,0,0,0,18,12,28,7,15,50,27,14,85,5,44,29
20,1,0,17:13,1,0,7,0,3,60,2,0,0,18,12,28,7,15,50,27,14,85,5,44,29
21,1, ,17:11,3,1,0,0,0,0,0,0,0,18,12,28,7,15,50,27,14,85,5,44,29
