# 2009/12/07 
# MIN , PHX 
# 0 , 2 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,9,16,14,3,6,32,11,16,17,4,55,30
2,1,0,20:00,4,1,9,11,1,0,0,0,0,9,16,14,3,6,32,11,16,17,4,55,30
3,1, ,19:24,3,6,0,0,0,0,0,0,0,16,14,5,26,36,32,11,16,17,4,55,30
4,1,0,19:24,4,1,9,11,2,0,0,0,0,9,20,15,5,26,32,11,16,17,4,55,30
5,1,0,19:16,1,1,17,0,3,45,2,0,0,9,20,15,5,26,32,11,16,17,3,33,30
6,1, ,19:15,3,1,0,0,0,0,0,0,0,9,20,15,5,26,32,11,16,17,3,33,30
7,1,0,19:15,4,0,20,20,2,0,0,0,0,9,20,15,3,6,32,20,19,14,3,33,30
8,1,0,19:07,5,0,20,14,2,0,0,0,0,9,20,15,3,6,32,20,19,14,3,33,30
9,1,0,18:34,1,1,14,0,3,43,1,0,0,25,51,11,6,34,32,20,19,14,3,33,30
10,1, ,18:33,3,1,0,0,0,0,0,0,0,25,51,11,34,55,32,20,19,14,3,18,30
11,1,0,18:33,4,0,25,15,2,0,0,0,0,25,51,11,34,55,32,15,88,8,2,18,30
12,1,0,18:17,1,1,2,0,3,55,2,0,0,25,51,11,34,55,32,15,88,8,2,18,30
13,1, ,18:16,3,1,0,0,0,0,0,0,0,25,51,11,34,55,32,15,88,8,2,18,30
14,1,0,18:16,4,1,21,8,3,0,0,0,0,21,12,48,5,26,32,15,88,8,2,18,30
15,1, ,18:02,3,10,0,0,0,0,0,0,0,21,12,48,5,26,32,15,88,8,2,18,30
16,1,0,18:02,4,1,21,38,3,0,0,0,0,21,12,48,5,26,32,34,29,38,4,55,30
17,1,0,17:54,13,1,55,12,2,0,0,0,0,21,12,48,5,26,32,34,29,38,4,55,30
18,1,0,17:53,5,1,55,12,2,0,0,0,0,21,12,48,5,26,32,34,29,38,4,55,30
19,1,0,17:28,5,0,6,38,2,0,0,0,0,25,11,48,3,6,32,34,29,38,4,55,30
20,1,0,17:07,9,1,14,0,3,0,0,0,0,25,51,11,3,6,32,20,19,14,3,33,30
21,1, ,16:55,3,6,0,0,0,0,0,0,0,25,51,11,3,6,32,20,19,14,3,33,30
22,1,0,16:55,4,1,25,20,3,0,0,0,0,25,51,11,3,6,32,20,19,14,3,33,30
23,1,0,16:20,7,1,20,0,3,29,1,0,0,9,51,20,3,6,32,20,19,14,4,55,30
24,1,0,15:55,5,1,4,51,3,0,0,0,0,9,51,20,3,6,32,11,19,14,4,55,30
25,1,0,15:50,1,1,11,0,3,35,1,0,0,9,14,3,6,36,32,11,16,17,4,55,30
26,1,0,15:45,1,1,2,0,3,49,2,0,0,9,14,3,6,36,32,11,16,17,2,18,30
27,1, ,15:44,3,1,0,0,0,0,0,0,0,9,14,3,6,36,32,11,16,17,2,18,30
28,1,0,15:44,4,0,21,11,2,0,0,0,0,16,21,14,34,55,32,11,16,17,2,18,30
29,1,0,15:28,7,1,16,0,3,36,1,0,0,16,14,34,36,55,32,11,16,17,2,18,30
30,1,0,14:40,1,0,21,0,3,15,5,0,0,21,12,48,5,26,32,15,88,8,2,18,30
31,1,0,14:08,9,0,12,0,2,0,0,0,0,21,12,48,5,26,32,15,88,29,3,33,30
32,1,0,13:40,5,1,38,55,3,0,0,0,0,9,20,15,34,55,32,34,29,38,4,55,30
33,1,0,13:33,5,1,34,15,3,0,0,0,0,9,20,15,34,55,32,34,29,38,4,55,30
34,1,0,13:30,1,1,38,0,3,8,4,0,0,9,20,15,34,55,32,34,29,38,4,55,30
35,1, ,13:29,3,0,0,0,0,0,0,0,0,9,20,15,34,55,32,34,29,38,4,55,30
36,1,0,13:29,4,1,11,20,3,0,0,0,0,25,51,11,3,6,32,20,19,14,3,33,30
37,1,0,13:20,5,1,14,11,3,0,0,0,0,25,51,11,3,6,32,20,19,14,3,33,30
38,1,0,13:15,6,1,19,51,1,0,0,0,0,25,51,11,3,6,32,20,19,14,3,33,30
39,1,-1,13:15,4,1,9,38,2,0,0,0,0,9,14,20,15,3,32,34,38,4,55,30,0
40,1,1,12:13,9,0,5,0,1,0,0,0,0,25,11,48,5,34,32,11,29,18,33,30,0
41,1,1,12:08,13,1,29,34,2,0,0,0,0,25,11,48,5,34,32,11,29,18,33,30,0
42,1, ,12:08,3,4,0,0,0,0,0,0,0,25,11,48,5,34,32,11,29,18,33,30,0
43,1,1,12:08,4,0,25,38,2,0,0,0,0,25,11,48,5,34,32,34,38,18,33,30,0
44,1,-1,11:45,8,1,18,0,2,0,0,0,0,25,11,48,5,34,32,34,38,18,33,30,0
45,1,1,11:17,5,0,6,4,3,0,0,0,0,9,20,15,3,6,32,11,29,4,55,30,0
46,1,0,11:03,7,0,20,0,3,14,1,0,0,9,20,15,3,6,32,11,19,29,4,55,30
47,1,0,10:59,1,0,9,0,3,19,1,0,0,9,20,15,3,6,32,11,19,29,4,55,30
48,1, ,10:58,3,1,0,0,0,0,0,0,0,9,20,15,3,6,32,11,19,29,4,55,30
49,1,0,10:58,4,1,21,15,2,0,0,0,0,21,51,12,5,26,32,15,88,8,2,18,30
50,1,0,10:44,9,1,8,0,1,0,0,0,0,21,51,12,5,26,32,15,88,8,2,18,30
51,1,0,10:36,5,0,26,2,2,0,0,0,0,21,51,12,5,26,32,15,88,8,2,18,30
52,1,0,10:28,8,1,88,0,3,0,0,0,0,21,51,12,5,26,32,15,88,8,2,18,30
53,1,0,9:54,1,1,88,0,3,42,2,0,0,16,14,34,36,55,32,15,88,16,3,33,30
54,1, ,9:40,3,6,0,0,0,0,0,0,0,16,14,34,36,55,32,11,16,17,3,33,30
55,1,0,9:40,4,1,16,16,3,0,0,0,0,16,14,34,36,55,32,11,16,17,3,33,30
56,1,0,9:06,7,1,33,0,3,52,2,0,0,16,11,3,6,36,32,11,16,17,3,33,30
57,1,0,8:38,1,0,25,0,1,68,6,0,0,25,51,20,3,6,32,20,19,14,2,18,30
58,1,0,8:38,1,0,51,0,3,15,6,0,0,25,51,20,5,55,32,20,19,14,2,18,30
59,1, ,8:37,3,0,0,0,0,0,0,0,0,25,51,20,5,55,32,20,19,14,2,18,30
60,1,0,8:37,4,0,11,20,3,0,0,0,0,25,51,11,5,55,32,20,19,14,2,18,30
61,1,0,8:11,1,0,51,0,3,67,2,0,0,25,51,20,3,6,32,20,19,14,2,18,30
62,1, ,7:58,3,10,0,0,0,0,0,0,0,9,20,15,3,6,32,20,19,14,2,18,30
63,1,0,7:58,4,0,21,38,1,0,0,0,0,21,12,48,5,26,32,34,29,38,3,33,30
64,1,0,7:37,5,1,29,48,3,0,0,0,0,21,12,48,5,26,32,34,29,38,3,33,30
65,1, ,7:12,3,0,0,0,0,0,0,0,0,21,12,48,5,26,32,34,29,38,3,33,30
66,1,0,7:12,4,0,9,16,2,0,0,0,0,9,20,15,34,55,32,11,16,17,4,55,30
67,1,0,6:34,7,0,34,0,3,56,2,0,0,9,20,15,34,55,32,11,16,17,4,55,30
68,1,0,6:27,6,0,34,17,3,0,0,0,0,9,20,15,34,55,32,11,16,17,4,55,30
69,1,1,6:27,4,1,21,15,3,0,0,0,0,21,25,3,6,32,0,15,20,8,33,55,30
70,1,1,5:48,7,1,8,0,3,10,5,0,0,16,20,3,6,32,0,15,20,8,33,55,30
71,1,1,5:35,7,1,55,0,3,12,5,0,0,16,20,3,6,32,0,15,20,8,33,55,30
72,1,1,4:29,5,1,19,6,3,0,0,0,0,9,12,3,6,32,0,11,17,19,3,4,30
73,1,0,4:24,1,0,9,0,2,127,2,0,0,9,12,3,6,34,32,11,17,19,3,4,30
74,1,0,4:14,5,0,26,29,2,0,0,0,0,25,11,14,5,26,32,34,29,38,3,18,30
