# 2009/12/08 
# VAN , NSH 
# 2 , 4 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,33,14,22,3,8,1,11,25,29,2,8,35
2,1,0,20:00,4,0,33,11,1,0,0,0,0,33,14,22,3,8,1,11,25,29,2,8,35
3,1,0,19:48,5,1,29,8,3,0,0,0,0,33,14,22,3,8,1,11,25,29,2,8,35
4,1,0,19:35,8,0,14,0,1,0,0,0,0,33,14,22,6,23,1,11,25,29,2,8,35
5,1,0,19:28,5,1,8,22,1,0,0,0,0,33,14,22,6,23,1,11,25,29,2,8,35
6,1,0,19:03,9,0,3,0,2,0,0,0,0,17,36,21,3,8,1,19,10,26,6,20,35
7,1,0,19:02,1,1,20,0,3,56,2,0,0,17,36,21,3,8,1,19,10,26,6,20,35
8,1, ,19:01,3,1,0,0,0,0,0,0,0,17,36,21,3,8,1,19,10,26,6,20,35
9,1,0,19:01,4,0,42,19,2,0,0,0,0,42,18,26,3,8,1,19,10,26,6,20,35
10,1,0,18:44,1,1,20,0,1,80,1,0,0,42,18,26,3,8,1,19,10,26,6,20,35
11,1,0,18:34,1,1,6,0,3,62,1,0,0,42,18,26,3,8,1,19,10,26,6,20,35
12,1,0,18:15,5,0,3,10,2,0,0,0,0,42,18,26,3,8,1,19,10,26,6,20,35
13,1, ,18:01,3,6,0,0,0,0,0,0,0,37,42,26,3,8,1,9,22,71,6,52,35
14,1,0,18:01,4,0,42,9,2,0,0,0,0,37,42,26,3,8,1,9,22,71,51,52,35
15,1,0,17:53,5,0,5,71,2,0,0,0,0,10,37,15,5,55,1,9,22,71,51,52,35
16,1,0,17:25,5,0,37,52,3,0,0,0,0,10,37,15,5,55,1,9,25,29,51,52,35
17,1,0,16:55,9,0,55,0,2,0,0,0,0,10,14,15,5,55,1,11,25,29,2,8,35
18,1,0,16:53,13,1,11,55,2,0,0,0,0,10,14,15,5,55,1,11,25,29,2,8,35
19,1,0,16:52,8,0,10,0,2,0,0,0,0,10,14,15,5,55,1,11,25,29,2,8,35
20,1,0,16:41,5,0,55,11,2,0,0,0,0,10,14,15,5,55,1,11,25,29,2,8,35
21,1,0,16:24,9,1,2,0,2,0,0,0,0,33,14,22,6,23,1,11,25,29,2,8,35
22,1,0,16:20,7,0,6,0,3,53,2,0,0,33,14,22,6,23,1,11,25,29,2,8,35
23,1,0,16:16,1,0,22,0,3,7,5,0,0,33,14,22,6,23,1,11,25,29,2,8,35
24,1,0,16:14,13,0,14,2,2,0,0,0,0,33,14,22,6,23,1,11,25,29,2,8,35
25,1,0,16:10,1,0,33,0,3,18,1,0,0,33,14,22,6,23,1,11,25,29,2,8,35
26,1, ,16:09,3,1,0,0,0,0,0,0,0,33,14,22,6,23,1,11,25,29,2,8,35
27,1,0,16:09,4,0,17,9,3,0,0,0,0,17,36,21,3,8,1,9,19,10,6,20,35
28,1,0,15:41,2,1,10,0,3,7,1,19,26,17,36,21,3,8,1,19,10,26,6,20,35
29,1,0,15:41,4,0,42,16,1,0,0,0,0,42,18,26,6,23,1,16,27,28,6,20,35
30,1, ,15:11,3,4,0,0,0,0,0,0,0,42,18,26,5,23,1,16,27,28,6,20,35
31,1,0,15:11,4,0,33,25,3,0,0,0,0,33,14,22,5,55,1,11,25,29,2,8,35
32,1,0,14:31,5,1,2,33,2,0,0,0,0,33,14,22,5,55,1,11,25,29,2,8,35
33,1,0,13:46,5,1,8,15,1,0,0,0,0,10,37,15,3,8,1,19,10,26,8,52,35
34,1, ,13:44,3,6,0,0,0,0,0,0,0,10,37,15,3,8,1,19,10,26,8,52,35
35,1,0,13:44,4,1,10,22,3,0,0,0,0,10,37,15,3,8,1,9,22,71,51,52,35
36,1,0,13:40,13,1,71,15,2,0,0,0,0,10,37,15,3,8,1,9,22,71,51,52,35
37,1,0,12:51,1,0,6,0,3,54,2,0,0,17,36,21,6,23,1,16,27,28,51,52,35
38,1,0,12:36,1,0,36,0,3,8,1,0,0,17,36,21,6,23,1,16,27,28,51,52,35
39,1,0,12:23,1,1,27,0,3,35,1,0,0,17,36,21,5,23,1,16,27,28,6,20,35
40,1,0,12:23,5,0,23,27,2,0,0,0,0,17,36,21,5,23,1,16,27,28,6,20,35
41,1, ,12:22,3,0,0,0,0,0,0,0,0,17,36,21,5,23,1,16,27,28,6,20,35
42,1,0,12:22,6,0,21,28,2,0,0,0,0,17,36,21,5,23,1,16,27,28,6,20,35
43,1,0,12:22,6,1,28,21,3,0,0,0,0,17,36,21,5,23,1,16,27,28,6,20,35
44,1,0,12:22,4,1,33,11,3,0,0,0,0,33,22,6,23,1,0,11,29,6,20,35,0
45,1,0,12:04,13,1,6,23,2,0,0,0,0,42,18,5,23,1,0,11,29,6,20,35,0
46,1,0,11:36,5,1,6,23,2,0,0,0,0,26,14,3,23,1,0,19,26,6,20,35,0
47,1,0,11:29,13,1,6,3,2,0,0,0,0,26,14,3,8,1,0,19,26,6,20,35,0
48,1,0,11:20,7,1,26,0,3,38,2,0,0,26,14,3,8,1,0,19,26,6,20,35,0
49,1,0,10:33,9,0,3,0,3,0,0,0,0,42,18,3,8,1,0,9,10,2,8,35,0
50,1,0,9:51,7,0,5,0,3,48,1,0,0,17,36,21,5,55,1,16,27,28,51,52,35
51,1,0,9:36,5,1,6,17,2,0,0,0,0,17,36,21,6,8,1,16,25,29,6,52,35
52,1,0,9:15,13,0,36,20,2,0,0,0,0,17,36,22,6,8,1,11,25,29,6,20,35
53,1, ,9:14,3,0,0,0,0,0,0,0,0,17,36,22,6,8,1,11,25,29,6,20,35
54,1,0,9:14,4,1,33,11,2,0,0,0,0,33,14,22,3,5,1,11,25,29,2,8,35
55,1,0,8:24,8,0,8,0,1,0,0,0,0,33,14,22,3,8,1,11,25,29,2,8,35
56,1,0,7:59,13,1,71,8,2,0,0,0,0,10,37,15,6,8,1,9,22,71,6,20,35
57,1,0,7:53,13,1,6,15,2,0,0,0,0,10,37,15,6,8,1,9,22,71,6,20,35
58,1,0,7:47,7,1,20,0,3,38,1,0,0,10,37,15,6,8,1,9,22,71,6,20,35
59,1,0,7:35,13,1,6,37,2,0,0,0,0,10,37,15,6,8,1,9,22,71,6,20,35
60,1,0,7:29,7,1,22,0,3,42,1,0,0,10,37,15,6,8,1,9,22,71,6,20,35
61,1,0,7:26,7,1,6,0,3,59,2,0,0,10,37,15,6,8,1,9,22,71,6,20,35
62,1,0,7:21,1,1,6,0,3,55,2,0,0,10,37,15,6,8,1,9,22,71,6,20,35
63,1,0,7:15,5,1,9,10,3,0,0,0,0,10,37,15,6,8,1,9,22,71,6,20,35
64,1,0,6:56,1,1,27,0,1,77,1,0,0,42,18,26,5,55,1,16,27,28,51,52,35
65,1,0,6:40,13,1,51,18,2,0,0,0,0,42,18,26,5,55,1,16,27,28,51,52,35
66,1,0,6:34,8,0,55,0,2,0,0,0,0,42,18,26,5,55,1,16,27,28,51,52,35
67,1,0,6:30,5,1,28,55,3,0,0,0,0,42,18,26,5,55,1,16,27,28,51,52,35
68,1,0,6:13,5,0,18,52,3,0,0,0,0,17,18,26,3,8,1,16,27,28,51,52,35
69,1,0,5:54,7,1,10,0,3,35,1,0,0,17,36,21,3,8,1,19,10,26,6,20,35
70,1,0,5:29,5,1,20,21,2,0,0,0,0,17,36,21,6,8,1,19,29,26,6,20,35
