# 2009/12/12 
# FLA , PIT 
# 2 , 3 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,9,16,67,2,44,29,11,48,24,44,55,1
2,1,0,20:00,4,1,9,11,1,0,0,0,0,9,16,67,2,44,29,11,48,24,44,55,1
3,1, ,19:43,3,8,0,0,0,0,0,0,0,9,16,67,4,24,29,11,48,24,44,55,1
4,1,0,19:43,4,1,27,87,3,0,0,0,0,27,65,85,4,24,29,87,13,14,44,55,1
5,1,0,19:39,13,1,55,85,2,0,0,0,0,27,65,85,4,24,29,87,13,14,44,55,1
6,1,0,19:20,5,1,44,65,2,0,0,0,0,27,65,85,2,44,29,87,13,14,44,55,1
7,1,0,18:46,7,0,28,0,3,62,2,0,0,28,14,22,4,24,29,71,9,26,7,58,1
8,1,0,18:23,5,0,32,9,1,0,0,0,0,41,32,68,4,24,29,71,9,26,7,58,1
9,1, ,18:07,3,6,0,0,0,0,0,0,0,41,32,68,4,24,29,71,9,26,3,74,1
10,1,0,18:07,4,1,41,11,3,0,0,0,0,41,32,68,4,24,29,11,48,24,3,74,1
11,1,0,17:37,5,1,24,4,3,0,0,0,0,41,32,67,4,24,29,11,48,24,3,74,1
12,1,0,17:34,1,0,16,0,3,43,3,0,0,9,16,67,4,24,29,11,48,24,3,74,1
13,1,0,17:25,5,0,67,48,3,0,0,0,0,9,16,67,5,43,29,11,48,24,44,55,1
14,1, ,16:58,3,6,0,0,0,0,0,0,0,27,65,85,5,43,29,87,13,14,44,55,1
15,1,0,16:58,4,1,27,87,3,0,0,0,0,27,65,85,5,43,29,71,87,13,7,58,1
16,1,0,16:38,1,0,85,0,3,41,1,0,0,27,65,85,5,43,29,71,87,13,7,58,1
17,1,0,16:32,1,0,27,0,3,34,1,0,0,27,65,85,2,44,29,71,87,13,7,58,1
18,1,0,16:20,8,1,71,0,3,0,0,0,0,28,14,22,2,44,29,71,87,13,7,58,1
19,1,0,16:11,13,0,14,7,2,0,0,0,0,28,14,22,2,44,29,71,87,13,7,58,1
20,1, ,16:10,3,3,0,0,0,0,0,0,0,28,14,22,2,44,29,71,87,13,7,58,1
21,1,0,16:10,4,1,41,27,2,0,0,0,0,41,32,68,4,24,29,17,25,27,3,74,1
22,1,0,15:37,1,1,25,0,3,41,1,0,0,41,32,68,4,24,29,17,25,27,3,74,1
23,1,0,14:58,9,0,22,0,2,0,0,0,0,28,14,22,5,43,29,71,9,26,7,58,1
24,1,0,14:54,1,1,7,0,3,37,1,0,0,28,14,22,5,43,29,71,9,26,7,58,1
25,1,0,14:34,1,1,9,0,3,50,2,0,0,28,14,22,5,43,29,71,9,26,7,58,1
26,1, ,14:21,3,6,0,0,0,0,0,0,0,28,14,22,5,43,29,11,48,87,44,55,1
27,1,0,14:21,4,1,22,87,3,0,0,0,0,28,14,22,5,43,29,11,48,87,44,55,1
28,1,0,14:15,7,1,48,0,3,32,3,0,0,28,14,22,5,43,29,11,48,87,44,55,1
29,1,0,13:57,1,1,24,0,3,29,1,0,0,9,16,67,2,44,29,11,48,24,44,55,1
30,1,0,13:38,13,0,16,24,2,0,0,0,0,9,16,67,4,24,29,11,48,24,44,55,1
31,1,0,13:31,5,1,55,4,1,0,0,0,0,9,16,67,4,24,29,11,48,24,44,55,1
32,1,0,13:10,7,1,87,0,3,29,1,0,0,27,65,85,4,44,29,87,13,14,3,74,1
33,1,0,12:29,1,1,87,0,3,39,1,0,0,41,32,68,2,44,29,87,13,14,3,74,1
34,1, ,12:28,3,0,0,0,0,0,0,0,0,41,32,68,2,44,29,87,13,14,3,74,1
35,1,0,12:28,4,1,28,71,3,0,0,0,0,28,14,22,4,24,29,71,9,26,7,58,1
36,1,0,11:51,5,1,26,4,3,0,0,0,0,9,16,22,4,24,29,71,9,26,7,58,1
37,1,0,11:32,9,1,17,0,3,0,0,0,0,9,16,22,4,24,29,17,25,71,44,55,1
38,1,0,11:28,6,1,17,16,2,0,0,0,0,9,16,67,5,43,29,17,25,27,44,55,1
39,1,-1,11:28,4,1,9,11,2,0,0,0,0,9,16,67,2,43,29,11,24,44,55,1,0
40,1,1,11:16,1,0,2,0,3,52,1,0,0,9,16,67,2,43,29,11,24,44,55,1,0
41,1,-1,10:27,13,0,16,7,2,0,0,0,0,9,16,67,2,43,29,25,27,7,74,1,0
42,1,1,9:38,1,0,85,0,3,14,6,0,0,27,14,85,4,24,29,11,24,44,55,1,0
43,1,1,9:36,1,0,85,0,3,10,1,0,0,27,14,85,4,24,29,11,24,44,55,1,0
44,1,1,9:35,2,0,27,0,3,9,6,85,14,27,14,85,4,24,29,11,24,44,55,1,0
45,1,0,9:35,4,1,28,87,1,0,0,0,0,28,65,22,2,44,29,87,13,14,7,58,1
46,1,0,9:28,5,0,65,58,3,0,0,0,0,28,65,22,2,44,29,87,13,14,7,58,1
47,1,0,9:19,5,0,22,58,3,0,0,0,0,28,65,22,2,44,29,87,13,14,7,58,1
48,1,0,8:49,1,1,87,0,3,34,1,0,0,9,16,22,2,44,29,87,13,14,7,58,1
49,1,0,8:30,13,0,4,13,2,0,0,0,0,9,16,67,4,24,29,71,13,9,3,58,1
50,1,0,8:23,1,0,9,0,3,17,1,0,0,9,16,67,4,24,29,71,13,9,3,58,1
51,1,0,8:16,1,1,13,0,3,62,1,0,0,9,16,67,4,24,29,71,13,9,3,58,1
52,1, ,8:15,3,0,0,0,0,0,0,0,0,9,16,67,4,24,29,71,13,9,3,58,1
53,1,0,8:15,4,0,9,71,2,0,0,0,0,9,16,67,4,24,29,11,48,71,44,55,1
54,1,0,8:06,7,1,11,0,3,21,1,0,0,9,16,67,4,24,29,11,48,71,44,55,1
55,1, ,7:44,3,6,0,0,0,0,0,0,0,9,16,67,4,24,29,11,48,71,44,55,1
56,1,0,7:44,4,1,27,9,3,0,0,0,0,27,16,67,4,24,29,71,9,26,3,74,1
57,1,0,6:57,2,1,9,0,3,15,1,27,3,41,65,68,5,43,29,27,9,26,3,74,1
58,1,0,6:57,4,1,41,27,1,0,0,0,0,41,32,68,2,44,29,17,25,27,7,58,1
59,1,0,6:45,5,1,25,2,3,0,0,0,0,41,32,68,2,44,29,17,25,27,7,58,1
60,1,0,6:29,5,0,2,25,2,0,0,0,0,41,32,68,2,44,29,17,25,27,7,58,1
61,1, ,6:19,3,3,0,0,0,0,0,0,0,41,32,68,2,44,29,17,25,27,7,58,1
62,1,0,6:19,4,0,28,87,1,0,0,0,0,28,14,22,2,44,29,87,13,14,3,74,1
63,1,0,5:54,1,1,13,0,3,34,2,0,0,28,14,22,2,44,29,87,13,14,3,74,1
64,1,0,5:43,9,0,14,0,3,0,0,0,0,28,14,22,5,43,29,87,13,14,3,74,1
65,1,0,5:34,1,1,3,0,3,43,1,0,0,28,65,85,5,43,29,87,13,14,3,55,1
66,1, ,5:33,3,0,0,0,0,0,0,0,0,28,65,85,5,43,29,87,13,14,3,55,1
67,1,0,5:33,4,1,27,87,3,0,0,0,0,27,65,85,2,44,29,87,13,14,44,55,1
68,1,0,5:10,5,0,65,87,2,0,0,0,0,27,65,85,2,44,29,87,13,14,44,55,1
69,1,0,5:01,5,1,44,85,3,0,0,0,0,27,65,85,2,44,29,87,13,14,44,55,1
70,1,0,4:45,1,1,87,0,3,23,1,0,0,9,16,85,2,44,29,87,13,14,44,55,1
71,1,0,4:28,7,0,67,0,3,15,6,0,0,9,16,67,5,43,29,11,48,24,44,55,1
72,1,0,4:04,5,1,58,67,2,0,0,0,0,28,14,67,5,43,29,11,48,24,7,58,1
73,1,0,3:53,1,1,11,0,3,24,1,0,0,28,14,67,5,43,29,11,48,24,7,58,1
74,1, ,3:52,3,1,0,0,0,0,0,0,0,28,14,67,5,43,29,11,48,24,7,58,1
75,1,0,3:52,4,0,28,71,2,0,0,0,0,28,14,22,4,24,29,71,9,26,7,58,1
76,1,0,3:15,5,0,68,3,1,0,0,0,0,28,32,68,4,24,29,71,9,26,3,74,1
77,1,0,3:10,1,0,68,0,3,10,1,0,0,41,32,68,4,24,29,71,9,26,3,74,1
78,1, ,3:09,3,0,0,0,0,0,0,0,0,41,32,68,4,24,29,71,9,26,3,74,1
79,1,0,3:09,6,0,68,74,0,0,0,0,0,41,32,68,4,24,29,71,9,26,3,74,1
80,1,0,3:09,6,1,71,4,2,0,0,0,0,28,85,24,44,29,0,71,87,13,3,55,1
81,1,0,3:09,6,1,71,48,2,0,0,0,0,28,85,24,44,29,0,87,13,3,55,1,0
82,1,1,3:09,4,0,9,11,3,0,0,0,0,9,16,67,2,24,29,11,24,44,55,1,0
83,1,-1,2:47,13,0,24,44,2,0,0,0,0,9,16,67,2,24,29,11,24,44,55,1,0
84,1, ,2:41,3,2,0,0,0,0,0,0,0,9,16,67,2,24,29,11,24,7,74,1,0
85,1,-1,2:41,4,1,27,27,1,0,0,0,0,27,14,85,2,24,29,25,27,7,74,1,0
86,1,-1,2:25,5,1,27,27,2,0,0,0,0,27,14,85,2,24,29,25,27,7,74,1,0
87,1,-1,2:03,9,1,74,0,2,0,0,0,0,27,14,85,4,43,29,25,27,7,74,1,0
88,1,-1,1:48,5,1,27,43,2,0,0,0,0,27,14,85,4,43,29,25,27,7,74,1,0
89,1,-1,1:41,5,1,25,4,2,0,0,0,0,27,14,85,4,43,29,25,27,7,74,1,0
90,1,-1,1:38,5,1,25,4,2,0,0,0,0,27,14,85,4,43,29,25,27,7,74,1,0
91,1,-1,1:36,1,1,25,0,3,51,1,0,0,27,14,85,4,43,29,25,27,7,74,1,0
92,1,1,1:25,1,0,16,0,3,39,1,0,0,9,16,67,4,43,29,11,24,44,55,1,0
93,1, ,1:24,3,1,0,0,0,0,0,0,0,9,16,67,4,43,29,11,24,44,55,1,0
94,1,-1,1:24,4,1,9,87,2,0,0,0,0,9,16,67,5,44,29,87,14,44,55,1,0
