# 2009/12/12 
# MTL , ATL 
# 3 , 4 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,15,32,67,26,75,31,47,61,13,4,6,1
2,1,0,20:00,4,0,15,47,1,0,0,0,0,15,32,67,26,75,31,47,61,13,4,6,1
3,1,0,19:52,5,1,4,67,3,0,0,0,0,15,32,67,26,75,31,47,61,13,4,6,1
4,1,0,19:38,8,0,75,0,2,0,0,0,0,15,32,67,26,75,31,47,61,13,4,6,1
5,1,0,18:01,5,0,40,9,1,0,0,0,0,40,91,74,20,47,31,12,20,9,4,6,1
6,1,0,18:00,7,1,12,0,3,13,1,0,0,40,91,74,20,47,31,12,20,9,4,6,1
7,1,0,17:59,6,1,9,40,3,0,0,0,0,40,91,74,20,47,31,12,20,9,4,6,1
8,1,1,17:59,4,0,14,19,3,0,0,0,0,14,13,46,44,47,31,19,27,5,16,1,0
9,1, ,17:39,3,3,0,0,0,0,0,0,0,14,13,46,44,47,31,19,27,5,16,1,0
10,1,-1,17:39,4,1,14,12,2,0,0,0,0,14,13,46,44,47,31,12,20,6,77,1,0
11,1,-1,17:05,9,1,1,0,2,0,0,0,0,14,13,46,44,47,31,12,20,6,77,1,0
12,1,1,16:27,2,0,15,0,3,10,6,91,6,15,91,67,6,26,31,19,27,6,77,1,0
13,1,0,16:27,4,0,15,47,1,0,0,0,0,15,32,67,26,75,31,47,61,13,5,16,1
14,1,0,16:05,7,1,47,0,3,16,5,0,0,15,32,67,26,75,31,47,61,13,5,16,1
15,1,0,15:51,5,1,13,26,3,0,0,0,0,15,32,67,26,75,31,47,61,13,5,16,1
16,1, ,15:48,3,2,0,0,0,0,0,0,0,15,32,67,26,75,31,47,61,13,5,16,1
17,1,0,15:48,4,1,91,80,1,0,0,0,0,40,91,74,6,44,31,80,10,17,39,77,1
18,1,0,15:32,8,1,80,0,2,0,0,0,0,40,91,74,6,44,31,80,10,17,39,77,1
19,1,0,15:24,1,1,39,0,3,53,2,0,0,40,91,74,6,44,31,80,10,17,39,77,1
20,1, ,15:23,3,1,0,0,0,0,0,0,0,40,91,74,6,44,31,80,10,17,39,77,1
21,1,0,15:23,4,1,14,80,3,0,0,0,0,14,13,46,20,47,31,80,10,17,4,6,1
22,1,0,15:04,5,0,20,10,2,0,0,0,0,14,13,46,20,47,31,80,10,17,4,6,1
23,1,0,14:39,8,0,44,0,2,0,0,0,0,14,13,46,6,44,31,80,20,17,4,5,1
24,1,0,14:23,9,0,46,0,1,0,0,0,0,14,13,46,6,44,31,12,20,9,5,16,1
25,1,0,14:08,5,1,20,94,3,0,0,0,0,94,17,36,6,44,31,12,20,9,5,16,1
26,1,0,13:54,13,1,9,47,2,0,0,0,0,94,17,36,20,47,31,12,20,9,5,16,1
27,1,0,13:28,8,1,36,0,3,0,0,0,0,15,32,67,26,75,31,19,27,36,5,16,1
28,1,0,13:26,8,0,67,0,2,0,0,0,0,15,32,67,26,75,31,19,27,36,5,39,1
29,1,0,13:15,6,1,5,32,2,0,0,0,0,15,32,67,26,75,31,19,27,36,5,39,1
30,1, ,13:15,3,9,0,0,0,0,0,0,0,15,32,67,26,75,31,19,27,36,39,1,0
31,1,-1,13:15,4,1,14,12,2,0,0,0,0,14,13,46,44,47,31,12,20,4,6,1,0
32,1,1,12:59,1,0,13,0,3,39,3,0,0,14,13,46,44,47,31,12,20,4,6,1,0
33,1,1,12:55,1,0,14,0,3,25,1,0,0,14,13,46,44,47,31,12,20,4,6,1,0
34,1, ,12:54,3,1,0,0,0,0,0,0,0,14,13,46,44,47,31,12,20,4,6,1,0
35,1,1,12:54,4,0,14,19,3,0,0,0,0,14,13,46,44,47,31,19,27,16,77,1,0
36,1,1,12:13,1,0,13,0,3,28,3,0,0,14,13,46,44,47,31,19,27,16,77,1,0
37,1,1,11:58,6,0,46,77,3,0,0,0,0,14,13,46,44,47,31,47,13,4,6,1,0
38,1,0,11:58,4,1,91,47,3,0,0,0,0,91,67,6,26,31,0,47,13,4,6,1,0
39,1,0,11:33,9,1,47,0,3,0,0,0,0,91,67,6,26,31,0,47,13,4,6,1,0
40,1,0,11:31,8,1,47,0,1,0,0,0,0,91,67,6,26,31,0,47,13,4,6,1,0
