# 2009/12/19 
# NSH , CGY 
# 5 , 3 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,11,25,29,6,20,39,16,21,12,4,5,34
2,1,0,20:00,4,1,11,21,1,0,0,0,0,11,25,29,6,20,39,16,21,12,4,5,34
3,1,0,19:49,1,1,5,0,3,63,2,0,0,11,25,29,6,20,39,16,21,12,4,5,34
4,1, ,19:43,3,3,0,0,0,0,0,0,0,11,25,29,2,8,39,16,21,12,4,5,34
5,1,0,19:43,4,0,11,21,1,0,0,0,0,11,25,29,2,8,39,16,21,12,4,5,34
6,1, ,19:31,3,10,0,0,0,0,0,0,0,11,25,29,2,8,39,16,21,12,4,5,34
7,1,0,19:31,4,0,11,22,1,0,0,0,0,11,25,29,2,8,39,22,17,15,3,28,34
8,1,0,19:12,8,1,22,0,3,0,0,0,0,9,10,26,2,8,39,22,17,15,3,28,34
9,1,0,18:57,13,0,6,22,2,0,0,0,0,9,10,26,6,20,39,22,17,15,3,28,34
10,1, ,18:52,3,1,0,0,0,0,0,0,0,9,10,26,6,20,39,22,17,15,7,44,34
11,1,0,18:52,4,0,9,25,2,0,0,0,0,9,10,26,6,20,39,25,11,23,4,5,34
12,1,0,18:48,9,0,6,0,2,0,0,0,0,9,10,26,6,20,39,25,11,23,4,5,34
13,1,0,17:39,8,1,7,0,2,0,0,0,0,13,27,71,32,51,39,16,21,12,7,44,34
14,1, ,17:18,3,0,0,0,0,0,0,0,0,38,3,28,2,8,39,24,10,20,4,5,34
15,1,0,17:18,4,1,38,24,1,0,0,0,0,38,3,28,2,8,39,24,10,20,4,5,34
16,1,0,16:32,1,1,20,0,3,54,1,0,0,9,10,26,6,20,39,24,20,23,4,5,34
17,1, ,16:18,3,6,0,0,0,0,0,0,0,9,10,26,6,20,39,11,20,23,3,28,34
18,1,0,16:18,4,0,9,22,2,0,0,0,0,9,10,26,6,20,39,22,17,15,3,28,34
19,1,0,16:06,1,1,28,0,3,60,1,0,0,9,10,26,6,20,39,22,17,15,3,28,34
20,1,0,15:40,13,0,2,28,2,0,0,0,0,9,10,25,2,8,39,22,17,15,3,28,34
21,1,0,15:38,2,0,10,0,3,23,1,25,9,9,10,25,2,8,39,22,17,15,3,28,34
22,1,0,15:38,4,1,11,23,1,0,0,0,0,11,25,29,2,8,39,25,11,23,7,44,34
23,1,0,15:20,8,0,71,0,2,0,0,0,0,11,27,71,8,32,39,25,11,23,7,44,34
24,1,0,14:27,13,1,21,6,2,0,0,0,0,13,25,27,6,20,39,16,21,12,4,5,34
25,1, ,14:26,3,4,0,0,0,0,0,0,0,13,25,27,6,20,39,16,21,12,4,5,34
26,1,0,14:26,4,1,25,21,3,0,0,0,0,11,25,29,2,8,39,16,21,12,4,5,34
27,1,0,14:22,7,1,5,0,3,57,1,0,0,11,25,29,2,8,39,16,21,12,4,5,34
28,1,0,14:16,13,1,5,29,2,0,0,0,0,11,25,29,2,8,39,16,21,12,4,5,34
29,1,0,14:02,9,1,5,0,2,0,0,0,0,38,29,28,2,8,39,16,21,12,4,5,34
30,1,0,13:52,5,0,38,5,3,0,0,0,0,38,3,28,2,8,39,16,21,12,4,5,34
31,1, ,13:42,3,6,0,0,0,0,0,0,0,38,3,28,2,8,39,16,21,12,7,44,34
32,1,0,13:42,4,1,9,24,2,0,0,0,0,9,10,26,6,20,39,16,24,12,4,5,34
33,1,0,13:17,9,1,28,0,2,0,0,0,0,9,10,26,6,20,39,24,17,15,3,28,34
34,1,0,13:11,1,0,6,0,3,28,6,0,0,9,10,26,6,20,39,24,17,15,3,28,34
35,1,0,12:21,6,1,28,27,2,0,0,0,0,13,27,71,32,51,39,22,25,20,3,28,34
36,1, ,12:21,3,9,0,0,0,0,0,0,0,13,27,71,32,51,39,22,25,20,3,34,0
37,1,-1,12:21,4,1,11,24,2,0,0,0,0,11,71,26,28,51,39,24,20,4,5,34,0
38,1,1,12:09,1,0,71,0,3,25,1,0,0,11,71,26,28,51,39,24,20,4,5,34,0
39,1,-1,11:26,1,1,17,0,3,15,1,0,0,9,11,71,26,51,39,22,17,3,7,34,0
40,1, ,9:49,3,0,0,0,0,0,0,0,0,13,29,71,2,8,39,21,12,25,7,28,34
41,1,0,9:49,4,0,11,21,1,0,0,0,0,11,25,29,2,8,39,21,12,25,4,7,34
42,1,0,9:31,6,1,25,2,3,0,0,0,0,11,25,29,2,8,39,21,12,25,7,44,34
43,1,1,9:31,4,0,11,24,3,0,0,0,0,11,71,26,28,51,39,24,20,4,28,34,0
44,1,1,9:08,1,0,28,0,3,21,6,0,0,11,71,26,28,51,39,24,20,4,28,34,0
45,1,1,8:42,9,0,26,0,2,0,0,0,0,9,10,27,26,20,39,22,17,3,5,34,0
46,1,-1,8:17,13,0,20,5,2,0,0,0,0,9,10,27,6,20,39,22,17,3,5,34,0
47,1,1,8:09,1,0,27,0,3,27,2,0,0,9,10,27,6,20,39,22,17,3,5,34,0
48,1, ,8:07,3,1,0,0,0,0,0,0,0,9,10,27,6,20,39,22,17,3,5,34,0
49,1,-1,8:07,4,1,9,24,2,0,0,0,0,9,10,27,6,20,39,24,23,4,28,34,0
50,1,-1,7:50,8,1,23,0,1,0,0,0,0,9,10,27,6,20,39,24,23,4,28,34,0
51,1,1,7:31,1,0,27,0,3,19,5,0,0,11,10,27,6,20,39,16,17,4,28,34,0
52,1,0,7:30,2,0,11,0,3,8,1,27,10,11,10,27,6,20,39,16,17,25,4,28,34
53,1,0,7:30,4,1,11,21,1,0,0,0,0,11,25,29,2,8,39,21,12,20,7,44,34
54,1,0,6:57,6,0,25,12,2,0,0,0,0,11,25,29,2,8,39,21,12,20,7,44,34
55,1,-1,6:57,4,0,9,12,2,0,0,0,0,9,29,20,51,39,0,21,12,25,3,5,34
56,1,1,6:36,9,1,25,0,2,0,0,0,0,9,29,20,51,39,0,21,12,25,3,5,34
57,1,1,6:19,2,1,3,0,3,50,2,12,5,13,10,20,51,39,0,21,12,25,3,5,34
58,1,0,6:19,4,1,9,22,1,0,0,0,0,9,71,26,32,51,39,22,17,15,4,7,34
59,1, ,4:51,3,0,0,0,0,0,0,0,0,11,25,29,6,20,39,25,20,23,3,28,34
60,1,0,4:51,4,0,25,23,1,0,0,0,0,11,25,29,2,8,39,25,20,23,7,44,34
61,1,0,4:36,9,1,7,0,2,0,0,0,0,13,27,71,6,20,39,12,20,23,7,44,34
62,1,0,4:29,1,0,71,0,3,18,3,0,0,13,27,71,6,20,39,12,20,23,7,44,34
63,1,0,4:28,6,1,7,27,2,0,0,0,0,13,27,71,6,20,39,12,20,23,7,44,34
64,1,0,4:28,6,0,27,7,3,0,0,0,0,13,27,71,6,20,39,12,20,23,7,44,34
65,1,0,4:28,4,1,11,21,2,0,0,0,0,11,29,2,8,39,0,21,12,5,44,34,0
66,1,0,4:09,9,0,11,0,3,0,0,0,0,11,29,2,8,39,0,21,12,4,5,34,0
67,1,0,3:54,8,0,29,0,1,0,0,0,0,11,29,2,8,39,0,21,12,4,5,34,0
68,1,0,3:45,8,1,5,0,2,0,0,0,0,11,29,6,20,39,0,22,12,3,5,34,0
69,1,0,3:37,1,1,12,0,3,38,3,0,0,9,26,6,20,39,0,22,12,3,5,34,0
70,1,0,3:28,5,1,22,9,3,0,0,0,0,9,26,6,20,39,0,22,12,4,28,34,0
71,1,0,3:12,1,0,6,0,3,53,2,0,0,9,26,6,20,39,0,22,17,4,28,34,0
72,1,0,2:59,1,1,17,0,3,20,6,0,0,13,10,20,32,39,0,22,17,3,28,34,0
73,1, ,2:56,3,1,0,0,0,0,0,0,0,13,10,20,32,39,0,22,17,3,5,34,0
74,1,0,2:56,4,0,11,16,2,0,0,0,0,11,10,32,51,39,0,16,25,3,5,34,0
75,1,0,2:45,1,0,10,0,3,39,1,0,0,11,10,32,51,39,0,16,25,3,5,34,0
76,1, ,2:43,3,1,0,0,0,0,0,0,0,13,10,32,51,39,0,16,25,3,5,34,0
77,1,0,2:43,4,1,13,24,2,0,0,0,0,13,10,32,51,39,0,16,24,3,5,34,0
78,1,0,2:08,9,0,39,0,2,0,0,0,0,11,29,71,2,8,39,16,25,23,7,44,34
79,1,0,1:45,5,1,23,29,3,0,0,0,0,11,29,71,2,8,39,25,20,23,7,44,34
80,1,0,1:32,5,0,29,20,2,0,0,0,0,9,10,29,2,8,39,25,20,23,3,28,34
81,1,0,0:50,5,1,12,20,3,0,0,0,0,9,10,26,6,20,39,21,12,20,3,28,34
82,1,0,0:31,9,0,25,0,3,0,0,0,0,13,38,25,2,51,39,22,17,15,4,5,34
83,1, ,0:00,11,0,0,0,0,0,0,0,0,13,29,28,2,51,39,22,17,15,4,5,34
84,2, ,20:00,10,0,0,0,0,0,0,0,0,11,25,29,6,20,39,25,20,23,4,5,34
85,2,0,20:00,4,0,25,23,1,0,0,0,0,11,25,29,6,20,39,25,20,23,4,5,34
86,2, ,19:55,3,1,0,0,0,0,0,0,0,11,25,29,6,20,39,25,20,23,4,5,34
87,2,0,19:55,4,1,11,25,3,0,0,0,0,11,10,25,6,20,39,25,20,23,4,5,34
88,2,0,19:54,1,1,25,0,3,32,3,0,0,11,10,25,6,20,39,25,20,23,4,5,34
89,2,0,19:39,8,1,23,0,3,0,0,0,0,11,10,25,6,20,39,25,20,23,4,5,34
90,2,0,19:21,13,1,23,6,2,0,0,0,0,9,10,26,6,20,39,12,20,23,4,5,34
