# 2009/12/21 
# T.B , NYI 
# 4 , 2 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,91,26,12,6,77,41,11,10,16,25,38,30
2,1,0,20:00,4,0,91,10,1,0,0,0,0,91,26,12,6,77,41,11,10,16,25,38,30
3,1,0,19:34,13,0,6,11,2,0,0,0,0,91,26,12,6,77,41,11,10,16,25,38,30
4,1,0,19:31,13,0,77,16,2,0,0,0,0,91,26,12,6,77,41,11,10,16,25,38,30
5,1,0,18:41,9,0,5,0,2,0,0,0,0,4,11,13,5,14,41,12,91,21,2,47,30
6,1, ,18:23,3,6,0,0,0,0,0,0,0,38,49,19,5,14,41,91,26,57,8,32,30
7,1,0,18:22,4,0,38,91,2,0,0,0,0,38,49,19,5,14,41,91,26,57,8,32,30
8,1,0,18:02,1,0,49,0,3,54,1,0,0,38,49,19,21,32,41,91,26,57,8,32,30
9,1,0,17:50,5,1,26,32,1,0,0,0,0,43,9,19,21,32,41,13,26,57,8,32,30
10,1,0,17:22,5,0,17,25,3,0,0,0,0,43,9,17,21,32,41,13,7,58,25,38,30
11,1,0,17:17,5,0,43,58,1,0,0,0,0,43,9,17,21,32,41,13,7,58,25,38,30
12,1, ,17:12,3,1,0,0,0,0,0,0,0,43,9,17,21,32,41,13,7,58,25,38,30
13,1,0,17:12,4,0,91,10,2,0,0,0,0,91,26,12,6,77,41,11,10,16,25,38,30
14,1, ,16:47,3,5,0,0,0,0,0,0,0,91,26,12,6,77,41,11,10,16,25,38,30
15,1,0,16:47,4,1,4,13,3,0,0,0,0,4,11,13,5,14,41,12,13,21,2,47,30
16,1,0,16:42,7,1,47,0,3,64,3,0,0,4,11,13,5,14,41,12,13,21,2,47,30
17,1,0,16:14,1,1,12,0,1,96,1,0,0,4,11,13,5,14,41,12,13,21,2,47,30
18,1,0,16:13,9,0,41,0,2,0,0,0,0,4,11,13,5,14,41,12,13,21,2,47,30
19,1,0,15:51,9,0,26,0,LOUIS Def. Zone,0,0,0,0,91,26,12,5,14,41,12,13,21,2,47,30
20,1,0,15:42,7,0,91,0,3,11,6,0,0,91,26,12,21,32,41,91,26,57,2,47,30
21,1,0,15:17,5,1,57,21,3,0,0,0,0,91,26,12,21,32,41,91,26,57,25,38,30
22,1,0,15:03,5,1,26,21,3,0,0,0,0,91,26,12,21,32,41,91,26,57,25,38,30
23,1,0,14:49,9,0,32,0,2,0,0,0,0,38,49,12,21,32,41,91,7,58,25,38,30
24,1,0,14:42,1,0,38,0,3,24,1,0,0,38,49,19,6,77,41,91,7,58,25,38,30
25,1,0,14:26,9,1,8,0,2,0,0,0,0,38,49,19,6,77,41,7,10,58,8,32,30
26,1, ,14:23,3,2,0,0,0,0,0,0,0,38,49,19,6,77,41,7,10,58,8,32,30
27,1,0,14:23,4,1,4,13,1,0,0,0,0,4,11,13,6,77,41,12,13,21,2,47,30
28,1,0,14:12,13,1,21,77,2,0,0,0,0,4,11,13,6,77,41,12,13,21,2,47,30
29,1,0,13:50,1,1,12,0,3,14,5,0,0,4,11,13,6,77,41,12,13,21,2,47,30
30,1,0,13:43,8,1,13,0,3,0,0,0,0,4,11,13,6,77,41,12,13,21,2,47,30
31,1, ,13:37,3,0,0,0,0,0,0,0,0,4,11,13,6,77,41,12,13,21,2,47,30
32,1,0,13:37,4,0,9,51,2,0,0,0,0,43,9,17,5,14,41,12,51,21,8,32,30
33,1,0,13:15,1,1,21,0,3,20,1,0,0,43,9,17,5,14,41,12,51,21,8,32,30
34,1,0,13:05,1,0,9,0,3,8,6,0,0,43,9,17,5,14,41,12,51,21,8,32,30
35,1,0,13:04,1,0,17,0,3,9,1,0,0,43,9,17,5,14,41,12,51,21,8,32,30
36,1, ,13:01,3,0,0,0,0,0,0,0,0,43,9,17,5,14,41,12,51,21,8,32,30
37,1,0,13:01,4,1,91,10,3,0,0,0,0,91,26,12,5,14,41,11,10,16,25,38,30
38,1,0,12:46,5,1,11,14,3,0,0,0,0,91,26,12,5,14,41,11,10,16,25,38,30
39,1,0,12:32,5,1,16,5,3,0,0,0,0,91,26,12,5,14,41,11,10,16,25,38,30
40,1,0,12:14,8,1,10,0,2,0,0,0,0,91,26,12,21,32,41,11,10,16,25,38,30
41,1,0,11:46,8,0,19,0,2,0,0,0,0,91,12,19,6,77,41,91,26,57,2,47,30
42,1,0,11:40,5,1,2,38,2,0,0,0,0,38,49,19,6,77,41,91,26,57,2,47,30
43,1,0,11:21,1,1,2,0,3,68,2,0,0,38,49,19,6,77,41,91,26,57,2,47,30
44,1,0,11:16,8,0,49,0,3,0,0,0,0,38,49,19,6,77,41,91,26,57,2,47,30
45,1, ,10:49,3,6,0,0,0,0,0,0,0,4,11,13,5,14,41,13,7,58,8,32,30
46,1,0,10:49,4,1,4,13,3,0,0,0,0,4,11,13,5,14,41,13,7,58,8,32,30
47,1,0,10:36,5,0,5,58,2,0,0,0,0,4,11,13,5,14,41,13,7,58,8,32,30
48,1,0,10:31,5,0,4,13,2,0,0,0,0,4,11,13,5,14,41,13,7,58,8,32,30
49,1,0,10:25,7,1,7,0,3,51,1,0,0,4,11,13,5,14,41,13,7,58,8,32,30
50,1,0,10:19,1,1,7,0,3,68,1,0,0,4,11,13,5,14,41,13,7,58,8,32,30
51,1, ,10:18,3,1,0,0,0,0,0,0,0,4,11,13,5,14,41,13,7,58,8,32,30
52,1,0,10:18,4,1,9,51,3,0,0,0,0,43,9,17,21,32,41,12,51,21,2,47,30
