# 2010/01/02 
# PIT , T.B 
# 1 , 3 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,11,71,14,3,7,29,38,49,19,6,77,41
2,1,0,20:00,4,0,11,38,1,0,0,0,0,11,71,14,3,7,29,38,49,19,6,77,41
3,1,0,19:42,5,1,49,7,3,0,0,0,0,11,71,14,3,7,29,38,49,19,6,77,41
4,1,0,19:22,5,1,12,7,1,0,0,0,0,11,71,9,3,7,29,91,26,12,5,6,41
5,1,0,19:02,5,1,26,3,3,0,0,0,0,87,13,9,3,44,29,91,26,12,5,39,41
6,1,0,18:57,2,1,26,0,3,12,0,5,91,87,13,9,3,44,29,91,26,12,5,39,41
7,1,0,18:57,4,0,11,4,1,0,0,0,0,11,48,24,44,58,29,4,9,13,14,32,41
8,1,0,18:33,9,1,14,0,2,0,0,0,0,11,48,24,44,58,29,4,9,13,14,32,41
9,1, ,18:30,3,3,0,0,0,0,0,0,0,71,13,26,41,74,29,4,9,13,14,32,41
10,1,0,18:30,4,0,71,4,1,0,0,0,0,71,13,26,41,74,29,4,9,13,5,39,41
11,1,0,18:22,1,0,71,0,3,25,1,0,0,71,13,26,41,74,29,4,9,13,5,39,41
12,1, ,18:07,3,11,0,0,0,0,0,0,0,71,13,26,41,74,29,4,9,13,5,39,41
13,1,0,18:07,4,0,27,28,2,0,0,0,0,71,13,27,3,7,29,28,43,27,6,77,41
14,1, ,17:36,3,2,0,0,0,0,0,0,0,71,13,27,3,7,29,28,43,27,6,77,41
15,1,0,17:36,4,0,87,91,1,0,0,0,0,87,9,14,44,58,29,91,26,12,5,39,41
16,1, ,17:20,3,10,0,0,0,0,0,0,0,87,9,14,44,58,29,91,26,12,5,39,41
17,1,0,17:20,4,1,87,28,2,0,0,0,0,87,9,14,44,58,29,28,91,12,5,39,41
18,1,0,17:07,1,0,87,0,3,15,1,0,0,87,9,14,44,58,29,28,91,12,5,39,41
19,1,0,16:56,1,0,58,0,3,47,1,0,0,87,9,14,44,58,29,28,91,12,5,39,41
20,1,0,16:48,5,0,87,91,3,0,0,0,0,87,9,14,44,58,29,28,91,12,5,39,41
21,1,0,16:32,1,1,26,0,1,73,0,0,0,87,27,14,41,74,29,38,26,19,14,32,41
22,1, ,16:31,3,1,0,0,0,0,0,0,0,87,27,14,41,74,29,38,26,19,14,32,41
23,1,0,16:31,4,0,25,38,2,0,0,0,0,17,25,27,41,74,29,38,49,19,14,32,41
