# 2010/01/02 
# TOR , CGY 
# 1 , 3 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,18,12,55,8,15,50,24,25,23,4,5,34
2,1,0,20:00,4,0,18,24,1,0,0,0,0,18,12,55,8,15,50,24,25,23,4,5,34
3,1, ,19:27,3,3,0,0,0,0,0,0,0,18,12,55,8,15,50,22,12,20,4,5,34
4,1,0,19:27,4,0,14,22,1,0,0,0,0,14,81,41,7,22,50,22,12,20,3,28,34
5,1,0,19:09,7,0,22,0,3,57,2,0,0,14,81,41,7,22,50,22,12,20,3,28,34
6,1,0,19:08,5,0,14,12,3,0,0,0,0,14,81,41,7,22,50,22,12,20,3,28,34
7,1,0,19:03,7,0,7,0,3,62,2,0,0,14,81,41,7,22,50,22,12,20,3,28,34
8,1, ,18:47,3,4,0,0,0,0,0,0,0,14,81,41,7,22,50,22,12,20,3,28,34
9,1,0,18:47,4,1,84,21,1,0,0,0,0,84,9,23,2,3,50,21,17,15,7,44,34
10,1,0,18:36,5,1,21,2,3,0,0,0,0,84,9,23,2,3,50,21,17,15,7,44,34
11,1, ,18:29,3,2,0,0,0,0,0,0,0,84,9,23,2,3,50,21,17,15,7,44,34
12,1,0,18:29,4,1,84,21,1,0,0,0,0,84,9,23,2,3,50,21,17,15,7,44,34
13,1,0,18:17,13,1,17,3,2,0,0,0,0,84,9,23,2,3,50,21,17,15,7,44,34
14,1,0,18:11,9,0,3,0,2,0,0,0,0,84,9,23,2,3,50,21,17,15,7,44,34
15,1,0,18:08,13,1,44,2,2,0,0,0,0,84,9,23,2,3,50,21,17,15,7,44,34
16,1,0,17:50,5,1,5,45,2,0,0,0,0,21,28,45,8,15,50,16,11,33,4,5,34
17,1,0,17:46,1,0,21,0,3,7,6,0,0,21,28,45,8,15,50,16,11,33,4,5,34
