# 2010/01/07 
# CAR , NSH 
# 2 , 4 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,8,15,13,6,7,30,19,27,26,6,20,35
2,1,0,20:00,4,0,8,19,1,0,0,0,0,8,15,13,6,7,30,19,27,26,6,20,35
3,1,0,19:45,1,1,27,0,3,33,2,0,0,8,15,13,6,7,30,19,27,26,6,20,35
4,1,0,19:18,13,1,71,6,2,0,0,0,0,16,19,13,4,6,30,9,71,28,2,8,35
5,1,0,19:15,1,1,71,0,3,37,2,0,0,16,19,13,4,6,30,9,71,28,2,8,35
6,1,0,18:28,9,0,25,0,2,0,0,0,0,29,39,36,4,25,30,11,13,18,51,52,35
7,1,0,18:22,7,1,11,0,3,42,1,0,0,29,39,36,4,25,30,11,13,18,51,52,35
8,1,0,18:14,13,0,39,51,2,0,0,0,0,29,39,11,27,41,30,11,13,18,51,52,35
9,1,0,18:04,8,1,51,0,2,0,0,0,0,29,39,11,27,41,30,11,13,18,51,52,35
10,1,0,17:51,7,0,29,0,3,9,6,0,0,29,39,11,27,41,30,3,12,24,51,52,35
11,1,0,17:43,1,1,24,0,3,18,1,0,0,29,39,11,27,41,30,3,12,24,51,52,35
12,1,0,17:41,7,1,24,0,3,11,6,0,0,29,39,11,27,41,30,3,12,24,6,20,35
13,1, ,17:36,3,3,0,0,0,0,0,0,0,29,39,11,27,41,30,3,12,24,6,20,35
14,1,0,17:36,4,0,17,12,2,0,0,0,0,17,18,67,4,25,30,3,12,24,6,20,35
15,1,0,17:15,1,0,25,0,3,62,2,0,0,17,18,67,4,25,30,3,12,24,6,20,35
16,1,0,17:14,5,1,3,25,2,0,0,0,0,17,18,67,4,25,30,3,12,24,6,20,35
17,1,0,17:11,1,0,67,0,3,10,1,0,0,17,18,67,4,25,30,3,12,24,6,20,35
18,1,0,17:10,1,0,67,0,3,12,1,0,0,17,18,67,4,25,30,3,12,24,6,20,35
19,1,0,17:08,2,0,17,0,3,12,1,67,18,17,18,67,4,25,30,3,12,24,6,20,35
20,1,0,17:08,4,0,8,19,1,0,0,0,0,8,15,13,6,7,30,19,27,26,2,8,35
21,1,0,17:06,4,0,8,19,1,0,0,0,0,8,15,13,6,7,30,19,27,26,2,8,35
22,1,0,16:56,13,1,2,7,2,0,0,0,0,8,15,13,6,7,30,19,27,26,2,8,35
23,1,0,16:44,1,1,26,0,3,10,1,0,0,8,15,13,6,7,30,19,27,26,2,8,35
24,1, ,16:43,3,1,0,0,0,0,0,0,0,8,15,13,6,7,30,19,27,26,2,8,35
25,1,0,16:43,4,0,16,9,2,0,0,0,0,16,19,36,27,41,30,9,71,28,6,20,35
26,1,0,16:38,5,1,28,41,3,0,0,0,0,16,19,36,27,41,30,9,71,28,6,20,35
27,1,0,16:14,9,0,36,0,2,0,0,0,0,16,19,36,27,41,30,9,71,28,6,20,35
28,1,0,16:06,13,1,6,16,2,0,0,0,0,16,19,36,27,41,30,9,71,28,6,20,35
29,1,0,15:55,7,1,6,0,3,52,1,0,0,16,19,36,27,41,30,9,71,28,6,20,35
30,1,0,15:51,5,1,9,19,1,0,0,0,0,16,19,36,27,41,30,9,71,28,6,20,35
31,1,0,15:32,8,1,11,0,3,0,0,0,0,29,39,11,4,25,30,11,13,18,51,52,35
32,1,0,15:28,13,1,51,4,2,0,0,0,0,29,39,11,4,25,30,11,13,18,51,52,35
33,1,0,15:20,9,1,35,0,2,0,0,0,0,29,39,11,4,25,30,11,13,18,51,52,35
34,1,0,15:12,5,0,39,51,3,0,0,0,0,29,39,11,4,25,30,11,13,18,51,52,35
35,1,0,14:58,7,0,25,0,3,44,2,0,0,17,29,39,7,25,30,13,19,27,51,52,35
36,1, ,14:43,3,6,0,0,0,0,0,0,0,17,18,67,6,7,30,19,27,26,2,8,35
37,1,0,14:43,6,1,27,7,3,0,0,0,0,17,18,67,6,7,30,19,27,26,2,8,35
38,1,-1,14:43,4,1,36,9,2,0,0,0,0,8,15,13,36,25,30,9,13,2,8,35,0
39,1, ,14:03,3,4,0,0,0,0,0,0,0,8,15,13,36,25,30,9,11,2,8,35,0
40,1,-1,14:03,4,1,16,24,2,0,0,0,0,16,19,11,6,27,30,11,24,6,20,35,0
41,1,1,13:19,9,0,16,0,3,0,0,0,0,16,19,11,6,27,30,9,26,2,8,35,0
42,1,0,12:34,5,1,24,15,2,0,0,0,0,8,15,13,4,25,30,24,27,71,51,52,35
43,1,0,12:27,13,1,71,4,2,0,0,0,0,8,15,13,4,25,30,19,27,71,51,52,35
44,1,0,12:07,1,0,17,0,3,39,1,0,0,17,18,67,6,7,30,19,27,71,6,52,35
45,1, ,12:02,3,0,0,0,0,0,0,0,0,17,18,67,6,7,30,19,27,71,6,20,35
46,1,0,12:02,4,0,16,11,1,0,0,0,0,16,19,36,6,7,30,11,18,26,6,20,35
47,1,0,11:28,5,1,18,4,3,0,0,0,0,16,19,11,4,25,30,11,18,26,6,20,35
48,1,0,11:04,1,0,29,0,3,55,1,0,0,29,39,11,6,7,30,19,27,71,51,52,35
49,1, ,11:03,3,1,0,0,0,0,0,0,0,29,39,11,6,7,30,19,27,71,51,52,35
50,1,0,11:03,4,1,39,24,2,0,0,0,0,29,39,11,6,7,30,9,24,28,51,52,35
51,1,0,10:47,5,1,51,29,2,0,0,0,0,29,39,11,27,41,30,9,12,28,51,52,35
52,1,0,10:45,1,0,27,0,3,50,1,0,0,29,39,11,27,41,30,9,12,28,51,52,35
53,1, ,10:44,3,1,0,0,0,0,0,0,0,29,39,11,27,41,30,9,12,28,51,52,35
54,1,0,10:44,4,0,17,9,3,0,0,0,0,17,18,67,27,41,30,9,12,28,51,52,35
55,1,0,10:24,9,0,27,0,2,0,0,0,0,17,18,67,27,41,30,9,12,28,51,52,35
56,1,0,10:23,1,1,12,0,3,29,1,0,0,17,18,67,27,41,30,9,12,28,51,52,35
57,1,0,10:13,6,0,67,52,3,0,0,0,0,17,18,67,27,41,30,9,12,28,51,52,35
58,1,1,10:13,4,1,8,27,3,0,0,0,0,8,29,6,7,30,0,19,27,26,6,20,35
59,1,-1,10:06,13,1,20,7,2,0,0,0,0,8,29,6,7,30,0,19,27,26,6,20,35
60,1,1,10:02,6,1,27,6,3,0,0,0,0,8,29,6,7,30,0,19,27,26,6,20,35
61,1,0,10:02,4,0,8,9,3,0,0,0,0,8,13,25,27,30,0,9,13,6,20,35,0
62,1,0,9:40,6,1,20,8,2,0,0,0,0,8,13,25,27,30,0,9,13,6,20,35,0
63,1, ,9:40,3,9,0,0,0,0,0,0,0,8,13,25,27,30,0,9,13,6,35,0,0
64,1,-1,9:40,4,1,36,11,2,0,0,0,0,15,13,36,25,30,0,11,2,8,35,0,0
65,1,-1,9:32,13,0,36,2,2,0,0,0,0,15,13,36,25,30,0,11,2,8,35,0,0
66,1,1,9:31,1,0,15,0,3,12,1,0,0,15,13,36,25,30,0,11,2,8,35,0,0
67,1, ,9:30,3,1,0,0,0,0,0,0,0,15,13,36,25,30,0,11,2,8,35,0,0
68,1,1,9:30,4,0,36,11,3,0,0,0,0,15,13,36,25,30,0,11,2,8,35,0,0
69,1,-1,9:21,13,0,36,2,2,0,0,0,0,15,13,36,25,30,0,11,2,8,35,0,0
70,1,1,8:46,1,0,15,0,3,8,5,0,0,15,13,36,25,30,0,11,2,8,35,0,0
71,1,-1,8:45,5,1,8,15,2,0,0,0,0,15,13,36,25,30,0,11,2,8,35,0,0
72,1, ,8:44,3,0,0,0,0,0,0,0,0,15,13,36,25,30,0,11,2,8,35,0,0
73,1,1,8:44,4,0,8,9,3,0,0,0,0,8,15,13,25,30,0,9,2,8,35,0,0
74,1,-1,8:21,13,0,8,2,2,0,0,0,0,8,15,13,25,30,0,9,2,8,35,0,0
75,1,1,8:20,6,0,8,2,3,0,0,0,0,8,15,13,25,30,0,9,2,8,35,0,0
76,1,0,8:20,4,1,17,11,3,0,0,0,0,17,6,7,30,0,0,11,6,51,35,0,0
77,1,1,7:54,1,0,7,0,3,28,1,0,0,16,17,6,7,30,0,11,6,51,35,0,0
78,1,1,7:49,1,0,6,0,3,54,2,0,0,16,17,6,7,30,0,11,6,51,35,0,0
79,1,1,7:48,7,0,16,0,3,13,6,0,0,16,17,6,7,30,0,11,6,51,35,0,0
80,1, ,7:47,3,0,0,0,0,0,0,0,0,16,17,6,7,30,0,11,6,51,35,0,0
81,1,1,7:47,4,0,17,9,3,0,0,0,0,16,17,6,7,30,0,9,2,8,35,0,0
82,1,0,7:36,7,0,7,0,3,47,2,0,0,16,17,6,7,30,0,9,2,8,20,35,0
83,1, ,7:27,3,6,0,0,0,0,0,0,0,16,17,6,7,30,0,9,2,8,20,35,0
84,1,0,7:27,4,0,16,9,3,0,0,0,0,16,13,25,27,30,0,9,2,8,20,35,0
85,1,0,7:12,1,1,20,0,3,53,1,0,0,16,13,25,27,30,0,9,2,8,20,35,0
86,1, ,7:10,3,1,0,0,0,0,0,0,0,16,13,25,27,30,0,9,2,8,20,35,0
87,1,0,7:10,4,1,16,19,3,0,0,0,0,16,13,25,27,30,0,19,26,6,20,35,0
88,1,0,7:02,13,1,20,16,2,0,0,0,0,16,13,25,27,30,0,19,26,6,20,35,0
89,1,0,6:41,1,0,13,0,3,32,2,0,0,16,13,25,27,30,0,19,26,6,20,35,0
90,1,0,6:26,1,0,25,0,3,47,2,0,0,15,36,7,25,30,0,11,71,51,52,35,0
91,1,-1,6:15,2,1,71,0,3,25,1,52,51,8,15,36,7,25,30,11,71,51,52,35,0
