# 2010/01/09 
# CGY , VAN 
# 3 , 2 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,25,20,23,6,7,34,17,18,15,5,55,1
2,1,0,20:00,4,0,23,17,1,0,0,0,0,25,20,23,6,7,34,17,18,15,5,55,1
3,1,0,19:53,5,0,7,18,2,0,0,0,0,25,20,23,6,7,34,17,18,15,5,55,1
4,1,0,19:22,13,1,15,7,2,0,0,0,0,25,20,23,6,7,34,17,18,15,5,55,1
5,1,0,19:19,8,1,17,0,3,0,0,0,0,25,20,23,6,7,34,17,18,15,5,55,1
6,1,0,19:15,6,1,55,25,3,0,0,0,0,25,20,23,6,7,34,17,18,15,5,55,1
7,1,1,19:15,4,0,45,49,3,0,0,0,0,21,45,12,3,5,34,49,14,8,23,1,0
8,1, ,18:51,3,2,0,0,0,0,0,0,0,21,45,12,3,5,34,49,14,8,23,1,0
9,1,-1,18:51,4,1,21,17,1,0,0,0,0,21,45,12,3,5,34,17,21,5,8,1,0
10,1,1,18:29,5,0,12,5,3,0,0,0,0,21,45,12,3,5,34,17,21,5,8,1,0
11,1,1,17:45,5,0,15,15,3,0,0,0,0,22,17,15,3,4,34,14,15,23,34,1,0
12,1,1,17:36,1,0,17,0,3,8,3,0,0,17,15,23,4,28,34,18,21,23,34,1,0
13,1, ,16:51,3,1,0,0,0,0,0,0,0,25,20,23,3,5,34,33,14,22,5,8,1
14,1,0,16:51,4,1,45,33,2,0,0,0,0,21,45,12,3,5,34,33,14,22,8,23,1
15,1,0,16:31,5,0,12,23,3,0,0,0,0,21,45,12,3,7,34,33,14,22,8,23,1
16,1,0,16:22,7,1,8,0,3,53,2,0,0,21,45,12,3,7,34,33,14,22,8,23,1
17,1,0,16:09,5,0,7,14,2,0,0,0,0,21,45,12,3,7,34,33,14,22,8,23,1
18,1,0,15:47,7,1,21,0,3,11,1,0,0,16,10,33,6,7,34,17,26,21,5,55,1
19,1, ,15:33,3,3,0,0,0,0,0,0,0,16,10,33,6,7,34,17,26,21,5,55,1
20,1,0,15:33,4,1,16,42,3,0,0,0,0,16,17,15,4,5,34,42,18,15,8,64,1
21,1,0,15:23,5,0,15,8,2,0,0,0,0,16,17,15,4,5,34,42,18,15,8,64,1
22,1,0,15:06,5,0,17,18,3,0,0,0,0,16,17,15,4,5,34,42,18,15,8,64,1
23,1,0,14:52,7,0,20,0,3,44,1,0,0,25,20,23,4,28,34,33,26,15,23,64,1
24,1,0,14:33,13,1,34,20,2,0,0,0,0,25,20,23,4,28,34,33,26,22,23,34,1
25,1,0,14:25,5,1,34,23,2,0,0,0,0,45,25,23,3,28,34,33,26,22,23,34,1
26,1,0,14:12,8,0,3,0,1,0,0,0,0,21,45,12,3,7,34,33,18,22,23,55,1
27,1,0,14:08,1,0,12,0,3,12,1,0,0,21,45,12,3,7,34,33,18,22,23,55,1
28,1,0,13:51,5,1,55,45,2,0,0,0,0,21,45,12,3,7,34,33,18,22,23,55,1
29,1,0,13:43,1,0,3,0,3,55,2,0,0,21,45,12,3,7,34,33,18,22,23,55,1
30,1, ,13:42,3,0,0,0,0,0,0,0,0,21,45,12,3,7,34,33,18,22,23,55,1
31,1,0,13:42,4,0,22,17,3,0,0,0,0,22,17,15,3,28,34,17,26,21,5,55,1
32,1,0,13:28,5,0,15,17,3,0,0,0,0,22,17,15,3,28,34,17,26,21,5,55,1
33,1,0,12:49,7,0,15,0,3,22,1,0,0,22,17,15,4,28,34,17,26,21,5,55,1
34,1,0,12:09,1,1,24,0,3,36,2,0,0,16,10,33,4,5,34,37,49,24,8,64,1
35,1, ,12:09,3,1,0,0,0,0,0,0,0,16,10,33,4,5,34,37,49,24,8,64,1
36,1,0,12:09,4,0,45,33,2,0,0,0,0,21,45,12,3,28,34,33,14,22,5,8,1
37,1,0,11:46,13,0,21,8,2,0,0,0,0,21,45,12,3,28,34,33,14,22,5,8,1
38,1,0,11:37,8,0,12,0,3,0,0,0,0,21,45,12,3,28,34,33,14,22,5,8,1
39,1,0,11:33,5,0,12,8,3,0,0,0,0,21,45,12,3,7,34,33,14,22,5,8,1
40,1,0,11:26,1,1,14,0,3,54,2,0,0,25,20,23,6,7,34,42,14,15,5,8,1
41,1, ,11:25,3,1,0,0,0,0,0,0,0,25,20,23,6,7,34,42,14,15,5,8,1
42,1,0,11:25,4,0,23,42,2,0,0,0,0,25,20,23,6,7,34,42,18,15,23,64,1
43,1,0,11:15,5,1,15,7,3,0,0,0,0,25,20,23,6,7,34,42,18,15,23,64,1
44,1,0,11:10,9,1,64,0,2,0,0,0,0,25,20,23,6,7,34,42,18,15,23,64,1
45,1,0,11:07,1,0,25,0,3,7,4,0,0,25,20,23,6,7,34,42,18,15,23,64,1
46,1,0,11:03,13,0,20,23,2,0,0,0,0,25,20,23,6,7,34,42,18,15,23,64,1
47,1,0,11:03,1,0,25,0,3,42,1,0,0,25,20,23,6,7,34,42,18,15,23,64,1
48,1, ,11:03,3,1,0,0,0,0,0,0,0,25,20,23,6,7,34,42,18,15,23,64,1
49,1,0,11:03,4,1,23,42,2,0,0,0,0,25,20,23,6,7,34,42,18,15,23,34,1
