# 2010/01/09 
# DET , S.J 
# 4 , 1 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,13,44,40,5,28,35,12,19,15,3,22,20
2,1,0,20:00,4,0,13,19,1,0,0,0,0,13,44,40,5,28,35,12,19,15,3,22,20
3,1,0,19:40,13,1,3,28,2,0,0,0,0,13,44,40,5,28,35,12,19,15,3,22,20
4,1,0,19:38,5,1,19,13,3,0,0,0,0,13,44,40,5,28,35,12,19,15,3,22,20
5,1,0,19:36,4,1,51,29,1,0,0,0,0,51,11,20,14,23,35,8,16,29,4,44,20
6,1,0,18:42,9,1,4,0,2,0,0,0,0,33,43,17,22,37,35,17,41,43,4,40,20
7,1,0,18:32,5,1,43,22,3,0,0,0,0,33,43,17,22,37,35,17,41,43,40,60,20
8,1,0,17:46,5,0,23,21,2,0,0,0,0,8,18,24,14,23,35,21,59,45,4,44,20
9,1,0,17:31,1,1,4,0,3,20,2,0,0,8,18,24,14,23,35,21,59,45,4,44,20
10,1,0,17:20,5,1,21,24,3,0,0,0,0,8,18,24,14,23,35,21,59,45,4,44,20
11,1, ,16:31,3,11,0,0,0,0,0,0,0,13,44,40,5,28,35,12,19,15,3,22,20
12,1,0,16:31,4,0,51,8,1,0,0,0,0,51,11,20,14,23,35,8,16,29,40,60,20
13,1,0,16:19,8,0,51,0,3,0,0,0,0,51,11,20,14,23,35,8,16,29,40,60,20
14,1,0,16:15,9,0,51,0,3,0,0,0,0,51,11,20,14,23,35,8,16,29,40,60,20
15,1,0,16:12,13,1,60,14,2,0,0,0,0,51,11,20,14,23,35,8,16,29,40,60,20
16,1,0,16:04,1,1,16,0,3,28,2,0,0,51,11,20,14,23,35,8,16,29,40,60,20
17,1,0,16:02,13,1,29,23,2,0,0,0,0,51,11,20,14,23,35,8,16,29,40,60,20
18,1, ,16:01,3,3,0,0,0,0,0,0,0,51,11,20,14,23,35,8,16,29,40,60,20
19,1,0,16:01,4,1,43,17,1,0,0,0,0,33,43,17,22,37,35,17,41,43,4,44,20
20,1,0,15:52,1,1,43,0,3,47,1,0,0,33,43,17,22,37,35,17,41,43,4,44,20
21,1, ,15:51,3,1,0,0,0,0,0,0,0,33,43,17,22,37,35,17,41,43,4,44,20
22,1,0,15:51,4,0,43,17,2,0,0,0,0,33,43,17,22,37,35,17,41,43,4,44,20
