# 2010/01/19 
# COL , PHI 
# 3 , 5 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,18,50,61,6,51,32,18,36,12,20,25,29
2,1,0,20:00,4,1,50,18,1,0,0,0,0,18,50,61,6,51,32,18,36,12,20,25,29
3,1, ,19:51,3,2,0,0,0,0,0,0,0,18,50,61,6,51,32,18,36,12,20,25,29
4,1,0,19:51,4,1,50,18,1,0,0,0,0,18,50,61,6,51,32,18,36,12,20,25,29
5,1,0,19:43,8,1,12,0,3,0,0,0,0,18,50,61,6,51,32,18,36,12,20,25,29
6,1,0,19:39,1,1,20,0,3,50,3,0,0,18,50,61,6,51,32,18,36,12,20,25,29
7,1, ,19:37,3,1,0,0,0,0,0,0,0,18,50,61,6,51,32,18,36,12,20,25,29
8,1,0,19:37,4,CBJ,26,17,2,0,0,0,0,26,11,20,3,8,32,17,48,19,5,44,29
9,1,0,19:04,8,1,17,0,3,0,0,0,0,26,11,20,3,8,32,17,48,19,5,44,29
10,1,0,19:02,2,1,17,0,3,9,6,0,0,26,11,20,3,8,32,17,48,19,3,44,29
11,1,0,19:02,4,1,16,28,1,0,0,0,0,16,93,14,10,36,32,28,45,21,3,55,29
12,1,0,18:31,7,CBJ,10,0,3,36,2,0,0,16,93,14,10,36,32,28,45,21,3,55,29
13,1,0,18:15,9,CBJ,10,0,1,0,0,0,0,16,93,14,10,36,32,11,14,21,3,55,29
14,1,0,18:13,5,1,11,36,3,0,0,0,0,16,93,14,10,36,32,11,14,21,3,55,29
15,1,0,18:02,5,CBJ,15,13,3,0,0,0,0,15,40,33,6,51,32,11,14,13,20,25,29
16,1,0,17:50,8,1,13,0,3,0,0,0,0,15,40,33,6,51,32,11,14,13,20,25,29
17,1,0,17:06,5,1,36,6,3,0,0,0,0,18,50,61,6,51,32,18,36,12,5,44,29
18,1,0,17:04,5,1,18,51,3,0,0,0,0,18,50,61,6,51,32,18,36,12,5,44,29
19,1,0,16:35,7,1,36,0,3,9,1,0,0,18,50,61,6,51,32,18,36,12,5,44,29
20,1,0,16:27,1,1,5,0,3,51,3,0,0,18,50,61,6,51,32,18,36,12,5,44,29
21,1,0,16:25,1,1,18,0,3,7,1,0,0,18,50,61,6,51,32,18,36,12,5,44,29
22,1,0,16:14,13,1,19,3,2,0,0,0,0,26,11,20,3,6,32,17,48,19,3,55,29
23,1, ,16:13,3,4,0,0,0,0,0,0,0,26,11,20,3,6,32,17,48,19,3,55,29
24,1,0,16:13,4,1,26,17,3,0,0,0,0,26,11,20,3,8,32,17,48,19,3,55,29
25,1,0,16:08,13,1,17,3,2,0,0,0,0,26,11,20,3,8,32,17,48,19,3,55,29
26,1,0,15:25,1,CBJ,26,0,3,7,4,0,0,26,11,20,3,8,32,17,48,21,3,55,29
27,1,0,15:18,9,1,3,0,2,0,0,0,0,26,11,20,3,8,32,17,48,21,3,55,29
28,1,0,15:00,6,1,45,8,3,0,0,0,0,18,50,61,6,8,32,28,45,21,20,25,29
29,1,1,15:00,4,CBJ,8,11,3,0,0,0,0,18,50,61,6,8,32,11,14,20,44,29,0
30,1,1,14:51,1,CBJ,6,0,3,37,1,0,0,18,50,61,6,8,32,11,14,20,44,29,0
31,1,1,14:14,1,CBJ,51,0,3,35,3,0,0,18,20,61,8,51,32,18,12,20,44,29,0
32,1,1,14:10,1,CBJ,6,0,3,33,2,0,0,16,50,14,6,10,32,18,12,20,44,29,0
