# 2010/01/19 
# TOR , ATL 
# 3 , 4 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,51,12,55,7,15,35,23,10,9,4,6,31
2,1,0,20:00,4,0,51,23,1,0,0,0,0,51,12,55,7,15,35,23,10,9,4,6,31
3,1,0,19:51,5,1,4,55,2,0,0,0,0,51,12,55,7,15,35,23,10,9,4,6,31
4,1,0,19:49,9,1,6,0,2,0,0,0,0,51,12,55,7,15,35,23,10,9,4,6,31
5,1,0,19:47,1,0,51,0,3,20,1,0,0,51,12,55,7,15,35,23,10,9,4,6,31
6,1, ,19:46,3,1,0,0,0,0,0,0,0,51,12,55,7,15,35,23,10,9,4,6,31
7,1,0,19:46,4,1,51,23,2,0,0,0,0,51,12,55,7,15,35,23,10,9,4,6,31
8,1,0,19:32,9,0,35,0,2,0,0,0,0,51,12,55,7,15,35,23,10,9,4,6,31
9,1, ,19:21,3,10,0,0,0,0,0,0,0,51,12,55,7,15,35,23,10,9,4,6,31
10,1,0,19:21,4,0,14,80,1,0,0,0,0,14,9,23,22,36,35,80,27,17,5,25,31
11,1,0,19:04,5,1,27,36,1,0,0,0,0,14,9,23,22,36,35,80,27,17,5,25,31
12,1,0,18:27,1,0,42,0,3,15,1,0,0,42,81,41,2,7,35,80,27,17,5,25,31
13,1,0,18:09,8,1,61,0,1,0,0,0,0,42,81,41,2,7,35,19,20,61,39,77,31
14,1,0,18:01,9,1,61,0,1,0,0,0,0,39,21,28,7,22,35,19,20,61,39,77,31
15,1,0,17:52,7,0,21,0,3,14,5,0,0,39,21,28,7,22,35,19,20,61,39,77,31
16,1,0,17:49,5,0,28,39,3,0,0,0,0,39,21,28,7,22,35,19,20,61,39,77,31
17,1,0,17:27,9,1,77,0,2,0,0,0,0,51,12,55,2,3,35,47,61,36,39,77,31
18,1,0,16:57,1,0,3,0,3,59,1,0,0,51,12,55,2,3,35,47,13,36,4,6,31
19,1, ,16:55,3,4,0,0,0,0,0,0,0,51,12,55,2,3,35,47,13,36,4,6,31
20,1,0,16:55,4,1,14,23,2,0,0,0,0,14,9,23,7,15,35,23,10,9,39,77,31
21,1, ,16:45,3,2,0,0,0,0,0,0,0,14,9,23,7,15,35,23,10,9,39,77,31
22,1,0,16:45,4,1,14,23,1,0,0,0,0,14,9,23,7,15,35,23,10,9,39,77,31
23,1,0,16:19,1,1,9,0,3,12,1,0,0,14,9,23,7,15,35,23,10,9,39,77,31
24,1, ,16:18,3,0,0,0,0,0,0,0,0,14,9,23,7,15,35,23,10,9,39,77,31
25,1,0,16:18,4,0,42,80,2,0,0,0,0,42,81,41,22,36,35,80,27,17,4,6,31
26,1,0,15:49,5,0,36,27,2,0,0,0,0,42,81,41,22,36,35,80,27,17,4,6,31
27,1,0,15:34,8,0,41,0,2,0,0,0,0,42,81,41,22,36,35,80,27,17,4,6,31
28,1,0,15:25,13,0,42,80,2,0,0,0,0,39,42,81,2,22,35,80,27,17,4,6,31
29,1,0,15:25,8,1,4,0,2,0,0,0,0,39,42,81,2,22,35,80,27,17,4,6,31
30,1,0,15:06,1,1,5,0,3,55,1,0,0,39,21,28,2,3,35,19,20,61,5,25,31
31,1,0,15:00,8,1,5,0,1,0,0,0,0,39,21,28,2,3,35,19,20,61,5,25,31
32,1, ,14:44,3,6,0,0,0,0,0,0,0,39,21,28,2,3,35,19,20,61,5,25,31
33,1,0,14:44,4,0,21,47,2,0,0,0,0,39,21,28,2,3,35,47,13,36,39,77,31
34,1,0,14:42,1,1,36,0,3,21,6,0,0,39,21,28,2,3,35,47,13,36,39,77,31
35,1, ,14:41,3,1,0,0,0,0,0,0,0,39,21,28,2,3,35,47,13,36,39,77,31
36,1,0,14:41,4,0,51,47,2,0,0,0,0,51,12,55,7,15,35,47,13,36,39,77,31
37,1,0,13:41,1,1,13,0,3,39,2,0,0,14,9,23,2,3,35,47,9,13,5,25,31
38,1,0,13:22,8,0,41,0,1,0,0,0,0,14,81,41,3,22,35,23,10,9,5,25,31
39,1,0,13:20,1,0,41,0,3,35,1,0,0,14,81,41,3,22,35,23,10,9,5,25,31
40,1,0,13:14,1,0,14,0,3,12,1,0,0,14,81,41,3,22,35,23,10,9,5,25,31
41,1,0,12:49,1,1,4,0,3,56,2,0,0,42,81,41,22,36,35,23,10,9,4,6,31
42,1,0,12:36,1,0,81,0,3,35,3,0,0,42,81,41,22,36,35,23,10,17,4,6,31
43,1,0,12:31,9,1,6,0,2,0,0,0,0,39,42,81,2,7,35,23,10,17,4,6,31
44,1,0,12:30,7,0,39,0,3,42,1,0,0,39,42,81,2,7,35,23,10,17,4,6,31
45,1,0,12:26,6,1,6,0,2,0,0,0,0,39,42,81,2,7,35,23,10,17,4,6,31
46,1, ,12:26,3,9,0,0,0,0,0,0,0,39,42,81,2,7,35,23,10,17,4,31,0
47,1,1,12:26,4,0,14,19,3,0,0,0,0,14,12,9,23,15,35,19,27,5,77,31,0
48,1,1,12:21,7,0,15,0,3,58,2,0,0,14,12,9,23,15,35,19,27,5,77,31,0
49,1, ,12:05,3,2,0,0,0,0,0,0,0,14,12,9,23,15,35,19,27,5,77,31,0
50,1,-1,12:05,4,1,14,47,1,0,0,0,0,14,12,9,23,15,35,47,20,5,77,31,0
51,1, ,12:00,3,3,0,0,0,0,0,0,0,14,12,9,23,15,35,47,20,5,77,31,0
52,1,1,12:00,4,0,14,47,1,0,0,0,0,14,12,9,23,15,35,47,20,4,25,31,0
53,1,-1,11:29,13,0,15,47,2,0,0,0,0,14,12,9,23,15,35,47,20,4,25,31,0
54,1,-1,11:23,13,0,14,25,2,0,0,0,0,14,12,9,23,15,35,47,20,4,25,31,0
55,1,1,11:01,7,0,41,0,3,21,1,0,0,42,81,41,7,22,35,23,9,5,77,31,0
56,1,-1,10:57,8,1,23,0,1,0,0,0,0,42,81,41,7,22,35,23,9,5,77,31,0
57,1, ,10:56,3,2,0,0,0,0,0,0,0,42,81,41,7,22,35,23,9,5,77,31,0
58,1,1,10:56,4,0,42,19,1,0,0,0,0,42,81,41,7,22,35,19,23,5,77,31,0
59,1,0,9:46,1,1,80,0,3,28,3,0,0,51,12,55,7,22,35,80,27,17,4,39,31
60,1, ,9:43,3,0,0,0,0,0,0,0,0,51,12,55,7,22,35,80,27,17,4,39,31
61,1,0,9:43,4,0,39,80,2,0,0,0,0,39,21,28,22,36,35,80,27,17,5,25,31
62,1,0,9:02,6,0,28,17,2,0,0,0,0,39,21,28,22,36,35,80,27,17,5,25,31
63,1,1,9:02,4,1,51,47,3,0,0,0,0,51,55,3,7,35,0,47,20,61,17,39,31
64,1,-1,8:43,13,1,39,55,2,0,0,0,0,51,55,3,7,35,0,47,20,61,17,39,31
65,1, ,8:41,3,0,0,0,0,0,0,0,0,51,55,3,7,35,0,47,20,61,17,39,31
66,1,-1,8:41,4,0,21,47,2,0,0,0,0,12,21,22,36,35,0,47,20,61,17,39,31
67,1,1,8:20,1,1,39,0,3,51,2,0,0,12,21,22,36,35,0,47,20,61,17,39,31
68,1,1,8:06,7,1,61,0,3,12,1,0,0,12,21,22,36,35,0,47,20,61,17,39,31
69,1,1,7:59,1,1,17,0,3,56,2,0,0,12,21,22,36,35,0,47,20,61,17,39,31
70,1,1,7:58,1,1,61,0,3,9,1,0,0,12,21,22,36,35,0,47,20,61,17,39,31
71,1,-1,7:25,13,1,17,22,2,0,0,0,0,12,21,22,36,35,0,47,20,61,17,39,31
72,1,0,6:38,8,1,80,0,3,0,0,0,0,42,81,41,3,7,35,80,10,13,4,77,31
73,1,0,6:23,13,1,10,2,2,0,0,0,0,42,81,41,2,3,35,23,10,13,4,6,31
74,1,0,5:59,5,0,2,23,3,0,0,0,0,42,81,41,2,15,35,23,10,13,4,6,31
75,1,0,5:53,2,0,23,0,3,10,5,15,81,42,81,23,2,15,35,23,27,9,4,6,31
76,1, ,5:53,3,7,0,0,0,0,0,0,0,14,9,23,2,15,35,23,27,9,5,25,31
77,1,0,5:53,4,1,14,23,1,0,0,0,0,14,9,23,2,15,35,23,10,9,5,25,31
78,1,0,5:38,5,0,2,9,2,0,0,0,0,14,9,23,2,15,35,23,10,9,5,25,31
79,1,0,5:32,8,1,23,0,3,0,0,0,0,14,9,23,2,15,35,23,10,9,5,25,31
80,1,0,5:21,2,0,23,0,3,10,5,9,0,14,9,23,2,15,35,23,10,9,5,25,31
81,1,0,5:21,4,0,51,80,1,0,0,0,0,39,51,12,22,36,35,80,27,17,39,77,31
82,1,0,5:02,5,1,80,39,2,0,0,0,0,39,51,12,22,36,35,80,27,17,39,77,31
83,1,0,5:00,13,0,12,27,2,0,0,0,0,39,51,12,22,36,35,80,27,17,39,77,31
84,1,0,4:54,6,0,12,31,3,0,0,0,0,39,51,12,22,36,35,80,27,17,39,77,31
85,1, ,4:54,3,9,0,0,0,0,0,0,0,39,51,22,36,35,0,80,27,17,39,77,31
86,1,-1,4:54,4,0,51,10,2,0,0,0,0,51,21,22,36,35,0,80,10,13,17,39,31
87,1, ,4:33,3,10,0,0,0,0,0,0,0,51,21,22,36,35,0,80,10,13,17,39,31
88,1,-1,4:33,4,0,21,10,1,0,0,0,0,51,21,22,36,35,0,80,10,13,17,39,31
89,1,1,3:44,5,1,80,3,3,0,0,0,0,23,41,3,22,35,0,80,10,13,17,39,31
90,1,-1,3:20,8,0,41,0,2,0,0,0,0,21,41,3,7,35,0,47,20,61,17,39,31
91,1,1,2:55,1,1,17,0,3,55,1,0,0,23,41,7,22,35,0,47,20,61,17,77,31
92,1,0,2:38,5,0,12,77,3,0,0,0,0,42,81,12,2,15,35,47,61,9,4,77,31
93,1,0,2:05,1,1,9,0,3,29,1,0,0,42,81,12,2,15,35,23,27,9,4,6,31
94,1, ,2:04,3,1,0,0,0,0,0,0,0,42,81,12,2,15,35,23,27,9,4,6,31
95,1,0,2:04,4,0,14,19,2,0,0,0,0,14,9,23,3,36,35,19,20,61,4,6,31
96,1,0,1:28,9,1,61,0,1,0,0,0,0,14,9,23,7,36,35,19,20,61,4,6,31
97,1,0,1:22,8,1,61,0,1,0,0,0,0,14,39,9,7,36,35,19,20,61,4,6,31
98,1,0,1:17,6,0,39,61,2,0,0,0,0,39,51,9,7,36,35,19,61,36,4,6,31
99,1,1,1:17,4,1,21,80,3,0,0,0,0,51,21,7,22,35,0,80,10,13,17,39,31
100,1,-1,1:06,13,1,13,7,2,0,0,0,0,51,21,7,22,35,0,80,10,13,17,39,31
101,1,-1,0:59,8,0,21,0,2,0,0,0,0,51,21,7,22,35,0,80,10,13,17,39,31
102,1,1,0:55,5,1,80,21,1,0,0,0,0,51,21,7,22,35,0,80,10,13,17,39,31
103,1,1,0:13,7,1,17,0,3,29,1,0,0,51,21,3,36,35,0,47,20,61,17,77,31
104,1,-1,0:03,13,1,77,21,2,0,0,0,0,51,21,3,36,35,0,47,20,61,17,77,31
105,1, ,0:00,11,0,0,0,0,0,0,0,0,51,21,3,36,35,0,47,20,61,17,77,31
106,2, ,20:00,10,0,0,0,0,0,0,0,0,51,21,22,36,35,0,80,10,13,17,39,31
107,2,-1,20:00,4,0,51,80,1,0,0,0,0,51,21,22,36,35,0,80,10,13,17,39,31
108,2,-1,19:20,6,0,23,10,2,0,0,0,0,23,41,3,22,35,0,80,10,13,6,39,31
109,2,1,19:20,4,1,51,47,3,0,0,0,0,51,3,7,35,0,0,47,20,61,17,77,31
110,2,1,19:16,1,1,77,0,3,56,2,0,0,39,51,3,7,35,0,47,20,61,17,77,31
