# 2010/01/22 
# NSH , COL 
# 1 , 2 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,11,10,25,6,20,35,9,59,39,5,10,41
2,1,0,20:00,4,0,11,9,1,0,0,0,0,11,10,25,6,20,35,9,59,39,5,10,41
3,1,0,19:30,7,0,27,0,3,20,0,0,0,19,27,26,6,20,35,26,59,39,22,27,41
4,1,0,19:05,8,0,10,0,1,0,0,0,0,11,10,25,2,8,35,26,59,8,22,27,41
5,1,0,18:39,5,0,11,26,3,0,0,0,0,11,10,25,2,8,35,26,25,8,5,10,41
6,1,0,18:16,5,0,9,4,3,0,0,0,0,9,71,28,32,51,35,37,25,8,2,4,41
7,1,0,18:15,8,0,9,0,3,0,0,0,0,9,71,28,32,51,35,37,25,8,2,4,41
8,1,0,18:13,7,0,9,0,3,16,1,0,0,9,71,28,32,51,35,37,25,55,2,4,41
9,1,0,18:10,8,0,9,0,3,0,0,0,0,9,71,28,32,51,35,37,25,55,2,4,41
10,1,0,18:01,1,0,71,0,3,23,1,0,0,9,19,71,28,32,51,37,25,55,2,4,41
11,1,0,18:00,6,1,4,19,2,0,0,0,0,9,19,71,28,32,51,37,25,55,2,4,41
12,1,1,18:00,4,0,19,37,3,0,0,0,0,19,10,27,26,32,35,37,39,22,27,41,0
13,1,1,17:19,1,0,32,0,3,56,2,0,0,19,10,27,26,32,35,9,55,22,27,41,0
14,1,1,16:55,7,0,6,0,3,43,2,0,0,10,27,28,6,20,35,9,55,10,22,41,0
15,1, ,16:48,3,2,0,0,0,0,0,0,0,11,71,28,6,20,35,37,39,5,10,41,0
16,1,-1,16:48,4,1,11,37,1,0,0,0,0,11,71,28,6,20,35,37,39,5,10,41,0
17,1,1,16:35,1,0,6,0,3,49,2,0,0,11,71,28,6,20,35,37,39,5,10,41,0
18,1, ,16:35,3,1,0,0,0,0,0,0,0,11,71,28,6,20,35,37,39,5,10,41,0
19,1,1,16:35,4,0,11,39,3,0,0,0,0,11,71,28,6,20,35,37,39,22,27,41,0
20,1,-1,16:19,5,1,39,6,3,0,0,0,0,11,71,28,6,20,35,37,39,22,27,41,0
21,1,-1,16:07,13,0,6,9,2,0,0,0,0,11,71,28,6,20,35,9,39,22,27,41,0
22,1,0,15:57,5,0,6,9,3,0,0,0,0,11,71,28,6,20,35,9,39,4,22,27,41
23,1,0,15:27,5,0,2,8,2,0,0,0,0,9,13,22,2,8,35,26,25,8,5,10,41
24,1,0,15:02,5,1,26,22,3,0,0,0,0,9,13,22,2,8,35,26,25,8,2,4,41
25,1,0,14:35,1,0,27,0,3,27,1,0,0,19,27,26,32,51,35,29,16,45,22,27,41
26,1,0,14:32,1,0,51,0,3,46,2,0,0,19,27,26,32,51,35,29,16,45,22,27,41
27,1, ,14:32,3,1,0,0,0,0,0,0,0,19,27,26,32,51,35,29,16,45,22,27,41
