# 2010/01/24 
# DAL , COL 
# 0 , 4 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,20,29,14,6,37,35,9,59,39,5,10,41
2,1,0,20:00,4,0,14,9,1,0,0,0,0,20,29,14,6,37,35,9,59,39,5,10,41
3,1,0,19:41,8,1,9,0,2,0,0,0,0,20,29,14,6,37,35,9,59,39,5,10,41
4,1,0,19:30,5,0,29,39,2,0,0,0,0,20,29,14,6,37,35,9,59,39,5,10,41
5,1,0,19:20,1,0,20,0,3,28,1,0,0,20,91,18,6,37,35,9,59,39,5,10,41
6,1,0,18:22,7,0,21,0,3,25,0,0,0,91,18,21,5,28,35,26,25,8,22,27,41
7,1,0,18:10,1,0,5,0,3,60,1,0,0,91,18,21,5,28,35,26,25,8,22,27,41
8,1, ,17:43,3,6,0,0,0,0,0,0,0,25,12,13,5,28,35,37,16,55,2,4,41
9,1,0,17:43,4,1,25,37,3,0,0,0,0,25,12,13,5,28,35,37,16,55,2,4,41
10,1,0,17:27,8,0,25,0,2,0,0,0,0,25,12,13,5,28,35,37,16,55,2,4,41
11,1,0,17:08,1,1,37,0,3,11,0,0,0,9,12,13,2,3,35,37,16,55,4,10,41
12,1,0,16:59,5,1,16,12,1,0,0,0,0,9,12,96,2,3,35,37,16,55,4,10,41
13,1, ,16:31,3,10,0,0,0,0,0,0,0,17,14,96,5,28,35,29,28,45,5,10,41
14,1,0,16:31,4,1,14,9,1,0,0,0,0,20,29,14,6,37,35,9,59,39,5,10,41
15,1,0,15:58,13,1,27,20,2,0,0,0,0,20,29,14,6,37,35,9,59,39,22,27,41
16,1,0,15:34,5,0,18,22,3,0,0,0,0,91,18,21,2,3,35,26,25,8,22,27,41
17,1,0,15:29,5,0,2,25,3,0,0,0,0,91,18,21,2,3,35,26,25,8,22,27,41
18,1,0,15:26,8,1,26,0,1,0,0,0,0,91,18,21,2,3,35,26,25,8,22,27,41
19,1,0,15:25,1,1,26,0,3,23,1,0,0,91,18,21,2,3,35,26,16,8,22,27,41
20,1, ,15:25,3,1,0,0,0,0,0,0,0,91,18,21,2,3,35,26,16,8,22,27,41
21,1,0,15:25,4,1,91,26,3,0,0,0,0,91,18,21,2,3,35,26,16,8,22,27,41
22,1,0,15:04,8,1,26,0,1,0,0,0,0,9,18,21,2,3,35,26,16,8,22,27,41
23,1,0,14:56,7,1,26,0,3,18,1,0,0,9,21,96,2,3,35,26,16,8,22,27,41
24,1,0,14:54,6,0,2,16,2,0,0,0,0,9,21,96,2,3,35,26,16,8,5,10,41
25,1,1,14:54,4,1,25,9,3,0,0,0,0,17,25,3,37,35,0,9,16,59,5,27,41
26,1,1,14:44,2,1,5,0,3,55,2,16,59,17,25,3,37,35,0,9,16,59,5,27,41
27,1,0,14:44,4,1,9,37,1,0,0,0,0,9,17,96,5,28,35,29,37,55,5,10,41
28,1,0,14:26,5,0,96,55,1,0,0,0,0,9,17,96,5,28,35,29,37,55,5,10,41
29,1,0,14:16,13,1,10,17,2,0,0,0,0,9,17,96,5,28,35,29,37,55,5,10,41
30,1,0,13:59,7,0,17,0,3,35,3,0,0,9,17,96,2,3,35,29,37,55,5,10,41
31,1,0,13:45,5,0,14,45,3,0,0,0,0,20,29,14,2,3,35,9,45,55,2,10,41
32,1,0,13:33,1,1,45,0,3,38,1,0,0,20,29,14,2,3,35,9,45,55,2,10,41
33,1,0,13:04,7,1,25,0,3,20,1,0,0,91,18,21,6,37,35,26,25,28,4,27,41
34,1,0,12:52,1,0,91,0,3,18,5,0,0,91,18,21,6,37,35,26,25,8,4,27,41
35,1, ,12:51,3,0,0,0,0,0,0,0,0,91,18,21,6,37,35,26,25,8,4,27,41
36,1,0,12:51,4,1,9,9,2,0,0,0,0,9,17,96,5,28,35,9,59,39,5,10,41
