# 2010/01/29 
# FLA , WSH 
# 1 , 4 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,11,19,28,5,44,29,19,22,8,3,4,30
2,1,0,20:00,4,0,11,19,1,0,0,0,0,11,19,28,5,44,29,19,22,8,3,4,30
3,1,0,19:43,5,1,19,44,3,0,0,0,0,11,19,28,2,44,29,19,22,8,3,4,30
4,1,0,19:34,7,0,19,0,3,23,1,0,0,11,19,28,2,44,29,19,22,8,3,4,30
5,1, ,19:28,3,2,0,0,0,0,0,0,0,11,19,28,2,44,29,19,22,8,3,52,30
6,1,0,19:28,4,0,9,14,1,0,0,0,0,9,67,61,4,5,29,28,14,21,52,55,30
7,1,0,19:05,1,0,5,0,3,63,1,0,0,9,67,61,4,5,29,28,14,21,52,55,30
8,1,0,18:51,9,0,29,0,2,0,0,0,0,9,14,85,4,5,29,28,14,21,52,55,30
9,1,0,18:50,7,1,28,0,3,27,1,0,0,9,14,85,4,5,29,28,14,21,52,55,30
10,1,0,18:30,8,0,85,0,1,0,0,0,0,27,14,85,4,43,29,9,16,25,52,55,30
11,1,0,18:28,1,0,14,0,3,41,2,0,0,27,14,85,4,43,29,9,16,25,52,55,30
12,1,0,18:22,7,0,24,0,3,39,1,0,0,27,14,85,24,43,29,9,16,25,52,55,30
13,1,0,17:48,5,0,71,26,3,0,0,0,0,41,32,71,4,5,29,9,16,25,2,26,30
14,1, ,17:39,3,6,0,0,0,0,0,0,0,41,32,71,4,5,29,9,16,25,2,26,30
15,1,0,17:39,4,1,9,9,2,0,0,0,0,9,67,61,4,5,29,9,16,25,2,26,30
16,1,0,17:30,1,1,25,0,3,38,1,0,0,9,67,61,4,5,29,39,16,25,2,26,30
17,1, ,17:30,3,1,0,0,0,0,0,0,0,9,67,61,4,5,29,15,39,10,2,26,30
18,1,0,17:30,4,1,41,39,3,0,0,0,0,41,32,71,4,5,29,15,39,10,2,26,30
19,1,0,17:19,5,0,41,15,2,0,0,0,0,41,32,71,4,5,29,15,39,10,2,26,30
20,1,0,17:01,5,1,39,5,3,0,0,0,0,41,32,71,4,5,29,15,39,10,3,4,30
21,1,0,16:40,1,0,44,0,3,47,2,0,0,11,19,28,2,44,29,15,19,10,3,4,30
22,1,0,16:30,1,1,8,0,3,44,3,0,0,11,19,28,2,44,29,19,22,8,3,4,30
23,1, ,16:30,3,1,0,0,0,0,0,0,0,11,19,28,2,44,29,19,22,8,3,4,30
24,1,0,16:30,4,0,9,19,2,0,0,0,0,9,67,61,2,44,29,19,22,8,3,4,30
25,1,0,16:18,5,1,4,67,2,0,0,0,0,9,67,61,2,44,29,19,22,8,3,4,30
26,1,0,16:02,5,0,61,52,3,0,0,0,0,9,67,61,2,44,29,19,22,8,3,52,30
27,1,0,15:52,13,1,8,44,2,0,0,0,0,9,67,61,2,44,29,19,22,8,52,55,30
28,1,0,15:36,6,1,52,67,1,0,0,0,0,27,14,61,24,43,29,22,8,14,52,55,30
29,1,1,15:36,4,0,27,39,3,0,0,0,0,27,14,85,4,24,29,19,39,3,26,30,0
30,1,1,15:24,1,0,85,0,3,8,1,0,0,27,14,85,4,24,29,19,39,3,26,30,0
31,1, ,15:23,3,1,0,0,0,0,0,0,0,27,14,85,4,24,29,19,39,3,26,30,0
32,1,-1,15:23,4,1,27,39,2,0,0,0,0,27,14,85,4,24,29,15,39,3,26,30,0
33,1,-1,15:12,5,1,39,4,3,0,0,0,0,27,14,85,4,24,29,39,10,3,26,30,0
34,1,-1,14:45,1,1,10,0,3,14,6,0,0,19,27,14,4,24,29,15,10,4,55,30,0
35,1,-1,14:41,5,1,15,14,3,0,0,0,0,19,27,14,4,24,29,15,10,4,55,30,0
36,1,1,14:28,7,0,61,0,3,37,2,0,0,19,27,61,24,43,29,15,14,4,55,30,0
37,1,1,14:16,6,0,24,14,0,0,0,0,0,19,27,61,24,43,29,15,14,3,26,30,0
38,1,0,14:16,4,0,9,21,2,0,0,0,0,9,61,4,5,29,0,28,21,2,26,30,0
39,1,0,14:06,1,0,4,0,2,173,1,0,0,9,61,4,5,29,0,28,21,2,26,30,0
40,1,0,13:37,5,1,2,9,1,0,0,0,0,9,61,4,5,29,0,28,21,2,26,30,0
41,1,1,13:22,1,1,52,0,3,12,5,0,0,11,28,2,4,29,0,28,8,21,26,52,30
