# 2010/01/30 
# L.A , BOS 
# 3 , 2 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,28,23,94,7,8,32,37,28,16,33,53,30
2,1,0,20:00,4,1,28,37,1,0,0,0,0,28,23,94,7,8,32,37,28,16,33,53,30
3,1,0,19:42,5,0,23,33,1,0,0,0,0,28,23,94,7,8,32,37,28,16,33,53,30
4,1,0,19:21,1,1,6,0,2,130,1,0,0,28,23,94,7,8,32,37,28,16,6,45,30
5,1, ,19:21,3,1,0,0,0,0,0,0,0,28,23,94,7,8,32,37,28,16,6,45,30
6,1,0,19:21,6,0,8,28,2,0,0,0,0,28,23,94,7,8,32,37,28,16,6,45,30
7,1,1,19:21,4,1,26,91,3,0,0,0,0,11,26,2,6,32,0,91,73,81,6,33,30
8,1,-1,18:13,13,1,53,11,2,0,0,0,0,11,23,5,7,32,0,37,91,73,81,53,30
9,1,-1,17:29,5,0,2,28,2,0,0,0,0,28,15,2,6,32,0,46,26,28,48,55,30
10,1,0,16:54,13,1,46,12,2,0,0,0,0,26,63,24,5,12,32,46,26,61,48,55,30
11,1,0,16:42,1,1,55,0,3,40,1,0,0,26,63,24,5,12,32,61,20,27,48,55,30
12,1,0,15:54,5,1,45,49,3,0,0,0,0,9,49,41,7,8,32,91,81,17,6,45,30
13,1,0,15:24,1,0,17,0,3,40,1,0,0,11,15,17,2,6,32,91,81,17,45,53,30
14,1, ,15:24,3,1,0,0,0,0,0,0,0,11,15,17,2,6,32,91,81,17,45,53,30
15,1,0,15:24,4,1,11,37,2,0,0,0,0,11,15,17,2,6,32,37,28,16,33,53,30
16,1, ,15:15,3,2,0,0,0,0,0,0,0,11,15,17,2,6,32,37,28,16,33,53,30
17,1,0,15:15,4,0,11,37,1,0,0,0,0,11,15,17,2,6,32,37,28,16,33,53,30
18,1,0,14:58,1,0,17,0,3,54,1,0,0,11,15,17,2,6,32,37,28,16,33,53,30
19,1, ,14:58,3,1,0,0,0,0,0,0,0,11,15,17,2,6,32,37,28,16,33,53,30
20,1,0,14:58,4,0,28,46,3,0,0,0,0,28,23,94,2,6,32,46,26,73,33,53,30
21,1,0,14:41,1,0,2,0,3,57,1,0,0,28,23,94,2,6,32,46,26,73,33,53,30
22,1,0,14:39,1,0,28,0,3,22,3,0,0,28,23,94,2,6,32,46,26,73,33,53,30
23,1, ,14:25,3,4,0,0,0,0,0,0,0,28,23,94,2,6,32,46,26,73,45,53,30
24,1,0,14:25,4,0,26,27,2,0,0,0,0,26,63,24,5,12,32,61,20,27,6,45,30
25,1,0,13:55,13,0,12,61,2,0,0,0,0,26,63,24,5,12,32,61,20,27,6,45,30
26,1,0,13:44,13,1,27,5,2,0,0,0,0,26,63,24,5,12,32,61,20,27,6,48,30
27,1,0,13:41,1,1,27,0,3,43,1,0,0,26,63,24,5,12,32,61,20,27,6,48,30
28,1, ,13:41,3,0,0,0,0,0,0,0,0,26,63,24,5,12,32,61,20,27,6,48,30
29,1,0,13:39,4,0,11,17,2,0,0,0,0,11,15,17,7,8,32,91,81,17,33,53,30
30,1,0,13:25,5,1,17,17,2,0,0,0,0,11,15,17,7,8,32,91,81,17,33,53,30
31,1,0,13:11,5,1,33,15,3,0,0,0,0,11,15,17,7,8,32,91,81,17,33,53,30
32,1,0,12:58,1,0,11,0,1,78,3,0,0,11,15,17,7,8,32,91,81,17,33,53,30
33,1,0,12:32,5,0,28,53,3,0,0,0,0,28,23,94,2,6,32,37,28,16,48,53,30
34,1,0,12:16,13,0,2,53,2,0,0,0,0,28,23,94,2,6,32,37,28,16,48,53,30
35,1,0,12:04,5,0,2,37,2,0,0,0,0,28,23,94,2,6,32,37,28,16,6,45,30
36,1,0,11:54,6,0,94,37,2,0,0,0,0,28,23,94,2,6,32,37,28,16,6,45,30
37,1,1,11:54,4,1,26,91,3,0,0,0,0,11,26,7,8,32,0,91,73,81,6,33,30
38,1,0,9:41,9,0,24,0,3,0,0,0,0,26,63,24,5,12,32,46,26,20,48,53,30
39,1,0,8:59,5,1,61,63,1,0,0,0,0,9,63,41,5,12,32,61,20,27,48,55,30
40,1, ,8:36,3,6,0,0,0,0,0,0,0,11,15,49,2,6,32,91,81,17,48,55,30
41,1,0,8:36,4,0,11,91,3,0,0,0,0,11,15,17,7,8,32,91,81,17,48,55,30
42,1,0,8:19,9,1,17,0,2,0,0,0,0,11,15,17,7,8,32,91,81,17,48,55,30
43,1,0,8:13,6,1,17,17,1,0,0,0,0,11,15,17,7,8,32,91,81,17,48,55,30
44,1, ,8:13,3,9,0,0,0,0,0,0,0,28,23,94,7,8,32,91,81,48,55,30,0
45,1,1,8:13,4,0,28,37,3,0,0,0,0,11,28,23,94,8,32,37,16,33,53,30,0
46,1,1,8:03,1,0,28,0,3,68,3,0,0,11,28,23,94,8,32,37,16,33,53,30,0
47,1,1,7:54,2,0,23,0,3,18,5,11,28,11,28,23,94,8,32,37,16,33,53,30,0
48,1,0,7:54,4,0,26,46,1,0,0,0,0,26,63,24,7,8,32,46,26,73,6,45,30
49,1,0,7:18,5,1,45,63,2,0,0,0,0,26,63,24,7,8,32,46,26,73,6,45,30
50,1, ,7:08,3,1,0,0,0,0,0,0,0,26,49,24,7,8,32,46,26,73,6,45,30
51,1,0,7:08,4,0,15,91,2,0,0,0,0,11,15,17,2,6,32,91,81,17,33,53,30
52,1,0,6:50,1,1,91,0,3,27,3,0,0,11,15,17,2,6,32,91,81,17,33,53,30
53,1,0,6:46,13,1,33,2,2,0,0,0,0,11,15,17,2,6,32,91,81,17,33,53,30
54,1,0,6:30,1,1,17,0,3,15,3,0,0,11,15,17,2,6,32,91,81,17,33,53,30
55,1,0,6:14,1,0,12,0,3,64,1,0,0,11,15,17,5,12,32,91,81,17,33,53,30
56,1, ,6:14,3,1,0,0,0,0,0,0,0,11,15,17,5,12,32,91,81,17,33,53,30
57,1,0,6:14,4,1,28,37,2,0,0,0,0,28,23,94,5,12,32,37,28,16,6,45,30
58,1,0,6:09,6,1,45,28,2,0,0,0,0,28,23,94,5,12,32,37,28,16,6,45,30
59,1,-1,6:09,4,1,28,37,2,0,0,0,0,11,28,23,94,8,32,37,20,6,48,30,0
60,1,-1,5:59,9,1,6,0,2,0,0,0,0,11,28,23,94,8,32,37,20,6,48,30,0
61,1,-1,5:40,5,1,27,28,3,0,0,0,0,11,28,23,94,8,32,16,27,6,33,30,0
62,1,-1,5:25,5,1,6,23,2,0,0,0,0,11,28,23,94,8,32,37,16,6,33,30,0
63,1,-1,5:03,8,1,53,0,1,0,0,0,0,9,26,24,8,12,32,37,26,33,53,30,0
64,1,1,4:44,7,0,24,0,3,60,2,0,0,9,26,24,8,12,32,46,26,48,53,30,0
65,1,-1,4:16,8,1,20,0,2,0,0,0,0,9,26,24,5,12,32,20,27,48,55,30,0
66,1,0,4:07,5,1,27,5,3,0,0,0,0,9,26,24,5,12,32,20,27,33,45,55,30
67,1,0,3:52,7,1,81,0,3,8,5,0,0,15,17,63,2,6,32,91,81,17,33,55,30
68,1,0,3:30,1,1,91,0,3,28,3,0,0,15,17,63,2,6,32,91,81,17,6,33,30
69,1, ,3:30,3,0,0,0,0,0,0,0,0,15,17,63,2,6,32,91,81,17,6,33,30
70,1,0,3:30,4,1,28,37,3,0,0,0,0,28,23,94,7,8,32,37,28,16,33,53,30
71,1,0,3:22,9,0,94,0,2,0,0,0,0,28,23,94,7,8,32,37,28,16,33,53,30
72,1,0,3:15,5,0,7,16,2,0,0,0,0,28,23,94,7,8,32,37,28,16,33,53,30
73,1,0,3:09,1,1,37,0,3,12,5,0,0,28,23,94,7,8,32,37,28,16,33,53,30
74,1, ,3:09,3,1,0,0,0,0,0,0,0,28,23,94,7,8,32,37,28,16,33,53,30
