# 2010/02/06 
# VAN , BOS 
# 3 , 2 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,17,37,15,6,23,1,73,20,27,48,53,40
2,1,0,20:00,4,0,17,27,1,0,0,0,0,17,37,15,6,23,1,73,20,27,48,53,40
3,1,0,19:22,6,0,15,53,3,0,0,0,0,17,37,15,6,23,1,73,20,27,48,53,40
4,1,-1,19:22,4,0,17,46,2,0,0,0,0,17,14,6,23,1,0,46,26,28,6,53,40
5,1,1,19:01,1,1,53,0,3,68,1,0,0,17,14,6,23,1,0,46,26,28,6,53,40
6,1,-1,18:54,1,0,23,0,2,163,1,0,0,17,14,6,23,1,0,46,26,28,6,53,40
7,1, ,18:40,3,3,0,0,0,0,0,0,0,10,21,5,55,1,0,37,91,73,16,33,40
8,1,-1,18:40,4,0,10,91,2,0,0,0,0,10,21,5,55,1,0,37,91,73,16,33,40
9,1,1,18:32,13,0,21,33,2,0,0,0,0,10,21,5,55,1,0,37,91,73,16,33,40
10,1,-1,18:15,5,0,21,91,2,0,0,0,0,10,21,5,55,1,0,37,91,73,16,33,40
11,1,1,18:04,2,1,33,0,3,13,5,91,16,10,21,5,55,1,0,37,91,73,16,33,40
12,1,0,18:04,4,0,33,37,1,0,0,0,0,33,14,22,6,23,1,37,28,16,6,33,40
13,1,0,17:47,1,1,37,0,3,55,2,0,0,33,14,22,6,23,1,37,28,16,6,33,40
14,1, ,17:46,3,1,0,0,0,0,0,0,0,33,14,22,6,23,1,37,28,16,6,33,40
15,1,0,17:46,4,1,42,91,3,0,0,0,0,42,26,15,29,44,1,91,81,17,54,55,40
16,1,0,17:36,1,1,17,0,3,51,1,0,0,42,26,15,29,44,1,91,81,17,54,55,40
17,1, ,15:57,3,2,0,0,0,0,0,0,0,17,38,21,6,23,1,46,26,73,6,48,40
18,1,0,15:57,4,0,17,46,2,0,0,0,0,17,38,21,6,23,1,46,26,73,48,53,40
19,1, ,15:35,3,2,0,0,0,0,0,0,0,17,38,21,6,23,1,46,26,73,48,53,40
20,1,0,15:35,4,1,10,27,1,0,0,0,0,10,37,24,29,44,1,20,22,27,54,55,40
21,1,0,15:33,6,1,22,24,1,0,0,0,0,10,37,24,29,44,1,20,22,27,54,55,40
22,1,0,15:33,6,0,24,22,1,0,0,0,0,10,37,24,29,44,1,20,27,54,55,40,0
23,1,0,15:33,4,1,37,27,3,0,0,0,0,10,37,15,29,44,1,81,20,27,54,55,40
24,1,0,15:27,1,1,54,0,3,54,2,0,0,10,37,15,29,44,1,81,20,27,54,55,40
25,1, ,14:19,3,6,0,0,0,0,0,0,0,33,14,22,5,55,1,37,28,16,6,33,40
26,1,0,14:19,4,0,33,28,2,0,0,0,0,33,14,22,5,55,1,37,28,16,6,33,40
27,1,0,14:03,5,0,14,6,3,0,0,0,0,33,14,22,5,55,1,37,28,16,6,33,40
28,1,0,13:59,5,0,55,6,2,0,0,0,0,33,14,22,5,55,1,37,28,16,6,33,40
29,1, ,13:59,3,0,0,0,0,0,0,0,0,33,14,22,5,55,1,37,28,16,6,33,40
30,1,0,13:59,4,1,42,91,3,0,0,0,0,42,26,15,6,23,1,91,81,17,48,53,40
31,1, ,13:54,3,3,0,0,0,0,0,0,0,42,26,15,6,23,1,91,81,17,48,53,40
32,1,0,13:54,4,1,42,91,3,0,0,0,0,42,26,15,6,23,1,91,81,17,48,53,40
33,1,0,13:30,5,1,17,6,3,0,0,0,0,42,26,15,6,23,1,91,81,17,48,53,40
34,1,0,13:05,13,0,26,48,2,0,0,0,0,42,26,15,5,23,1,91,26,81,48,53,40
35,1,0,12:56,5,1,48,42,2,0,0,0,0,42,38,15,5,55,1,91,26,81,48,53,40
36,1,0,12:56,6,1,48,42,2,0,0,0,0,42,38,15,5,55,1,91,26,81,48,53,40
37,1,1,12:56,4,0,38,37,3,0,0,0,0,17,38,21,5,23,1,37,16,6,33,40,0
38,1,-1,12:17,5,1,6,21,2,0,0,0,0,17,38,21,5,23,1,20,27,6,33,40,0
39,1,1,12:10,7,0,5,0,3,52,3,0,0,17,38,21,5,23,1,20,27,6,33,40,0
40,1,-1,12:00,5,1,33,17,2,0,0,0,0,17,38,21,5,23,1,20,27,6,33,40,0
41,1,-1,11:39,13,0,26,55,2,0,0,0,0,33,26,21,22,5,1,46,26,53,55,40,0
42,1, ,11:38,3,0,0,0,0,0,0,0,0,33,26,14,22,5,1,46,26,53,55,40,0
43,1,1,11:38,4,0,33,37,3,0,0,0,0,33,26,14,22,6,1,37,16,6,33,40,0
44,1,-1,11:16,8,1,37,0,3,0,0,0,0,33,26,14,22,6,1,37,16,6,33,40,0
45,1,-1,11:14,1,1,16,0,3,15,3,0,0,33,26,14,22,6,1,37,16,6,33,40,0
46,1,1,11:01,1,0,6,0,3,59,1,0,0,33,26,14,22,6,1,46,26,6,33,40,0
47,1,1,10:59,1,0,26,0,3,17,3,0,0,33,26,14,22,6,1,46,26,6,33,40,0
48,1,0,10:38,7,1,73,0,3,24,1,0,0,33,14,22,5,55,1,46,26,73,53,54,40
49,1,0,10:35,1,0,42,0,3,31,2,0,0,42,26,15,5,55,1,46,26,73,53,54,40
50,1,0,10:34,1,1,54,0,3,64,1,0,0,42,26,15,5,55,1,46,26,73,53,54,40
51,1,0,10:34,5,0,15,53,3,0,0,0,0,42,26,15,5,55,1,46,26,73,53,54,40
52,1,0,10:02,5,0,15,73,2,0,0,0,0,37,42,15,5,55,1,91,26,73,48,54,40
53,1,0,9:49,1,0,42,0,3,13,3,0,0,42,38,21,6,29,1,91,81,17,6,48,40
54,1,0,9:35,1,1,6,0,3,58,2,0,0,17,38,21,6,23,1,91,81,17,6,48,40
55,1,0,9:35,6,1,17,1,3,0,0,0,0,17,38,21,6,29,1,91,81,17,6,48,40
56,1, ,9:35,3,9,0,0,0,0,0,0,0,17,38,21,6,29,1,91,81,6,48,40,0
57,1,1,9:35,4,0,33,27,3,0,0,0,0,33,26,14,22,6,1,20,27,6,33,40,0
58,1,-1,8:49,5,1,33,22,2,0,0,0,0,33,26,14,22,6,1,20,27,6,33,40,0
59,1,1,8:42,9,0,33,0,3,0,0,0,0,33,26,14,22,6,1,20,27,6,33,40,0
60,1, ,7:44,3,2,0,0,0,0,0,0,0,17,38,21,5,23,1,46,26,6,33,40,0
61,1,-1,7:44,4,1,42,91,3,0,0,0,0,37,42,15,44,55,1,91,81,6,33,40,0
62,1,0,7:26,6,0,37,81,2,0,0,0,0,37,42,15,44,55,1,91,81,17,6,33,40
63,1,1,7:26,4,1,17,28,3,0,0,0,0,17,14,6,23,1,0,46,26,28,6,53,40
