# 2010/02/10 
# WSH , MTL 
# 5 , 6 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,28,14,21,3,4,30,91,94,21,20,79,31
2,1,0,19:59,4,0,14,91,1,0,0,0,0,28,14,21,3,4,30,91,94,21,20,79,31
3,1,0,19:47,13,1,91,3,2,0,0,0,0,28,14,21,3,4,30,91,94,21,20,79,31
4,1,0,19:45,9,0,28,0,2,0,0,0,0,28,14,21,3,4,30,91,94,21,20,79,31
5,1,0,19:38,13,1,91,4,2,0,0,0,0,28,14,21,3,4,30,91,94,21,20,79,31
6,1,0,19:33,1,1,94,0,3,43,1,0,0,28,14,21,3,4,30,91,94,21,20,79,31
7,1,0,19:24,2,1,91,0,3,21,1,21,94,28,14,21,3,4,30,91,94,21,20,79,31
8,1,0,19:24,4,0,19,14,1,0,0,0,0,19,22,8,52,55,30,14,52,74,6,44,31
9,1,0,19:12,5,1,52,52,1,0,0,0,0,19,22,8,52,55,30,14,52,74,6,44,31
10,1, ,19:05,3,2,0,0,0,0,0,0,0,19,22,8,52,55,30,14,52,74,6,44,31
11,1,0,19:05,4,0,19,14,1,0,0,0,0,19,22,8,52,55,30,14,52,74,6,44,31
12,1,0,18:22,1,0,8,0,3,66,2,0,0,19,22,28,8,52,55,15,36,52,6,44,31
13,1,0,18:21,6,1,74,19,3,0,0,0,0,19,22,28,8,52,55,15,36,52,6,44,31
14,1,-1,18:21,4,1,21,14,2,0,0,0,0,16,28,8,21,52,30,14,32,26,75,31,0
15,1,-1,17:25,13,0,8,21,2,0,0,0,0,16,28,8,21,52,30,91,21,44,79,31,0
16,1,1,16:41,8,0,52,0,3,0,0,0,0,19,22,8,14,52,30,14,32,44,79,31,0
17,1,1,16:39,1,0,14,0,3,24,1,0,0,19,22,8,14,52,30,14,32,44,79,31,0
18,1,1,16:35,1,0,52,0,3,56,2,0,0,19,22,8,14,52,30,14,32,44,79,31,0
