# 2010/03/07 
# MTL , ANA 
# 4 , 3 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,91,21,57,6,44,31,15,9,10,27,34,1
2,1,0,20:00,4,0,91,15,1,0,0,0,0,91,21,57,6,44,31,15,9,10,27,34,1
3,1,0,19:37,7,1,27,0,3,45,3,0,0,91,21,57,6,44,31,15,9,10,27,34,1
4,1,0,19:28,7,0,21,0,3,44,1,0,0,91,21,57,20,79,31,15,9,10,27,34,1
5,1,0,19:13,9,0,20,0,1,0,0,0,0,91,94,21,20,79,31,15,10,33,17,34,1
6,1,0,18:57,8,1,33,0,3,0,0,0,0,91,94,46,20,79,31,11,8,33,4,17,1
7,1,0,18:53,7,1,8,0,3,18,1,0,0,91,94,46,20,79,31,11,8,33,4,17,1
8,1,0,18:47,13,1,4,20,2,0,0,0,0,91,94,46,20,79,31,11,8,33,4,17,1
9,1, ,18:16,3,10,0,0,0,0,0,0,0,42,32,74,26,75,31,22,50,39,4,17,1
10,1,0,18:16,4,1,32,22,1,0,0,0,0,42,32,74,26,75,31,22,50,39,7,21,1
11,1,0,18:03,8,0,74,0,3,0,0,0,0,42,32,74,26,75,31,22,50,39,7,21,1
12,1, ,18:00,3,6,0,0,0,0,0,0,0,42,32,74,26,75,31,22,50,39,7,21,1
13,1,0,18:00,4,0,15,22,3,0,0,0,0,15,61,52,26,75,31,22,50,39,7,21,1
14,1,0,17:57,13,0,75,50,2,0,0,0,0,15,61,52,26,75,31,22,50,39,7,21,1
15,1,0,17:45,5,1,50,26,3,0,0,0,0,15,61,52,26,75,31,28,50,39,7,21,1
16,1,0,17:12,9,0,91,0,2,0,0,0,0,91,21,57,6,44,31,28,13,42,7,21,1
17,1,0,16:49,7,0,91,0,3,14,0,0,0,91,21,57,6,79,31,15,9,10,27,34,1
18,1, ,16:48,3,4,0,0,0,0,0,0,0,91,21,57,6,79,31,15,9,10,27,34,1
19,1,0,16:48,4,0,14,11,1,0,0,0,0,14,94,46,20,79,31,11,8,33,4,17,1
20,1,0,16:27,9,1,33,0,2,0,0,0,0,14,94,46,20,79,31,11,8,33,4,17,1
21,1,0,16:24,13,0,79,4,2,0,0,0,0,14,94,46,20,79,31,11,8,33,4,17,1
22,1,0,16:14,9,1,17,0,1,0,0,0,0,14,94,46,20,79,31,11,8,33,4,17,1
23,1,0,16:08,7,0,46,0,3,20,1,0,0,14,32,46,26,75,31,11,8,33,4,17,1
24,1,0,15:51,1,1,34,0,3,55,3,0,0,42,32,74,26,75,31,22,8,33,27,34,1
25,1, ,15:50,3,1,0,0,0,0,0,0,0,42,32,74,26,75,31,22,8,33,27,34,1
26,1,0,15:50,4,1,42,22,3,0,0,0,0,42,32,74,26,75,31,22,50,39,27,34,1
27,1,0,15:45,1,1,39,0,3,21,1,0,0,42,32,74,26,75,31,22,50,39,27,34,1
28,1,0,15:40,5,1,22,32,3,0,0,0,0,42,32,74,26,75,31,22,50,39,27,34,1
29,1,0,15:36,6,1,27,42,2,0,0,0,0,42,32,74,26,75,31,22,50,39,27,34,1
30,1,1,15:36,4,0,91,28,3,0,0,0,0,91,21,57,44,79,31,22,28,4,34,1,0
31,1,-1,15:28,13,0,79,28,2,0,0,0,0,91,21,57,44,79,31,22,28,4,34,1,0
32,1,1,15:18,9,0,91,0,1,0,0,0,0,91,21,57,44,79,31,22,28,4,34,1,0
33,1,1,14:45,1,0,91,0,3,20,1,0,0,91,21,57,44,79,31,11,39,4,34,1,0
34,1,1,14:24,7,0,57,0,3,23,1,0,0,91,21,57,44,79,31,11,39,4,34,1,0
35,1,1,14:09,1,0,57,0,3,12,1,0,0,91,21,57,44,79,31,11,39,4,34,1,0
36,1,1,13:46,1,0,46,0,3,51,3,0,0,14,94,46,6,26,31,50,33,7,21,1,0
37,1, ,13:45,3,1,0,0,0,0,0,0,0,14,94,46,6,26,31,50,33,7,21,1,0
38,1,1,13:45,4,0,14,28,3,0,0,0,0,14,94,46,6,26,31,22,28,7,17,1,0
39,1,1,13:39,1,0,26,0,3,56,3,0,0,14,94,46,6,26,31,22,28,7,17,1,0
40,1,1,13:36,1,0,14,0,3,10,6,0,0,14,94,46,6,26,31,22,28,7,17,1,0
41,1,0,13:28,13,0,6,17,2,0,0,0,0,14,94,46,6,26,31,22,28,7,17,27,1
42,1, ,13:22,3,9,0,0,0,0,0,0,0,14,94,46,6,26,31,15,22,9,7,21,1
43,1,0,13:22,6,1,7,94,3,0,0,0,0,14,94,46,6,26,31,15,22,9,7,21,1
44,1,-1,13:22,4,1,91,28,2,0,0,0,0,91,21,57,44,79,31,22,28,27,34,1,0
45,1,1,12:55,1,0,57,0,3,49,1,0,0,91,21,57,44,79,31,22,28,27,34,1,0
46,1,-1,12:52,5,1,22,91,2,0,0,0,0,91,21,57,44,79,31,22,28,27,34,1,0
47,1,1,12:42,1,0,91,0,3,13,1,0,0,91,21,57,44,79,31,22,28,27,34,1,0
48,1,1,12:17,1,0,46,0,3,21,3,0,0,14,15,46,44,79,31,11,39,4,21,1,0
49,1, ,12:16,3,1,0,0,0,0,0,0,0,14,15,46,44,79,31,11,39,4,21,1,0
50,1,1,12:16,4,0,15,11,3,0,0,0,0,14,15,46,6,26,31,11,22,4,27,1,0
51,1,1,12:11,1,0,26,0,3,38,2,0,0,14,15,46,6,26,31,11,22,4,27,1,0
52,1, ,12:10,3,1,0,0,0,0,0,0,0,14,15,46,6,26,31,11,22,4,27,1,0
53,1,1,12:10,4,0,14,11,3,0,0,0,0,14,15,46,6,26,31,11,22,4,27,1,0
54,1,1,12:04,1,0,14,0,3,10,0,0,0,14,15,46,6,26,31,11,22,4,27,1,0
55,1,1,11:42,1,0,6,0,3,52,2,0,0,14,15,46,6,26,31,50,33,27,34,1,0
56,1,0,11:06,2,1,10,0,3,26,1,15,4,91,21,57,20,79,31,15,9,10,4,17,1
57,1,0,11:06,4,1,42,11,1,0,0,0,0,42,32,74,26,75,31,11,8,33,7,21,1
58,1,0,10:48,9,0,74,0,2,0,0,0,0,42,32,74,26,75,31,11,8,33,7,21,1
59,1, ,10:39,3,4,0,0,0,0,0,0,0,42,32,74,26,75,31,11,8,33,7,21,1
60,1,0,10:39,4,0,42,39,1,0,0,0,0,42,32,74,26,75,31,22,50,39,7,21,1
61,1,0,10:11,5,1,22,26,2,0,0,0,0,42,32,74,26,75,31,22,50,39,7,21,1
62,1,0,10:09,5,0,32,22,3,0,0,0,0,42,32,74,26,75,31,22,50,39,7,21,1
63,1,0,9:48,13,1,17,75,2,0,0,0,0,15,61,52,6,75,31,28,13,50,4,17,1
64,1,0,9:42,1,0,15,0,3,51,3,0,0,15,61,52,6,44,31,28,13,42,4,17,1
65,1, ,9:41,3,0,0,0,0,0,0,0,0,15,61,52,6,44,31,28,13,42,4,17,1
66,1,0,9:41,4,1,15,28,1,0,0,0,0,15,61,52,20,79,31,28,13,42,7,21,1
67,1,0,9:31,5,0,79,13,2,0,0,0,0,15,61,52,20,79,31,28,13,42,7,21,1
68,1, ,9:31,3,6,0,0,0,0,0,0,0,15,61,52,20,79,31,28,13,42,7,21,1
69,1,0,9:31,4,1,14,28,2,0,0,0,0,14,94,46,20,79,31,28,13,42,7,21,1
70,1,0,8:49,6,0,94,8,2,0,0,0,0,14,94,46,20,79,31,11,8,33,7,21,1
71,1,-1,8:49,4,0,91,8,2,0,0,0,0,91,21,26,75,31,0,15,8,10,17,27,1
72,1,1,8:27,1,1,15,0,3,53,2,0,0,91,21,26,75,31,0,15,8,10,17,27,1
73,1, ,8:26,3,1,0,0,0,0,0,0,0,91,21,26,75,31,0,15,8,10,17,27,1
74,1,-1,8:26,4,0,14,15,2,0,0,0,0,14,32,26,75,31,0,15,8,10,17,27,1
75,1,1,7:56,7,1,15,0,3,17,3,0,0,14,32,26,75,31,0,15,8,10,17,27,1
76,1,-1,7:53,13,1,27,26,2,0,0,0,0,14,32,26,75,31,0,15,8,10,17,27,1
77,1,1,7:40,7,1,8,0,3,31,2,0,0,14,32,26,75,31,0,15,8,10,17,27,1
78,1, ,7:35,3,10,0,0,0,0,0,0,0,42,74,44,79,31,0,15,8,10,17,27,1
79,1,1,7:35,4,1,42,11,3,0,0,0,0,42,74,44,79,31,0,11,9,33,17,34,1
80,1,1,7:06,2,1,17,0,3,21,1,0,0,91,21,44,79,31,0,11,9,33,17,34,1
81,1,0,7:06,4,0,91,15,1,0,0,0,0,91,21,57,26,75,31,15,9,10,27,34,1
82,1, ,6:39,3,4,0,0,0,0,0,0,0,91,21,57,26,75,31,15,9,10,27,34,1
83,1,0,6:39,4,1,94,11,3,0,0,0,0,14,94,46,6,44,31,11,8,33,4,17,1
84,1,0,6:29,5,1,11,94,2,0,0,0,0,14,94,46,6,44,31,11,8,33,4,17,1
85,1,0,6:18,5,1,4,46,2,0,0,0,0,14,94,46,6,44,31,11,8,33,4,17,1
86,1,0,6:13,1,1,8,0,3,32,1,0,0,14,94,46,6,44,31,11,8,33,4,17,1
87,1,0,6:06,5,0,46,17,2,0,0,0,0,14,94,46,6,44,31,11,8,33,4,17,1
88,1,0,6:00,1,1,11,0,3,29,2,0,0,14,94,46,6,44,31,11,8,33,4,17,1
89,1,0,5:35,1,1,50,0,3,32,1,0,0,42,32,74,20,79,31,22,50,39,7,21,1
90,1,0,5:33,5,0,79,50,2,0,0,0,0,42,32,74,20,79,31,22,50,39,7,21,1
91,1,0,5:23,5,1,21,42,2,0,0,0,0,42,32,74,20,79,31,22,50,39,7,21,1
92,1,0,5:21,1,0,32,0,3,6,4,0,0,42,32,74,20,79,31,22,50,39,7,21,1
93,1, ,5:20,3,0,0,0,0,0,0,0,0,42,32,74,20,79,31,22,50,39,7,21,1
94,1,0,5:20,4,1,15,28,2,0,0,0,0,15,61,52,26,75,31,22,28,13,7,21,1
95,1,0,5:06,5,0,20,28,2,0,0,0,0,15,61,52,20,79,31,22,28,13,7,21,1
96,1,0,5:04,7,1,13,0,3,29,6,0,0,15,61,52,20,79,31,22,28,13,7,21,1
97,1,0,4:47,1,1,21,0,3,53,2,0,0,15,61,52,20,79,31,28,13,42,7,21,1
98,1,0,4:43,5,0,79,42,2,0,0,0,0,15,61,52,20,79,31,28,13,42,7,21,1
99,1,0,4:37,5,1,13,61,2,0,0,0,0,15,61,52,20,79,31,28,13,42,7,21,1
100,1,0,4:15,5,1,7,21,1,0,0,0,0,91,21,57,26,75,31,15,9,10,7,21,1
101,1,0,3:53,13,1,34,75,2,0,0,0,0,91,21,57,26,75,31,15,9,10,27,34,1
102,1,0,3:50,5,1,15,75,3,0,0,0,0,91,21,57,26,75,31,15,9,10,27,34,1
103,1,0,3:28,1,0,46,0,3,46,3,0,0,14,94,46,6,44,31,11,10,33,27,34,1
104,1, ,3:27,3,1,0,0,0,0,0,0,0,14,94,46,6,44,31,11,10,33,27,34,1
105,1,0,3:27,4,1,14,8,2,0,0,0,0,14,94,46,6,44,31,11,8,33,4,17,1
106,1,0,3:07,8,1,33,0,2,0,0,0,0,14,94,46,6,44,31,11,8,33,4,17,1
107,1,0,2:38,7,1,4,0,3,57,1,0,0,42,32,74,20,79,31,22,8,33,4,17,1
108,1,0,2:15,5,1,7,42,2,0,0,0,0,42,32,74,20,79,31,22,8,39,7,21,1
109,1,0,2:07,7,0,42,0,3,30,1,0,0,42,32,74,20,79,31,22,8,39,7,21,1
110,1, ,1:53,3,2,0,0,0,0,0,0,0,91,21,57,26,79,31,22,50,39,21,34,1
