# 2010/03/11 
# ATL , COL 
# 1 , 2 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,12,20,41,6,77,1,16,18,93,10,22,32
2,1,0,20:00,4,0,12,16,1,0,0,0,0,12,20,41,6,77,1,16,18,93,10,22,32
3,1,0,19:42,1,CBJ,10,0,3,57,1,0,0,12,20,41,6,77,1,16,18,93,10,22,32
4,1,0,19:05,7,0,10,0,3,13,0,0,0,80,10,18,4,39,1,50,15,20,10,22,32
5,1,0,18:52,5,CBJ,15,39,3,0,0,0,0,80,10,18,4,39,1,50,15,20,10,22,32
6,1,0,18:41,5,0,4,20,2,0,0,0,0,80,10,18,4,39,1,50,15,20,3,8,32
7,1,0,18:17,13,CBJ,3,13,2,0,0,0,0,47,10,13,4,39,1,50,11,40,3,8,32
8,1,0,17:52,1,0,13,0,3,36,3,0,0,47,61,13,24,29,1,26,11,40,3,8,32
9,1,0,17:40,13,0,24,26,2,0,0,0,0,47,61,13,24,29,1,26,11,40,3,8,32
10,1,0,17:19,1,CBJ,22,0,3,61,1,0,0,47,61,13,24,29,1,17,12,43,6,22,32
11,1,0,17:15,5,CBJ,43,29,3,0,0,0,0,47,61,13,24,29,1,17,12,43,10,22,32
12,1,0,17:07,1,CBJ,17,0,3,10,1,0,0,47,61,13,24,29,1,17,12,43,10,22,32
13,1,0,17:00,13,CBJ,10,29,2,0,0,0,0,47,61,13,24,29,1,17,12,43,10,22,32
14,1, ,16:57,3,2,0,0,0,0,0,0,0,23,27,36,6,77,1,17,12,43,10,22,32
15,1,0,16:57,4,CBJ,27,16,1,0,0,0,0,23,27,36,6,77,1,16,18,93,10,22,32
16,1,0,16:39,13,CBJ,22,77,2,0,0,0,0,23,27,36,6,77,1,16,18,93,10,22,32
