# 2010/03/16 
# BUF , ATL 
# 3 , 4 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,19,55,29,5,44,30,80,18,61,6,29,1
2,1,0,20:00,4,1,19,80,1,0,0,0,0,19,55,29,5,44,30,80,18,61,6,29,1
3,1,0,19:45,7,0,19,0,3,24,1,0,0,19,55,29,5,44,30,80,18,61,6,29,1
4,1,0,19:27,2,1,80,0,3,10,1,61,18,19,55,29,5,44,30,80,18,61,6,29,1
5,1,0,19:27,4,1,9,12,1,0,0,0,0,9,36,26,10,57,30,12,23,20,39,77,1
6,1,0,19:05,8,1,12,0,1,0,0,0,0,9,36,26,10,57,30,12,23,20,39,77,1
7,1,0,18:57,8,0,9,0,2,0,0,0,0,9,36,26,10,57,30,12,23,20,39,77,1
8,1,0,18:47,5,1,23,57,3,0,0,0,0,9,36,26,10,57,30,12,23,20,39,77,1
9,1,0,18:32,8,0,25,0,3,0,0,0,0,28,25,17,4,52,30,47,10,41,39,77,1
10,1, ,18:27,3,11,0,0,0,0,0,0,0,28,25,17,4,52,30,47,10,41,39,77,1
11,1,0,18:27,4,1,28,47,1,0,0,0,0,28,25,17,4,52,30,47,10,41,3,4,1
12,1,0,17:40,8,0,22,0,3,0,0,0,0,22,13,37,5,44,30,19,76,13,4,6,1
13,1, ,17:27,3,2,0,0,0,0,0,0,0,22,13,37,5,44,30,19,76,13,4,6,1
14,1,0,17:27,4,1,19,80,1,0,0,0,0,19,55,29,10,57,30,80,18,61,39,77,1
15,1,0,16:44,9,1,80,0,2,0,0,0,0,9,55,29,10,57,30,80,18,61,39,77,1
16,1,0,16:42,13,0,29,77,2,0,0,0,0,9,55,29,10,57,30,80,18,61,39,77,1
17,1,0,16:16,8,1,12,0,3,0,0,0,0,9,36,26,4,52,30,12,23,20,6,29,1
18,1,0,16:13,1,1,29,0,3,60,3,0,0,9,36,26,4,52,30,12,23,20,6,29,1
19,1, ,16:12,3,1,0,0,0,0,0,0,0,9,36,26,4,52,30,12,23,20,6,29,1
20,1,0,16:12,4,1,28,47,3,0,0,0,0,28,25,17,4,52,30,47,10,41,3,4,1
21,1,0,16:08,13,1,4,17,2,0,0,0,0,28,25,17,4,52,30,47,10,41,3,4,1
22,1,0,15:56,8,0,28,0,2,0,0,0,0,28,25,17,4,52,30,47,10,41,3,4,1
23,1,0,15:39,5,0,28,4,3,0,0,0,0,28,25,17,4,52,30,47,10,41,3,4,1
24,1,0,15:22,2,1,10,0,3,24,1,47,41,22,28,13,5,52,30,47,10,41,3,4,1
25,1,0,15:22,4,1,37,19,1,0,0,0,0,22,13,37,5,44,30,19,76,13,6,29,1
26,1,0,15:18,6,1,76,37,1,0,0,0,0,22,13,37,5,44,30,19,76,13,6,29,1
27,1,1,15:18,4,0,9,19,3,0,0,0,0,9,19,29,26,44,30,19,23,6,29,1,0
28,1, ,15:17,3,11,0,0,0,0,0,0,0,9,19,29,26,44,30,19,23,6,29,1,0
29,1,1,15:17,4,0,9,19,1,0,0,0,0,9,19,29,26,44,30,19,23,6,29,1,0
30,1,1,15:04,2,0,29,0,3,29,3,9,19,9,19,29,26,44,30,19,23,6,29,1,0
31,1,0,15:04,4,1,37,19,1,0,0,0,0,22,13,37,10,57,30,19,76,13,39,77,1
32,1, ,14:48,3,6,0,0,0,0,0,0,0,22,13,37,10,57,30,19,76,13,39,77,1
33,1,0,14:48,4,0,37,80,2,0,0,0,0,22,13,37,10,57,30,80,18,61,39,77,1
34,1,0,14:34,1,1,80,0,3,35,1,0,0,22,13,37,10,57,30,80,18,61,39,77,1
35,1,0,14:29,5,0,37,18,2,0,0,0,0,22,13,37,10,57,30,80,18,61,39,77,1
36,1,0,14:22,9,0,30,0,2,0,0,0,0,28,25,17,10,57,30,80,18,61,3,77,1
37,1,0,14:20,2,1,61,0,3,22,3,80,18,28,25,17,10,57,30,80,18,61,3,77,1
38,1,0,14:20,4,1,28,12,1,0,0,0,0,28,25,17,5,44,40,12,23,20,3,4,1
39,1,0,13:12,1,0,36,0,3,11,6,0,0,9,36,26,5,52,40,23,47,10,6,29,1
40,1,0,13:01,13,1,23,52,2,0,0,0,0,9,36,26,4,52,40,23,47,10,6,29,1
41,1,0,12:55,6,1,23,36,3,0,0,0,0,9,36,26,4,52,40,23,47,10,6,29,1
42,1, ,12:55,3,9,0,0,0,0,0,0,0,9,36,26,4,52,40,47,10,6,29,1,0
43,1,-1,12:55,4,1,9,19,2,0,0,0,0,9,19,29,26,44,40,19,41,6,29,1,0
44,1,1,12:31,1,0,19,0,3,57,2,0,0,9,19,29,26,44,40,19,41,6,29,1,0
45,1,-1,11:50,8,1,12,0,2,0,0,0,0,9,19,29,26,44,40,12,20,3,77,1,0
46,1,-1,11:46,1,1,12,0,3,20,3,0,0,9,19,29,26,44,40,12,20,3,77,1,0
47,1, ,11:39,3,2,0,0,0,0,0,0,0,9,19,29,17,44,40,12,20,6,77,1,0
48,1,-1,11:39,4,1,55,19,1,0,0,0,0,55,13,17,52,57,40,19,41,6,29,1,0
49,1,-1,11:27,8,1,19,0,3,0,0,0,0,55,13,17,52,57,40,19,41,6,29,1,0
50,1,0,10:45,1,0,13,0,3,36,1,0,0,55,13,17,52,57,40,80,18,61,39,77,1
51,1, ,10:30,3,3,0,0,0,0,0,0,0,22,25,37,44,57,40,80,18,61,39,77,1
52,1,0,10:30,4,0,28,18,1,0,0,0,0,28,25,37,5,44,40,80,18,61,39,77,1
53,1,0,10:16,1,0,28,0,3,46,1,0,0,28,25,37,5,44,40,80,18,61,39,77,1
54,1,0,9:57,1,1,18,0,3,40,1,0,0,28,25,37,5,44,40,80,18,61,39,77,1
55,1, ,9:55,3,0,0,0,0,0,0,0,0,28,25,37,5,44,40,80,18,61,39,77,1
56,1,0,9:55,4,0,19,47,2,0,0,0,0,19,55,29,10,57,40,47,10,41,39,77,1
57,1,0,9:25,1,1,10,0,3,54,1,0,0,19,55,29,10,57,40,47,10,41,4,39,1
58,1,0,9:09,13,0,10,39,2,0,0,0,0,19,55,29,10,57,40,23,47,10,4,39,1
59,1, ,9:00,3,4,0,0,0,0,0,0,0,55,36,26,4,52,40,23,47,10,4,39,1
60,1,0,9:00,4,1,9,12,2,0,0,0,0,9,36,26,4,52,40,12,23,20,6,29,1
61,1,0,8:52,1,0,52,0,3,58,2,0,0,9,36,26,4,52,40,12,23,20,6,29,1
62,1,0,8:22,5,0,36,29,3,0,0,0,0,9,36,26,4,52,40,12,23,20,6,29,1
63,1, ,7:58,3,5,0,0,0,0,0,0,0,28,25,17,5,44,40,12,23,20,3,4,1
64,1,0,7:58,4,1,28,19,2,0,0,0,0,28,25,17,5,44,40,19,76,13,3,4,1
65,1,0,7:39,7,0,25,0,3,58,2,0,0,28,25,17,5,44,40,19,76,13,3,4,1
66,1,0,7:33,13,0,17,19,2,0,0,0,0,28,25,17,5,44,40,19,76,13,3,4,1
67,1,0,7:22,1,1,13,0,1,105,2,0,0,28,25,17,5,44,40,19,76,13,3,4,1
68,1, ,7:01,3,2,0,0,0,0,0,0,0,22,13,37,10,57,40,80,18,61,39,77,1
69,1,0,7:01,4,1,37,80,1,0,0,0,0,22,13,37,10,57,40,80,18,61,39,77,1
70,1,0,6:53,5,0,57,18,2,0,0,0,0,22,13,37,10,57,40,80,18,61,39,77,1
71,1, ,6:47,3,11,0,0,0,0,0,0,0,22,13,37,10,57,40,80,18,61,39,77,1
72,1,0,6:47,4,0,19,18,1,0,0,0,0,19,55,29,10,57,40,80,18,61,39,77,1
73,1,0,6:01,1,1,6,0,3,52,1,0,0,19,55,29,10,57,40,80,18,61,6,39,1
74,1, ,5:23,3,0,0,0,0,0,0,0,0,9,36,26,4,52,40,47,10,41,6,29,1
75,1,0,5:23,6,0,36,29,3,0,0,0,0,9,36,26,4,52,40,47,10,41,6,29,1
76,1,0,5:23,6,1,29,36,2,0,0,0,0,9,26,4,52,40,0,47,10,41,6,29,1
77,1,0,5:23,4,0,9,47,1,0,0,0,0,9,26,10,57,40,0,47,10,4,6,1,0
78,1,0,5:03,1,1,47,0,3,8,1,0,0,9,26,10,57,40,0,47,10,4,6,1,0
79,1, ,4:51,3,1,0,0,0,0,0,0,0,9,26,10,57,40,0,47,10,4,6,1,0
80,1,0,4:51,4,0,22,80,3,0,0,0,0,22,55,5,44,40,0,80,61,39,77,1,0
81,1,0,4:44,1,0,5,0,3,36,1,0,0,22,55,5,44,40,0,80,61,39,77,1,0
82,1,0,4:31,9,1,61,0,1,0,0,0,0,22,55,5,44,40,0,80,61,39,77,1,0
83,1,0,4:21,8,1,39,0,2,0,0,0,0,22,55,5,44,40,0,80,61,39,77,1,0
84,1,0,3:59,5,1,4,29,2,0,0,0,0,29,17,5,44,40,0,12,23,4,77,1,0
85,1,0,3:53,13,0,4,77,2,0,0,0,0,29,17,4,52,40,0,12,23,4,77,1,0
86,1,0,3:37,7,0,17,0,3,38,2,0,0,29,17,4,52,40,0,12,23,4,6,1,0
87,1,0,3:23,1,0,25,0,3,39,3,0,0,28,25,4,52,40,0,12,23,4,6,1,0
88,1,0,2:49,5,1,3,37,2,0,0,0,0,28,25,37,5,57,40,19,76,13,3,39,1
89,1,0,2:35,5,1,19,37,3,0,0,0,0,28,25,37,5,57,40,19,76,13,3,39,1
90,1,0,1:22,7,1,80,0,3,41,1,0,0,19,55,29,4,52,40,80,18,61,4,6,1
91,1,0,1:09,5,1,4,10,2,0,0,0,0,19,55,29,10,57,40,80,18,61,4,6,1
92,1,0,1:05,5,1,4,55,2,0,0,0,0,19,55,29,10,57,40,23,80,61,4,6,1
93,1,0,0:51,1,0,29,0,3,50,3,0,0,19,55,29,10,57,40,23,80,61,4,6,1
94,1,0,0:50,7,0,10,0,3,29,1,0,0,19,55,29,10,57,40,23,80,61,4,6,1
95,1,0,0:44,5,1,23,57,2,0,0,0,0,19,55,29,10,57,40,23,80,61,4,6,1
96,1,0,0:39,1,1,23,0,3,34,3,0,0,19,55,29,10,57,40,23,80,61,4,6,1
97,1, ,0:38,3,1,0,0,0,0,0,0,0,19,55,29,10,57,40,23,80,61,4,6,1
98,1,0,0:38,4,0,28,12,2,0,0,0,0,28,25,17,5,44,40,12,23,20,3,39,1
99,1,0,0:34,1,1,23,0,3,21,1,0,0,28,25,17,5,44,40,12,23,20,3,39,1
100,1,0,0:14,13,0,25,39,2,0,0,0,0,28,25,17,5,44,40,12,23,20,3,39,1
101,1, ,0:03,3,6,0,0,0,0,0,0,0,28,25,17,5,44,40,12,23,20,3,39,1
102,1,0,0:03,4,0,9,12,3,0,0,0,0,9,29,36,26,5,44,12,23,20,3,39,1
103,1,0,0:01,13,0,29,20,2,0,0,0,0,9,29,36,26,5,44,12,23,20,3,39,1
104,1, ,0:00,11,0,0,0,0,0,0,0,0,9,29,36,26,5,44,0,0,0,0,0,0
105,2, ,20:00,10,0,0,0,0,0,0,0,0,19,55,29,5,44,40,80,18,61,6,29,1
106,2,0,20:00,4,0,19,80,1,0,0,0,0,19,55,29,5,44,40,80,18,61,6,29,1
107,2,0,19:48,13,0,55,80,2,0,0,0,0,19,55,29,5,44,40,80,18,61,6,29,1
108,2, ,19:44,3,5,0,0,0,0,0,0,0,19,55,29,5,44,40,80,18,61,6,29,1
109,2,0,19:44,4,0,19,80,1,0,0,0,0,19,55,29,5,44,40,80,18,61,6,29,1
110,2,0,19:35,7,0,55,0,3,46,1,0,0,19,55,29,5,44,40,80,18,61,6,29,1
111,2,0,19:10,1,0,5,0,3,33,1,0,0,19,55,29,5,44,40,80,18,61,39,77,1
112,2, ,18:50,3,6,0,0,0,0,0,0,0,9,36,26,4,52,40,12,23,20,39,77,1
113,2,0,18:50,4,1,9,12,2,0,0,0,0,9,17,26,4,52,40,12,23,20,39,77,1
114,2,0,18:40,1,1,77,0,3,48,2,0,0,9,17,26,4,52,40,12,23,20,39,77,1
115,2,0,18:08,1,1,20,0,3,28,1,0,0,9,17,26,4,52,40,12,20,41,3,4,1
