# 2010/03/20 
# PHI , ATL 
# 2 , 5 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,18,12,13,20,25,33,12,23,20,6,29,1
2,1,0,20:00,4,1,18,12,1,0,0,0,0,18,12,13,20,25,33,12,23,20,6,29,1
3,1,0,19:47,13,0,18,29,2,0,0,0,0,18,12,13,20,25,33,12,23,20,6,29,1
4,1,0,19:47,9,1,6,0,1,0,0,0,0,18,12,13,20,25,33,12,23,20,6,29,1
5,1,0,19:42,1,0,18,0,3,20,5,0,0,18,12,13,20,25,33,12,23,20,6,29,1
6,1,0,19:38,7,0,12,0,3,35,1,0,0,18,12,13,20,25,33,12,23,20,6,29,1
7,1,0,19:35,5,1,23,20,2,0,0,0,0,18,12,13,20,25,33,12,23,20,6,29,1
8,1,0,19:21,6,1,23,13,1,0,0,0,0,18,12,13,20,25,33,12,23,20,6,39,1
9,1,0,19:21,6,0,13,23,2,0,0,0,0,18,12,13,20,25,33,12,20,6,39,1,0
10,1,0,19:21,4,1,11,19,1,0,0,0,0,11,36,14,2,44,33,19,76,36,3,4,1
11,1,0,19:09,5,1,36,36,3,0,0,0,0,11,36,19,2,44,33,19,76,36,3,4,1
12,1,0,18:58,1,1,76,0,3,24,3,0,0,17,36,19,2,44,33,19,76,36,3,4,1
13,1, ,18:57,3,1,0,0,0,0,0,0,0,17,36,19,2,44,33,19,76,36,39,77,1
14,1,0,18:57,4,1,11,80,3,0,0,0,0,11,36,14,5,77,33,80,18,61,3,4,1
15,1,0,18:44,5,0,11,3,1,0,0,0,0,11,36,14,5,77,33,80,18,61,3,4,1
16,1,0,18:28,8,0,36,0,3,0,0,0,0,11,36,14,5,20,33,80,18,61,3,4,1
17,1,0,18:13,1,1,18,0,3,9,5,0,0,11,36,14,5,20,33,80,18,61,39,77,1
18,1,0,18:12,2,1,18,0,3,9,1,61,80,11,36,14,5,20,33,80,18,61,39,77,1
19,1,0,18:12,4,0,17,47,1,0,0,0,0,17,48,19,2,44,33,47,10,41,39,77,1
20,1, ,18:03,3,3,0,0,0,0,0,0,0,17,48,19,2,44,33,47,10,41,39,77,1
21,1,0,18:03,4,0,17,47,1,0,0,0,0,17,48,19,2,44,33,47,10,41,39,77,1
22,1, ,17:52,3,1,0,0,0,0,0,0,0,17,48,19,2,44,33,47,10,41,39,77,1
23,1,0,17:52,4,0,28,20,3,0,0,0,0,28,21,22,20,25,33,12,20,76,39,77,1
