# 2010/03/21 
# T.B , FLA 
# 2 , 5 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,4,16,26,6,39,41,27,12,10,2,5,30
2,1,0,20:00,4,1,4,27,1,0,0,0,0,4,16,26,6,39,41,27,12,10,2,5,30
3,1,0,19:23,5,1,12,39,3,0,0,0,0,4,16,26,6,39,41,9,12,10,5,24,30
4,1,0,18:50,1,1,24,0,3,47,2,0,0,91,9,13,14,77,41,9,16,61,24,52,30
5,1, ,18:50,3,4,0,0,0,0,0,0,0,91,9,13,14,77,41,9,16,61,24,52,30
6,1,0,18:50,4,0,44,41,2,0,0,0,0,44,27,19,8,21,41,41,14,67,5,43,30
7,1,0,18:34,5,0,21,14,2,0,0,0,0,44,27,19,8,21,41,41,14,67,5,43,30
8,1,0,18:26,5,0,19,5,3,0,0,0,0,44,27,19,8,21,41,41,14,67,5,43,30
9,1,0,18:25,13,0,8,41,2,0,0,0,0,44,27,19,8,21,41,41,14,67,5,43,30
10,1,0,18:05,5,1,74,27,1,0,0,0,0,44,27,17,8,21,41,28,74,85,24,39,30
11,1,0,17:51,6,1,74,28,1,0,0,0,0,28,38,17,14,77,41,28,74,85,24,39,30
12,1,0,17:51,6,0,28,74,1,0,0,0,0,28,38,17,14,77,41,28,85,24,39,30,0
13,1,0,17:51,4,0,4,28,3,0,0,0,0,4,16,26,14,77,41,28,14,85,2,5,30
14,1,0,17:46,8,1,14,0,2,0,0,0,0,4,16,26,14,77,41,28,14,85,2,5,30
15,1,0,17:43,1,1,14,0,3,25,1,0,0,4,16,26,14,77,41,28,14,85,2,5,30
16,1,0,17:33,13,1,14,4,2,0,0,0,0,4,16,26,14,77,41,28,14,85,2,5,30
17,1,0,17:23,1,1,5,0,3,50,3,0,0,4,16,26,14,77,41,28,14,85,2,5,30
18,1, ,17:23,3,1,0,0,0,0,0,0,0,4,16,26,14,77,41,28,14,85,2,5,30
19,1,0,17:23,4,0,91,27,2,0,0,0,0,91,9,13,6,39,41,27,12,10,24,52,30
20,1,0,17:20,5,1,12,39,3,0,0,0,0,91,9,13,6,39,41,27,12,10,24,52,30
21,1,0,17:00,5,1,12,9,1,0,0,0,0,91,9,13,6,39,41,27,12,10,24,52,30
22,1, ,16:57,3,6,0,0,0,0,0,0,0,91,9,13,6,39,41,27,12,10,24,52,30
23,1,0,16:57,4,1,91,9,3,0,0,0,0,91,9,13,6,39,41,9,16,61,5,43,30
24,1,0,16:28,7,1,9,0,3,13,6,0,0,44,27,19,8,21,41,9,16,61,5,43,30
25,1,0,16:24,5,0,8,9,2,0,0,0,0,44,27,19,8,21,41,9,16,61,5,43,30
26,1, ,15:37,3,2,0,0,0,0,0,0,0,38,91,17,14,77,41,41,14,67,2,24,30
27,1,0,15:37,4,0,91,28,1,0,0,0,0,38,91,17,14,77,41,28,16,85,2,52,30
28,1,0,14:56,9,0,16,0,1,0,0,0,0,4,16,26,6,39,41,28,12,85,2,52,30
29,1,0,14:40,7,0,6,0,3,63,2,0,0,4,16,26,6,39,41,27,12,10,24,52,30
30,1,0,14:27,1,0,16,0,3,45,1,0,0,4,16,26,8,21,41,27,16,10,24,52,30
31,1,0,14:12,5,1,16,8,3,0,0,0,0,4,16,26,8,21,41,27,16,10,5,43,30
32,1,0,13:59,9,1,5,0,2,0,0,0,0,91,9,13,8,77,41,9,16,61,5,43,30
33,1,0,13:56,2,0,9,0,3,25,1,0,0,91,9,13,8,77,41,9,16,61,5,43,30
34,1,0,13:56,4,0,91,9,1,0,0,0,0,91,9,13,14,77,41,9,16,61,43,52,30
35,1,0,13:40,5,0,91,43,3,0,0,0,0,91,9,13,14,77,41,9,16,61,43,52,30
36,1,0,13:35,7,0,9,0,3,29,1,0,0,91,9,13,14,77,41,9,16,61,43,52,30
37,1, ,13:28,3,0,0,0,0,0,0,0,0,91,9,13,14,77,41,9,16,61,43,52,30
38,1,0,13:28,4,1,44,9,1,0,0,0,0,44,27,19,8,21,41,9,16,61,5,43,30
39,1,0,13:15,8,1,61,0,3,0,0,0,0,44,27,19,8,21,41,9,16,61,5,43,30
40,1,0,12:46,5,1,9,8,1,0,0,0,0,4,27,19,8,39,41,9,14,61,5,43,30
41,1,0,12:29,8,1,14,0,3,0,0,0,0,4,16,26,6,39,41,41,14,67,2,24,30
42,1, ,12:19,3,4,0,0,0,0,0,0,0,28,41,0,0,0,0,30,0,0,0,0,0
43,1,0,12:19,4,0,4,41,1,0,0,0,0,4,16,26,6,39,41,41,14,67,2,24,30
44,1,0,11:54,1,0,4,0,3,36,1,0,0,4,16,26,6,39,41,41,14,67,2,24,30
45,1,0,11:45,13,1,41,6,2,0,0,0,0,4,16,26,6,39,41,41,14,67,2,24,30
46,1,0,11:41,5,0,6,41,2,0,0,0,0,4,16,26,6,39,41,41,14,67,2,24,30
47,1,0,11:36,1,1,67,0,3,32,1,0,0,4,16,26,14,39,41,41,12,67,2,24,30
48,1,0,11:21,7,0,28,0,3,32,1,0,0,28,38,17,14,77,41,27,12,10,43,52,30
49,1, ,11:19,3,1,0,0,0,0,0,0,0,28,38,17,14,77,41,27,12,10,43,52,30
50,1,0,11:19,4,1,28,27,2,0,0,0,0,28,38,17,14,77,41,27,12,10,43,52,30
51,1,0,10:23,1,1,27,0,3,44,1,0,0,91,9,13,8,21,41,27,74,85,43,52,30
52,1,0,10:01,1,0,8,0,3,43,1,0,0,91,9,13,8,21,41,27,16,74,5,24,30
53,1,0,9:35,9,1,61,0,3,0,0,0,0,44,27,19,6,39,41,9,16,61,5,24,30
54,1,0,9:29,1,0,27,0,3,28,1,0,0,44,27,19,6,39,41,9,16,61,5,24,30
55,1, ,9:29,3,0,0,0,0,0,0,0,0,44,27,19,6,39,41,9,16,61,5,24,30
56,1,0,9:29,4,0,4,9,3,0,0,0,0,4,16,26,6,39,41,9,16,61,2,5,30
57,1,0,9:24,13,0,16,5,2,0,0,0,0,4,16,26,6,39,41,9,16,61,2,5,30
58,1,0,9:10,1,0,6,0,3,61,1,0,0,4,16,26,6,39,41,9,16,61,2,5,30
59,1, ,9:09,3,1,0,0,0,0,0,0,0,4,16,26,6,39,41,9,16,61,2,5,30
60,1,0,9:09,4,0,91,41,3,0,0,0,0,91,9,13,8,14,41,41,14,67,24,52,30
61,1,0,9:04,1,0,8,0,3,42,3,0,0,91,9,13,8,14,41,41,14,67,24,52,30
62,1,0,8:41,13,1,52,8,2,0,0,0,0,91,9,13,8,14,41,41,14,67,24,52,30
63,1,0,8:24,5,0,19,14,1,0,0,0,0,44,9,19,8,39,41,41,14,67,24,52,30
64,1,0,8:09,5,1,12,19,2,0,0,0,0,44,27,19,6,39,41,27,12,10,5,43,30
65,1,0,8:04,7,0,6,0,3,61,2,0,0,44,27,19,6,39,41,27,12,10,5,43,30
66,1,0,7:51,13,0,6,5,2,0,0,0,0,44,27,19,6,39,41,27,12,10,5,43,30
67,1,0,7:30,1,0,38,0,3,41,2,0,0,28,38,17,6,77,41,27,12,10,5,43,30
68,1,0,7:21,5,0,17,43,3,0,0,0,0,28,38,17,14,77,41,27,12,10,5,43,30
69,1,0,6:53,5,1,74,38,3,0,0,0,0,28,38,17,14,77,41,28,74,85,24,39,30
70,1,0,6:48,5,1,74,14,3,0,0,0,0,28,38,17,14,77,41,28,74,85,24,39,30
71,1,0,6:48,6,1,74,28,3,0,0,0,0,28,38,17,14,77,41,28,74,85,24,39,30
72,1,0,6:48,6,0,28,27,2,0,0,0,0,28,38,17,14,77,41,28,85,24,39,30,0
73,1,0,6:48,6,0,28,74,0,0,0,0,0,38,17,14,77,41,0,28,85,24,39,30,0
74,1,0,6:48,6,0,28,74,2,0,0,0,0,38,17,14,77,41,0,28,85,24,39,30,0
75,1,1,6:48,4,1,38,9,3,0,0,0,0,38,44,8,39,41,0,9,16,10,61,24,30
76,1,-1,6:39,13,1,9,39,2,0,0,0,0,38,44,8,39,41,0,9,16,10,61,24,30
77,1,1,6:00,7,1,61,0,3,34,3,0,0,91,26,8,77,41,0,9,16,10,61,24,30
78,1,1,5:48,2,1,16,0,3,44,2,61,9,91,26,8,77,41,0,9,16,10,61,24,30
79,1,0,5:48,4,1,4,67,1,0,0,0,0,4,16,17,6,39,41,41,14,67,2,5,30
80,1,0,5:23,1,1,2,0,3,45,2,0,0,4,16,17,6,39,41,41,14,67,2,5,30
81,1, ,5:23,3,0,0,0,0,0,0,0,0,4,16,17,6,39,41,41,14,67,2,5,30
82,1,0,5:23,4,0,4,28,2,0,0,0,0,4,16,26,6,39,41,28,16,85,2,5,30
83,1,0,4:51,1,0,4,0,3,33,1,0,0,4,16,26,6,39,41,28,16,85,2,5,30
84,1,0,4:45,1,1,85,0,3,44,1,0,0,4,16,26,6,39,41,28,16,85,24,43,30
85,1,0,4:21,6,0,13,0,0,0,0,0,0,91,9,13,8,21,41,27,12,10,24,43,30
86,1,1,4:21,4,1,44,27,3,0,0,0,0,38,44,8,21,41,0,27,67,10,24,43,30
87,1,1,4:04,5,1,24,44,2,0,0,0,0,38,44,8,21,41,0,27,67,10,24,43,30
88,1,1,3:43,1,1,43,0,3,58,2,0,0,38,19,8,21,41,0,27,67,10,24,43,30
89,1, ,3:43,3,1,0,0,0,0,0,0,0,38,19,8,21,41,0,27,67,10,24,43,30
90,1,-1,3:43,4,0,4,9,2,0,0,0,0,4,19,14,39,41,0,9,16,10,61,24,30
91,1,1,3:11,1,1,9,0,3,23,2,0,0,44,19,14,39,41,0,9,16,10,61,24,30
92,1,1,2:53,1,1,16,0,3,50,2,0,0,44,19,14,39,41,0,9,16,10,61,24,30
93,1, ,2:53,3,1,0,0,0,0,0,0,0,44,19,14,39,41,0,9,16,10,61,24,30
94,1,-1,2:53,4,0,4,9,2,0,0,0,0,4,38,8,21,41,0,9,16,85,2,43,30
95,1, ,2:42,3,4,0,0,0,0,0,0,0,44,19,8,21,41,0,9,16,85,2,43,30
96,1,1,2:42,4,1,44,27,1,0,0,0,0,44,19,8,21,41,0,27,12,10,2,43,30
97,1,0,2:18,2,1,10,0,3,11,5,12,2,91,9,13,8,21,41,27,12,10,2,43,30
98,1,0,2:18,4,1,91,41,1,0,0,0,0,91,9,13,6,39,41,41,14,67,24,43,30
99,1,0,1:57,1,0,9,0,3,32,1,0,0,91,9,13,6,39,41,41,14,67,24,43,30
100,1, ,1:55,3,1,0,0,0,0,0,0,0,91,9,13,6,39,41,41,14,67,24,43,30
101,1,0,1:55,4,1,4,9,2,0,0,0,0,4,16,26,6,39,41,9,16,61,2,5,30
102,1,0,1:32,2,1,61,0,3,14,6,16,0,4,16,26,6,39,41,9,16,61,2,5,30
103,1,0,1:32,4,1,44,28,1,0,0,0,0,44,27,19,14,77,41,28,14,85,24,52,30
104,1,0,1:05,1,1,85,0,3,31,1,0,0,44,27,19,14,77,41,28,14,85,24,52,30
105,1,0,1:00,5,0,14,85,2,0,0,0,0,44,27,19,14,77,41,28,14,85,24,52,30
106,1,0,0:29,5,0,8,27,1,0,0,0,0,91,9,13,8,21,41,27,12,10,5,24,30
107,1,0,0:00,6,1,10,9,2,0,0,0,0,91,9,13,6,39,41,27,12,10,5,24,30
108,1, ,0:00,11,0,0,0,0,0,0,0,0,91,9,13,6,39,41,27,12,5,24,30,0
109,2, ,20:00,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,2,-1,20:00,4,1,4,28,1,0,0,0,0,4,91,9,26,6,41,28,14,2,5,30,0
111,2,-1,19:25,13,0,6,14,2,0,0,0,0,4,91,9,26,6,41,28,14,2,5,30,0
112,2,1,18:50,1,0,6,0,3,45,2,0,0,4,91,9,26,6,41,9,16,24,52,30,0
113,2,1,18:48,1,0,4,0,3,8,5,0,0,4,91,9,26,6,41,9,16,24,52,30,0
114,2,1,18:18,1,0,16,0,3,39,3,0,0,91,16,27,13,6,41,28,14,2,5,30,0
115,2, ,18:17,3,1,0,0,0,0,0,0,0,91,16,27,13,6,41,28,14,2,5,30,0
116,2,-1,18:17,4,1,44,28,2,0,0,0,0,44,16,13,14,39,41,28,14,2,5,30,0
117,2,1,18:09,5,0,44,14,3,0,0,0,0,44,16,13,14,39,41,28,14,2,5,30,0
118,2,0,17:32,1,0,19,0,3,17,1,0,0,44,17,19,8,21,41,27,12,10,24,43,30
119,2,0,17:25,5,0,8,12,2,0,0,0,0,38,17,19,8,21,41,27,12,10,24,43,30
120,2,0,17:02,5,0,17,24,3,0,0,0,0,38,17,19,14,77,41,27,12,10,24,43,30
121,2,0,16:59,1,1,10,0,3,38,3,0,0,38,16,17,14,77,41,27,12,10,5,24,30
122,2,0,16:50,1,0,16,0,3,33,3,0,0,4,16,26,14,77,41,9,16,61,5,24,30
123,2,0,16:43,1,1,16,0,3,30,1,0,0,4,16,26,14,77,41,9,16,61,5,24,30
124,2,0,15:59,5,1,41,6,3,0,0,0,0,91,16,26,6,39,41,41,14,67,43,52,30
125,2,0,15:50,13,0,16,52,2,0,0,0,0,91,16,26,6,39,41,41,14,67,43,52,30
126,2,0,15:49,13,0,16,52,2,0,0,0,0,91,9,16,6,39,41,41,14,67,43,52,30
127,2,0,15:10,1,0,21,0,3,24,1,0,0,44,9,13,8,21,41,28,74,85,2,39,30
128,2, ,15:06,3,2,0,0,0,0,0,0,0,44,9,19,8,21,41,28,74,85,2,39,30
129,2,0,15:06,4,0,44,28,1,0,0,0,0,44,27,19,14,77,41,28,74,85,2,39,30
130,2,0,14:46,5,1,28,77,1,0,0,0,0,44,27,19,14,77,41,28,74,85,2,39,30
131,2,0,14:35,5,0,27,2,3,0,0,0,0,44,27,19,14,77,41,28,74,85,2,39,30
132,2,0,13:37,13,0,91,2,2,0,0,0,0,38,91,17,8,21,41,27,12,10,2,52,30
133,2,0,13:33,5,0,91,10,3,0,0,0,0,38,91,17,8,21,41,27,12,10,2,52,30
134,2,0,13:30,1,0,17,0,3,28,3,0,0,38,91,17,8,21,41,27,12,10,2,52,30
135,2,0,12:47,7,0,4,0,3,35,2,0,0,4,16,26,6,39,41,9,16,61,24,52,30
136,2,0,12:36,7,0,4,0,3,20,1,0,0,4,16,26,6,39,41,9,16,61,24,52,30
137,2,0,12:33,1,0,16,0,3,27,1,0,0,4,16,26,6,39,41,9,16,61,24,52,30
138,2,0,12:08,9,0,26,0,LOUIS Off. Zone,0,0,0,0,4,16,26,14,77,41,9,16,61,5,24,30
139,2,0,11:57,8,1,41,0,2,0,0,0,0,4,16,13,14,77,41,41,16,61,5,24,30
140,2,0,11:51,1,1,61,0,3,49,2,0,0,91,9,13,14,77,41,41,16,61,5,24,30
141,2,0,11:31,13,0,14,43,2,0,0,0,0,91,9,13,14,77,41,41,14,67,43,52,30
142,2,0,11:13,5,1,28,77,3,0,0,0,0,44,9,19,14,77,41,28,14,67,43,52,30
143,2,0,10:41,8,1,74,0,1,0,0,0,0,44,27,19,8,21,41,28,74,85,2,39,30
144,2,0,10:38,1,1,74,0,3,49,2,0,0,44,27,19,8,21,41,28,74,85,2,39,30
145,2, ,10:37,3,0,0,0,0,0,0,0,0,44,27,19,8,21,41,28,74,85,2,39,30
146,2,0,10:37,4,0,38,9,2,0,0,0,0,38,27,17,8,21,41,9,16,61,2,39,30
147,2,0,10:05,6,0,21,9,2,0,0,0,0,38,27,17,8,21,41,9,27,16,61,2,39
148,2,1,10:05,4,1,38,9,3,0,0,0,0,38,19,14,39,41,0,9,16,10,61,24,30
149,2,-1,9:54,13,1,24,38,2,0,0,0,0,38,19,14,39,41,0,9,16,10,61,24,30
150,2,-1,9:15,5,0,77,9,2,0,0,0,0,44,91,8,77,41,0,9,16,10,61,24,30
151,2,-1,8:59,13,1,16,8,2,0,0,0,0,44,91,8,77,41,0,9,16,10,61,24,30
152,2,1,8:58,1,1,9,0,3,29,1,0,0,44,91,8,77,41,0,9,16,10,61,24,30
153,2, ,8:57,3,4,0,0,0,0,0,0,0,44,91,8,77,41,0,9,16,10,61,24,30
154,2,1,8:57,7,1,9,0,3,32,1,0,0,44,91,8,77,41,0,9,16,10,61,24,30
155,2,1,8:57,4,1,4,27,3,0,0,0,0,4,38,14,39,41,0,27,12,67,2,43,30
156,2,1,8:45,1,1,67,0,3,40,1,0,0,4,38,14,39,41,0,27,12,67,2,43,30
157,2,1,8:36,1,1,2,0,3,58,2,0,0,4,38,14,39,41,0,27,12,67,2,43,30
158,2,1,8:24,7,1,27,0,3,31,1,0,0,4,38,14,39,41,0,27,12,67,2,43,30
159,2,1,8:05,1,1,27,0,3,27,1,0,0,26,13,8,77,41,0,27,12,67,2,43,30
160,2,0,7:22,13,0,26,14,2,0,0,0,0,28,26,13,6,39,41,41,14,85,5,24,30
161,2,0,6:50,13,0,13,2,2,0,0,0,0,91,26,13,14,77,41,28,67,74,2,43,30
162,2,0,6:36,1,0,14,0,3,56,2,0,0,91,9,17,14,77,41,28,67,74,2,43,30
163,2,0,6:32,5,0,77,74,3,0,0,0,0,91,9,17,14,77,41,28,67,74,2,43,30
164,2,0,6:24,7,0,77,0,3,56,2,0,0,91,9,17,14,77,41,28,67,74,2,43,30
165,2,0,6:18,5,1,74,17,2,0,0,0,0,91,9,17,14,77,41,28,67,74,2,43,30
166,2,0,6:12,5,0,77,43,3,0,0,0,0,91,9,17,14,77,41,28,67,74,2,43,30
167,2,0,5:48,13,0,8,52,2,0,0,0,0,44,27,19,8,21,41,9,16,61,5,52,30
168,2, ,5:38,3,0,0,0,0,0,0,0,0,44,27,19,8,21,41,9,16,61,5,52,30
169,2,0,5:38,1,0,21,0,3,51,1,0,0,44,27,19,8,21,41,9,16,61,5,52,30
170,2,0,5:38,4,1,4,9,2,0,0,0,0,4,16,26,6,39,41,9,16,61,2,5,30
171,2, ,5:14,3,2,0,0,0,0,0,0,0,4,16,26,6,39,41,9,16,61,2,5,30
172,2,0,5:14,4,1,91,27,1,0,0,0,0,91,9,13,14,77,41,27,12,10,24,52,30
173,2, ,4:59,3,3,0,0,0,0,0,0,0,91,9,13,14,77,41,27,12,10,24,52,30
174,2,0,4:59,4,0,44,27,2,0,0,0,0,44,27,19,8,21,41,27,12,10,24,52,30
175,2,0,4:42,8,1,27,0,2,0,0,0,0,44,27,19,8,21,41,27,12,10,24,52,30
176,2,0,4:20,5,0,27,24,3,0,0,0,0,91,27,19,6,39,41,41,14,67,24,52,30
177,2,0,3:55,5,0,91,5,3,0,0,0,0,91,27,13,6,39,41,41,14,67,5,43,30
178,2, ,3:11,3,6,0,0,0,0,0,0,0,28,9,17,14,77,41,9,16,61,5,43,30
179,2,0,3:11,4,0,28,9,3,0,0,0,0,28,38,17,14,77,41,9,16,61,5,43,30
180,2,0,3:08,1,0,14,0,3,50,1,0,0,28,38,17,14,77,41,9,16,61,5,43,30
181,2, ,2:06,3,0,0,0,0,0,0,0,0,4,16,26,8,21,41,28,14,10,2,52,30
182,2,0,2:06,4,0,4,27,1,0,0,0,0,4,16,26,6,39,41,27,12,10,5,24,30
183,2,0,1:38,5,1,24,26,2,0,0,0,0,4,16,26,6,21,41,27,12,10,5,24,30
184,2,0,1:02,5,1,16,21,1,0,0,0,0,4,9,26,6,21,41,9,16,61,2,52,30
185,2,0,0:42,1,0,8,0,3,58,1,0,0,91,9,13,8,14,41,9,16,61,2,52,30
186,2,0,0:32,13,1,61,8,2,0,0,0,0,91,9,13,8,14,41,9,16,61,2,52,30
187,2, ,0:00,11,0,0,0,0,0,0,0,0,44,9,19,14,77,41,41,14,67,2,5,30
188,3, ,20:00,10,0,0,0,0,0,0,0,0,4,26,27,6,39,41,0,0,0,0,0,0
189,3,0,20:00,4,1,4,9,1,0,0,0,0,4,26,27,6,39,41,9,16,61,2,5,30
190,3,0,19:29,5,0,39,9,2,0,0,0,0,4,26,27,6,39,41,9,16,61,2,5,30
191,3,0,19:11,6,1,5,26,2,0,0,0,0,4,26,27,6,21,41,9,16,61,2,5,30
192,3,0,19:11,1,0,4,0,3,19,1,0,0,4,26,27,6,21,41,9,16,61,2,30,0
193,3,1,19:11,4,0,91,27,3,0,0,0,0,91,9,16,13,6,41,27,14,24,52,30,0
194,3,1,19:04,7,0,6,0,3,63,1,0,0,91,9,16,13,6,41,27,14,24,52,30,0
195,3,1,18:56,7,0,91,0,3,59,2,0,0,91,9,16,13,6,41,27,14,24,52,30,0
196,3,-1,18:40,13,0,91,14,2,0,0,0,0,91,9,16,13,6,41,27,14,24,52,30,0
197,3,-1,18:24,13,0,91,27,2,0,0,0,0,91,9,16,13,6,41,27,85,24,52,30,0
198,3,-1,18:18,13,0,16,24,2,0,0,0,0,91,9,16,13,6,41,27,85,24,52,30,0
199,3,1,17:51,2,0,91,0,3,30,3,4,26,4,91,26,27,6,41,28,14,2,43,30,0
200,3,0,17:51,4,0,38,41,1,0,0,0,0,38,9,13,8,21,41,41,14,67,5,43,30
201,3,0,17:35,1,1,41,0,3,13,1,0,0,38,9,13,8,21,41,41,14,67,5,43,30
202,3,0,17:29,5,0,9,67,2,0,0,0,0,38,9,13,8,21,41,41,14,67,5,43,30
