# 2010/03/29 
# CAR , ATL 
# 4 , 1 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,12,13,26,25,27,30,80,10,18,6,29,1
2,1,0,20:00,4,0,12,80,1,0,0,0,0,12,13,26,25,27,30,80,10,18,6,29,1
3,1,0,19:37,13,0,13,6,2,0,0,0,0,12,13,26,25,27,30,80,10,18,6,29,1
4,1,0,19:33,1,0,27,0,3,53,1,0,0,12,13,26,25,27,30,80,10,18,6,29,1
5,1, ,19:32,3,1,0,0,0,0,0,0,0,12,13,26,25,27,30,80,10,18,6,29,1
6,1,0,19:32,4,1,16,47,2,0,0,0,0,16,59,36,28,33,30,47,61,41,39,77,1
7,1, ,19:24,3,11,0,0,0,0,0,0,0,16,59,36,28,33,30,47,61,41,39,77,1
8,1,0,19:24,4,1,16,47,1,0,0,0,0,16,59,36,28,33,30,47,61,41,39,77,1
9,1, ,19:04,3,6,0,0,0,0,0,0,0,16,59,36,28,33,30,47,61,41,39,77,1
10,1,0,19:04,4,0,16,23,2,0,0,0,0,16,59,36,28,33,30,23,20,42,3,4,1
11,1,0,18:46,8,0,11,0,1,0,0,0,0,16,59,11,28,33,30,23,20,42,3,4,1
12,1,0,18:44,1,0,11,0,3,34,1,0,0,16,59,11,28,33,30,23,20,42,3,4,1
13,1, ,18:43,3,1,0,0,0,0,0,0,0,16,59,11,28,33,30,23,20,42,3,4,1
14,1,0,18:43,4,1,39,19,2,0,0,0,0,39,11,21,5,44,30,19,27,76,39,77,1
15,1, ,18:11,3,6,0,0,0,0,0,0,0,39,11,21,5,44,30,19,27,76,39,77,1
16,1,0,18:11,4,0,17,19,3,0,0,0,0,17,29,14,28,33,30,19,27,76,39,77,1
17,1,0,17:51,5,1,76,28,1,0,0,0,0,17,29,14,28,33,30,19,27,76,6,29,1
18,1, ,17:48,3,2,0,0,0,0,0,0,0,17,29,14,28,33,30,19,27,76,6,29,1
19,1,0,17:48,4,0,12,80,1,0,0,0,0,12,13,26,25,27,30,80,10,18,6,29,1
20,1,0,17:33,1,0,27,0,3,62,3,0,0,12,13,26,25,27,30,80,10,18,6,29,1
21,1, ,17:31,3,1,0,0,0,0,0,0,0,12,13,26,25,27,30,80,10,18,6,29,1
22,1,0,17:31,4,0,12,80,3,0,0,0,0,12,13,26,25,27,30,80,10,18,6,29,1
23,1,0,17:22,13,0,26,29,2,0,0,0,0,12,13,26,25,27,30,80,10,18,6,29,1
24,1,0,16:37,9,1,4,0,1,0,0,0,0,16,59,36,5,44,30,47,61,41,3,4,1
25,1,0,16:05,1,1,4,0,3,57,2,0,0,16,59,36,5,44,30,47,61,41,4,39,1
26,1,0,15:42,5,0,27,23,1,0,0,0,0,39,11,21,25,27,30,23,20,42,39,77,1
27,1,0,15:36,5,1,20,39,3,0,0,0,0,39,11,21,25,27,30,23,20,42,39,77,1
28,1,0,14:36,8,1,76,0,3,0,0,0,0,17,29,14,5,44,30,19,27,76,3,4,1
29,1,0,14:17,5,0,44,27,2,0,0,0,0,12,14,26,5,44,30,19,27,76,6,29,1
30,1, ,13:59,3,6,0,0,0,0,0,0,0,12,13,26,5,44,30,19,27,76,6,29,1
31,1,0,13:59,4,1,12,19,2,0,0,0,0,12,13,26,25,28,30,19,27,76,6,29,1
32,1,0,13:54,5,1,76,28,2,0,0,0,0,12,13,26,25,28,30,19,27,76,6,29,1
33,1,0,13:24,5,0,26,18,2,0,0,0,0,12,13,26,25,28,30,80,10,18,6,29,1
34,1,0,13:13,8,1,6,0,2,0,0,0,0,12,13,26,25,28,30,80,10,18,6,29,1
35,1, ,13:12,3,0,0,0,0,0,0,0,0,12,13,36,25,28,30,80,10,18,6,29,1
36,1,0,13:12,4,0,16,80,1,0,0,0,0,16,59,36,27,33,30,80,18,61,39,77,1
37,1, ,13:04,3,2,0,0,0,0,0,0,0,16,59,36,27,33,30,80,18,61,39,77,1
38,1,0,13:04,4,0,16,80,1,0,0,0,0,16,59,36,27,33,30,80,18,61,39,77,1
39,1,0,12:50,9,0,59,0,3,0,0,0,0,16,59,36,25,27,30,80,18,61,39,77,1
40,1,0,12:32,13,1,61,27,2,0,0,0,0,16,59,36,25,27,30,80,18,61,39,77,1
41,1, ,12:31,3,4,0,0,0,0,0,0,0,16,59,36,25,27,30,80,18,61,39,77,1
42,1,0,12:31,4,1,12,47,3,0,0,0,0,12,13,26,25,28,30,47,27,41,6,29,1
43,1, ,12:16,3,2,0,0,0,0,0,0,0,12,13,26,25,28,30,47,27,41,6,29,1
44,1,0,12:16,4,0,12,47,1,0,0,0,0,12,13,26,25,28,30,47,27,41,6,29,1
45,1,0,12:05,5,0,12,6,3,0,0,0,0,12,13,26,25,28,30,47,27,41,6,29,1
46,1,0,12:01,1,0,25,0,3,57,2,0,0,12,13,26,25,28,30,47,27,41,6,29,1
47,1,0,11:32,13,0,12,6,2,0,0,0,0,12,13,26,25,28,30,47,27,41,6,29,1
48,1,0,11:31,6,1,27,12,2,0,0,0,0,12,13,26,25,28,30,47,27,41,6,29,1
49,1,1,11:31,4,0,16,19,3,0,0,0,0,16,14,21,27,33,30,19,23,3,77,1,0
50,1,1,11:20,7,0,21,0,3,53,2,0,0,16,14,21,27,33,30,19,23,3,77,1,0
51,1,-1,10:43,13,0,33,19,2,0,0,0,0,16,14,21,27,33,30,19,23,3,77,1,0
52,1, ,10:42,3,4,0,0,0,0,0,0,0,16,14,21,27,33,30,19,23,3,77,1,0
53,1,1,10:42,4,0,17,47,3,0,0,0,0,17,13,36,25,28,30,47,20,6,29,1,0
54,1,-1,10:16,13,0,28,20,2,0,0,0,0,17,13,36,25,28,30,47,20,6,29,1,0
55,1, ,10:15,3,3,0,0,0,0,0,0,0,17,13,36,25,28,30,47,20,6,29,1,0
56,1,1,10:15,4,0,17,10,3,0,0,0,0,17,13,36,25,28,30,10,41,6,29,1,0
57,1,1,10:07,1,0,25,0,3,57,2,0,0,17,13,36,25,28,30,10,41,6,29,1,0
58,1,1,9:17,1,0,13,0,3,39,2,0,0,17,13,36,25,28,30,10,41,6,29,1,0
59,1,1,9:07,7,0,36,0,3,27,3,0,0,17,13,36,25,28,30,10,41,6,29,1,0
60,1, ,9:06,3,4,0,0,0,0,0,0,0,17,13,36,25,28,30,10,41,6,29,1,0
61,1,1,9:06,4,0,16,19,1,0,0,0,0,12,16,14,25,28,30,19,23,3,77,1,0
62,1,1,8:43,1,0,16,0,3,37,3,0,0,12,16,14,25,28,30,19,23,3,77,1,0
63,1,1,8:24,1,0,12,0,3,40,2,0,0,12,16,14,25,28,30,19,23,3,77,1,0
64,1,-1,8:05,8,1,29,0,2,0,0,0,0,17,13,36,27,33,30,47,20,6,29,1,0
65,1,0,7:27,8,1,47,0,2,0,0,0,0,17,13,36,27,33,30,47,20,27,6,29,1
66,1,0,7:16,5,1,27,33,1,0,0,0,0,39,59,26,27,33,30,80,18,27,4,39,1
67,1,0,6:52,5,0,26,4,3,0,0,0,0,39,59,26,5,44,30,80,18,27,4,39,1
68,1,0,6:38,6,0,59,18,1,0,0,0,0,39,59,11,5,44,30,80,10,18,4,39,1
69,1, ,6:38,3,9,0,0,0,0,0,0,0,39,11,5,44,30,0,80,10,18,4,39,1
70,1,-1,6:38,4,0,16,10,2,0,0,0,0,16,26,25,27,30,0,80,10,18,39,77,1
71,1,1,5:54,2,1,80,0,3,11,1,18,10,29,39,5,44,30,0,80,10,18,39,77,1
72,1,0,5:54,4,1,16,47,1,0,0,0,0,16,59,36,28,33,30,47,61,41,3,4,1
73,1, ,5:39,3,1,0,0,0,0,0,0,0,16,59,36,28,33,30,47,61,41,3,4,1
74,1,0,5:39,4,0,12,47,2,0,0,0,0,12,13,26,25,27,30,47,61,41,6,29,1
75,1,0,5:29,5,0,26,29,3,0,0,0,0,12,13,26,25,27,30,47,61,41,6,29,1
76,1,0,5:25,1,0,12,0,3,30,1,0,0,12,13,26,25,27,30,47,61,41,6,29,1
77,1,0,4:39,5,1,4,59,2,0,0,0,0,16,59,36,28,33,30,23,20,42,3,4,1
78,1,0,4:32,9,1,23,0,2,0,0,0,0,16,59,36,28,33,30,23,20,42,3,4,1
79,1,0,4:29,9,1,3,0,2,0,0,0,0,16,59,36,28,33,30,23,20,42,3,4,1
80,1,0,4:25,13,0,28,23,2,0,0,0,0,16,59,36,28,33,30,23,20,42,3,4,1
81,1,0,3:52,5,0,44,20,3,0,0,0,0,39,11,21,5,44,30,23,20,42,39,77,1
