# 2010/04/08 
# BUF , BOS 
# 1 , 3 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,28,25,37,4,5,40,37,28,17,6,48,40
2,1,0,20:00,4,0,28,37,1,0,0,0,0,28,25,37,4,5,40,37,28,17,6,48,40
3,1,0,19:33,7,1,28,0,3,42,1,0,0,28,25,37,4,5,40,37,28,17,6,48,40
4,1,0,19:27,13,1,48,25,2,0,0,0,0,28,25,37,4,5,40,37,28,17,6,48,40
5,1,0,18:35,7,1,81,0,3,12,5,0,0,9,42,21,10,57,40,46,81,16,6,48,40
6,1, ,18:27,3,1,0,0,0,0,0,0,0,9,42,21,10,57,40,46,81,17,6,48,40
7,1,0,18:27,4,1,13,37,3,0,0,0,0,63,29,13,34,44,40,37,28,17,6,48,40
8,1,0,18:24,1,1,6,0,3,63,2,0,0,63,29,13,34,44,40,37,28,17,6,48,40
9,1, ,18:24,3,1,0,0,0,0,0,0,0,63,29,13,34,44,40,37,28,17,6,48,40
10,1,0,18:24,4,1,13,37,3,0,0,0,0,63,29,13,34,44,40,37,28,17,6,48,40
11,1,0,18:20,7,1,37,0,3,26,2,0,0,63,29,13,34,44,40,37,28,17,6,48,40
12,1,0,18:05,5,1,17,44,3,0,0,0,0,63,29,13,34,44,40,37,28,17,6,48,40
13,1,0,17:59,6,0,34,37,2,0,0,0,0,63,29,13,34,44,40,37,28,17,6,48,40
14,1,1,17:59,4,1,28,46,3,0,0,0,0,28,25,10,57,40,0,46,26,17,33,55,40
15,1,1,17:46,9,1,46,0,3,0,0,0,0,28,25,10,57,40,0,46,26,17,33,55,40
16,1,-1,17:33,8,0,28,0,1,0,0,0,0,28,25,10,57,40,0,46,26,17,33,55,40
17,1,-1,16:53,7,0,29,0,3,48,3,0,0,9,29,4,5,40,0,46,26,17,33,55,40
18,1,1,16:20,5,1,16,37,3,0,0,0,0,25,37,4,5,40,0,37,28,16,6,48,40
19,1, ,16:15,3,2,0,0,0,0,0,0,0,25,37,4,5,40,0,37,28,16,6,48,40
20,1,-1,16:15,4,0,22,73,1,0,0,0,0,22,37,4,5,40,0,60,73,20,6,48,40
21,1,0,15:53,5,1,60,5,3,0,0,0,0,22,37,4,5,34,40,60,73,20,6,48,40
22,1,0,15:41,1,0,37,0,1,73,3,0,0,22,21,37,4,5,40,60,73,20,6,48,40
23,1,0,15:09,1,1,33,0,3,66,2,0,0,9,21,17,34,44,40,37,28,17,33,55,40
24,1,0,15:01,1,1,33,0,3,61,3,0,0,9,21,17,34,44,40,37,28,17,33,55,40
25,1,0,14:53,1,0,21,0,3,50,3,0,0,9,21,17,10,57,40,37,28,17,33,55,40
26,1, ,14:34,3,2,0,0,0,0,0,0,0,63,29,13,10,57,40,46,81,16,48,54,40
27,1,0,14:34,4,1,13,46,1,0,0,0,0,63,29,13,10,57,40,46,81,16,6,48,40
28,1,0,14:09,9,1,81,0,3,0,0,0,0,63,29,13,10,57,40,46,81,16,6,48,40
29,1,0,14:01,8,0,13,0,2,0,0,0,0,63,29,13,10,57,40,46,81,16,6,48,40
30,1,0,13:35,8,1,54,0,2,0,0,0,0,22,12,17,34,44,40,81,20,27,33,54,40
31,1, ,13:08,3,0,0,0,0,0,0,0,0,28,25,37,4,5,40,20,22,27,33,54,40
32,1,0,13:08,4,1,9,37,1,0,0,0,0,9,42,21,4,5,40,37,28,17,33,55,40
33,1, ,12:49,3,6,0,0,0,0,0,0,0,9,42,21,4,5,40,37,28,17,33,55,40
34,1,0,12:49,4,0,42,28,2,0,0,0,0,9,42,21,4,5,40,37,28,17,33,55,40
35,1,0,12:22,1,1,37,0,3,30,1,0,0,9,42,21,4,5,40,37,28,17,33,55,40
36,1, ,12:22,3,1,0,0,0,0,0,0,0,28,25,37,10,57,40,37,28,17,33,55,40
37,1,0,12:22,4,0,28,60,2,0,0,0,0,28,25,37,10,57,40,60,26,73,6,65,40
38,1, ,12:10,3,2,0,0,0,0,0,0,0,28,25,37,10,57,40,60,26,73,6,65,40
39,1,0,12:10,4,1,22,60,1,0,0,0,0,22,12,17,10,57,40,60,26,73,6,65,40
40,1,0,11:47,9,0,10,0,2,0,0,0,0,22,12,17,10,57,40,60,26,73,6,65,40
41,1,0,11:47,5,0,22,73,2,0,0,0,0,22,12,17,10,57,40,60,26,73,6,65,40
42,1,0,11:46,13,1,60,10,2,0,0,0,0,22,12,17,10,57,40,60,26,73,6,65,40
43,1, ,11:46,3,4,0,0,0,0,0,0,0,22,12,17,10,57,40,60,26,73,6,65,40
44,1,0,11:46,4,0,9,37,2,0,0,0,0,9,42,21,34,44,40,37,28,17,6,48,40
45,1, ,11:11,3,1,0,0,0,0,0,0,0,63,29,13,4,5,40,46,81,16,33,55,40
46,1,0,11:11,4,1,29,46,2,0,0,0,0,63,29,13,4,5,40,46,81,16,33,55,40
47,1,0,11:02,7,1,46,0,3,11,3,0,0,63,29,13,4,5,40,46,81,16,33,55,40
48,1,0,10:55,5,1,33,29,3,0,0,0,0,63,29,13,4,5,40,46,81,16,33,55,40
49,1, ,10:46,3,11,0,0,0,0,0,0,0,63,29,13,4,5,40,46,81,16,33,55,40
50,1,0,10:46,4,0,28,46,3,0,0,0,0,28,25,37,10,57,40,46,81,16,33,55,40
51,1,0,10:19,5,0,28,33,3,0,0,0,0,28,25,37,10,57,40,46,81,16,33,55,40
52,1,0,9:56,1,1,27,0,3,52,1,0,0,22,12,17,10,57,40,81,20,27,48,55,40
53,1,0,9:55,5,1,20,17,1,0,0,0,0,22,12,17,10,57,40,20,22,27,48,54,40
54,1,0,9:45,7,1,22,0,3,14,5,0,0,22,12,17,10,57,40,20,22,27,48,54,40
55,1,0,9:39,7,1,27,0,3,15,5,0,0,22,12,17,10,57,40,20,22,27,48,54,40
56,1,0,9:33,5,1,27,12,3,0,0,0,0,22,12,17,10,57,40,20,22,27,48,54,40
57,1,0,9:22,8,0,10,0,2,0,0,0,0,22,12,17,10,57,40,20,22,27,48,54,40
58,1,0,9:14,5,1,22,12,3,0,0,0,0,22,12,17,10,57,40,20,22,27,48,54,40
59,1,0,9:09,1,1,20,0,3,50,1,0,0,9,42,21,34,44,40,20,22,27,48,54,40
60,1,0,9:00,2,0,9,0,3,18,1,42,21,9,42,21,34,44,40,37,20,22,6,48,40
61,1,0,9:00,4,1,13,60,1,0,0,0,0,63,29,13,34,44,40,60,26,73,6,33,40
62,1,0,8:50,7,1,73,0,3,21,1,0,0,63,29,13,34,44,40,60,26,73,6,33,40
63,1,0,8:40,6,0,63,33,3,0,0,0,0,63,29,13,34,44,40,60,26,73,6,33,40
64,1, ,8:40,3,9,0,0,0,0,0,0,0,29,13,34,44,40,0,60,26,73,6,33,40
65,1,1,8:40,4,1,28,37,3,0,0,0,0,28,25,10,57,40,0,37,28,81,6,48,40
66,1, ,8:07,3,3,0,0,0,0,0,0,0,28,25,10,57,40,0,37,28,81,6,48,40
67,1,1,8:07,4,1,9,46,1,0,0,0,0,9,29,4,5,40,0,46,26,17,33,55,40
68,1,1,7:46,7,1,33,0,3,48,3,0,0,9,29,4,5,40,0,46,26,17,33,55,40
69,1,1,7:40,1,1,33,0,3,54,3,0,0,9,29,4,5,40,0,46,26,17,33,55,40
70,1,1,7:07,1,1,33,0,3,56,2,0,0,9,29,4,5,40,0,46,26,17,33,55,40
71,1,1,6:55,7,1,55,0,3,61,2,0,0,9,29,4,5,40,0,46,26,17,33,55,40
72,1,0,6:38,5,0,5,55,2,0,0,0,0,9,63,29,4,5,40,46,26,17,33,55,40
73,1, ,6:36,3,10,0,0,0,0,0,0,0,9,63,29,4,5,40,46,26,17,33,55,40
74,1,0,6:36,4,0,22,60,1,0,0,0,0,22,12,17,34,44,40,60,73,16,48,54,40
75,1,0,6:27,1,0,17,0,3,35,3,0,0,22,12,17,34,44,40,60,73,16,48,54,40
76,1,0,6:20,5,0,12,48,3,0,0,0,0,22,12,17,34,44,40,60,73,16,48,54,40
77,1,0,6:13,1,0,34,0,3,63,3,0,0,22,12,17,34,44,40,60,73,16,48,54,40
78,1,0,6:03,13,0,17,54,2,0,0,0,0,22,12,17,34,44,40,60,73,16,48,54,40
79,1,0,5:34,9,0,42,0,1,0,0,0,0,9,42,21,10,57,40,37,28,17,33,55,40
80,1,0,5:17,9,0,57,0,2,0,0,0,0,9,42,21,10,57,40,37,28,17,33,55,40
81,1,0,5:13,1,1,33,0,3,53,3,0,0,9,42,21,10,57,40,37,28,17,33,55,40
82,1, ,5:13,3,0,0,0,0,0,0,0,0,9,42,21,10,57,40,37,28,17,33,55,40
83,1,0,5:13,4,1,28,27,3,0,0,0,0,28,25,37,4,5,40,20,22,27,6,65,40
84,1,0,5:07,7,1,27,0,3,31,1,0,0,28,25,37,4,5,40,20,22,27,6,65,40
85,1,0,4:40,13,0,5,6,2,0,0,0,0,28,25,37,4,5,40,20,22,27,6,65,40
86,1,0,4:31,1,1,20,0,3,22,1,0,0,28,25,37,4,5,40,20,22,27,6,65,40
87,1,0,4:19,6,1,22,28,3,0,0,0,0,28,25,37,4,5,40,20,22,27,6,48,40
88,1,1,4:19,4,0,9,37,3,0,0,0,0,9,63,21,29,5,40,37,16,33,55,40,0
89,1,1,4:11,7,0,9,0,3,13,6,0,0,9,63,21,29,5,40,37,16,33,55,40,0
90,1,-1,3:33,13,0,63,37,2,0,0,0,0,9,63,21,29,57,40,37,20,33,55,40,0
91,1, ,3:33,3,4,0,0,0,0,0,0,0,28,42,12,17,57,40,20,27,6,48,40,0
92,1,1,3:33,4,0,28,27,3,0,0,0,0,28,42,12,17,57,40,46,27,6,48,40,0
93,1,1,3:05,7,0,57,0,3,64,2,0,0,28,42,12,17,57,40,20,27,6,48,40,0
94,1,-1,2:52,5,1,27,12,2,0,0,0,0,28,42,12,17,57,40,26,27,6,33,40,0
95,1,1,2:45,1,0,17,0,3,48,1,0,0,28,42,12,17,57,40,46,26,6,33,40,0
96,1,1,2:24,6,0,42,46,1,0,0,0,0,28,42,12,17,57,40,46,26,33,55,40,0
97,1,0,2:24,4,1,9,28,3,0,0,0,0,9,25,4,5,40,0,37,28,6,48,40,0
98,1,-1,2:12,13,1,48,9,2,0,0,0,0,9,25,4,5,40,0,37,28,22,6,48,40
99,1, ,1:53,3,2,0,0,0,0,0,0,0,9,25,4,5,40,0,37,28,81,6,48,40
100,1,1,1:53,4,1,13,37,1,0,0,0,0,29,13,10,57,40,0,37,28,81,6,48,40
101,1,-1,1:14,5,0,57,81,2,0,0,0,0,29,13,10,57,40,0,37,28,81,33,48,40
102,1, ,0:17,3,6,0,0,0,0,0,0,0,28,42,25,10,57,40,46,26,17,33,55,40
103,1,0,0:17,4,1,28,60,3,0,0,0,0,28,42,25,10,57,40,60,73,16,33,55,40
