# 2010/04/11 
# PIT , NYI 
# 6 , 5 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,71,87,9,3,55,1,51,28,26,2,47,30
2,1,0,20:00,4,1,87,51,1,0,0,0,0,71,87,9,3,55,1,51,28,26,2,47,30
3,1,0,19:43,9,0,9,0,1,0,0,0,0,71,87,9,3,55,1,51,28,26,2,47,30
4,1,0,19:36,1,0,87,0,3,15,1,0,0,71,87,9,3,55,1,51,28,26,2,47,30
5,1,0,19:33,1,0,71,0,3,53,2,0,0,71,87,9,3,55,1,51,28,26,2,47,30
6,1, ,19:32,3,1,0,0,0,0,0,0,0,71,87,9,3,55,1,59,91,21,8,38,30
7,1,0,19:32,4,1,11,91,2,0,0,0,0,11,48,56,7,58,1,59,91,21,8,38,30
8,1, ,19:24,3,10,0,0,0,0,0,0,0,11,48,56,7,58,1,59,91,21,8,38,30
9,1,0,19:24,4,0,11,91,1,0,0,0,0,11,48,56,7,58,1,59,91,21,8,38,30
10,1, ,19:13,3,10,0,0,0,0,0,0,0,11,48,56,7,58,1,59,91,21,8,38,30
11,1,0,19:13,4,0,11,51,1,0,0,0,0,11,48,56,7,58,1,51,7,16,8,38,30
12,1,0,19:04,1,1,7,0,3,43,1,0,0,11,48,56,7,58,1,51,7,16,8,38,30
13,1,0,18:50,5,1,8,56,2,0,0,0,0,11,48,56,7,58,1,51,7,16,8,38,30
14,1,0,18:42,5,0,56,8,3,0,0,0,0,11,48,56,4,7,1,51,7,16,8,38,30
15,1,0,18:29,1,1,38,0,3,45,2,0,0,25,13,26,4,74,1,10,40,16,8,38,30
16,1,0,18:27,7,1,38,0,3,39,3,0,0,25,13,26,4,74,1,10,40,16,8,38,30
17,1,0,18:15,1,0,25,0,3,24,3,0,0,25,13,26,4,74,1,10,40,14,38,42,30
18,1,0,17:50,9,0,26,0,3,0,0,0,0,25,13,26,4,74,1,10,40,14,38,42,30
19,1, ,17:20,3,2,0,0,0,0,0,0,0,17,27,28,3,55,1,91,21,26,2,47,30
20,1,0,17:20,4,1,87,91,1,0,0,0,0,71,87,9,3,55,1,91,21,26,2,47,30
21,1, ,17:14,3,3,0,0,0,0,0,0,0,71,87,9,3,55,1,91,21,26,2,47,30
22,1,0,17:14,4,0,87,91,1,0,0,0,0,71,87,9,3,55,1,91,21,26,2,47,30
23,1,0,17:00,8,1,26,0,1,0,0,0,0,71,87,9,3,55,1,91,21,26,2,47,30
24,1,0,16:52,1,0,3,0,3,67,2,0,0,71,87,9,3,55,1,91,21,26,2,47,30
25,1,0,16:51,2,0,71,0,3,13,1,3,87,71,87,9,3,55,1,91,21,26,2,47,30
26,1,0,16:51,4,0,27,51,1,0,0,0,0,17,27,28,7,58,1,51,7,15,8,38,30
27,1,0,16:36,5,1,8,17,1,0,0,0,0,17,27,28,7,58,1,51,7,15,8,38,30
28,1,0,16:30,6,0,27,30,0,0,0,0,0,17,27,28,7,58,1,51,7,15,8,38,30
29,1,-1,16:30,4,0,11,91,2,0,0,0,0,11,25,7,58,1,0,51,91,21,26,2,30
30,1,1,16:05,1,1,51,0,3,11,5,0,0,11,25,7,58,1,0,51,91,21,26,2,30
31,1,1,15:54,9,1,21,0,3,0,0,0,0,11,25,7,58,1,0,51,91,21,26,2,30
32,1,-1,15:36,5,0,74,21,2,0,0,0,0,87,9,4,74,1,0,51,91,21,26,2,30
33,1,-1,15:06,8,0,9,0,2,0,0,0,0,87,9,4,74,1,0,51,91,21,26,2,30
34,1, ,14:40,3,5,0,0,0,0,0,0,0,11,25,3,55,1,0,7,10,16,38,47,30
35,1,1,14:40,4,1,71,10,2,0,0,0,0,71,26,3,55,1,0,7,10,16,38,47,30
36,1,0,14:23,5,0,55,38,2,0,0,0,0,71,27,26,3,55,1,7,10,16,38,47,30
37,1,0,14:04,8,1,7,0,3,0,0,0,0,71,13,26,3,55,1,7,10,16,8,38,30
38,1,0,13:58,13,1,7,71,2,0,0,0,0,71,13,26,3,55,1,7,10,16,8,38,30
39,1, ,13:57,3,0,0,0,0,0,0,0,0,71,13,26,3,55,1,7,10,16,8,38,30
40,1,0,13:57,4,0,87,59,2,0,0,0,0,17,87,27,3,55,1,59,40,14,42,44,30
41,1,0,13:55,6,1,40,17,3,0,0,0,0,17,87,27,3,55,1,59,40,14,42,44,30
42,1,1,13:55,4,0,87,59,2,0,0,0,0,17,87,27,3,55,1,59,28,14,42,44,30
43,1,1,13:55,6,0,17,40,2,0,0,0,0,17,87,27,3,55,1,59,28,14,42,44,30
44,1,0,13:43,5,1,28,55,3,0,0,0,0,87,27,28,3,55,1,59,28,14,42,44,30
45,1,0,13:27,7,0,55,0,3,43,2,0,0,87,27,28,3,55,1,59,28,14,42,44,30
