# 2010/05/21 
# S.J , CHI 
# 2 , 3 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,19,39,16,4,44,20,36,32,16,2,7,31
2,1,0,20:00,4,0,19,36,1,0,0,0,0,19,39,16,4,44,20,36,32,16,2,7,31
3,1, ,19:49,3,6,0,0,0,0,0,0,0,19,39,16,4,44,20,36,32,16,2,7,31
4,1,0,19:49,4,1,19,19,3,0,0,0,0,19,39,16,4,44,20,19,33,88,2,7,31
5,1,0,19:44,7,1,2,0,3,62,2,0,0,19,39,16,4,44,20,19,33,88,2,7,31
6,1,0,19:38,1,0,19,0,3,37,2,0,0,19,39,16,4,44,20,19,33,88,2,7,31
7,1,0,19:37,5,1,33,39,3,0,0,0,0,19,39,16,4,44,20,19,33,88,2,7,31
8,1,0,19:21,5,0,4,88,2,0,0,0,0,19,39,16,4,44,20,19,33,88,2,51,31
9,1,0,18:54,5,0,29,16,2,0,0,0,0,12,27,29,3,22,20,36,32,16,4,51,31
10,1,0,18:48,1,1,36,0,3,20,1,0,0,12,27,29,3,22,20,36,32,16,4,51,31
11,1,0,18:44,6,1,36,20,3,0,0,0,0,12,27,29,3,22,20,36,32,16,4,51,31
12,1,1,18:44,4,0,19,19,3,0,0,0,0,8,12,19,15,22,20,19,81,4,5,31,0
13,1,1,18:26,7,0,12,0,3,45,2,0,0,8,12,19,15,22,20,19,81,4,5,31,0
14,1,1,18:19,1,0,8,0,3,10,1,0,0,8,12,19,15,22,20,19,81,4,5,31,0
15,1,1,18:14,1,0,15,0,3,8,1,0,0,8,12,19,15,22,20,10,32,2,5,31,0
16,1,1,18:10,1,0,12,0,3,29,1,0,0,8,12,19,15,22,20,10,32,2,5,31,0
17,1, ,18:09,3,0,0,0,0,0,0,0,0,17,21,64,4,44,20,36,32,16,2,5,31
18,1,0,18:09,4,1,19,19,1,0,0,0,0,8,12,19,15,22,20,19,81,88,4,5,31
19,1,0,17:07,1,0,8,0,3,37,2,0,0,8,12,19,15,22,20,11,10,22,2,7,31
20,1,0,16:51,7,0,19,0,3,36,3,0,0,8,12,19,15,22,20,11,10,22,2,7,31
21,1,0,16:10,8,1,19,0,2,0,0,0,0,27,16,29,7,40,20,19,81,88,4,51,31
22,1,0,16:05,1,1,81,0,3,15,6,0,0,27,16,29,44,60,20,19,81,88,4,51,31
23,1,0,16:00,1,1,4,0,3,53,2,0,0,27,16,29,44,60,20,19,81,88,4,51,31
24,1, ,16:00,3,1,0,0,0,0,0,0,0,27,16,29,44,60,20,19,81,88,4,51,31
25,1,0,16:00,4,1,21,10,3,0,0,0,0,19,21,64,3,22,20,10,33,55,2,7,31
26,1,0,15:53,5,1,33,3,3,0,0,0,0,19,21,64,3,22,20,10,33,55,2,7,31
27,1,0,15:40,9,0,64,0,2,0,0,0,0,19,21,64,3,22,20,10,33,55,2,7,31
28,1,0,15:34,13,1,2,21,2,0,0,0,0,19,21,64,3,22,20,10,33,55,2,7,31
29,1,0,15:30,5,1,55,21,3,0,0,0,0,19,21,64,3,22,20,10,33,55,2,7,31
30,1,0,15:20,5,1,10,3,3,0,0,0,0,17,21,15,3,22,20,10,33,55,4,51,31
31,1,0,15:12,5,0,21,51,3,0,0,0,0,17,21,15,4,44,20,10,33,16,4,51,31
32,1, ,15:11,3,6,0,0,0,0,0,0,0,17,21,15,4,44,20,10,33,16,4,51,31
33,1,0,15:11,4,1,8,36,2,0,0,0,0,8,17,15,7,40,20,36,33,16,4,51,31
34,1,0,15:01,13,0,7,36,2,0,0,0,0,8,17,15,7,40,20,36,33,16,4,51,31
35,1,0,14:51,5,1,33,40,2,0,0,0,0,8,17,15,7,40,20,36,33,16,4,51,31
36,1,0,14:49,5,0,17,4,3,0,0,0,0,8,17,15,7,40,20,36,32,16,4,51,31
37,1, ,14:48,3,3,0,0,0,0,0,0,0,12,27,29,4,44,20,36,32,16,4,51,31
38,1,0,14:48,4,1,27,19,1,0,0,0,0,12,27,29,4,44,20,19,33,88,5,51,31
39,1,0,14:40,5,0,4,33,2,0,0,0,0,12,27,29,4,44,20,19,33,88,5,51,31
40,1,0,14:25,1,1,10,0,3,59,2,0,0,12,27,29,4,44,20,19,10,33,88,5,51
41,1,0,14:25,6,0,29,33,1,0,0,0,0,12,27,29,4,44,20,19,10,33,88,5,51
42,1,-1,14:25,4,0,12,19,2,0,0,0,0,8,12,4,44,20,0,19,10,33,88,2,31
43,1,1,14:07,9,1,10,0,2,0,0,0,0,8,12,4,44,20,0,19,10,33,88,2,31
44,1,-1,13:37,13,1,88,44,2,0,0,0,0,8,17,4,44,20,0,19,10,33,88,2,31
45,1,1,13:30,13,0,8,2,2,0,0,0,0,8,17,22,44,20,0,19,10,33,88,2,31
46,1,-1,13:22,13,1,2,22,2,0,0,0,0,8,17,22,44,20,0,19,10,22,88,2,31
47,1,1,13:09,8,1,19,0,3,0,0,0,0,8,17,22,44,20,0,19,22,88,2,51,31
48,1,1,12:40,5,1,7,15,2,0,0,0,0,19,15,3,22,20,0,22,32,81,7,51,31
49,1,0,12:19,1,1,7,0,3,57,1,0,0,19,15,29,3,22,20,22,32,81,7,51,31
50,1, ,12:19,3,0,0,0,0,0,0,0,0,19,15,29,3,22,20,22,32,81,7,51,31
51,1,0,12:19,4,1,27,11,3,0,0,0,0,12,27,29,3,22,20,11,37,55,5,6,31
52,1,0,12:14,1,1,5,0,3,55,2,0,0,12,27,29,3,22,20,11,37,55,5,6,31
