# 2010/10/08 
# MIN , CAR 
# 1 , 2 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,9,20,15,8,55,32,12,59,26,25,77,30
2,1,0,20:00,4,1,9,12,1,0,0,0,0,9,20,15,8,55,32,12,59,26,25,77,30
3,1,0,19:34,5,0,55,59,2,0,0,0,0,9,20,15,8,55,32,12,59,26,25,77,30
4,1, ,19:27,3,8,0,0,0,0,0,0,0,9,20,15,8,55,32,16,59,26,25,77,30
5,1,0,19:27,4,0,11,53,2,0,0,0,0,11,12,23,4,5,32,53,15,36,33,44,30
6,1,0,19:14,5,0,23,44,3,0,0,0,0,11,12,23,4,5,32,53,15,36,33,44,30
7,1,0,18:36,7,1,15,0,2,13,5,0,0,11,22,24,4,5,32,16,53,15,4,6,30
8,1,0,18:20,5,1,21,4,3,0,0,0,0,7,22,24,4,5,32,16,39,21,4,6,30
9,1, ,18:10,3,6,0,0,0,0,0,0,0,7,22,24,25,41,32,16,39,21,4,6,30
10,1,0,18:10,4,1,7,16,3,0,0,0,0,7,22,24,25,41,32,16,39,21,4,6,30
11,1,0,17:58,7,0,7,0,3,10,1,0,0,7,22,24,25,41,32,16,39,21,4,6,30
12,1,0,17:43,13,1,21,41,2,0,0,0,0,7,22,24,25,41,32,22,39,21,25,77,30
13,1,0,17:32,1,0,22,0,3,46,1,0,0,7,22,24,25,41,32,8,22,39,25,77,30
14,1,0,17:24,1,1,22,0,3,43,2,0,0,7,17,22,8,55,32,8,22,29,25,77,30
15,1,0,16:56,13,0,17,22,2,0,0,0,0,17,21,48,8,55,32,8,22,29,25,77,30
16,1,0,16:53,1,0,48,0,3,24,1,0,0,17,21,48,8,55,32,8,22,29,25,77,30
17,1,0,16:52,1,0,48,0,3,10,1,0,0,17,21,48,8,55,32,8,22,29,25,77,30
18,1, ,16:51,3,1,0,0,0,0,0,0,0,17,21,48,8,55,32,8,22,29,25,77,30
19,1,0,16:51,4,0,9,12,3,0,0,0,0,9,20,15,8,55,32,12,59,26,6,33,30
20,1,0,16:48,7,0,8,0,3,54,3,0,0,9,20,15,8,55,32,12,59,26,6,33,30
21,1,0,16:36,13,0,55,33,2,0,0,0,0,9,20,15,8,55,32,12,59,26,6,33,30
22,1,0,16:34,1,0,9,0,3,17,6,0,0,9,20,15,8,55,32,12,59,26,6,33,30
23,1,0,16:10,5,1,6,4,2,0,0,0,0,9,20,15,4,5,32,12,59,26,6,33,30
24,1,0,16:07,1,0,9,0,3,38,3,0,0,9,20,15,4,5,32,12,59,26,6,33,30
25,1,0,15:56,1,0,9,0,3,6,6,0,0,9,20,15,4,5,32,12,59,26,6,33,30
