# 2010/10/15 
# NYI , PIT 
# 2 , 3 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,28,16,26,4,24,39,25,48,24,3,5,1
2,1,0,20:00,4,0,28,25,1,0,0,0,0,28,16,26,4,24,39,25,48,24,3,5,1
3,1,0,19:29,1,0,24,0,1,86,1,0,0,28,16,26,24,47,39,25,48,24,3,5,1
4,1,0,19:21,5,1,5,15,1,0,0,0,0,12,15,57,24,47,39,25,48,24,3,5,1
5,1,0,18:33,9,1,9,0,2,0,0,0,0,12,25,40,10,27,39,87,9,14,3,6,1
6,1,0,18:27,7,0,93,0,3,46,3,0,0,93,25,40,10,27,39,87,9,14,3,6,1
7,1,0,18:17,7,0,40,0,3,36,1,0,0,93,25,40,10,27,39,87,9,14,3,6,1
8,1, ,18:17,3,1,0,0,0,0,0,0,0,51,7,26,4,24,39,19,26,71,7,58,1
9,1,0,18:17,4,0,51,19,3,0,0,0,0,51,7,26,4,24,39,19,26,71,7,58,1
10,1,0,18:09,1,0,24,0,3,55,2,0,0,51,7,26,4,24,39,19,26,71,7,58,1
11,1, ,17:33,3,2,0,0,0,0,0,0,0,28,7,26,4,24,39,19,26,71,5,8,1
12,1,0,17:33,4,1,28,10,1,0,0,0,0,28,14,16,38,47,39,10,17,28,5,8,1
13,1,0,17:31,6,1,28,14,3,0,0,0,0,28,14,16,38,47,39,10,17,28,5,8,1
14,1,0,17:31,6,0,14,28,2,0,0,0,0,28,14,16,38,47,39,10,17,71,5,8,1
15,1, ,17:31,3,9,0,0,0,0,0,0,0,28,40,16,38,47,39,10,17,71,5,8,1
16,1,0,17:31,4,0,28,10,1,0,0,0,0,28,40,16,38,47,39,10,17,71,5,8,1
17,1,0,16:58,5,1,17,28,1,0,0,0,0,28,40,16,38,47,39,10,17,71,5,8,1
18,1,0,16:43,13,1,71,38,2,0,0,0,0,12,15,57,38,47,39,10,17,71,3,6,1
19,1,0,16:22,1,0,10,0,3,15,1,0,0,12,15,57,10,27,39,25,48,24,3,6,1
20,1,0,16:10,5,0,27,24,2,0,0,0,0,12,15,57,10,27,39,25,48,24,3,6,1
21,1,0,15:59,13,1,48,10,2,0,0,0,0,93,25,40,10,27,39,25,48,24,7,58,1
22,1, ,15:58,3,4,0,0,0,0,0,0,0,28,93,40,4,24,39,87,9,14,7,58,1
23,1,0,15:58,4,1,28,87,3,0,0,0,0,28,93,40,4,24,39,87,9,14,7,58,1
24,1,0,15:52,1,1,7,0,3,43,1,0,0,28,93,40,4,24,39,87,9,14,7,58,1
