# 2010/10/28 
# L.A , DAL 
# 5 , 2 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,11,15,23,3,7,32,63,10,14,6,28,32
2,1,0,20:00,4,0,11,63,1,0,0,0,0,11,15,23,3,7,32,63,10,14,6,28,32
3,1,0,19:48,5,1,28,15,2,0,0,0,0,11,15,23,3,7,32,63,10,14,6,28,32
4,1, ,19:36,3,11,0,0,0,0,0,0,0,11,15,23,3,7,32,63,10,14,6,28,32
5,1,0,19:36,4,0,26,23,1,0,0,0,0,26,17,27,2,33,32,23,29,16,2,36,32
6,1, ,19:17,3,4,0,0,0,0,0,0,0,26,17,27,2,33,32,23,29,16,2,36,32
7,1,0,19:17,13,0,27,36,2,0,0,0,0,26,17,27,6,44,32,23,29,16,2,36,32
8,1,0,19:17,4,0,28,91,3,0,0,0,0,28,14,94,2,33,32,91,18,21,5,37,32
9,1, ,19:07,3,6,0,0,0,0,0,0,0,28,14,94,2,33,32,91,18,21,5,37,32
10,1,0,19:07,4,1,28,91,3,0,0,0,0,28,14,94,2,33,32,91,18,21,5,37,32
11,1,0,18:31,1,1,91,0,3,31,1,0,0,28,14,94,2,33,32,91,18,21,2,36,32
12,1,0,18:08,8,0,15,0,3,0,0,0,0,11,15,23,6,44,32,63,10,14,2,36,32
13,1,0,18:04,13,0,44,10,2,0,0,0,0,11,15,23,6,44,32,63,10,14,2,36,32
14,1,0,17:59,5,1,2,23,2,0,0,0,0,11,15,23,6,44,32,63,10,14,2,36,32
15,1,0,17:57,5,0,6,14,3,0,0,0,0,11,15,23,6,44,32,63,10,14,2,36,32
16,1,0,17:48,13,0,23,36,2,0,0,0,0,11,15,23,6,44,32,63,10,14,2,36,32
17,1,0,17:44,6,1,14,15,3,0,0,0,0,10,11,26,28,3,32,63,10,14,2,36,32
18,1,1,17:44,4,0,28,29,3,0,0,0,0,10,11,26,28,3,32,29,16,6,37,32,0
19,1,1,16:46,1,0,28,0,3,58,1,0,0,10,11,26,28,3,32,17,16,6,37,32,0
20,1,-1,16:41,6,1,37,11,2,0,0,0,0,10,11,26,28,3,32,17,16,6,37,32,0
21,1,1,16:41,4,0,28,63,3,0,0,0,0,11,28,23,94,3,32,63,2,6,32,0,0
22,1,1,16:31,7,0,3,0,3,20,1,0,0,11,28,23,94,3,32,63,2,6,32,0,0
23,1,1,16:30,2,0,23,0,3,12,1,3,11,11,28,23,94,3,32,63,2,6,32,0,0
24,1,1,16:30,4,0,94,23,1,0,0,0,0,28,14,23,94,3,32,23,21,2,6,32,0
25,1,-1,15:49,13,0,28,21,2,0,0,0,0,28,14,23,94,3,32,23,21,2,6,32,0
26,1,1,15:32,1,0,14,0,3,18,5,0,0,28,14,23,94,3,32,23,21,2,6,32,0
27,1, ,15:28,3,1,0,0,0,0,0,0,0,28,14,23,94,3,32,23,21,2,6,32,0
28,1,-1,15:28,4,1,26,16,2,0,0,0,0,10,11,26,3,6,32,29,16,5,28,32,0
29,1,-1,14:42,5,1,5,10,2,0,0,0,0,10,11,26,3,6,32,29,16,5,28,32,0
30,1,-1,14:41,13,0,3,16,2,0,0,0,0,10,11,26,3,6,32,29,16,5,28,37,32
31,1,0,14:19,5,1,63,15,2,0,0,0,0,15,17,27,3,6,32,63,10,14,2,36,32
32,1,0,14:13,6,0,2,14,2,0,0,0,0,15,17,27,2,33,32,63,10,14,2,36,32
33,1,-1,14:13,4,0,28,63,2,0,0,0,0,26,28,7,33,32,0,63,91,10,21,5,32
34,1,-1,13:33,13,1,91,7,2,0,0,0,0,11,27,7,33,32,0,63,91,10,21,5,32
35,1,1,13:09,1,1,36,0,3,43,1,0,0,15,23,3,44,32,0,29,91,14,18,36,32
36,1, ,13:07,3,1,0,0,0,0,0,0,0,15,23,3,44,32,0,29,91,14,18,36,32
37,1,1,13:07,4,1,26,29,3,0,0,0,0,26,94,7,33,32,0,29,91,14,18,36,32
38,1,1,13:03,1,1,36,0,3,45,2,0,0,26,94,7,33,32,0,29,91,14,18,36,32
39,1,0,12:09,9,1,18,0,3,0,0,0,0,15,23,2,7,33,32,29,14,18,6,36,32
40,1,0,11:55,1,0,15,0,1,85,1,0,0,11,15,23,6,44,32,17,20,24,6,28,32
41,1, ,11:52,3,0,0,0,0,0,0,0,0,11,15,23,6,44,32,17,20,24,6,28,32
42,1,0,11:52,4,0,13,29,3,0,0,0,0,10,19,13,6,44,32,20,29,24,2,36,32
43,1,0,11:46,5,1,2,19,2,0,0,0,0,10,19,13,6,44,32,20,29,24,2,36,32
44,1,0,11:37,5,0,6,24,2,0,0,0,0,10,19,13,6,44,32,17,20,24,2,36,32
45,1,0,11:21,1,1,20,0,3,45,1,0,0,10,19,13,6,44,32,17,20,24,2,36,32
46,1, ,11:19,3,1,0,0,0,0,0,0,0,10,19,13,6,44,32,17,20,24,2,36,32
47,1,0,11:19,4,0,28,91,2,0,0,0,0,28,14,94,2,33,32,91,18,21,5,37,32
48,1,0,11:01,5,1,5,28,1,0,0,0,0,28,14,94,2,33,32,91,18,21,5,37,32
49,1,0,10:32,5,1,5,94,2,0,0,0,0,26,14,94,2,33,32,91,18,21,5,37,32
50,1,0,10:23,1,0,94,0,3,6,1,0,0,26,14,94,2,33,32,91,18,21,5,37,32
51,1, ,10:22,3,1,0,0,0,0,0,0,0,26,14,94,2,33,32,91,18,21,5,37,32
52,1,0,10:22,4,1,11,63,2,0,0,0,0,11,15,23,3,7,32,63,10,14,6,28,32
53,1,0,10:12,13,0,11,28,2,0,0,0,0,11,15,23,3,7,32,63,10,14,6,28,32
54,1,0,9:59,5,0,3,63,2,0,0,0,0,11,15,23,3,7,32,63,10,14,6,28,32
55,1,0,9:21,5,1,29,6,3,0,0,0,0,11,23,27,6,44,32,23,29,16,2,36,32
56,1,0,9:13,5,1,16,6,3,0,0,0,0,11,23,27,6,44,32,23,29,16,2,36,32
57,1, ,9:09,3,0,0,0,0,0,0,0,0,11,23,27,6,44,32,23,29,16,2,36,32
58,1,0,9:09,4,1,26,23,1,0,0,0,0,26,17,27,6,44,32,23,29,16,2,36,32
59,1,0,8:47,7,1,29,0,3,20,5,0,0,26,17,27,6,44,32,23,29,16,2,36,32
60,1,0,8:09,9,1,21,0,3,0,0,0,0,28,14,94,2,33,32,91,18,21,5,37,32
61,1,0,8:06,9,0,33,0,2,0,0,0,0,28,14,94,2,33,32,91,18,21,5,37,32
62,1,0,7:54,5,1,18,14,1,0,0,0,0,28,14,94,2,33,32,91,18,21,5,37,32
63,1,0,7:50,7,1,18,0,3,36,1,0,0,28,14,94,2,33,32,91,18,21,5,37,32
64,1, ,7:44,3,8,0,0,0,0,0,0,0,28,14,94,2,33,32,91,18,21,5,37,32
65,1,0,7:44,4,0,11,17,2,0,0,0,0,11,15,23,3,7,32,17,20,24,6,28,32
66,1,0,7:34,8,1,6,0,2,0,0,0,0,11,15,23,3,7,32,17,20,24,6,28,32
67,1,0,7:22,13,1,6,11,2,0,0,0,0,11,15,23,3,7,32,17,20,24,6,28,32
68,1,0,7:07,5,1,28,23,1,0,0,0,0,11,15,23,6,44,32,17,20,14,6,28,32
69,1,0,6:45,9,0,23,0,2,0,0,0,0,26,23,27,6,44,32,63,10,14,2,36,32
70,1,0,6:16,7,0,33,0,3,42,2,0,0,26,17,27,2,33,32,63,16,10,2,36,32
71,1,0,6:00,5,0,27,63,3,0,0,0,0,10,17,27,2,33,32,29,63,16,2,36,32
