# 2010/10/29 
# PHI , PIT 
# 3 , 2 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,18,15,21,5,44,35,87,45,24,7,58,29
2,1,0,20:00,4,1,18,87,1,0,0,0,0,18,15,21,5,44,35,87,45,24,7,58,29
3,1,0,19:54,6,0,18,24,3,0,0,0,0,18,15,21,5,44,35,87,45,24,7,58,29
4,1,0,19:54,6,1,24,18,2,0,0,0,0,15,21,5,44,35,0,87,45,24,7,58,29
5,1,0,19:54,4,1,11,87,1,0,0,0,0,11,13,45,5,44,35,87,45,14,5,44,29
6,1,0,19:37,6,1,5,45,1,0,0,0,0,11,13,45,5,44,35,87,45,14,5,44,29
7,1,0,19:37,6,0,45,5,2,0,0,0,0,11,13,45,5,44,35,87,45,14,44,29,0
8,1,0,19:37,4,1,11,87,1,0,0,0,0,11,13,19,5,44,35,87,45,14,6,44,29
9,1,0,19:06,5,1,6,19,2,0,0,0,0,28,13,19,20,25,35,87,45,14,6,44,29
10,1, ,19:06,3,0,0,0,0,0,0,0,0,28,13,19,20,25,35,10,71,9,3,58,29
11,1,0,19:06,4,1,28,10,1,0,0,0,0,17,36,28,20,25,35,10,71,9,3,58,29
12,1,0,18:48,5,1,71,20,3,0,0,0,0,17,36,28,20,25,35,10,71,9,3,58,29
13,1, ,18:40,3,8,0,0,0,0,0,0,0,17,36,28,20,25,35,10,71,9,3,58,29
14,1,0,18:40,4,1,48,10,3,0,0,0,0,48,19,22,6,41,35,10,71,9,7,44,29
15,1,0,18:31,6,0,19,44,2,0,0,0,0,48,19,22,6,41,35,10,71,9,7,44,29
16,1,0,18:31,6,0,48,10,2,0,0,0,0,48,22,6,41,35,0,19,71,87,14,3,29
17,1,1,18:31,4,1,11,87,3,0,0,0,0,11,20,44,35,0,0,19,71,87,14,3,29
18,1,1,18:11,6,1,19,11,1,0,0,0,0,11,20,44,35,0,0,19,71,87,14,3,29
19,1,-1,18:11,4,0,11,87,3,0,0,0,0,11,20,44,35,0,0,71,87,14,3,29,0
20,1,-1,18:09,1,0,11,0,3,20,6,0,0,11,20,44,35,0,0,71,87,14,3,29,0
21,1, ,17:59,3,2,0,0,0,0,0,0,0,11,20,44,35,0,0,71,87,14,3,29,0
22,1,1,17:59,4,1,11,87,1,0,0,0,0,11,20,44,35,0,0,71,87,14,3,29,0
23,1,1,17:45,6,1,14,44,3,0,0,0,0,11,20,44,35,0,0,71,87,14,3,29,0
24,1,0,17:45,4,0,28,87,3,0,0,0,0,28,5,25,35,0,0,87,7,58,29,0,0
25,1,0,17:25,6,0,5,87,2,0,0,0,0,28,5,25,35,0,0,87,7,58,29,0,0
26,1,0,17:25,4,0,28,87,2,0,0,0,0,28,20,44,35,0,0,87,7,58,29,0,0
27,1,0,17:06,1,0,20,0,3,54,3,0,0,28,20,44,35,0,0,87,7,58,29,0,0
28,1,0,16:55,8,0,20,0,2,0,0,0,0,28,20,44,35,0,0,87,7,58,29,0,0
29,1, ,16:52,3,2,0,0,0,0,0,0,0,28,41,44,35,0,0,87,7,58,29,0,0
30,1,0,16:52,4,0,17,71,2,0,0,0,0,17,6,41,35,0,0,71,3,7,29,0,0
31,1,0,16:30,8,0,17,0,1,0,0,0,0,17,48,6,41,35,0,71,3,7,29,0,0
32,1,0,16:28,13,0,17,7,2,0,0,0,0,17,48,6,41,35,0,71,3,7,29,0,0
33,1,1,16:01,6,1,7,48,2,0,0,0,0,17,48,41,44,35,0,19,71,3,7,29,0
34,1,1,16:01,4,0,28,27,3,0,0,0,0,48,28,20,44,35,0,27,44,58,29,0,0
35,1,0,15:39,13,0,48,58,2,0,0,0,0,48,28,20,44,35,0,27,14,44,58,29,0
36,1,0,15:10,5,1,9,22,1,0,0,0,0,17,22,6,25,35,0,48,9,44,58,29,0
37,1,0,15:04,1,1,9,0,3,52,2,0,0,17,22,6,25,35,0,48,9,44,58,29,0
